geo;indicator;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001
abw;gdppercapita_growth_over_next_10_years;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06588;0.1318;0.1978;0.2638;0.3298;0.3959;0.4621;0.5283;0.5945;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.8384;1.016;1.194;1.3730000000000002;1.5519999999999998;1.7309999999999999;1.911;2.09;2.27;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;3.0060000000000002;3.565;4.13;4.707;5.297000000000001;5.903;6.525;7.148;7.756;8.339;8.295;8.211;8.126;8.085;8.113999999999999;8.238999999999999;9.111;10.23;10.61;9.96;9.524;8.732999999999999;8.033;7.4510000000000005;6.3660000000000005;5.215;4.127;2.782;1.6059999999999999;1.675;1.03;0.5238;0.1981;0.4336;0.5398;0.5659;0.06085;-0.9746;-1.778;-2.6860000000000004;-1.629
afg;gdppercapita_growth_over_next_10_years;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03246;0.06493;0.09741;0.1299;0.1624;0.1949;0.2274;0.26;0.2925;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3389;0.3526;0.3664;0.3802;0.3939;0.4077;0.4215;0.4353;0.449;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.5408;0.6596;1.036;1.021;0.9871;1.193;0.9486;1.252;1.2819999999999998;1.379;1.123;0.907;0.4413;0.3728;0.3474;-0.04133;0.1854;-0.054979999999999994;-0.2195;-0.4127;-1.022;-1.412;-0.5547;-0.2472;0.01445;0.3841;-0.6157;-0.2149;-0.3461;-0.2781;1.4880000000000002;2.8280000000000003;2.346;1.88;1.287;1.756;0.8128;-0.7126;-0.7363;-1.321;-2.372;-4.013;-5.776;-6.638;-4.581;-4.99;-2.8960000000000004;-1.63;-1.126;-0.662;-1.6880000000000002;1.1320000000000001;3.458;4.864;3.801;3.6919999999999997;4.468;4.19;5.58;6.227;7.803
ago;gdppercapita_growth_over_next_10_years;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.6758;0.9269;1.179;1.431;1.6840000000000002;1.9380000000000002;2.1919999999999997;2.447;2.702;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.8939999999999997;2.83;2.7560000000000002;2.0269999999999997;2.365;1.719;2.193;2.258;1.835;1.765;2.637;1.9469999999999998;2.062;3.412;3.344;4.1080000000000005;3.734;3.031;3.2760000000000002;3.5010000000000003;2.778;3.032;3.259;2.412;1.068;-0.1269;-0.7098;-1.2009999999999998;-1.5730000000000002;-2.052;-3.193;-3.347;-3.83;-3.6660000000000004;-2.895;-2.089;-1.4880000000000002;-0.3816;-0.3346;-0.6078;-0.02351;-0.5876;-3.645;-4.058;-3.033;-1.561;-1.714;-2.267;-2.0180000000000002;-1.7080000000000002;-1.5230000000000001;0.4037;3.51;4.454;4.918;4.765;6.37;7.733;7.641;7.711;7.84
aia;gdppercapita_growth_over_next_10_years;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06588;0.1318;0.1978;0.2638;0.3298;0.3959;0.4621;0.5283;0.5945;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.8384;1.016;1.194;1.3730000000000002;1.5519999999999998;1.7309999999999999;1.911;2.09;2.27;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;1.8119999999999998;2.553;2.611;2.254;2.285;2.158;1.9080000000000001;2.381;3.06;3.293;4.06;2.929;2.5789999999999997;3.0;3.573;4.481;5.194;5.401;4.994;4.601;3.688;4.243;4.7669999999999995;5.013;3.6839999999999997;2.717;2.887;2.801;2.479;2.344;2.9619999999999997;2.211;1.8230000000000002;3.094;4.217;5.774;5.912999999999999;4.669;2.148;1.5959999999999999;1.724
alb;gdppercapita_growth_over_next_10_years;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1147;0.1256;0.1365;0.1474;0.1583;0.1692;0.1801;0.191;0.2019;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.3383;0.4639;0.5896;0.7155;0.8416;0.9678;1.094;1.2209999999999999;1.347;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.464;1.454;1.443;1.433;1.423;1.412;1.402;1.392;1.381;1.371;1.365;1.359;1.3530000000000002;1.347;1.341;1.335;1.329;1.3230000000000002;1.317;1.311;1.308;1.305;1.3019999999999998;1.255;1.207;1.16;1.112;1.065;1.0170000000000001;0.9698;0.9254;0.8809999999999999;0.8367;0.8367;0.8367;0.8367;0.8367;0.8367;0.8367;0.7901;0.7435;0.6970000000000001;0.6504;0.6039;0.5574;0.5109;0.4644;0.418;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.7592;0.738;1.101;1.3559999999999999;1.8519999999999999;1.916;2.513;2.927;3.305;3.778;3.426;3.747;3.6839999999999997;3.733;3.56;3.838;3.577;3.488;3.4160000000000004;3.28;3.6;3.66;3.8169999999999997;3.5060000000000002;3.1719999999999997;2.8339999999999996;2.499;2.1830000000000003;1.892;1.595;1.252;0.9191;0.4883;0.5079;0.5254;0.5489;0.5681;0.5854;0.6121;0.6308;-2.803;-3.673;-2.9160000000000004;-2.272;-1.16;-0.3999;-1.5659999999999998;-0.483;0.3564;0.9285;5.117;6.308;5.978;5.771;5.034;4.703;6.436;5.91;5.247000000000001;4.865;4.444
and;gdppercapita_growth_over_next_10_years;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.2663;0.3667;0.4673;0.5679;0.6687;0.7695;0.8705;0.9715;1.073;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.4340000000000002;1.695;1.956;2.218;2.48;2.7439999999999998;3.008;3.272;3.5380000000000003;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.355;3.25;3.133;2.838;2.08;1.646;1.203;0.6304;-0.1183;-0.7020000000000001;-1.147;-1.8219999999999998;-2.4219999999999997;-2.785;-2.563;-2.452;-2.032;-1.5;-0.8599;-0.5685;-0.2088;-0.1766;-0.40399999999999997;-0.2855;-0.159;0.08457999999999999;0.5439;0.5198;0.64;0.5991;1.713;2.4619999999999997;3.4810000000000003;4.079;4.521;4.447;3.412;2.485;1.42;0.8846;-0.5109
ant;gdppercapita_growth_over_next_10_years;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06588;0.1318;0.1978;0.2638;0.3298;0.3959;0.4621;0.5283;0.5945;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.9589;1.258;1.558;1.859;2.16;2.463;2.766;3.071;3.3760000000000003;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.8369999999999997;3.842;3.8;3.9;3.7110000000000003;3.883;6.683;6.897;6.915;7.321000000000001;6.803999999999999;6.121;5.629;4.854;4.34;3.097;0.0409;-0.4735;-0.192;-0.8475;-0.7463;-0.1894;0.3981;1.238;1.771;2.695;2.945;2.735;1.9880000000000002;1.696;1.709;1.416;1.033;0.4828;0.2413;0.07026;-0.03216;0.1977;0.06059;0.1331;-0.1189
are;gdppercapita_growth_over_next_10_years;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.07932;0.1351;0.1909;0.2467;0.3025;0.3584;0.4143;0.4702;0.5262;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.8039;1.026;1.249;1.472;1.696;1.92;2.145;2.37;2.595;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;3.3819999999999997;3.946;4.513;5.083;5.656000000000001;6.232;6.811;7.394;7.979;8.568;8.568;8.568;7.329;6.0120000000000005;9.719;19.01;19.42;18.25;17.44;14.66;14.95;15.58;15.34;14.03;8.042;-1.3659999999999999;-3.3089999999999997;-5.712999999999999;-5.806;-5.085;-5.417999999999999;-5.6770000000000005;-5.65;-4.406000000000001;-3.9010000000000002;-3.512;-2.6069999999999998;0.02086;0.2236;0.5852;-0.2824;-0.7721;-0.4591;-0.4599;0.7943;1.044;1.33;1.911;1.71;2.084;1.114;0.3373;0.7404
arg;gdppercapita_growth_over_next_10_years;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1404;0.281;0.4217;0.5627;0.7039;0.8452;0.9868;1.129;1.271;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.1740000000000002;1.7369999999999999;0.7387;0.725;0.06734;-0.2235;1.706;2.443;2.699;3.923;3.738;3.3930000000000002;5.547999999999999;6.09;5.36;4.59;4.024;3.42;4.21;3.61;4.65;1.7280000000000002;1.034;1.7730000000000001;1.376;2.8369999999999997;0.7907;1.607;1.205;1.453;0.7594;3.014;2.984;1.615;3.5180000000000002;2.725;3.66;2.233;-0.09496;-1.431;-1.933;-2.693;-1.683;-1.5219999999999998;-1.246;-1.074;-1.0;0.061829999999999996;2.097;2.0980000000000003;2.792;4.303999999999999;3.063;3.054;1.771;0.8862;-0.1328;-0.6186;-0.4987;0.09795;-0.1817;-0.0553;-0.5201;-0.4816;0.2357;1.5290000000000001;2.024;1.5090000000000001;1.8559999999999999;1.112;1.8359999999999999;2.133;2.5810000000000004;1.976;1.857;1.666;0.968;1.528;0.8122;1.82;1.268;0.7556;0.8754;0.3923;1.113;1.4780000000000002;1.8969999999999998;1.158;1.788;2.022;1.84;1.621;1.472;3.04;2.807;2.475;2.845;3.465;2.9730000000000003;1.9869999999999999;1.909;2.27;1.4880000000000002;1.331;0.9507;0.01461;-0.4817;-0.4177;-0.7113;-1.35;-0.626;-0.9736;-0.8179;-2.197;-2.5180000000000002;-0.9365;0.3399;0.532;0.9332;1.411;1.274;1.84;2.454;2.8810000000000002;3.0260000000000002;1.541;-0.5628;-0.2709;0.024659999999999998;1.212;1.479;1.516;1.788;2.224;3.201;4.552
arm;gdppercapita_growth_over_next_10_years;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03701;0.07403;0.1111;0.1481;0.1852;0.2222;0.2593;0.2964;0.3336;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;-0.08326;1.431;0.9788;0.1875;0.08667000000000001;-0.8468;-0.00471;1.194;2.44;1.588;2.9789999999999996;1.21;1.87;3.225;3.043;4.208;4.131;2.104;1.821;1.369;-0.0583;-0.2879;0.3305;0.1119;0.9827;-0.0601;-0.1173;1.097;-0.3764;1.137;1.294;-0.1173;-2.761;-4.855;-5.939;-5.662000000000001;-5.606;-5.2829999999999995;-4.0489999999999995;-3.523;-2.425;0.1807;2.8560000000000003;5.603;6.599;7.227;6.172000000000001;5.68;5.726;6.263;6.0760000000000005;6.037000000000001;5.127000000000001;4.669;3.765;3.475;3.44;2.864;1.7719999999999998;0.2273;-0.6185;-0.3634;0.8884;1.379;2.628;2.693;3.3569999999999998;3.818;4.333;5.207000000000001;6.186;5.102;4.397;3.18;3.105;3.6510000000000002;3.3089999999999997;2.676;3.495;3.2969999999999997;2.931;3.263;3.2060000000000004;3.576;3.5180000000000002;3.2960000000000003;3.145;4.279;3.27;2.673;2.592;2.3169999999999997;1.9140000000000001;1.6480000000000001;0.8362;0.5946;0.7135;0.1438;-0.014369999999999999;0.051570000000000005;7e-05;-0.09987;-0.1303;0.0997;-0.1412;-1.4769999999999999;-6.5760000000000005;-7.155;-6.307;-5.4239999999999995;-5.082;-4.72;-4.059;-3.755;-2.802;-0.45299999999999996;6.436;8.389;8.579;9.109;9.807;10.84;10.74;8.593;8.082;7.428999999999999
