geo;indicator;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006
ago;gdpperemployee_us_inflation_adjusted;1865.0;1769.0;1630.0;1526.0;1487.0;1451.0;1287.0;1402.0;1582.0;1568.0;1584.0;1549.0;1432.0;1032.0;1032.0;1126.0;1318.0;1355.0;1328.0;1343.0;1343.0;1345.0;1508.0;1516.0;1624.0;1901.0;
alb;gdpperemployee_us_inflation_adjusted;6690.0;6668.0;6674.0;6692.0;6689.0;6676.0;6636.0;6583.0;6542.0;6546.0;6622.0;4777.0;4493.0;5021.0;5550.0;6415.0;7137.0;6416.0;7135.0;8251.0;8776.0;9517.0;11460.0;12040.0;12660.0;13400.0;
are;gdpperemployee_us_inflation_adjusted;49230.0;49770.0;43740.0;39820.0;39760.0;35980.0;27700.0;27140.0;25610.0;26730.0;28190.0;27140.0;26360.0;25220.0;25470.0;24520.0;24700.0;24680.0;22670.0;21530.0;22310.0;20920.0;19810.0;20450.0;20800.0;21370.0;
arg;gdpperemployee_us_inflation_adjusted;23020.0;20920.0;19480.0;20070.0;20060.0;18460.0;19980.0;19680.0;19030.0;17560.0;17310.0;18870.0;20580.0;21820.0;23170.0;21930.0;23030.0;25100.0;26130.0;25120.0;24610.0;23140.0;23180.0;23750.0;24300.0;24770.0;
arm;gdpperemployee_us_inflation_adjusted;;;;;;;;;;12110.0;11320.0;10430.0;6407.0;6221.0;6803.0;7327.0;7977.0;8622.0;9497.0;10100.0;10870.0;12030.0;15820.0;18020.0;20380.0;22750.0;
aus;gdpperemployee_us_inflation_adjusted;33140.0;33720.0;33690.0;34300.0;35590.0;36270.0;35570.0;36530.0;36790.0;36820.0;36730.0;37630.0;39210.0;40620.0;41170.0;41250.0;42340.0;43770.0;45040.0;46080.0;45810.0;47010.0;47560.0;48390.0;48680.0;48500.0;48690.0
aut;gdpperemployee_us_inflation_adjusted;30260.0;30030.0;30990.0;32130.0;32220.0;32950.0;33230.0;33610.0;34560.0;35680.0;36540.0;37100.0;37290.0;37110.0;38080.0;38650.0;40170.0;40810.0;42210.0;43170.0;44420.0;44580.0;45260.0;45440.0;47220.0;47180.0;48180.0
aze;gdpperemployee_us_inflation_adjusted;;;;;;;;;;10290.0;9019.0;8886.0;6896.0;5313.0;4365.0;3869.0;3841.0;4056.0;4453.0;4863.0;5419.0;6576.0;6845.0;7802.0;8998.0;12390.0;
bel;gdpperemployee_us_inflation_adjusted;37740.0;37970.0;39010.0;39530.0;40530.0;40730.0;41080.0;41740.0;42880.0;43740.0;44590.0;45250.0;46000.0;45860.0;47540.0;47970.0;48360.0;49730.0;49920.0;50790.0;51730.0;51530.0;52380.0;52850.0;53860.0;53940.0;55030.0
bfa;gdpperemployee_us_inflation_adjusted;1545.0;1586.0;1596.0;1546.0;1533.0;1695.0;1916.0;1828.0;1927.0;1850.0;1776.0;1892.0;1845.0;1862.0;1838.0;1897.0;2059.0;2140.0;2237.0;2343.0;2308.0;2388.0;2416.0;2522.0;2536.0;2624.0;
bgd;gdpperemployee_us_inflation_adjusted;1934.0;1948.0;1920.0;1961.0;2013.0;2018.0;2050.0;2080.0;2085.0;2083.0;2166.0;2190.0;2251.0;2318.0;2372.0;2449.0;2521.0;2594.0;2662.0;2728.0;2821.0;2897.0;2952.0;3034.0;3185.0;3295.0;
bgr;gdpperemployee_us_inflation_adjusted;12240.0;12480.0;12800.0;12470.0;12880.0;12480.0;12770.0;12760.0;12730.0;12800.0;12150.0;12790.0;12920.0;12930.0;13090.0;13290.0;12030.0;11820.0;12310.0;12860.0;12920.0;13550.0;14130.0;14410.0;14980.0;15500.0;16050.0
bhr;gdpperemployee_us_inflation_adjusted;11210.0;10680.0;10700.0;10870.0;10810.0;10290.0;10090.0;9900.0;9854.0;9721.0;9353.0;9146.0;9462.0;10380.0;9957.0;9954.0;9960.0;9894.0;9990.0;10110.0;10350.0;10610.0;11030.0;11670.0;12100.0;12830.0;
bih;gdpperemployee_us_inflation_adjusted;;;;;;;;;;;8217.0;7857.0;14910.0;23120.0;25670.0;24560.0;16980.0;15200.0;17060.0;18210.0;18880.0;19610.0;21550.0;23000.0;24260.0;13950.0;
