geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;gdpperworking_hour_us_inflation_adjusted;1316.5810000000001;2367.507;1691.9920000000002;1233.881;1674.9920000000002;1577.384;1449.443;1340.145;1237.267;1135.369;1019.4960000000001;1478.68;1515.047;1468.404;1530.476;1588.4289999999999;1749.971;1800.8529999999998;2086.635;2226.061;2267.575;2455.427;2381.218;2288.585;2198.6;2148.275;2185.2960000000003;2207.1220000000003;2241.025;2276.188;2334.763;2395.865
ago;gdpperworking_hour_us_inflation_adjusted;8169.88;7363.2119999999995;5356.244000000001;5370.363;5752.616999999999;6221.14;6520.981;6763.831999999999;6768.432;6746.87;6804.875;6119.593000000001;6199.339;6627.786;7337.283;8315.904;9573.198;10230.213;9830.481;9552.274;9320.038;9451.225;9734.383;9838.288;9776.337;9486.792;8951.426;8927.837;8990.995;9114.204;9256.337;9392.606
alb;gdpperworking_hour_us_inflation_adjusted;3889.368;3664.163;4237.208;4688.183;5388.482;5850.286999999999;5112.986;5527.1759999999995;6273.7480000000005;6606.808000000001;7124.672;7300.68;7688.960999999999;8109.054;8565.268;9000.565999999999;9395.124;10211.011;10741.784;11234.74;11097.802;10742.716;11805.367;11997.52;11677.663;11796.899;11925.641000000001;12601.896;13119.055;13641.204;14199.966999999999;14779.746000000001
are;gdpperworking_hour_us_inflation_adjusted;128187.117;123159.555;115742.93;115369.406;115160.633;116302.70300000001;119576.016;113344.781;109936.17199999999;114453.586;108027.04699999999;102709.406;102283.242;99810.133;90701.258;85136.18;74306.422;66244.242;55500.867;51151.43;51944.285;53195.949;55613.848;56975.785;58537.469000000005;60025.691;60699.977;62304.348;63974.285;65438.773;67638.773;69801.688
arg;gdpperworking_hour_us_inflation_adjusted;16821.613;18532.617;19999.324;21135.938;21934.387000000002;22236.885;22865.327999999998;22700.406000000003;21974.141;21683.051;21007.256;19089.117;19307.098;20139.078;21238.645;22191.1;23730.645;24486.307;22793.365;25064.191000000003;25656.862999999998;25223.812;25447.379;24844.939;25100.029;24653.391;25337.814;26044.137000000002;26787.172000000002;27667.322;28442.475;29099.93
arm;gdpperworking_hour_us_inflation_adjusted;3949.506;2338.095;2266.533;2484.677;2718.8509999999997;3001.815;3180.3720000000003;3373.4509999999996;3561.796;3764.8509999999997;4094.853;4610.897;5221.183;5715.715999999999;6383.887;7160.196;8544.171;9621.348;8411.014000000001;8282.229;8464.15;8969.282;9055.987;9548.983;10023.819;9983.312;10042.295;10281.882;10604.083;11026.85;11506.655;12029.882
aus;gdpperworking_hour_us_inflation_adjusted;78911.688;79572.477;82465.266;83055.992;83284.562;85600.17199999999;88235.242;90458.5;93294.852;94543.133;95270.648;97144.258;97985.555;100166.29699999999;99836.398;100051.06199999999;100598.375;101609.844;102982.984;102705.039;103284.773;106005.81199999999;107983.5;110096.67199999999;110729.195;112202.914;122550.695;123368.117;124308.594;125733.391;127854.141;130107.18800000001
aut;gdpperworking_hour_us_inflation_adjusted;76629.477;76969.367;77206.852;76269.805;77969.328;81036.594;82871.828;85383.195;87093.0;89772.445;90652.031;90991.81199999999;91149.289;97234.641;96222.484;97761.336;98757.555;98407.695;94663.32800000001;95334.414;96845.617;96610.773;96178.625;96822.54699999999;97365.766;98169.148;102126.477;103732.148;105179.555;106566.461;107868.477;109205.398
aze;gdpperworking_hour_us_inflation_adjusted;8169.653;6041.084;4524.759;3564.039;3090.437;3216.855;3363.324;3652.5240000000003;3869.29;4209.479;4473.958;4785.268;5152.572;5464.005999999999;6681.144;8715.065999999999;10625.499;11445.515;12221.473999999998;12565.604;12364.365;12375.796;12857.178;12864.98;12786.03;12162.483;11981.821000000002;12146.441;12431.604;12753.135;13166.65;13627.396
bdi;gdpperworking_hour_us_inflation_adjusted;734.768;738.55;688.934;659.525;604.87;555.351;545.866;570.526;559.866;547.508;541.225;545.211;517.991;521.9259999999999;506.515;514.53;519.96;527.2819999999999;527.266;529.61;538.428;546.505;557.808;570.41;530.67;510.55699999999996;495.733;480.504;487.01099999999997;495.86199999999997;505.62699999999995;517.885
bel;gdpperworking_hour_us_inflation_adjusted;89320.07;89559.258;89498.133;92520.094;93597.95300000001;95162.719;97734.695;99277.17199999999;99499.07;99811.648;102575.844;104188.023;105007.039;106263.039;106088.008;108044.93800000001;108700.57;107991.508;106158.06199999999;107454.586;109156.45300000001;108960.391;108567.219;109712.133;110881.07800000001;111199.805;112502.406;113958.102;115558.195;117364.359;119362.531;121457.32
