geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;hiv_deaths_in_children_1_59_months_total_deaths;1.23901;1.3795899999999999;1.52626;1.6895900000000001;1.86555;2.06046;2.26112;2.45837;2.64932;2.83455;3.01797;3.2086;3.4493699999999996;3.7223;4.02628;4.35989;4.72622;5.12211;5.56378;5.91429;6.2644400000000005;6.691039999999999;7.4134;8.22137;9.21292;10.61397;10.82898
ago;hiv_deaths_in_children_1_59_months_total_deaths;101.80405999999999;135.77923;177.1424;226.72279;283.6237;348.09815;418.56972;498.11938;584.34101;678.86264;780.90883;887.00944;995.98372;1107.53584;1210.36336;1300.83308;1309.6023;1343.39447;1385.57458;1427.49392;1463.1376699999998;1532.9315199999999;1559.5851699999998;1439.20396;1195.89214;1070.41596;756.38705
alb;hiv_deaths_in_children_1_59_months_total_deaths;0.06912;0.07493999999999999;0.08021;0.06498;0.051820000000000005;0.04774;0.04197;0.03564;0.03344;0.0328;0.031580000000000004;0.03216;0.02953;0.028569999999999998;0.02872;0.02804;0.0271;0.02445;0.01965;0.01568;0.01116;0.00873;0.008;0.00784;0.00793;0.00807;0.00822
and;hiv_deaths_in_children_1_59_months_total_deaths;0.00859;0.00976;0.01139;0.00958;0.00633;0.00494;0.00307;0.00157;0.0012900000000000001;0.00126;0.00123;0.00123;0.00121;0.00118;0.00117;0.00118;0.0012;0.00106;0.0009400000000000001;0.00081;0.00065;0.00065;0.00064;0.00063;0.00103;0.00146;0.00158
are;hiv_deaths_in_children_1_59_months_total_deaths;0.0822;0.0973;0.11415;0.13347;0.1552;0.17786;0.20139;0.22641999999999998;0.25563;0.2917;0.33808;0.39538;0.46408;0.5522199999999999;0.65579;0.7699;0.89661;1.0306899999999999;1.17831;1.34596;1.52009;1.6868;1.8310099999999998;1.9481400000000002;2.04513;2.03914;1.62227
arg;hiv_deaths_in_children_1_59_months_total_deaths;53.867169999999994;48.88991;52.80944;48.67246;46.52462;50.22725;50.48536;81.97166;82.54945;68.55631;63.14454;55.437059999999995;67.3131;57.512640000000005;44.16843;44.33862;50.57075;43.9498;38.016;41.89079;34.49508;36.716440000000006;32.637640000000005;34.92286;30.38637;30.212970000000002;29.07106
arm;hiv_deaths_in_children_1_59_months_total_deaths;0.08539;0.08519;0.08132;0.07565;0.06875;0.06412000000000001;0.059789999999999996;0.055510000000000004;0.05409;0.052779999999999994;0.052829999999999995;0.05467999999999999;0.05585;0.05902;0.15058;0.31877;1.34425;0.8126899999999999;1.76065;2.0646;1.66068;1.6625400000000001;2.85415;2.48658;3.7932699999999997;2.60495;2.3178
asm;hiv_deaths_in_children_1_59_months_total_deaths;0.01299;0.01658;0.01963;0.022430000000000002;0.02518;0.02791;0.030330000000000003;0.03221;0.03344;0.03416;0.0347;0.03512;0.0354;0.03589;0.0365;0.03714;0.03826;0.039760000000000004;0.04194;0.04464;0.047619999999999996;0.051039999999999995;0.0553;0.05998;0.06539;0.023119999999999998;0.01083
atg;hiv_deaths_in_children_1_59_months_total_deaths;0.0665;0.07182000000000001;0.11072;0.14475;0.17535;0.1687;0.20488;0.15574000000000002;0.16353;0.25539;0.39046;0.32565;0.31265;0.27519;0.27147;0.19297;0.2163;0.18388;0.14995;0.14995999999999998;0.15927;0.1541;0.14443;0.1355;0.16372;0.13284;0.12652
aus;hiv_deaths_in_children_1_59_months_total_deaths;2.45134;2.50101;3.1598599999999997;3.26568;3.08469;3.0929900000000004;2.69047;1.59158;1.61643;1.56605;1.46145;1.57378;1.32643;1.4478600000000001;1.61242;1.1648100000000001;1.63329;1.38404;1.1061;1.0695299999999999;0.99549;1.0711700000000002;0.80803;0.84596;0.69091;0.78592;0.7751600000000001
aut;hiv_deaths_in_children_1_59_months_total_deaths;0.7729199999999999;0.99775;1.43452;1.4294799999999999;1.45989;1.17192;0.9155;0.46283;0.44158000000000003;0.40649;0.33393;0.32216;0.3393;0.36455;0.4065;0.40906;0.31213;0.35226;0.32433;0.28344;0.30014;0.30332;0.27028;0.31701999999999997;0.26853;0.26037;0.24978000000000003
aze;hiv_deaths_in_children_1_59_months_total_deaths;0.84319;0.96501;1.06287;1.13481;1.1838799999999998;1.2155;1.24427;1.281;1.33754;1.41341;1.50243;1.60985;1.7090599999999998;1.86095;2.04243;2.22905;2.20693;1.7823799999999999;1.49658;1.37371;1.09463;0.79161;0.53779;0.54247;0.4658;0.44533999999999996;0.5603100000000001
bdi;hiv_deaths_in_children_1_59_months_total_deaths;195.44058;269.84842000000003;356.14082;451.75685999999996;553.19758;656.55772;754.43405;841.1273699999999;911.84334;964.03308;998.35785;1021.914;1030.28546;1021.0283599999999;986.52908;914.6651199999999;844.0015400000001;794.66228;721.5286;647.45929;530.43651;392.18584;373.67491;263.3661;196.80759;123.01591;103.43806
bel;hiv_deaths_in_children_1_59_months_total_deaths;2.89756;3.4730199999999996;2.7473;3.5997800000000004;3.34787;3.2818099999999997;2.69351;1.58084;1.2595;1.1247;1.25512;1.44364;1.32461;1.35835;1.51956;1.25306;1.14296;1.15262;1.1167799999999999;1.1208200000000001;1.2339200000000001;1.19884;1.0613700000000001;1.34791;1.06322;1.01411;0.9652799999999999
ben;hiv_deaths_in_children_1_59_months_total_deaths;40.06565;56.61767;78.08321;105.06096000000001;137.49632;174.82998;215.66511;257.96043;299.94948999999997;340.19321;376.8655;408.96782;435.94793;457.67992999999996;472.28551;480.97160999999994;483.11915999999997;478.57659;387.25529;301.3524;283.00183;273.71884;266.14615;284.15563;248.06307;179.19725;130.04218999999998
bfa;hiv_deaths_in_children_1_59_months_total_deaths;650.88368;813.95159;972.96919;1116.34443;1238.0616300000002;1329.65192;1385.03018;1409.97133;1406.73458;1380.1979;1335.95479;1274.56849;1203.39841;1122.22278;1033.28425;927.33599;817.80526;723.68168;662.8808;523.2133200000001;460.74078;378.48239;320.0641;271.81979;210.41557000000003;125.32128;77.62517
bgd;hiv_deaths_in_children_1_59_months_total_deaths;0.0;0.0;0.0;0.0;0.09094;0.21039000000000002;0.33185;0.48026;0.6824100000000001;0.96167;1.35905;1.92144;2.71699;3.76168;5.0309099999999995;6.5035300000000005;8.00955;9.39613;10.38994;10.89315;11.59534;12.194139999999999;13.33806;13.60265;13.084019999999999;12.81804;10.90665
bgr;hiv_deaths_in_children_1_59_months_total_deaths;1.10178;1.01716;1.04434;1.1091;1.32397;0.9773299999999999;1.13206;1.64347;1.9170599999999998;1.7478200000000002;1.5915700000000002;1.26776;1.46636;1.22526;1.16469;1.5818;1.62717;1.6477700000000002;1.53334;1.31881;1.22959;1.3254;1.1310799999999999;0.98911;0.9563;0.91209;0.85829
