geo;indicator;1764;1765;1766;1767;1768;1769;1770;1771;1772;1773;1774;1775;1776;1777;1778;1779;1780;1781;1782;1783;1784;1785;1786;1787;1788;1789;1790;1791;1792;1793;1794;1795;1796;1797;1798;1799;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
abw;income_per_person_with_projections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;575.9;;;;;;;;;;;;;;;;;;;;575.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1062.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4224.0;4568.0;4940.0;5344.0;5786.0;6270.0;6804.0;7390.0;8026.0;8702.0;9410.0;10130.0;10870.0;11670.0;12590.0;13680.0;15020.0;17670.0;21250.0;23850.0;24320.0;25170.0;25120.0;25280.0;25830.0;25360.0;24970.0;26480.0;27960.0;27960.0;28710.0;27880.0;26470.0;25780.0;26970.0;26760.0;26420.0;26650.0;25350.0;23370.0;21870.0;23660.0;;;;;;;
afg;income_per_person_with_projections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;472.1;;;;;;;;;;;;;;;;;;;;472.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;638.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;757.3;766.8;779.4;812.9;815.4;816.4;837.1;820.9;849.7;856.2;868.5;857.4;853.1;849.4;846.3;845.2;833.6;836.2;845.1;837.6;833.3;773.7;740.0;803.5;825.6;846.4;866.2;786.1;827.1;809.1;810.4;896.9;978.0;1013.0;994.6;961.9;1031.0;852.4;770.0;751.4;709.5;705.4;649.3;558.9;500.4;601.9;617.9;635.3;653.3;671.0;663.9;595.0;726.7;785.1;804.7;874.0;887.9;983.7;984.8;1155.0;1215.0;1261.0;1350.0;1351.0;1374.0;1418.0;1462.0;1501.0;1527.0
ago;income_per_person_with_projections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;359.9;;;;;;;;;;;;;;;;;;;;359.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;556.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3363.0;3441.0;3521.0;3599.0;3451.0;3672.0;3549.0;3828.0;3966.0;3918.0;4006.0;4464.0;4269.0;4414.0;4826.0;5102.0;5308.0;5523.0;5347.0;5408.0;5652.0;5526.0;5473.0;5722.0;5470.0;3431.0;3050.0;3009.0;3071.0;3065.0;3075.0;2953.0;2757.0;2585.0;2527.0;2493.0;2221.0;2430.0;2729.0;2731.0;2777.0;2731.0;2628.0;1870.0;1851.0;1989.0;2157.0;2277.0;2384.0;2417.0;2447.0;2480.0;2773.0;2785.0;3007.0;3533.0;4148.0;4950.0;5488.0;5476.0;5498.0;5547.0;5838.0;6018.0;6268.0;6512.0;6744.0;6729.0;6928.0
aia;income_per_person_with_projections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;775.7;;;;;;;;;;;;;;;;;;;;775.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1431.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5689.0;5475.0;6032.0;6214.0;6149.0;6318.0;6394.0;6391.0;6858.0;7507.0;7867.0;8152.0;8050.0;8016.0;8264.0;8976.0;9911.0;10600.0;11610.0;12220.0;12340.0;11710.0;12200.0;12770.0;13480.0;12890.0;12960.0;14100.0;15300.0;15610.0;15550.0;15680.0;15180.0;15300.0;18280.0;19480.0;22720.0;25040.0;24150.0;19310.0;18220.0;18600.0;;;;;;;
alb;income_per_person_with_projections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;601.2;;;;;;;;;;;;;;;;;;;;613.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;682.7;;;;;;;;;;;;;;;;;;;;914.8;;;;;;;;;;1048.0;;;;;;;;;;1194.0;;;1241.0;;;;;;;;;;;;;;;;1418.0;;;;;;;;;;;;;;;;;;;;;1532.0;1598.0;1601.0;1666.0;1715.0;1807.0;1825.0;1942.0;2030.0;2113.0;2220.0;2239.0;2313.0;2392.0;2474.0;2564.0;2660.0;2760.0;2860.0;2957.0;3066.0;3189.0;3313.0;3478.0;3491.0;3504.0;3518.0;3533.0;3549.0;3567.0;3592.0;3611.0;3631.0;3652.0;3673.0;3692.0;3716.0;3739.0;3763.0;3791.0;3825.0;2718.0;2497.0;2717.0;2919.0;3286.0;3570.0;3193.0;3585.0;3928.0;4195.0;4476.0;4604.0;4855.0;5115.0;5369.0;5652.0;5958.0;6366.0;6551.0;6746.0;6914.0;6969.0;7059.0;7200.0;7343.0;7489.0;7638.0;7790.0
and;income_per_person_with_projections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1260.0;;;;;;;;;;;;;;;;;;;;1303.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3856.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32390.0;32190.0;33080.0;33950.0;34250.0;33020.0;32840.0;32630.0;32010.0;30830.0;30180.0;28680.0;27520.0;26570.0;25820.0;25470.0;25620.0;26580.0;27520.0;28280.0;28510.0;28090.0;27040.0;25510.0;25090.0;25060.0;25840.0;28060.0;28980.0;30140.0;30270.0;33290.0;34490.0;35930.0;37430.0;39000.0;39920.0;39240.0;37050.0;34710.0;33050.0;31630.0;;;;;;;
ant;income_per_person_with_projections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;698.1;;;;;;;;;;;;;;;;;;;;698.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1288.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10120.0;10650.0;11050.0;11410.0;11940.0;12160.0;12810.0;17340.0;18340.0;19050.0;20510.0;20570.0;20010.0;19720.0;19180.0;18590.0;17390.0;17410.0;17490.0;18680.0;18830.0;19080.0;19630.0;20520.0;21690.0;22160.0;22680.0;23270.0;22900.0;22750.0;22280.0;22610.0;22600.0;22740.0;22760.0;22700.0;22840.0;23190.0;23360.0;22890.0;22580.0;22340.0;;;;;;;
are;income_per_person_with_projections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;845.8;;;;;;;;;;;;;;;;;;;;849.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1458.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5100.0;;;;;;;;;;;;13680.0;13240.0;12700.0;19450.0;47590.0;53500.0;52630.0;53340.0;45590.0;50730.0;58180.0;55160.0;47210.0;42150.0;41480.0;38210.0;29230.0;29330.0;27050.0;29060.0;32430.0;30830.0;30080.0;28310.0;29010.0;29340.0;29290.0;29990.0;28680.0;28250.0;30010.0;29450.0;28730.0;30650.0;32180.0;33490.0;35390.0;35530.0;35250.0;31560.0;31040.0;31700.0;31980.0;32020.0;32210.0;32390.0;32660.0;32920.0;33200.0
arg;income_per_person_with_projections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;871.6;;;;;;;;;;;;;;;;;;;;871.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1885.0;1867.0;2002.0;1840.0;1863.0;1770.0;1743.0;2141.0;2334.0;2426.0;2770.0;2695.0;2795.0;3157.0;3365.0;2983.0;2730.0;3176.0;3267.0;3665.0;3949.0;4246.0;3317.0;3499.0;4011.0;3420.0;3612.0;3437.0;3831.0;4131.0;4562.0;4580.0;4464.0;4694.0;4708.0;4832.0;4726.0;4923.0;4778.0;4092.0;3950.0;3768.0;3398.0;3962.0;4039.0;4263.0;4242.0;4452.0;4807.0;5036.0;4861.0;4962.0;5178.0;5357.0;5457.0;5081.0;4634.0;4394.0;4518.0;4790.0;4909.0;4873.0;5150.0;5085.0;5200.0;5202.0;5393.0;5368.0;5248.0;5758.0;5483.0;5845.0;6360.0;6560.0;6323.0;6253.0;6362.0;5911.0;6108.0;6243.0;6567.0;6630.0;6857.0;7158.0;6575.0;6985.0;7367.0;7133.0;6853.0;7453.0;8022.0;7956.0;8053.0;8284.0;8871.0;9212.0;9408.0;9443.0;9633.0;9990.0;9766.0;9612.0;10080.0;9603.0;10120.0;10130.0;9422.0;8998.0;9239.0;9302.0;8526.0;9027.0;9140.0;8846.0;8108.0;7847.0;8576.0;9308.0;9742.0;10210.0;9808.0;10250.0;10970.0;11270.0;10770.0;10570.0;9993.0;8798.0;9481.0;10230.0;11060.0;11870.0;12750.0;13460.0;13420.0;14490.0;15600.0;15710.0;15970.0;16340.0;16640.0;16950.0;17260.0;17580.0
arm;income_per_person_with_projections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;378.4;;;;;;;;;;;;;;;;;;;;378.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;481.3;461.7;538.6;517.0;479.6;476.6;435.6;475.7;537.9;610.2;563.4;619.2;607.4;622.2;658.8;643.2;657.7;713.1;662.4;730.9;645.5;615.6;590.2;643.1;666.2;709.2;653.8;704.8;738.8;703.9;722.8;700.0;583.3;486.0;405.0;384.5;365.0;395.9;429.3;465.6;505.0;547.6;593.9;644.1;698.6;728.5;733.4;720.5;745.9;812.5;926.9;987.8;1067.0;1062.0;1102.0;1054.0;;;;;;928.4;1029.0;1160.0;1264.0;1366.0;1346.0;1406.0;1439.0;1480.0;1575.0;1692.0;1693.0;1784.0;1729.0;1855.0;1927.0;1947.0;1874.0;2087.0;2179.0;2259.0;2334.0;2446.0;2457.0;2621.0;2665.0;2653.0;2849.0;2880.0;2836.0;2917.0;2934.0;2957.0;2893.0;2849.0;2828.0;2849.0;2890.0;2875.0;2851.0;2917.0;2905.0;2918.0;2922.0;2809.0;2437.0;1443.0;1376.0;1499.0;1632.0;1732.0;1791.0;1928.0;1993.0;2114.0;2328.0;2692.0;3079.0;3414.0;3903.0;4413.0;5012.0;5347.0;4545.0;4599.0;4767.0;5059.0;5224.0;5385.0;5561.0;5742.0;5930.0;6124.0
