geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
abw;industry_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;18.56;;;16.31;;;16.39;;;;;;;20.27;;;14.48;14.04;;;;;;
afg;industry_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.44;;;;16.6;;;;;
ago;industry_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;20.58;;;;;;;;;;;;9.1;;;;;;;7.96;;;;;;
aia;industry_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.47;;18.87;;;;;;;;;;;;;;;;
alb;industry_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;11.02;10.19;9.59;9.3;8.76;8.73;6.65;6.49;13.7;13.39;13.64;13.52;13.48;22.55;17.77;19.94;20.59;18.86;17.26;16.81;17.44;18.57;;
ant;industry_workers_percent_of_employment;;;;;;;;23.98;25.58;;23.48;23.09;;20.51;20.84;20.7;20.81;21.75;;21.45;21.92;22.91;22.2;21.93;21.26;21.46;20.74;19.78;18.54;;18.01;;17.52;16.66;15.92;15.3;15.84;16.17;17.6;16.01;;15.33;;15.86;;;;
are;industry_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;33.61;;;;;33.36;;;;;39.82;;;24.34;;;;;;;;28.84;15.84
arg;industry_workers_percent_of_employment;;;;;;;;;;;;;29.31;29.18;30.92;;;;;;31.62;32.65;32.13;29.54;28.46;26.99;24.89;25.41;24.8;23.6;22.68;21.94;20.16;21.65;22.64;23.21;23.63;24.2;23.88;23.07;23.9;24.92;23.9;24.08;24.55;;;22.38
arm;industry_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.97;;;;;18.97;19.54;17.08;;17.23;17.69;;16.73;15.91;15.78;
asm;industry_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;44.37;;;;;;;;;;41.67;;;;;;;;;;23.16;;;;;;;
atg;industry_workers_percent_of_employment;;;;19.38;21.23;21.14;19.0;;;;;;;;;;;;;;;;;;;;;;;;;15.64;15.64;15.64;15.64;15.64;15.64;15.64;15.64;;;;;;;;;
aus;industry_workers_percent_of_employment;36.36;36.76;35.21;35.52;35.16;33.53;33.2;32.43;31.23;31.22;30.96;30.52;29.74;28.41;27.98;26.96;26.25;25.84;25.65;25.85;25.06;23.83;23.58;23.61;23.47;22.86;22.46;22.15;21.8;21.37;21.62;20.74;20.91;20.88;21.24;21.13;21.44;21.36;21.62;21.14;20.98;20.83;20.7;20.45;21.04;20.14;20.07;19.43
