geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;injury_deaths_in_children_1_59_months_total_deaths;3733.0170200000002;4310.24506;4322.45931;4315.02334;5300.71712;4946.13508;4629.93146;5302.70777;7442.91402;4896.89456;4916.08366;5000.03859;4368.57183;5759.48117;6427.89523;6631.0889799999995;6877.887470000001;6910.5682799999995;5974.4286600000005;5669.04647;4104.46008;3420.64716;3374.36765;5028.57935;6160.8834;6958.9538299999995;7536.09985
ago;injury_deaths_in_children_1_59_months_total_deaths;4240.05716;3867.8231;4184.8361700000005;6187.71896;4496.1462200000005;3723.3474;3682.31978;3838.6630700000005;4278.45508;4816.08174;4675.05246;4911.4923100000005;4856.76961;4957.73811;5754.33205;5843.364729999999;5998.9514;6328.60949;6445.33301;6361.68236;6379.17242;5998.62052;5593.8319;5034.37818;4647.7654299999995;4385.13563;4039.71662
alb;injury_deaths_in_children_1_59_months_total_deaths;153.72858;198.79428000000001;184.1193;178.28805;167.36923000000002;152.90391;135.61266;308.95552999999995;102.43008;88.47702;74.42978000000001;65.68481;56.50938000000001;48.25173;40.66601;33.1501;29.942490000000003;29.653609999999997;29.0697;25.180120000000002;24.57499;23.945529999999998;23.64666;23.426560000000002;23.3744;23.15067;23.02889
and;injury_deaths_in_children_1_59_months_total_deaths;0.38589;0.40068000000000004;0.4169;0.38889;0.35641999999999996;0.34722;0.32804;0.30806999999999995;0.29512;0.28034000000000003;0.26469000000000004;0.25058;0.23187;0.24345;0.25269;0.26081;0.26006;0.2605;0.26109;0.26038;0.26054;0.2673;0.27271999999999996;0.26637;0.26134;0.25938;0.25378
are;injury_deaths_in_children_1_59_months_total_deaths;111.95366999999999;106.60647;102.93806;101.59299999999999;99.80825;98.44458;95.2453;91.49852;87.22324;87.0035;84.17454000000001;82.71249;79.18029;76.91111;75.63318000000001;69.57968000000001;64.68415999999999;75.1704;88.94148;100.71307;113.8904;120.34098999999999;124.81681;125.06191000000001;122.69197;117.884;108.91825
arg;injury_deaths_in_children_1_59_months_total_deaths;1715.96898;1702.8182399999998;1673.55923;1628.70276;1576.2087099999999;1508.55151;1449.46731;1411.84258;1357.3623599999999;1310.02261;1254.59336;1210.23415;1173.5624599999999;1134.22105;1096.5411;1058.77656;1021.5610300000001;995.3339199999999;974.7219699999999;960.99902;955.09871;940.11688;920.8207199999999;900.27313;863.01509;838.6143;810.47069
arm;injury_deaths_in_children_1_59_months_total_deaths;244.69747999999998;235.37187000000003;235.26791;212.30437;184.19343;152.29996;125.06238;103.69830999999999;88.43191;74.73579000000001;68.13462;63.29843;59.473209999999995;55.20462;52.13453;48.97679;46.86255;42.69226;41.47361;39.30911;38.08554;37.19545;35.988479999999996;34.430440000000004;34.50391;35.34629;31.219379999999997
asm;injury_deaths_in_children_1_59_months_total_deaths;2.0432900000000003;2.0681700000000003;2.05972;2.19145;2.17841;2.0261299999999998;2.02675;2.0185400000000002;2.03428;2.00835;2.06103;2.06697;2.06224;2.49083;2.00096;1.9401700000000002;1.98947;1.80165;1.7264;5.6589599999999995;1.56984;1.46907;1.4065;1.36563;1.31562;1.2275;1.16191
atg;injury_deaths_in_children_1_59_months_total_deaths;1.34207;1.3783100000000001;1.28524;1.32226;1.33122;1.34669;1.39005;1.43339;1.46994;1.5003600000000001;1.51035;1.59222;1.60504;1.5878;1.65629;1.64678;1.61659;1.62943;1.5729600000000001;1.55938;1.50502;1.46238;1.42107;1.38271;1.3189899999999999;1.30813;1.28187
aus;injury_deaths_in_children_1_59_months_total_deaths;261.10936;240.19734;231.33117000000001;217.20458;208.30818;201.49493;196.2103;189.38801;180.05295;179.57703999999998;173.43902;163.14717;158.67183;156.0324;152.86403;154.28078;149.39201;144.34291000000002;143.39281;152.04155;138.06223;131.30563;123.12008999999999;121.92575;116.28588;114.60875;112.23383999999999
