geo;indicator;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
abw;life_expectancy_years;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;34.42;22.32;34.42;34.42;34.42;35.25;36.07;36.9;37.73;38.56;39.38;40.21;41.04;41.87;42.69;43.52;44.35;45.18;46.01;46.83;47.66;48.49;49.32;50.14;50.97;51.8;52.63;53.45;54.28;55.11;55.94;56.76;57.59;58.42;58.96;60.01;60.98;61.87;62.69;63.42;64.09;64.68;65.2;65.66;66.07;66.44;66.79;67.11;67.44;67.76;68.1;68.44;68.78;69.14;69.5;69.85;70.19;70.52;70.83;71.14;71.44;71.74;72.02;72.29;72.54;72.75;72.93;73.07;73.18;73.26;73.33;73.38;73.43;73.47;73.51;73.54;73.57;73.6;73.62;73.65;73.67;73.7;73.73;73.78;73.85;73.94;74.05;74.18;74.32;74.47;74.62;74.77;74.92;75.06;75.19;75.32;75.46;75.59;75.72;75.86;76.0;76.14
afg;life_expectancy_years;28.21;28.2;28.19;28.18;28.17;28.16;28.15;28.14;28.13;28.12;28.11;28.1;28.09;28.08;28.07;28.06;28.05;28.04;28.03;28.02;28.01;28.0;27.99;27.98;27.97;27.95;27.94;27.93;27.92;27.91;27.9;27.89;27.88;27.87;27.86;27.85;27.84;27.83;27.82;27.81;27.8;27.79;27.78;27.77;27.76;27.75;27.74;27.73;27.72;27.71;27.7;27.69;27.68;27.67;27.66;27.65;27.64;27.63;27.62;27.61;27.6;27.59;27.58;27.57;27.56;27.54;27.53;27.52;27.51;27.5;27.49;27.55;27.61;27.66;27.72;27.78;27.84;27.9;27.96;28.01;28.07;28.13;28.19;28.24;28.3;28.36;28.42;28.48;28.53;28.59;28.65;28.71;28.76;28.82;28.88;28.93;28.99;29.05;29.11;29.16;29.22;29.28;29.33;29.39;29.45;29.5;29.55;29.61;29.66;29.72;29.77;29.83;29.89;29.94;30.0;30.06;30.11;30.17;7.89;30.28;30.34;30.39;30.45;30.5;30.56;30.61;30.67;30.73;30.78;30.84;30.89;30.95;31.0;31.06;31.11;31.17;31.22;31.28;31.33;31.39;31.44;31.5;31.55;31.61;31.66;31.72;31.76;31.81;31.87;31.92;31.98;32.36;33.05;33.73;34.43;35.13;35.82;36.53;37.23;37.94;38.65;39.36;40.07;40.78;41.51;42.22;42.94;43.66;44.37;45.08;45.78;45.89;45.89;45.98;46.09;46.26;46.46;46.6;45.02;43.57;43.26;44.06;43.75;42.02;39.77;41.61;42.58;44.7;46.97;50.78;51.61;51.29;51.42;51.35;50.71;51.07;51.4;51.13;50.12;51.54;51.63;51.69;52.43;53.03;53.5;53.87;54.15;54.57;55.21;55.69;56.2;56.71;57.23;57.71;57.83;57.9;58.02;58.36;58.69
ago;life_expectancy_years;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;26.98;27.07;27.15;27.24;27.32;27.41;27.49;27.58;27.66;27.75;27.83;27.92;28.0;28.09;28.17;28.26;28.34;28.43;28.52;28.6;28.69;28.77;28.86;28.94;29.03;29.11;29.2;29.28;29.37;29.45;29.54;29.62;29.71;29.79;29.88;29.97;30.05;30.14;30.22;30.31;30.39;30.48;30.56;30.65;30.73;30.82;30.9;30.99;12.01;31.16;31.24;31.33;31.42;31.5;31.59;31.67;31.76;31.84;31.93;32.01;32.1;32.18;32.27;32.35;32.44;32.52;32.61;32.69;32.78;32.87;32.95;33.31;33.67;34.03;34.39;34.75;35.12;35.49;35.85;36.23;36.6;36.94;37.53;38.12;38.73;39.33;39.94;40.55;41.16;41.77;42.39;43.01;43.63;44.26;44.88;45.52;46.16;46.8;47.44;48.09;48.74;48.97;49.16;49.39;49.6;49.54;49.52;49.59;49.7;49.79;49.93;49.98;50.03;50.06;50.16;50.26;50.23;50.0;49.78;50.16;50.21;50.79;50.96;49.7;51.13;51.96;52.31;52.69;52.83;52.92;53.36;53.64;54.48;55.07;55.71;56.45;56.95;57.84;58.58;59.28;60.08;60.9;61.71;62.49;63.29;64.0;64.65;64.93;65.19
ala;life_expectancy_years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78.9;81.0;78.25;80.0;80.83;81.8;80.63;79.88;80.0;80.1;;;;;;;;;;;;
alb;life_expectancy_years;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.4;35.41;35.41;35.41;35.41;35.42;35.42;35.42;35.42;35.43;35.43;35.43;35.43;35.43;35.44;35.44;35.44;35.44;35.45;35.45;35.45;35.45;35.46;35.46;35.46;35.46;35.47;35.47;35.47;35.47;35.47;35.48;35.48;35.48;35.48;35.49;35.49;35.49;35.49;35.5;35.5;35.5;35.5;35.5;35.51;35.51;19.49;35.51;35.52;35.52;35.52;35.52;35.53;35.53;35.53;35.53;35.53;35.54;36.43;37.34;38.24;39.14;40.04;40.94;41.84;42.75;43.64;43.19;42.19;41.69;40.19;37.18;34.17;47.23;50.25;51.77;52.67;53.58;54.47;54.69;55.18;55.77;56.49;57.33;58.28;59.32;60.42;61.56;62.66;63.69;64.59;65.33;65.88;66.27;66.54;66.74;66.93;67.13;67.39;68.01;68.63;69.24;69.81;70.35;70.85;71.32;71.73;72.0;72.25;72.4;72.5;72.61;72.8;72.98;73.16;73.18;73.39;73.65;73.9;73.88;73.92;73.94;73.99;74.14;74.31;72.47;74.33;74.39;74.43;74.48;74.52;74.59;74.72;74.91;75.16;75.4;75.58;75.88;76.31;76.69;76.97;77.2;77.39;77.56;77.71;77.86;78.01
and;life_expectancy_years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75.95;76.26;76.58;76.9;77.18;77.43;77.71;78.01;78.31;78.57;78.73;78.8;78.77;78.81;78.95;79.07;79.16;79.25;79.32;79.4;79.49;79.54;79.6;79.8;79.97;80.31;80.64;80.97;81.26;81.54;81.8;82.05;82.3;82.39;82.33;82.45;82.55;82.65;82.68;82.65;82.66;82.61;82.58;82.58;82.56;82.55;82.55;;
ant;life_expectancy_years;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;22.32;34.41;34.41;34.41;35.24;36.06;36.89;37.72;38.55;39.37;40.2;41.03;41.86;42.68;43.51;44.34;45.17;45.99;46.82;47.65;48.48;49.3;50.13;50.96;51.79;52.61;53.44;54.27;55.1;55.93;56.75;57.58;58.41;58.96;60.02;61.0;61.89;62.7;63.43;64.08;64.65;65.15;65.6;65.99;66.34;66.67;67.0;67.33;67.67;68.03;68.41;68.81;69.22;69.63;70.05;70.45;70.84;71.21;71.58;71.94;72.29;72.64;72.96;73.27;73.56;73.8;74.02;74.19;74.33;74.42;74.49;74.52;74.54;74.53;74.52;74.5;74.49;74.48;74.48;74.5;74.53;74.57;74.65;74.76;74.91;75.09;75.3;75.53;75.76;75.98;76.18;76.36;76.52;76.65;76.77;76.89;77.01;77.14;;;
are;life_expectancy_years;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.7;30.72;30.74;30.75;30.77;30.79;30.81;30.83;30.84;30.86;30.88;30.9;30.92;30.94;30.95;30.97;30.99;31.01;31.03;31.04;31.06;31.08;31.1;31.12;31.13;31.15;31.17;31.19;31.21;31.22;31.24;31.26;31.28;31.3;31.31;31.33;31.35;31.37;31.39;31.41;31.42;31.44;31.46;31.48;31.5;31.51;31.53;31.55;26.17;31.59;31.6;31.62;31.64;31.66;31.68;31.69;31.71;31.73;31.75;31.77;31.78;31.8;31.82;31.84;31.86;31.88;31.89;31.91;31.93;31.95;31.97;31.98;32.0;32.02;32.04;32.06;34.31;36.58;38.84;41.1;43.36;44.03;45.34;46.62;47.88;49.11;50.33;51.51;52.69;53.84;54.98;56.11;57.24;58.35;59.45;60.52;61.56;62.56;63.51;64.4;65.24;66.25;66.82;67.3;67.84;68.35;68.86;69.37;69.79;70.27;70.84;71.31;71.71;71.8;72.24;72.45;72.51;72.57;72.57;72.63;72.77;72.94;73.1;73.24;73.37;73.53;73.72;73.95;74.3;74.51;74.83;75.08;75.36;75.76;76.23;76.59;76.82;76.83;76.75;76.63;76.51;76.45;76.42;76.42;76.43;76.48;76.58;76.74;76.89
arg;life_expectancy_years;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.2;33.19;33.19;33.18;33.18;33.17;33.15;33.12;33.1;33.07;33.05;32.94;32.84;32.73;32.63;32.52;32.79;33.07;33.34;33.62;33.89;33.74;33.6;33.45;33.31;33.16;33.86;34.55;35.24;35.93;36.62;37.19;37.76;38.33;38.9;39.47;40.22;40.97;41.72;42.47;43.21;43.74;44.27;44.8;45.33;45.86;46.65;47.43;41.43;49.0;49.79;50.26;50.72;51.19;51.66;52.13;52.45;52.78;53.11;53.44;53.77;53.76;53.75;53.74;53.73;53.72;54.66;55.6;56.54;57.48;58.42;58.99;59.55;60.11;60.68;61.24;61.11;60.99;60.86;60.73;60.62;60.91;61.48;62.01;62.46;62.86;63.21;63.49;63.74;63.92;64.06;64.17;64.25;64.32;64.38;64.46;64.57;64.72;64.89;65.11;65.36;65.65;65.99;66.43;66.79;67.35;67.76;68.2;68.84;69.38;69.85;70.16;70.55;70.62;70.93;71.33;71.6;71.77;71.91;72.05;72.14;72.34;72.5;72.74;73.0;73.12;73.3;73.5;73.71;73.93;74.21;74.38;74.48;74.63;74.9;75.15;75.29;75.32;75.52;75.66;75.82;75.98;76.1;76.22;76.42;76.54;76.65;76.81;76.97
arm;life_expectancy_years;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;33.47;32.95;32.42;31.9;31.38;31.42;31.46;31.49;31.51;31.54;31.72;31.89;32.07;32.25;32.43;32.6;32.78;32.96;33.13;33.31;33.48;33.66;33.83;34.01;34.18;34.36;34.53;34.71;34.88;35.05;35.23;35.4;35.57;35.74;35.55;35.36;35.18;35.4;35.62;35.84;36.06;36.28;36.5;36.72;36.94;37.16;37.38;40.22;40.61;38.47;38.05;37.64;37.61;34.68;26.14;35.79;27.07;36.71;37.65;38.46;40.84;39.95;43.0;42.33;43.75;42.53;41.84;40.29;37.87;31.61;43.99;45.44;47.0;46.03;47.61;49.86;47.47;26.67;23.32;21.4;28.52;37.52;53.92;46.29;53.91;56.52;58.66;58.82;59.18;59.53;59.89;60.25;60.6;60.94;61.3;61.66;62.01;62.37;62.74;63.11;63.46;63.83;64.2;64.55;64.89;65.2;65.46;66.05;66.55;67.07;67.56;67.98;68.44;68.83;69.15;69.4;69.63;69.94;70.36;70.31;70.64;70.69;71.19;71.37;55.0;70.62;70.24;70.0;69.05;68.66;68.87;69.26;69.55;70.25;70.74;71.17;71.85;72.07;72.46;72.55;72.66;72.5;72.45;72.88;72.81;73.01;73.34;73.8;74.29;74.99;75.36;75.38;75.65;75.81;75.97
