geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;liver_cancer_deaths_per_100000_men;8.18;8.23;8.29;8.35;8.41;8.47;8.51;8.54;8.57;8.56;8.57;8.59;8.63;8.68;8.73;8.79;8.85;8.92;8.98;9.05;9.12;9.16;9.22;9.28;9.34;9.38;9.41
ago;liver_cancer_deaths_per_100000_men;17.44;17.38;17.37;17.46;17.58;17.58;17.32;17.26;17.76;17.46;17.26;17.33;17.52;17.91;18.19;18.44;18.81;19.08;19.49;19.79;20.02;20.25;20.43;20.64;20.85;21.0;21.07
alb;liver_cancer_deaths_per_100000_men;15.51;15.88;16.19;16.62;17.12;18.11;18.76;19.03;19.35;19.26;19.01;18.36;17.71;17.13;16.43;15.47;14.73;14.12;13.78;13.61;13.78;13.9;14.02;14.14;14.25;14.35;14.41
and;liver_cancer_deaths_per_100000_men;4.43;4.51;4.6;4.65;4.71;4.79;4.87;4.94;5.01;5.05;5.08;5.09;5.09;5.11;5.13;5.12;5.1;5.09;5.06;5.04;5.04;5.06;5.08;5.09;5.11;5.13;5.14
are;liver_cancer_deaths_per_100000_men;10.11;10.1;10.09;10.08;10.09;10.11;10.17;10.23;10.23;10.18;10.17;10.24;10.26;10.19;10.09;10.09;10.12;10.1;9.99;10.03;10.02;10.04;10.05;10.11;10.11;10.1;10.08
arg;liver_cancer_deaths_per_100000_men;6.7;6.67;6.68;6.72;6.78;6.89;6.92;7.02;6.87;6.82;6.8;6.69;6.61;6.56;6.51;6.45;6.43;6.43;6.41;6.36;6.33;6.29;6.33;6.32;6.29;6.33;6.34
arm;liver_cancer_deaths_per_100000_men;12.68;12.79;12.85;12.86;12.79;12.57;12.46;12.32;12.25;12.16;12.08;12.13;12.26;12.52;12.91;13.41;14.01;14.16;14.73;14.58;14.54;14.49;14.5;14.54;14.56;15.03;14.96
asm;liver_cancer_deaths_per_100000_men;11.02;11.05;11.02;10.97;10.94;10.93;10.92;10.9;10.81;11.11;11.98;12.35;12.82;13.01;13.53;13.94;14.1;14.17;14.39;14.45;14.36;14.54;14.32;14.27;14.22;14.16;14.09
atg;liver_cancer_deaths_per_100000_men;11.16;10.96;10.75;10.54;10.23;9.88;9.58;9.05;8.82;8.31;8.28;7.54;7.24;6.98;6.75;6.63;6.53;6.27;6.17;6.07;6.26;6.31;6.27;6.19;6.31;6.32;6.33
aus;liver_cancer_deaths_per_100000_men;3.32;3.43;3.61;3.75;3.86;3.97;4.13;4.3;4.39;4.56;4.73;4.86;4.98;5.1;5.24;5.39;5.65;5.82;6.02;6.25;6.4;6.54;6.59;6.63;6.66;6.55;6.52
aut;liver_cancer_deaths_per_100000_men;8.68;8.83;9.0;9.13;9.12;9.16;9.32;9.4;9.39;9.44;9.51;9.68;9.64;9.76;9.76;9.73;9.66;9.49;9.44;9.39;9.28;9.29;9.35;9.38;9.31;9.27;9.22
aze;liver_cancer_deaths_per_100000_men;11.03;11.08;11.24;11.22;11.27;11.03;10.93;10.85;10.84;10.85;10.87;10.95;10.9;11.1;11.11;10.99;10.84;10.6;10.88;11.01;11.12;11.07;11.06;11.06;11.05;11.04;11.02
bdi;liver_cancer_deaths_per_100000_men;11.11;11.11;11.09;11.04;10.94;10.82;10.66;10.48;10.33;10.04;9.93;9.71;9.66;9.63;9.72;9.79;9.91;9.99;10.05;10.06;10.18;10.3;10.37;10.38;10.39;10.35;10.3
bel;liver_cancer_deaths_per_100000_men;4.7;4.79;4.97;5.22;5.31;5.35;5.24;5.08;5.0;4.77;4.73;4.95;5.0;4.86;4.95;5.13;5.26;5.44;5.65;5.78;5.96;6.14;6.23;6.26;6.21;6.07;6.02
ben;liver_cancer_deaths_per_100000_men;32.78;33.49;34.01;34.58;35.37;36.07;36.8;37.07;37.19;36.01;35.08;34.19;33.43;32.77;32.19;31.69;31.34;30.99;30.8;30.68;30.53;30.59;30.49;30.37;30.27;30.16;30.1
bfa;liver_cancer_deaths_per_100000_men;37.45;37.93;38.53;39.3;39.86;40.34;40.91;41.48;41.92;40.43;39.39;37.76;36.42;35.66;34.94;34.26;33.61;33.0;32.38;31.72;31.69;31.42;31.8;32.06;32.03;31.91;31.68
bgd;liver_cancer_deaths_per_100000_men;4.08;4.06;4.09;4.15;4.21;4.3;4.35;4.38;4.45;4.52;4.6;4.65;4.64;4.62;4.58;4.56;4.54;4.5;4.44;4.39;4.34;4.27;4.23;4.15;4.05;4.0;4.01
bgr;liver_cancer_deaths_per_100000_men;10.08;9.78;9.45;9.36;9.3;9.25;9.01;8.91;8.87;8.92;8.79;8.9;8.85;8.97;9.23;9.4;9.61;9.57;9.52;9.45;9.26;9.19;9.07;9.04;9.24;9.38;9.47
bhr;liver_cancer_deaths_per_100000_men;6.95;7.27;7.54;7.74;7.89;8.01;8.12;8.2;8.18;8.02;7.89;7.83;7.68;7.41;7.13;6.87;6.7;6.56;6.4;6.24;6.09;5.98;5.94;5.93;5.93;5.97;6.0
bhs;liver_cancer_deaths_per_100000_men;13.25;12.88;12.55;12.41;12.1;12.07;11.81;11.27;10.98;10.16;9.84;9.1;8.77;8.52;8.02;7.82;7.56;7.28;7.02;6.89;6.95;6.87;7.09;7.12;7.12;7.13;7.16
bih;liver_cancer_deaths_per_100000_men;10.99;10.9;10.85;10.78;10.73;10.64;10.69;10.72;10.73;10.74;10.73;10.81;10.89;10.93;10.97;10.99;11.01;11.03;11.04;11.04;11.05;11.08;10.93;10.82;10.72;10.74;10.72
blr;liver_cancer_deaths_per_100000_men;4.81;4.85;4.87;4.93;4.94;4.95;4.93;4.91;4.89;4.87;4.84;4.86;4.93;4.91;4.87;4.89;4.91;4.93;5.08;5.14;5.21;5.25;5.23;5.21;5.18;5.26;5.27
