geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;liver_cancer_deaths_per_100000_women;6.61;6.68;6.76;6.86;6.97;7.06;7.14;7.2;7.25;7.29;7.33;7.41;7.45;7.49;7.52;7.55;7.56;7.57;7.58;7.56;7.55;7.52;7.49;7.47;7.46;7.44;7.43
ago;liver_cancer_deaths_per_100000_women;7.74;7.77;7.81;8.02;8.24;8.34;8.37;8.36;8.64;8.51;8.4;8.4;8.41;8.54;8.63;8.65;8.73;8.72;8.77;8.79;8.78;8.75;8.73;8.73;8.71;8.69;8.67
alb;liver_cancer_deaths_per_100000_women;7.74;7.74;7.71;7.85;8.02;8.35;8.53;8.83;8.97;9.08;8.9;8.54;8.17;7.67;6.99;6.15;5.63;5.21;4.96;4.79;4.8;4.8;4.8;4.81;4.82;4.83;4.84
and;liver_cancer_deaths_per_100000_women;1.84;1.85;1.85;1.89;1.93;1.89;1.88;1.88;1.87;1.87;1.87;1.84;1.82;1.79;1.81;1.78;1.77;1.75;1.75;1.77;1.77;1.78;1.79;1.8;1.81;1.82;1.82
are;liver_cancer_deaths_per_100000_women;4.48;4.5;4.53;4.55;4.58;4.61;4.64;4.64;4.64;4.63;4.61;4.6;4.58;4.53;4.46;4.43;4.41;4.4;4.43;4.46;4.48;4.5;4.5;4.51;4.5;4.49;4.47
arg;liver_cancer_deaths_per_100000_women;4.31;4.22;4.17;4.14;4.1;4.12;4.15;4.26;4.16;4.08;4.05;3.93;3.85;3.74;3.65;3.58;3.56;3.54;3.47;3.44;3.47;3.45;3.46;3.41;3.39;3.42;3.43
arm;liver_cancer_deaths_per_100000_women;8.28;8.21;8.5;8.42;8.12;8.23;8.35;8.22;8.23;8.06;7.79;7.83;7.77;8.0;8.19;8.6;9.04;9.01;9.42;9.37;9.11;8.81;8.71;8.41;8.07;8.06;8.01
asm;liver_cancer_deaths_per_100000_women;7.41;7.44;7.52;7.55;7.57;7.6;7.62;7.56;7.82;7.75;8.06;7.98;8.83;9.31;9.7;9.69;9.77;9.82;9.6;9.59;9.38;9.75;9.97;9.89;9.84;9.79;9.7
atg;liver_cancer_deaths_per_100000_women;6.05;5.97;5.94;5.78;5.78;5.72;5.52;5.08;5.05;4.9;4.91;4.56;4.62;4.5;4.44;4.38;4.33;4.14;4.09;4.04;4.14;4.17;4.18;4.17;4.42;4.37;4.39
aus;liver_cancer_deaths_per_100000_women;1.22;1.25;1.28;1.33;1.4;1.44;1.49;1.57;1.63;1.74;1.81;1.92;2.04;2.14;2.26;2.35;2.43;2.51;2.57;2.63;2.68;2.72;2.79;2.81;2.85;2.78;2.75
aut;liver_cancer_deaths_per_100000_women;2.9;2.91;2.96;2.99;3.04;3.06;3.12;3.14;3.11;3.14;3.14;3.19;3.24;3.29;3.3;3.31;3.31;3.27;3.22;3.22;3.19;3.19;3.25;3.23;3.22;3.18;3.16
aze;liver_cancer_deaths_per_100000_women;6.93;6.96;7.12;7.19;7.3;7.27;7.28;7.28;7.34;7.36;7.39;7.4;7.52;7.64;7.58;7.42;7.19;6.97;7.21;7.28;7.32;7.12;7.19;6.88;6.76;6.7;6.65
bdi;liver_cancer_deaths_per_100000_women;8.54;8.47;8.44;8.41;8.4;8.39;8.4;8.26;8.13;7.94;7.8;7.59;7.45;7.36;7.34;7.29;7.25;7.16;7.12;7.09;7.13;7.18;7.19;7.19;7.19;7.17;7.14
bel;liver_cancer_deaths_per_100000_women;2.85;2.84;2.83;2.85;2.86;2.89;2.83;2.76;2.77;2.58;2.46;2.57;2.53;2.41;2.33;2.34;2.36;2.4;2.49;2.58;2.64;2.76;2.81;2.84;2.79;2.73;2.68
ben;liver_cancer_deaths_per_100000_women;13.53;13.63;13.85;13.95;14.21;14.55;14.85;14.9;14.97;14.61;14.35;14.06;13.8;13.55;13.4;13.24;13.16;13.1;13.1;13.23;13.29;13.37;13.38;13.38;13.34;13.32;13.32
bfa;liver_cancer_deaths_per_100000_women;15.46;15.39;15.58;15.59;15.64;15.71;15.67;15.79;15.89;15.22;14.63;14.07;13.7;13.55;13.5;13.39;13.35;13.21;13.03;12.94;13.1;13.16;13.3;13.43;13.45;13.45;13.43
