geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;liver_cancer_new_cases_per_100000_men;6.51;6.52;6.55;6.58;6.6;6.65;6.62;6.62;6.61;6.6;6.61;6.59;6.58;6.58;6.58;6.6;6.64;6.65;6.69;6.73;6.78;6.78;6.8;6.82;6.84;6.86;6.9
ago;liver_cancer_new_cases_per_100000_men;17.22;17.16;17.11;17.06;17.01;16.97;16.85;16.74;16.63;16.52;16.42;16.38;16.35;16.32;16.29;16.27;16.41;16.54;16.68;16.83;16.99;17.01;17.05;17.08;17.12;17.16;17.21
alb;liver_cancer_new_cases_per_100000_men;14.56;14.99;15.46;15.93;16.43;16.95;17.11;17.28;17.45;17.63;17.82;17.08;16.37;15.7;15.05;14.44;14.14;13.83;13.54;13.25;12.98;13.07;13.18;13.29;13.4;13.51;13.62
and;liver_cancer_new_cases_per_100000_men;4.47;4.58;4.7;4.83;4.95;5.09;5.25;5.42;5.6;5.79;5.99;6.05;6.12;6.19;6.27;6.35;6.38;6.4;6.43;6.46;6.5;6.56;6.62;6.69;6.76;6.83;6.91
are;liver_cancer_new_cases_per_100000_men;9.51;9.45;9.39;9.34;9.29;9.25;9.23;9.22;9.21;9.2;9.2;9.16;9.13;9.1;9.07;9.05;9.05;9.05;9.05;9.05;9.06;9.04;9.03;9.01;9.0;8.98;8.98
arg;liver_cancer_new_cases_per_100000_men;6.34;6.37;6.4;6.43;6.47;6.51;6.47;6.44;6.42;6.39;6.38;6.29;6.21;6.14;6.06;5.99;5.98;5.96;5.95;5.94;5.93;5.93;5.94;5.95;5.96;5.98;6.0
arm;liver_cancer_new_cases_per_100000_men;12.51;12.45;12.41;12.36;12.32;12.28;12.18;12.08;11.99;11.9;11.81;11.98;12.16;12.35;12.54;12.73;12.92;13.11;13.31;13.52;13.73;13.82;13.92;14.03;14.13;14.23;14.34
asm;liver_cancer_new_cases_per_100000_men;9.59;9.62;9.65;9.68;9.71;9.75;9.97;10.21;10.45;10.69;10.95;11.31;11.69;12.08;12.49;12.92;13.01;13.11;13.21;13.31;13.41;13.39;13.37;13.36;13.34;13.33;13.32
atg;liver_cancer_new_cases_per_100000_men;10.47;10.23;10.0;9.78;9.56;9.35;8.99;8.65;8.32;8.01;7.71;7.38;7.06;6.76;6.47;6.2;6.13;6.05;5.98;5.91;5.84;5.86;5.88;5.9;5.93;5.95;5.97
aus;liver_cancer_new_cases_per_100000_men;3.37;3.52;3.68;3.84;4.01;4.2;4.43;4.67;4.94;5.21;5.51;5.72;5.94;6.17;6.41;6.67;6.99;7.32;7.68;8.05;8.46;8.65;8.86;9.07;9.28;9.51;9.74
aut;liver_cancer_new_cases_per_100000_men;9.16;9.39;9.63;9.88;10.14;10.41;10.63;10.87;11.11;11.35;11.61;11.67;11.74;11.82;11.9;11.98;11.9;11.82;11.74;11.67;11.6;11.8;12.02;12.23;12.46;12.69;12.93
aze;liver_cancer_new_cases_per_100000_men;10.93;10.92;10.91;10.91;10.91;10.92;10.86;10.8;10.75;10.7;10.65;10.63;10.61;10.59;10.57;10.55;10.59;10.63;10.67;10.71;10.75;10.78;10.81;10.84;10.87;10.9;10.93
bdi;liver_cancer_new_cases_per_100000_men;10.01;9.98;9.96;9.94;9.92;9.92;9.8;9.69;9.58;9.48;9.38;9.25;9.13;9.02;8.9;8.79;8.76;8.72;8.68;8.65;8.62;8.6;8.59;8.58;8.57;8.56;8.56
