geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;liver_cancer_number_of_female_deaths;119.21;127.66;138.73;152.61;167.4;181.25;190.94;198.96;205.85;212.85;221.65;231.37;241.2;253.11;265.09;276.05;286.18;295.1;304.72;313.81;323.44;332.06;342.63;356.25;369.54;383.0;398.37
ago;liver_cancer_number_of_female_deaths;155.94;159.91;164.82;174.29;184.76;192.16;195.54;198.92;213.3;214.45;217.29;223.62;230.55;242.53;254.11;263.91;274.2;282.39;292.91;303.19;313.29;321.35;330.61;341.27;352.09;363.82;375.15
alb;liver_cancer_number_of_female_deaths;79.46;81.38;82.79;85.74;89.21;94.78;97.59;101.73;104.18;106.6;105.81;104.01;102.17;99.23;93.4;84.72;80.05;76.4;75.09;75.06;78.33;80.15;82.5;85.33;88.25;91.16;93.79
and;liver_cancer_number_of_female_deaths;0.78;0.85;0.91;0.97;1.03;1.01;1.02;1.04;1.06;1.07;1.08;1.08;1.09;1.13;1.23;1.27;1.31;1.36;1.4;1.45;1.47;1.51;1.54;1.56;1.59;1.62;1.62
are;liver_cancer_number_of_female_deaths;6.03;6.3;6.61;6.93;7.28;7.64;8.08;8.46;8.83;9.18;9.47;9.82;10.19;10.52;11.07;12.01;12.78;13.86;15.42;16.92;18.28;19.93;21.42;22.88;24.4;26.08;27.79
arg;liver_cancer_number_of_female_deaths;712.13;711.35;717.55;729.26;739.78;763.19;783.73;822.12;823.0;826.42;839.38;829.77;828.43;821.84;818.78;822.41;832.05;842.31;842.55;850.75;874.91;884.13;903.08;906.98;913.75;942.06;964.06
arm;liver_cancer_number_of_female_deaths;119.16;120.13;125.8;125.3;122.12;126.28;130.5;131.33;134.95;135.38;134.19;136.79;137.05;143.18;147.54;155.59;162.69;161.13;167.29;167.08;164.48;163.38;167.52;170.47;171.58;178.29;182.17
asm;liver_cancer_number_of_female_deaths;0.74;0.76;0.79;0.82;0.84;0.87;0.89;0.91;0.97;0.99;1.06;1.08;1.22;1.33;1.43;1.47;1.52;1.57;1.58;1.63;1.64;1.76;1.85;1.89;1.94;1.99;2.04
atg;liver_cancer_number_of_female_deaths;1.68;1.68;1.71;1.7;1.75;1.78;1.74;1.63;1.63;1.59;1.61;1.53;1.57;1.55;1.54;1.53;1.54;1.51;1.52;1.53;1.61;1.66;1.7;1.74;1.9;1.93;1.99
aus;liver_cancer_number_of_female_deaths;121.89;128.26;135.11;143.66;154.93;162.32;173.01;186.82;198.69;217.56;232.43;253.39;275.42;296.12;319.58;341.7;361.32;383.52;404.15;423.68;443.84;461.94;484.26;499.27;518.1;516.93;523.68
aut;liver_cancer_number_of_female_deaths;196.83;197.92;201.87;203.8;208.75;212.22;217.77;221.14;220.78;224.74;227.72;233.08;240.29;246.98;251.08;255.84;260.24;261.46;260.72;264.22;264.2;269.41;278.22;278.89;281.5;282.97;286.24
aze;liver_cancer_number_of_female_deaths;168.19;168.39;171.45;174.87;179.93;182.27;186.21;189.96;195.49;200.37;205.94;211.43;218.9;227.73;231.05;232.04;230.45;228.54;241.76;249.77;256.52;259.32;272.27;271.83;278.59;287.86;294.54
bdi;liver_cancer_number_of_female_deaths;103.39;104.17;105.42;106.61;108.07;109.51;110.45;108.97;107.82;106.15;105.57;104.39;104.95;106.84;110.01;113.03;115.85;118.2;121.52;125.32;130.9;136.09;141.12;145.89;151.25;156.48;161.81
bel;liver_cancer_number_of_female_deaths;248.64;251.07;252.39;257.55;260.5;266.36;264.2;259.47;263.06;246.86;237.68;252.22;251.49;241.6;235.75;239.25;245.16;252.78;266.4;278.38;290.04;309.56;320.64;328.51;327.73;323.26;321.94
ben;liver_cancer_number_of_female_deaths;168.18;173.34;180.74;187.03;196.34;207.04;215.68;220.9;226.61;225.81;227.28;227.37;228.13;229.57;233.42;237.43;242.11;247.52;254.97;265.7;275.42;284.54;292.57;300.63;308.33;317.17;326.34
bfa;liver_cancer_number_of_female_deaths;330.92;334.57;344.55;350.55;358.41;367.2;371.87;381.06;390.22;381.16;373.96;366.28;363.88;366.59;373.11;379.72;387.01;391.67;395.87;403.75;420.3;431.71;448.29;464.52;478.2;491.98;505.32
bgd;liver_cancer_number_of_female_deaths;447.59;447.84;466.86;477.67;491.33;517.11;525.52;541.73;560.83;586.59;620.55;647.75;671.25;686.7;698.27;715.08;722.69;730.5;747.36;761.73;782.68;791.84;808.89;821.56;828.18;843.87;869.8
bgr;liver_cancer_number_of_female_deaths;333.0;321.44;315.36;305.21;304.89;306.99;299.25;305.32;296.18;300.26;298.48;295.65;298.44;299.05;301.2;311.59;317.78;315.53;306.09;301.11;296.22;287.76;279.87;280.24;290.27;298.4;305.27
bhr;liver_cancer_number_of_female_deaths;3.01;3.37;3.68;4.01;4.32;4.68;4.89;5.08;5.23;5.38;5.43;5.67;5.85;5.9;5.78;5.75;5.7;5.62;5.85;6.19;6.6;6.95;7.32;7.73;8.11;8.32;8.75
bhs;liver_cancer_number_of_female_deaths;4.45;4.49;4.58;4.69;4.9;5.06;4.86;4.78;5.03;4.95;5.1;5.03;5.38;5.48;5.54;5.79;5.86;5.86;6.06;6.21;6.57;7.02;7.51;7.85;8.2;8.53;8.98
bih;liver_cancer_number_of_female_deaths;81.53;81.84;82.01;81.28;80.96;81.01;81.19;82.24;84.78;89.44;97.19;107.97;121.75;137.48;152.21;165.18;176.41;185.46;192.6;198.23;204.03;210.01;209.19;210.49;213.69;214.56;214.32
blr;liver_cancer_number_of_female_deaths;118.34;122.41;126.78;133.12;136.04;138.92;139.76;141.72;143.81;146.18;145.83;149.65;156.49;151.1;153.09;155.17;156.58;157.83;163.99;172.81;173.02;174.16;167.63;164.38;163.41;168.86;173.62
blz;liver_cancer_number_of_female_deaths;4.52;4.71;4.94;5.13;5.26;5.51;5.38;5.4;5.81;5.83;6.03;5.84;5.99;5.96;6.04;6.12;6.35;6.47;6.74;6.94;7.18;7.51;7.95;8.28;8.8;8.99;9.32
bmu;liver_cancer_number_of_female_deaths;1.71;1.78;1.87;1.87;1.88;1.86;1.77;1.67;1.7;1.64;1.68;1.55;1.58;1.51;1.48;1.45;1.41;1.34;1.32;1.3;1.28;1.27;1.26;1.26;1.29;1.3;1.34
bol;liver_cancer_number_of_female_deaths;147.23;151.34;156.14;161.25;165.57;169.69;172.39;176.26;179.62;184.98;189.93;195.09;203.38;211.04;220.6;230.81;239.42;250.89;262.3;274.09;285.87;296.85;308.58;320.59;333.79;347.12;359.0
bra;liver_cancer_number_of_female_deaths;1967.04;2003.35;2071.53;2111.66;2168.52;2234.96;2280.97;2339.18;2383.01;2485.06;2566.48;2615.61;2699.72;2789.34;2886.84;2980.2;3070.05;3167.27;3281.7;3424.17;3577.01;3726.22;3881.85;4024.99;4196.76;4364.7;4557.6
brb;liver_cancer_number_of_female_deaths;9.19;9.3;9.55;9.51;9.7;9.9;9.51;9.14;8.7;8.3;8.23;7.59;7.77;7.77;7.88;7.84;7.81;7.7;7.65;7.68;7.78;8.04;8.25;8.51;8.84;9.2;9.52
brn;liver_cancer_number_of_female_deaths;3.07;3.19;3.3;3.39;3.46;3.55;3.59;3.59;3.6;3.66;3.73;3.91;4.11;4.34;4.63;4.9;5.15;5.41;5.68;5.99;6.27;6.66;7.14;7.67;8.29;8.71;9.15
btn;liver_cancer_number_of_female_deaths;2.52;2.54;2.55;2.54;2.54;2.55;2.6;2.73;2.86;3.0;3.17;3.29;3.4;3.53;3.68;3.86;3.97;4.1;4.24;4.38;4.56;4.7;4.87;5.05;5.22;5.4;5.55
