geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;liver_cancer_number_of_male_deaths;124.46;133.58;145.71;160.53;175.83;190.68;199.16;205.51;210.56;215.23;221.67;229.63;239.95;252.61;265.37;277.82;289.55;300.68;311.77;323.82;337.14;350.07;365.81;384.01;402.43;420.59;440.36
ago;liver_cancer_number_of_male_deaths;301.71;306.99;314.31;325.19;337.07;345.63;345.24;351.12;375.6;376.87;383.0;396.46;412.82;437.28;461.2;484.18;510.16;534.67;564.73;593.71;622.25;649.77;678.36;709.31;741.65;775.05;803.67
alb;liver_cancer_number_of_male_deaths;149.23;155.43;159.88;164.49;170.32;182.4;191.52;199.1;208.91;215.33;219.83;218.96;217.73;217.64;215.52;209.19;204.59;200.78;201.49;204.72;213.23;218.84;224.82;231.3;238.24;245.67;251.3
and;liver_cancer_number_of_male_deaths;1.25;1.37;1.49;1.6;1.67;1.7;1.76;1.83;1.9;1.95;1.99;2.03;2.07;2.2;2.39;2.51;2.61;2.73;2.81;2.89;2.95;3.01;3.08;3.13;3.19;3.25;3.28
are;liver_cancer_number_of_male_deaths;24.81;26.05;27.42;28.73;30.22;31.95;33.81;35.87;37.91;39.99;42.34;44.32;46.76;49.97;55.51;64.37;72.54;84.0;96.37;110.94;124.34;140.2;154.13;167.04;179.91;194.09;211.05
arg;liver_cancer_number_of_male_deaths;844.91;853.65;868.1;888.35;912.52;943.71;963.12;992.47;987.83;997.93;1011.39;1010.13;1012.86;1020.36;1031.11;1039.94;1052.82;1070.03;1084.38;1096.28;1111.43;1123.22;1150.62;1168.56;1184.79;1216.41;1243.13
arm;liver_cancer_number_of_male_deaths;128.83;132.61;135.03;136.17;136.87;137.06;137.72;138.7;141.25;144.14;146.98;150.05;153.97;161.15;169.55;178.92;189.04;192.98;202.28;201.83;202.12;204.28;205.56;206.97;208.57;218.1;218.2
asm;liver_cancer_number_of_male_deaths;1.2;1.23;1.25;1.27;1.29;1.32;1.35;1.38;1.4;1.47;1.62;1.7;1.81;1.88;2.01;2.12;2.19;2.26;2.34;2.41;2.45;2.54;2.57;2.63;2.68;2.74;2.8
atg;liver_cancer_number_of_male_deaths;2.27;2.25;2.25;2.26;2.24;2.22;2.21;2.12;2.09;1.98;2.0;1.89;1.88;1.87;1.85;1.86;1.86;1.81;1.8;1.8;1.88;1.94;1.98;2.01;2.1;2.16;2.24
aus;liver_cancer_number_of_male_deaths;269.51;285.95;307.76;326.79;343.59;361.67;386.07;411.8;431.93;459.39;489.88;518.25;545.44;573.79;603.82;638.83;688.79;731.24;778.83;832.06;878.69;924.07;957.89;990.55;1022.39;1031.78;1052.14
aut;liver_cancer_number_of_male_deaths;349.73;359.74;370.56;380.19;385.17;393.3;406.43;416.38;422.77;433.24;445.4;463.25;471.32;485.9;497.01;507.14;514.74;517.56;526.04;535.97;541.6;555.23;572.33;587.07;596.91;609.48;621.75
aze;liver_cancer_number_of_male_deaths;187.39;192.13;199.01;203.81;210.52;211.47;215.3;219.28;224.81;231.46;239.14;247.84;254.28;267.42;275.38;279.27;281.79;280.97;295.03;305.02;315.32;326.58;339.41;353.68;369.1;386.49;396.6
bdi;liver_cancer_number_of_male_deaths;107.81;109.44;110.69;111.39;111.47;111.3;111.31;111.04;111.57;110.6;112.25;112.78;115.99;120.38;126.81;133.61;140.86;147.82;155.02;161.92;171.59;179.61;187.33;193.8;200.89;207.32;213.76
bel;liver_cancer_number_of_male_deaths;267.36;275.72;290.4;308.24;317.86;325.27;323.78;318.3;318.13;307.34;309.87;329.55;338.12;333.96;345.75;363.51;379.27;400.36;423.78;442.46;465.26;488.76;504.69;516.46;522.1;519.46;524.44
ben;liver_cancer_number_of_male_deaths;327.5;345.23;362.95;383.08;407.33;431.11;451.13;466.01;478.57;474.12;474.97;475.8;479.82;485.95;494.49;504.56;515.19;526.85;542.48;560.93;579.49;600.01;618.5;637.2;657.36;678.0;700.75
bfa;liver_cancer_number_of_male_deaths;631.6;649.4;670.12;695.26;717.77;740.24;762.14;785.97;807.19;794.39;791.37;776.25;767.38;769.34;773.36;779.55;787.02;797.05;808.36;819.31;847.95;858.64;909.29;947.95;980.32;1011.12;1041.15
bgd;liver_cancer_number_of_male_deaths;910.53;932.06;965.0;1006.66;1054.34;1113.37;1163.25;1212.43;1276.92;1345.98;1421.57;1482.86;1527.32;1568.57;1602.82;1643.33;1680.7;1709.27;1731.07;1754.01;1780.61;1800.19;1834.6;1849.49;1860.2;1890.55;1957.25
bgr;liver_cancer_number_of_male_deaths;528.54;512.62;495.11;489.85;489.98;488.3;477.15;473.05;469.71;472.51;465.73;471.12;469.4;476.14;490.14;500.04;510.95;510.21;507.97;505.38;496.95;496.93;494.42;495.82;510.54;522.24;530.98
bhr;liver_cancer_number_of_male_deaths;5.29;5.7;6.13;6.54;6.94;7.33;7.64;7.98;8.26;8.4;8.61;8.79;8.9;8.96;9.13;9.45;9.95;10.65;11.42;12.21;12.97;13.55;14.06;14.5;14.96;15.53;16.49
