geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;liver_cancer_number_of_new_male_cases;103.46;110.43;120.14;131.9;143.96;156.13;161.38;165.51;168.72;172.41;177.95;183.12;190.44;198.77;207.26;216.48;225.36;232.72;240.92;250.0;261.37;270.25;281.58;293.88;306.84;320.08;336.06
ago;liver_cancer_number_of_new_male_cases;320.55;326.48;333.88;342.17;350.85;360.06;365.7;371.74;378.4;385.96;394.97;405.23;417.3;430.91;445.45;461.08;480.08;499.97;521.73;545.13;570.73;590.36;611.92;634.75;659.08;684.9;711.77
alb;liver_cancer_number_of_new_male_cases;144.29;150.86;156.45;161.55;167.44;175.19;179.33;185.55;193.45;202.29;211.61;209.38;207.02;204.75;202.13;199.35;199.9;200.04;200.94;201.91;203.09;207.88;213.24;219.06;225.51;232.63;238.8
and;liver_cancer_number_of_new_male_cases;1.26;1.4;1.53;1.66;1.76;1.81;1.89;2.0;2.12;2.23;2.33;2.39;2.48;2.64;2.88;3.07;3.22;3.37;3.5;3.62;3.71;3.81;3.91;4.0;4.1;4.2;4.27
are;liver_cancer_number_of_new_male_cases;24.85;25.91;27.1;28.25;29.54;30.97;32.48;34.2;36.02;37.97;40.18;41.78;43.86;47.22;52.69;60.97;68.58;79.44;92.61;106.17;119.05;133.83;146.83;158.59;170.45;183.75;200.01
arg;liver_cancer_number_of_new_male_cases;815.28;830.15;846.91;865.21;884.73;905.67;914.25;924.04;935.57;948.02;961.72;962.94;964.5;967.63;971.82;977.53;989.04;1001.74;1016.2;1032.6;1051.37;1069.81;1090.04;1110.45;1133.23;1158.59;1186.24
arm;liver_cancer_number_of_new_male_cases;132.03;133.99;134.99;135.26;136.06;138.06;138.46;139.68;141.64;143.85;146.13;150.47;154.99;160.85;166.34;171.5;175.88;180.34;184.77;188.94;192.53;196.34;199.37;201.79;204.71;208.89;211.4
asm;liver_cancer_number_of_new_male_cases;1.12;1.15;1.18;1.21;1.24;1.27;1.33;1.39;1.46;1.52;1.6;1.69;1.79;1.89;2.0;2.12;2.19;2.26;2.33;2.4;2.48;2.54;2.6;2.67;2.73;2.8;2.87
atg;liver_cancer_number_of_new_male_cases;2.15;2.13;2.12;2.12;2.12;2.13;2.09;2.05;1.99;1.94;1.9;1.88;1.86;1.84;1.8;1.77;1.77;1.78;1.78;1.79;1.81;1.85;1.91;1.97;2.03;2.1;2.17
aus;liver_cancer_number_of_new_male_cases;277.01;295.93;316.4;337.61;360.37;385.39;416.5;450.86;488.63;529.59;574.81;613.09;653.35;696.0;741.57;791.4;851.33;917.27;989.3;1067.26;1152.89;1213.45;1275.81;1340.66;1408.08;1478.19;1552.03
