geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;lung_cancer_deaths_per_100000_men;31.09;31.15;31.25;31.44;31.69;31.8;31.9;31.96;32.01;32.07;32.15;32.49;32.71;32.94;33.17;33.39;33.4;33.35;33.33;33.19;33.07;33.1;33.15;33.22;33.37;33.53;33.71
ago;lung_cancer_deaths_per_100000_men;15.18;14.87;14.64;14.53;14.47;14.37;13.91;13.56;13.67;13.36;13.11;12.98;12.87;12.97;12.91;12.8;12.94;13.01;13.21;13.32;13.39;13.6;13.81;14.03;14.26;14.49;14.72
alb;lung_cancer_deaths_per_100000_men;48.02;47.9;47.46;47.39;47.6;48.45;49.06;50.26;51.2;51.75;52.47;52.08;52.01;51.57;50.84;49.91;49.26;48.6;48.38;47.99;46.87;46.41;46.09;46.02;46.08;46.16;46.29
and;lung_cancer_deaths_per_100000_men;48.65;48.31;48.13;46.75;45.45;44.52;43.74;42.84;42.09;41.3;40.7;40.13;39.52;39.69;40.04;40.0;39.4;38.96;38.34;37.89;37.54;37.74;37.99;38.04;38.25;38.43;38.59
are;lung_cancer_deaths_per_100000_men;16.62;16.88;17.11;17.31;17.53;17.74;17.92;18.15;18.11;18.31;18.48;18.71;18.78;18.53;18.03;18.04;18.42;20.33;21.01;22.91;26.3;25.04;23.66;22.7;21.87;21.18;20.48
arg;lung_cancer_deaths_per_100000_men;53.36;53.09;52.57;51.81;51.57;51.72;51.57;50.88;50.19;49.29;48.19;47.23;46.88;46.52;45.54;44.42;43.96;43.88;43.22;42.32;41.15;40.49;39.97;39.39;38.69;38.6;38.47
arm;lung_cancer_deaths_per_100000_men;58.26;60.85;63.92;65.97;66.5;62.97;62.2;60.69;60.67;62.49;61.77;62.68;62.49;63.24;65.14;68.61;71.96;70.51;72.41;72.18;70.12;68.58;66.32;63.5;63.43;63.88;62.45
asm;lung_cancer_deaths_per_100000_men;45.09;45.21;44.82;44.32;44.08;44.02;43.69;43.26;43.47;43.21;40.1;38.72;39.41;40.68;42.1;42.05;41.16;40.36;39.25;39.45;39.58;40.12;40.21;40.91;41.61;42.34;42.85
atg;lung_cancer_deaths_per_100000_men;17.38;17.05;17.12;16.79;16.5;16.33;16.04;15.42;15.2;15.45;16.15;15.37;14.63;14.43;14.18;13.97;14.05;13.55;13.61;13.63;13.57;13.43;13.19;12.68;12.98;12.7;12.54
aus;lung_cancer_deaths_per_100000_men;57.16;55.71;54.9;53.79;53.32;51.89;51.05;49.49;47.92;46.37;44.98;43.82;42.9;41.68;40.9;39.65;38.99;38.2;37.62;36.52;35.86;35.11;34.22;33.42;32.95;33.01;33.2
aut;lung_cancer_deaths_per_100000_men;61.99;61.03;60.26;59.62;58.04;57.06;56.02;54.62;53.39;52.04;50.28;48.77;48.36;47.7;46.53;45.83;45.02;44.29;43.79;43.4;42.45;41.66;40.87;40.0;38.64;37.6;36.78
aze;lung_cancer_deaths_per_100000_men;43.64;42.68;43.76;41.98;41.22;37.5;35.42;34.1;33.18;33.04;32.34;31.77;31.77;32.47;32.13;31.9;32.53;33.16;34.69;35.29;36.17;34.66;33.91;33.53;33.35;33.38;33.45
