geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;lung_cancer_number_of_female_deaths;219.93;232.62;249.62;269.55;289.12;307.78;317.13;323.97;330.01;338.22;349.63;360.6;375.34;392.84;410.86;428.56;448.35;467.99;488.73;510.53;535.26;558.65;586.35;616.71;647.51;678.62;711.74
ago;lung_cancer_number_of_female_deaths;124.63;127.96;132.11;138.49;145.58;150.88;152.3;155.37;166.23;170.58;175.89;181.38;187.47;196.34;204.73;212.62;223.32;232.91;244.3;254.96;265.54;279.08;293.65;309.85;326.87;345.24;363.62
alb;lung_cancer_number_of_female_deaths;95.17;99.1;102.35;106.43;111.65;117.58;125.23;132.66;140.1;147.81;155.69;159.19;164.35;168.32;170.26;170.18;170.14;169.13;170.42;172.16;174.04;175.98;178.83;182.5;186.4;190.24;193.48
and;lung_cancer_number_of_female_deaths;4.34;4.7;5.01;5.35;5.59;5.53;5.53;5.59;5.67;5.72;5.75;5.78;5.85;6.08;6.59;6.86;7.17;7.51;7.84;8.19;8.41;8.58;8.74;8.88;9.02;9.16;9.2
are;lung_cancer_number_of_female_deaths;7.21;7.72;8.3;8.91;9.6;10.37;11.08;11.79;12.47;13.15;13.8;14.35;14.94;15.54;16.55;18.17;20.21;23.2;26.89;30.96;35.86;39.11;42.13;45.26;48.75;53.0;57.71
arg;lung_cancer_number_of_female_deaths;1615.59;1671.05;1724.48;1782.15;1843.48;1909.64;1970.27;2027.21;2107.74;2172.87;2224.03;2292.74;2375.09;2467.73;2562.17;2653.36;2755.23;2876.67;2976.8;3101.14;3231.16;3326.56;3412.52;3509.4;3592.17;3655.09;3729.2
arm;lung_cancer_number_of_female_deaths;136.22;134.22;142.03;138.02;131.66;130.06;131.15;133.51;140.13;140.71;145.88;152.36;151.92;158.51;167.45;181.26;195.25;197.36;210.58;213.37;213.41;212.24;208.84;203.23;201.79;210.41;210.98
asm;lung_cancer_number_of_female_deaths;1.19;1.24;1.29;1.35;1.4;1.46;1.52;1.58;1.68;1.76;1.87;1.89;1.94;2.01;2.1;2.18;2.29;2.36;2.41;2.49;2.57;2.7;2.81;2.91;3.02;3.13;3.24
atg;lung_cancer_number_of_female_deaths;1.5;1.56;1.6;1.58;1.61;1.71;1.73;1.79;1.77;1.77;1.8;1.81;1.82;1.84;1.8;1.83;1.89;1.92;1.96;2.0;2.07;2.14;2.23;2.31;2.39;2.48;2.57
aus;lung_cancer_number_of_female_deaths;1611.0;1673.11;1735.15;1804.95;1880.15;1951.78;2006.93;2062.96;2101.94;2160.98;2241.87;2316.5;2401.23;2459.47;2541.76;2631.73;2710.83;2812.42;2886.83;2958.48;3051.29;3125.14;3202.2;3243.37;3326.55;3391.68;3465.12
aut;lung_cancer_number_of_female_deaths;801.5;814.97;826.19;840.08;854.87;868.46;893.36;913.49;925.75;947.86;970.28;985.21;1016.56;1045.72;1078.28;1105.92;1137.33;1175.71;1212.86;1247.78;1276.85;1310.87;1347.48;1366.91;1394.32;1404.06;1425.7
aze;lung_cancer_number_of_female_deaths;183.85;181.28;178.12;175.58;174.13;169.86;169.12;168.76;169.95;174.42;178.22;182.65;189.57;197.26;202.76;207.52;215.76;225.03;235.97;246.19;255.97;262.58;272.77;277.93;286.01;294.86;299.99
bdi;lung_cancer_number_of_female_deaths;43.44;44.08;44.84;45.47;46.21;46.87;46.95;46.53;46.28;45.5;45.08;44.86;45.26;46.17;47.6;49.03;50.67;52.19;53.94;55.79;58.29;61.23;64.14;66.92;70.07;73.15;76.39
bel;lung_cancer_number_of_female_deaths;1001.25;1031.55;1056.11;1073.46;1091.75;1110.13;1121.86;1129.43;1174.3;1194.94;1255.36;1297.99;1343.67;1372.45;1423.41;1481.02;1544.3;1625.72;1700.19;1788.34;1880.69;1923.25;1943.53;1961.65;1946.31;1932.32;1924.19
