geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;lung_cancer_number_of_male_deaths;577.34;620.5;678.19;748.41;821.88;887.97;926.92;955.1;978.69;1006.69;1043.06;1089.88;1140.87;1198.16;1256.72;1312.4;1355.84;1392.33;1428.74;1463.89;1506.63;1556.62;1616.8;1685.82;1762.16;1841.66;1927.68
ago;lung_cancer_number_of_male_deaths;268.45;267.91;269.52;274.42;280.63;285.28;280.19;277.48;288.01;286.33;287.45;292.13;297.1;309.14;318.07;325.84;338.93;350.78;367.02;382.16;396.98;415.61;435.91;458.05;481.62;507.16;532.34
alb;lung_cancer_number_of_male_deaths;471.11;477.98;477.23;477.51;481.92;497.11;509.66;533.28;558.99;582.64;610.25;624.54;643.54;659.19;671.35;680.92;690.9;698.72;715.86;730.86;735.67;741.07;749.53;763.18;780.94;800.98;817.73
and;lung_cancer_number_of_male_deaths;13.71;14.72;15.65;16.06;16.1;15.85;15.8;15.85;15.95;15.93;15.92;15.98;16.14;17.14;18.68;19.69;20.27;20.99;21.45;21.88;22.18;22.73;23.29;23.72;24.25;24.75;24.98
are;lung_cancer_number_of_male_deaths;35.72;37.77;39.77;41.74;44.15;47.17;50.12;53.7;56.74;60.35;63.72;66.41;69.53;73.21;79.61;91.27;103.0;124.76;144.25;168.99;195.8;218.03;234.01;246.76;260.27;276.48;296.3
arg;lung_cancer_number_of_male_deaths;7022.19;7073.89;7105.07;7105.76;7179.83;7311.9;7388.46;7391.03;7402.48;7382.31;7334.3;7293.9;7344.02;7399.09;7360.49;7303.18;7322.22;7414.2;7416.08;7387.11;7315.2;7317.59;7345.52;7358.46;7357.82;7487.27;7614.48
arm;lung_cancer_number_of_male_deaths;715.98;764.83;815.04;847.54;858.66;823.06;813.35;797.97;797.02;821.84;818.0;833.56;836.61;853.32;885.72;940.71;991.31;976.06;1007.02;1006.16;978.69;970.15;947.4;914.56;926.4;953.44;939.86
asm;lung_cancer_number_of_male_deaths;4.36;4.44;4.47;4.48;4.52;4.58;4.61;4.63;4.72;4.76;4.5;4.43;4.59;4.85;5.12;5.21;5.17;5.13;5.04;5.13;5.21;5.36;5.44;5.61;5.77;5.94;6.08
atg;lung_cancer_number_of_male_deaths;3.51;3.47;3.53;3.53;3.54;3.6;3.62;3.55;3.55;3.64;3.85;3.8;3.75;3.81;3.84;3.88;3.96;3.9;3.97;4.04;4.1;4.15;4.18;4.16;4.38;4.41;4.5
aus;lung_cancer_number_of_male_deaths;4578.64;4579.09;4625.87;4632.97;4691.92;4674.11;4717.62;4693.63;4673.09;4645.4;4634.16;4653.93;4682.21;4671.02;4707.15;4690.66;4749.98;4800.97;4875.58;4879.7;4946.38;5003.19;5023.62;5052.31;5123.14;5275.46;5448.47
