geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;lung_cancer_number_of_new_female_cases;194.03;203.54;217.25;233.15;248.45;264.08;270.23;275.31;279.54;285.03;293.99;300.17;310.7;323.11;336.15;350.62;365.74;379.67;395.5;413.06;433.87;450.98;472.21;494.96;518.6;542.74;569.46
ago;lung_cancer_number_of_new_female_cases;127.06;129.95;133.31;136.92;140.82;145.06;147.86;150.54;153.82;158.2;162.93;165.69;169.07;173.1;177.69;183.0;189.96;197.46;205.64;213.85;222.9;233.5;244.95;257.0;269.79;283.32;296.68
alb;lung_cancer_number_of_new_female_cases;91.01;94.77;97.98;102.04;107.33;113.09;120.65;127.52;134.22;140.88;148.11;151.02;155.4;158.71;160.25;160.23;160.19;159.12;160.43;162.34;164.39;166.2;169.1;172.66;176.53;180.4;183.65
and;lung_cancer_number_of_new_female_cases;4.51;4.9;5.26;5.6;5.82;5.88;5.97;6.16;6.39;6.62;6.78;6.93;7.13;7.55;8.18;8.65;9.12;9.62;10.07;10.47;10.79;11.01;11.22;11.44;11.66;11.88;12.05
are;lung_cancer_number_of_new_female_cases;7.65;8.12;8.65;9.22;9.86;10.58;11.22;11.89;12.54;13.19;13.82;14.35;14.94;15.74;16.95;18.68;20.81;24.08;27.63;31.71;36.71;40.03;43.16;46.4;50.08;54.6;59.68
arg;lung_cancer_number_of_new_female_cases;1601.38;1654.39;1704.97;1760.58;1820.01;1876.75;1929.86;1969.1;2038.1;2095.47;2146.72;2208.39;2282.25;2362.37;2450.85;2536.26;2632.19;2740.54;2843.46;2959.38;3085.59;3181.78;3268.04;3365.75;3457.52;3533.03;3612.06
arm;lung_cancer_number_of_new_female_cases;141.47;139.75;146.53;142.59;136.84;134.73;135.13;137.26;143.39;143.91;149.22;155.06;154.63;160.4;167.82;179.36;190.87;192.89;204.34;206.72;206.24;205.39;202.26;198.28;197.96;206.22;208.37
asm;lung_cancer_number_of_new_female_cases;1.03;1.07;1.12;1.17;1.23;1.28;1.34;1.39;1.5;1.57;1.68;1.71;1.75;1.82;1.92;2.0;2.1;2.18;2.23;2.31;2.4;2.51;2.61;2.71;2.82;2.94;3.06
atg;lung_cancer_number_of_new_female_cases;1.42;1.48;1.52;1.5;1.53;1.62;1.61;1.68;1.66;1.66;1.69;1.7;1.71;1.72;1.7;1.73;1.8;1.83;1.87;1.91;1.99;2.06;2.14;2.22;2.29;2.38;2.47
aus;lung_cancer_number_of_new_female_cases;1865.02;1951.34;2032.76;2133.18;2242.62;2355.81;2447.51;2541.99;2619.35;2727.02;2872.54;2999.33;3136.61;3251.9;3398.77;3547.62;3638.52;3763.48;3941.8;4168.24;4380.48;4528.34;4699.07;4858.18;5027.97;5158.26;5283.07
aut;lung_cancer_number_of_new_female_cases;883.02;907.18;931.45;960.71;990.33;1017.59;1058.64;1095.91;1125.23;1162.98;1204.37;1230.66;1275.2;1315.67;1367.69;1412.94;1465.36;1529.42;1591.84;1649.81;1705.15;1780.26;1851.99;1904.37;1969.62;2004.2;2055.71
aze;lung_cancer_number_of_new_female_cases;194.33;192.54;188.89;186.27;184.54;180.88;179.74;179.17;179.7;183.49;186.58;190.2;196.55;201.86;206.41;209.93;218.1;227.09;238.82;249.61;260.86;270.17;280.85;290.25;300.6;311.3;317.81
bdi;lung_cancer_number_of_new_female_cases;40.38;41.14;41.93;42.67;43.42;44.11;43.95;43.7;43.54;43.23;43.03;43.06;43.39;44.04;44.92;45.96;47.05;48.25;49.61;51.16;52.9;55.07;57.47;60.0;62.78;65.75;68.92
bel;lung_cancer_number_of_new_female_cases;1019.82;1054.35;1088.88;1118.36;1149.06;1172.25;1187.44;1201.81;1266.44;1301.32;1382.28;1461.43;1538.48;1582.0;1661.36;1742.78;1828.98;1936.19;2040.25;2167.48;2316.23;2399.32;2460.42;2514.65;2521.47;2511.96;2515.44
ben;lung_cancer_number_of_new_female_cases;43.09;43.94;44.96;46.08;47.3;48.69;49.79;51.02;52.45;54.63;57.11;59.07;61.1;63.26;65.63;68.14;71.09;74.25;77.74;81.5;85.48;88.62;91.96;95.42;99.19;103.29;107.43
bfa;lung_cancer_number_of_new_female_cases;57.03;58.15;59.39;60.7;62.02;63.5;64.58;65.89;67.46;69.22;71.14;72.01;73.15;74.45;75.95;77.69;79.93;82.25;84.89;87.8;91.08;93.34;96.13;98.66;101.43;104.38;107.67
bgd;lung_cancer_number_of_new_female_cases;2241.33;2313.49;2405.33;2498.16;2599.85;2716.36;2840.99;2981.82;3140.53;3141.09;3292.72;2887.01;2701.72;2617.12;2657.48;2746.54;2826.49;3068.26;3109.49;3261.5;3500.6;3718.25;4105.4;4761.6;5700.53;6148.41;6560.53
bgr;lung_cancer_number_of_new_female_cases;487.56;500.13;501.35;504.7;514.03;531.15;536.9;540.49;542.66;553.26;554.99;558.67;568.8;579.73;603.4;633.0;646.02;664.66;675.7;686.53;701.99;708.21;711.21;710.74;708.04;711.18;714.63
bhr;lung_cancer_number_of_new_female_cases;12.77;12.77;12.81;13.02;13.32;13.72;13.92;14.19;14.43;14.58;14.86;14.79;14.98;15.22;15.63;16.28;16.99;17.96;19.24;20.46;21.61;22.31;22.69;23.17;23.47;23.99;24.99
bhs;lung_cancer_number_of_new_female_cases;6.18;6.31;6.45;6.58;6.74;7.28;7.23;7.98;8.27;8.31;8.73;9.09;9.46;9.9;10.02;10.76;11.23;11.7;12.3;12.97;13.95;14.68;15.54;16.39;16.77;17.25;17.94
bih;lung_cancer_number_of_new_female_cases;262.18;265.51;262.87;258.59;255.9;256.65;261.97;270.87;281.92;293.29;304.26;312.39;321.83;333.17;344.18;355.05;369.56;383.53;397.93;412.52;427.93;431.81;440.4;449.06;458.2;461.21;464.73
blr;lung_cancer_number_of_new_female_cases;520.72;543.77;558.4;572.36;563.36;564.76;543.88;534.64;512.41;486.11;469.02;462.84;450.0;436.97;437.15;434.65;430.43;426.56;430.39;435.92;443.7;448.66;438.58;435.17;435.27;452.91;469.83
blz;lung_cancer_number_of_new_female_cases;2.49;2.64;2.81;2.94;3.12;3.34;3.38;3.8;4.03;4.17;4.41;4.5;4.54;4.67;4.74;4.99;5.3;5.55;5.83;6.1;6.4;6.72;7.1;7.46;7.71;8.18;8.63
bmu;lung_cancer_number_of_new_female_cases;6.02;6.34;6.6;6.6;6.62;6.85;6.66;6.94;6.85;6.86;7.05;6.89;6.73;6.6;6.48;6.47;6.52;6.5;6.48;6.53;6.58;6.49;6.37;6.24;6.12;6.02;6.3
bol;lung_cancer_number_of_new_female_cases;157.62;161.53;165.98;170.99;176.4;182.5;185.99;189.96;194.14;198.51;203.15;209.39;216.45;224.17;232.45;240.7;246.98;253.69;261.46;270.18;279.58;290.13;301.58;313.76;326.43;339.77;352.25
bra;lung_cancer_number_of_new_female_cases;4123.23;4284.59;4487.09;4670.6;4923.28;5194.46;5423.3;5675.28;5943.81;6315.28;6665.41;6936.09;7245.55;7625.62;7997.98;8378.53;8725.85;9061.95;9405.32;9748.34;10134.83;10516.51;10895.58;11282.56;11726.22;12150.22;12440.37
brb;lung_cancer_number_of_new_female_cases;7.82;8.2;8.46;8.24;8.14;8.52;8.49;8.46;8.38;8.34;8.42;8.39;8.45;8.61;8.6;8.87;9.25;9.61;9.9;10.35;10.89;11.35;11.65;12.09;12.37;12.77;13.15
brn;lung_cancer_number_of_new_female_cases;9.36;9.67;10.01;10.32;10.67;11.08;11.44;11.84;12.27;12.78;13.39;14.32;15.31;16.46;17.8;19.24;20.66;22.27;24.0;25.69;27.55;29.55;31.73;34.0;36.32;39.29;42.19
btn;lung_cancer_number_of_new_female_cases;4.46;4.48;4.46;4.41;4.37;4.36;4.42;4.53;4.68;4.81;4.96;5.1;5.26;5.45;5.64;5.85;6.02;6.2;6.4;6.62;6.85;7.17;7.51;7.87;8.25;8.64;9.05
bwa;lung_cancer_number_of_new_female_cases;24.17;24.98;25.83;26.74;27.69;28.73;30.1;31.57;33.19;35.05;36.98;37.87;38.75;39.59;40.42;41.26;41.53;41.97;42.51;43.01;43.67;44.57;45.63;46.73;47.98;49.29;50.58
caf;lung_cancer_number_of_new_female_cases;42.33;43.07;43.92;45.1;46.3;47.64;48.52;49.52;50.56;51.92;53.3;54.34;55.45;56.55;57.69;59.01;60.24;61.55;63.05;64.69;66.49;68.06;69.78;71.06;72.45;74.04;75.67
can;lung_cancer_number_of_new_female_cases;4873.63;5146.31;5433.62;5748.51;6028.81;6359.12;6640.63;6878.72;7185.94;7470.49;7777.64;8067.79;8408.88;8730.48;9166.73;9555.76;9830.55;9861.19;10058.51;10314.95;10630.28;10897.99;11180.95;11463.8;11769.21;12114.5;12418.61
che;lung_cancer_number_of_new_female_cases;598.3;634.79;683.24;730.12;771.78;813.14;826.66;859.1;895.98;951.11;1003.49;1039.79;1079.07;1125.38;1154.55;1201.38;1268.74;1322.18;1371.17;1426.75;1478.82;1501.2;1527.33;1534.37;1521.64;1540.37;1567.76
chl;lung_cancer_number_of_new_female_cases;501.34;510.26;523.98;553.03;574.97;601.52;616.49;626.21;635.6;653.78;675.59;707.45;740.96;772.49;815.16;858.96;893.35;927.1;965.26;1015.83;1073.1;1131.49;1195.01;1252.22;1297.58;1354.77;1417.53
chn;lung_cancer_number_of_new_female_cases;79417.89;80975.57;82808.68;85607.43;88301.19;91404.1;95752.65;100024.05;104310.46;108331.88;113566.09;118615.98;124383.57;130020.37;136970.88;145277.8;148587.25;153471.55;158809.49;164799.0;171171.97;174666.53;179134.55;184122.83;190563.72;196621.34;202005.02
civ;lung_cancer_number_of_new_female_cases;57.11;59.69;62.44;65.59;68.76;72.22;75.0;77.78;80.85;84.01;87.22;88.14;88.87;89.65;90.31;91.26;92.5;93.71;95.32;97.09;99.17;101.23;103.87;106.35;109.12;112.16;115.37
cmr;lung_cancer_number_of_new_female_cases;145.35;146.66;148.14;149.67;151.55;153.79;158.08;163.48;169.66;178.18;187.53;192.14;196.94;201.82;206.95;212.26;214.36;216.65;219.22;222.1;225.53;230.39;235.94;241.87;248.4;255.56;262.99
cod;lung_cancer_number_of_new_female_cases;355.31;361.35;369.08;376.58;384.2;391.77;397.13;398.84;402.23;407.74;414.67;420.65;427.19;436.2;445.84;457.13;472.25;488.88;507.79;527.73;552.05;581.05;613.26;649.62;688.36;730.79;773.67
cog;lung_cancer_number_of_new_female_cases;46.9;48.68;50.55;52.81;55.26;57.97;59.82;61.47;63.32;65.51;67.85;68.2;68.68;69.44;70.45;71.73;73.62;75.56;77.81;80.05;82.74;84.88;87.09;89.44;91.9;94.57;97.07
col;lung_cancer_number_of_new_female_cases;853.22;904.74;944.21;979.37;1012.37;1057.47;1089.33;1113.15;1130.46;1178.37;1208.08;1252.78;1295.49;1355.39;1407.95;1458.95;1505.02;1520.99;1556.96;1620.49;1695.54;1720.03;1776.03;1812.62;1872.27;1940.56;2006.21
com;lung_cancer_number_of_new_female_cases;2.45;2.51;2.57;2.64;2.71;2.79;2.85;2.91;2.97;3.02;3.08;3.1;3.14;3.18;3.23;3.29;3.36;3.43;3.51;3.6;3.69;3.8;3.93;4.06;4.2;4.35;4.52
cpv;lung_cancer_number_of_new_female_cases;7.22;7.27;7.39;7.56;7.81;8.19;8.47;8.77;8.93;9.07;9.24;9.45;9.7;10.02;10.32;10.57;10.78;10.96;11.21;11.46;11.71;12.05;12.69;13.11;13.6;14.15;14.74
cri;lung_cancer_number_of_new_female_cases;53.78;54.84;56.71;58.82;59.87;63.32;66.41;69.21;68.64;72.91;76.55;76.09;77.02;80.35;82.19;83.63;81.96;82.82;83.97;86.39;88.77;93.74;97.72;103.77;109.54;115.99;122.48
cub;lung_cancer_number_of_new_female_cases;860.24;882.61;904.94;912.24;919.98;943.85;970.2;1005.96;1038.47;1082.45;1150.7;1187.52;1251.62;1307.26;1368.93;1432.38;1491.04;1548.78;1603.05;1656.57;1706.74;1750.19;1798.29;1844.76;1894.47;1947.38;2000.95
cyp;lung_cancer_number_of_new_female_cases;19.64;20.36;21.21;22.13;23.2;24.27;24.78;25.37;25.92;27.16;28.86;31.58;34.49;37.27;40.99;45.03;47.23;49.81;53.2;56.56;59.38;61.71;62.46;62.74;63.47;63.48;63.76
cze;lung_cancer_number_of_new_female_cases;916.39;958.99;994.03;1040.03;1089.32;1124.12;1169.37;1199.85;1257.59;1314.24;1370.85;1421.03;1465.61;1510.67;1573.32;1631.02;1700.28;1777.63;1847.16;1921.56;1991.92;2024.11;2049.87;2055.34;2035.55;2041.37;2058.4
deu;lung_cancer_number_of_new_female_cases;8753.58;9272.7;9764.92;10269.34;10862.0;11502.97;11905.75;12287.05;12365.17;12633.87;13094.1;13393.48;13789.06;14182.98;14657.26;15237.68;15822.33;16456.46;17125.35;17748.39;18492.98;19100.11;19711.56;20286.16;20821.43;21108.84;21528.87
dji;lung_cancer_number_of_new_female_cases;2.19;2.24;2.28;2.31;2.35;2.39;2.5;2.62;2.74;2.86;2.99;3.08;3.19;3.3;3.43;3.57;3.7;3.84;4.0;4.16;4.33;4.52;4.72;4.93;5.16;5.4;5.64
dma;lung_cancer_number_of_new_female_cases;2.09;2.21;2.27;2.24;2.26;2.36;2.3;2.34;2.28;2.22;2.19;2.18;2.19;2.24;2.22;2.27;2.4;2.46;2.53;2.63;2.77;2.91;3.04;3.21;3.27;3.37;3.6
dnk;lung_cancer_number_of_new_female_cases;1221.18;1264.3;1306.7;1367.61;1436.1;1500.9;1521.21;1561.61;1593.13;1649.49;1701.53;1766.7;1829.55;1871.96;1942.65;2006.65;2050.6;2080.58;2123.16;2167.65;2229.74;2288.03;2324.54;2340.16;2325.63;2305.91;2297.07
dom;lung_cancer_number_of_new_female_cases;133.06;140.08;147.96;157.2;167.21;177.91;188.23;198.57;207.54;216.43;218.8;221.69;225.22;230.03;234.08;241.67;251.15;260.66;271.1;281.85;293.53;305.24;316.37;331.22;346.57;362.92;380.18
dza;lung_cancer_number_of_new_female_cases;181.13;186.04;185.28;185.75;186.65;188.63;191.18;194.04;197.55;202.03;207.75;214.43;221.93;230.21;239.29;249.26;258.23;268.88;280.96;293.18;306.59;321.24;337.21;354.53;372.59;392.11;411.46
ecu;lung_cancer_number_of_new_female_cases;134.34;140.71;148.14;162.47;178.23;200.27;207.94;216.93;223.42;226.63;232.9;242.9;251.83;262.36;280.65;293.76;300.36;313.11;323.91;339.36;351.55;365.59;377.01;384.42;402.59;415.47;429.57
egy;lung_cancer_number_of_new_female_cases;594.96;608.26;625.93;646.2;666.85;688.0;712.29;736.55;760.28;786.6;813.28;846.84;881.81;919.61;960.35;1006.03;1049.82;1097.43;1153.28;1212.86;1277.76;1310.98;1348.85;1381.18;1422.81;1469.41;1512.33
eri;lung_cancer_number_of_new_female_cases;14.2;14.3;14.31;14.29;14.34;14.44;14.82;15.28;15.88;16.43;17.0;17.76;18.59;19.47;20.35;21.23;22.07;22.89;23.68;24.5;25.39;26.25;27.19;28.21;29.28;30.42;31.69
esp;lung_cancer_number_of_new_female_cases;1654.04;1695.86;1730.83;1777.7;1822.12;1872.56;1938.99;2023.43;2115.63;2211.37;2333.8;2461.18;2622.0;2799.2;2993.13;3195.24;3384.08;3586.04;3800.58;3994.66;4215.95;4348.06;4475.32;4566.84;4608.24;4630.42;4689.54
est;lung_cancer_number_of_new_female_cases;124.1;130.63;131.48;136.15;136.05;132.76;129.48;131.68;132.49;134.17;141.73;146.82;148.37;154.23;159.75;167.65;168.87;170.13;171.17;171.14;169.45;184.88;196.89;208.6;214.86;216.82;221.63
eth;lung_cancer_number_of_new_female_cases;301.31;308.05;315.38;324.47;334.59;345.81;355.9;365.92;376.56;381.28;389.47;388.07;390.6;396.04;404.39;415.78;431.96;446.36;461.75;477.65;495.34;515.11;537.27;561.92;592.71;623.78;659.23
