geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;lung_cancer_number_of_new_male_cases;486.09;521.2;568.67;626.21;686.19;740.55;770.55;792.24;809.64;829.35;856.23;889.49;924.88;964.86;1007.15;1048.05;1080.37;1106.22;1133.11;1159.73;1193.63;1231.17;1275.94;1327.6;1384.11;1443.07;1506.9
ago;lung_cancer_number_of_new_male_cases;277.46;277.28;278.39;280.74;284.11;288.8;288.71;286.61;285.76;285.76;287.49;288.34;289.15;294.05;297.96;302.4;310.6;319.67;330.61;341.77;354.16;368.47;384.5;401.22;418.73;437.69;456.59
alb;lung_cancer_number_of_new_male_cases;456.46;461.69;460.07;459.43;463.51;478.09;491.78;514.32;538.77;560.53;586.41;598.9;615.51;628.61;639.31;648.88;659.27;666.61;682.65;697.08;702.22;707.41;715.78;728.55;745.26;763.95;779.38
and;lung_cancer_number_of_new_male_cases;14.54;15.58;16.5;16.99;17.09;16.83;16.82;17.02;17.27;17.53;17.66;17.89;18.24;19.43;21.2;22.47;23.22;24.07;24.73;25.33;25.74;26.44;27.17;27.8;28.49;29.18;29.7
are;lung_cancer_number_of_new_male_cases;35.29;37.13;38.92;40.71;42.91;45.56;48.12;51.24;53.94;57.11;60.08;62.26;64.96;68.82;75.18;85.9;96.89;117.47;137.63;160.41;185.44;206.16;221.1;232.43;244.92;260.23;279.16
arg;lung_cancer_number_of_new_male_cases;6978.31;7024.85;7051.88;7052.66;7121.59;7216.99;7264.48;7233.55;7225.25;7198.85;7154.2;7086.72;7109.36;7126.8;7083.14;7025.94;7038.16;7108.97;7118.07;7095.27;7044.1;7056.3;7080.41;7092.83;7105.36;7261.71;7395.48
arm;lung_cancer_number_of_new_male_cases;760.25;807.15;851.81;879.3;887.68;854.73;841.91;825.51;821.8;840.67;833.65;844.64;844.73;856.08;878.98;923.42;964.62;951.15;979.03;976.99;951.58;943.45;922.06;894.21;909.0;938.28;932.73
asm;lung_cancer_number_of_new_male_cases;3.88;3.96;4.01;4.04;4.1;4.18;4.21;4.24;4.34;4.39;4.22;4.18;4.36;4.6;4.87;4.97;4.97;4.94;4.87;4.96;5.03;5.18;5.28;5.45;5.62;5.79;5.95
atg;lung_cancer_number_of_new_male_cases;3.36;3.33;3.39;3.4;3.4;3.49;3.5;3.44;3.43;3.52;3.68;3.66;3.61;3.69;3.7;3.73;3.82;3.77;3.85;3.94;4.01;4.07;4.11;4.12;4.35;4.4;4.51
aus;lung_cancer_number_of_new_male_cases;5134.0;5150.32;5205.39;5238.67;5330.78;5351.72;5430.86;5441.01;5457.36;5487.22;5544.07;5621.24;5704.35;5762.59;5879.09;5919.06;5977.41;6042.99;6255.54;6454.53;6675.73;6840.87;7003.91;7254.13;7501.79;7800.05;8081.92
