geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;malaria_deaths_in_children_1_59_months_total_deaths;184.60644;191.65819;197.1402;207.35775;226.20936;236.32799;250.86892999999998;257.66785;273.00827000000004;272.28817000000004;278.37757999999997;291.07576;364.53236;477.41677999999996;458.5372;459.12575999999996;452.38230999999996;441.08335999999997;413.60836;383.57569;272.30809;218.1763;209.40241;336.57498;371.9962;394.06851;409.7856
ago;malaria_deaths_in_children_1_59_months_total_deaths;2155.63713;2242.69381;2322.5667399999998;2445.33184;2579.6019899999997;2757.60812;2959.24026;3270.0135;3770.5690200000004;4360.73924;4813.9499;5652.30099;6883.451999999999;7769.4471;9562.81478;10299.01282;10182.666640000001;9602.720870000001;8305.01901;6987.5189;6219.09701;5597.47187;5410.35695;5788.81469;5637.40415;5599.7654;5510.82715
alb;malaria_deaths_in_children_1_59_months_total_deaths;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
and;malaria_deaths_in_children_1_59_months_total_deaths;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
are;malaria_deaths_in_children_1_59_months_total_deaths;0.01676;0.01626;0.01605;0.01627;0.01642;0.016630000000000002;0.01656;0.016319999999999998;0.01619;0.01642;0.01624;0.0161;0.01614;0.016059999999999998;0.01622;0.01621;0.01634;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
arg;malaria_deaths_in_children_1_59_months_total_deaths;0.15275;0.14003;0.12812;0.11755;0.10876;0.10017999999999999;0.09185;0.08276;0.07452;0.06781000000000001;0.06146;0.056639999999999996;0.05185;0.04728;0.0429;0.03904;0.035769999999999996;0.03333;0.031219999999999998;0.029160000000000002;0.027139999999999997;0.02495;0.02286;0.020819999999999998;0.018930000000000002;0.01702;0.0155
arm;malaria_deaths_in_children_1_59_months_total_deaths;0.04835;0.04412;0.03979;0.03494;0.029910000000000003;0.02475;0.02011;0.01623;0.0133;0.01111;0.00952;0.00817;0.00715;0.00625;0.00564;0.0051;0.00462;0.00406;0.0037;0.00335;0.0030399999999999997;0.0;0.0;0.0;0.0;0.0;0.0
asm;malaria_deaths_in_children_1_59_months_total_deaths;0.0009400000000000001;0.00095;0.00095;0.001;0.00098;0.0008900000000000001;0.0008699999999999999;0.00085;0.0008300000000000001;0.00082;0.00082;0.0008;0.00079;0.0007599999999999999;0.00074;0.0007099999999999999;0.00067;0.00064;0.0006;0.00056;0.00053;0.0005099999999999999;0.00049;0.00049;0.00047999999999999996;0.00047000000000000004;0.00047000000000000004
atg;malaria_deaths_in_children_1_59_months_total_deaths;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
aus;malaria_deaths_in_children_1_59_months_total_deaths;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
