geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;male_agriculture_workers_percent_of_male_employment;69.84;72.09100000000001;76.817;80.423;77.232;77.50399999999999;77.851;78.018;78.097;78.09100000000001;77.926;73.169;72.292;70.229;70.217;69.07;67.918;65.79;65.375;62.81399999999999;61.086000000000006;59.858999999999995;59.599;59.65;58.997;59.122;59.902;59.653999999999996;59.342;59.026;58.588;58.152
ago;male_agriculture_workers_percent_of_male_employment;28.715999999999998;28.241999999999997;32.618;32.554;33.14;31.838;31.193;28.432;30.305;28.568;27.853;29.861;29.328000000000003;28.43;29.973000000000003;31.046;31.415;32.936;33.933;40.150999999999996;44.495;43.843999999999994;42.214;41.70399999999999;41.82899999999999;42.108000000000004;43.648999999999994;43.446999999999996;43.115;42.663000000000004;42.115;41.597
alb;male_agriculture_workers_percent_of_male_employment;64.029;66.707;66.556;65.142;64.152;60.136;58.756;58.593999999999994;56.288999999999994;54.205;52.193000000000005;50.489;49.048;47.008;44.70399999999999;42.597;37.68;37.048;35.053000000000004;36.302;38.723;39.01;37.965;37.341;36.7;35.806;35.398;33.958;32.799;31.644000000000002;30.366;29.379
are;male_agriculture_workers_percent_of_male_employment;8.354;8.642000000000001;9.077;8.93;9.008;8.327;7.551;7.136;7.0889999999999995;6.734;6.375;6.138999999999999;5.746;5.449;5.574;5.226;5.061;4.734;1.364;0.852;0.605;0.45299999999999996;0.33899999999999997;0.271;0.222;0.18600000000000003;0.396;0.38799999999999996;0.375;0.366;0.353;0.341
arg;male_agriculture_workers_percent_of_male_employment;0.47100000000000003;0.45;0.5539999999999999;0.5920000000000001;0.789;1.111;1.14;1.124;1.09;0.963;1.19;1.311;1.679;1.8559999999999999;1.656;1.4340000000000002;1.291;1.7619999999999998;1.806;1.8630000000000002;0.873;0.8390000000000001;0.883;0.815;0.767;0.8079999999999999;0.8029999999999999;0.7829999999999999;0.763;0.743;0.727;0.7120000000000001
arm;male_agriculture_workers_percent_of_male_employment;37.329;43.95399999999999;51.251999999999995;49.476000000000006;49.25899999999999;47.123000000000005;44.995;46.135;44.148;43.492;43.613;41.888999999999996;39.273;38.248000000000005;35.169000000000004;32.694;30.354;30.834;34.175;31.676;33.141;31.348000000000003;29.021;29.963;31.25;30.449;30.494;29.482;28.885;28.234;27.587;26.965
aus;male_agriculture_workers_percent_of_male_employment;6.575;6.391;6.452999999999999;6.1610000000000005;5.949;6.131;6.237;5.9479999999999995;6.016;5.9639999999999995;5.785;5.449;4.944;4.577;4.486000000000001;4.297;4.203;4.1930000000000005;4.0760000000000005;4.006;3.5869999999999997;3.535;3.412;3.6189999999999998;3.313;3.438;3.391;3.36;3.318;3.273;3.213;3.155
aut;male_agriculture_workers_percent_of_male_employment;6.614;6.385;6.244;6.6;6.687;6.547000000000001;6.251;5.909;5.675;5.797999999999999;5.434;5.5;5.282;4.933;5.265;5.211;5.452000000000001;5.269;5.426;5.403;5.182;5.053;4.918;5.075;4.815;4.72;4.685;4.613;4.556;4.498;4.46;4.423
aze;male_agriculture_workers_percent_of_male_employment;34.996;36.973;40.034;43.898;44.573;44.586000000000006;42.492;40.580999999999996;41.174;40.071;38.948;37.12;34.858000000000004;35.21;36.535;35.856;34.922;38.413000000000004;32.329;32.272;32.189;31.748;31.061;31.199;30.971999999999998;30.938000000000002;31.787;31.695999999999998;31.432;31.006999999999998;30.614;30.105999999999998
bdi;male_agriculture_workers_percent_of_male_employment;86.48;87.057;87.46700000000001;86.917;87.204;88.07700000000001;87.20700000000001;87.163;87.285;87.22200000000001;86.969;86.87899999999999;86.85700000000001;86.665;86.65799999999999;86.65899999999999;85.964;86.179;86.16799999999999;85.911;85.975;85.87299999999999;85.655;85.43;86.104;85.787;85.887;85.929;85.85700000000001;85.772;85.676;85.564
bel;male_agriculture_workers_percent_of_male_employment;3.012;3.16;3.1830000000000003;3.2260000000000004;3.173;3.088;2.944;2.9560000000000004;2.351;2.266;1.693;2.303;2.218;2.7119999999999997;2.468;2.48;2.289;1.97;1.8940000000000001;1.73;1.642;1.569;1.798;1.545;1.564;1.676;1.6980000000000002;1.6780000000000002;1.656;1.633;1.609;1.5859999999999999
ben;male_agriculture_workers_percent_of_male_employment;59.9;59.346000000000004;59.4;59.473;58.744;59.417;59.086999999999996;58.903999999999996;56.07;55.483000000000004;55.075;55.023;54.703;55.083999999999996;54.873999999999995;54.8;54.193999999999996;53.56100000000001;53.68;53.343;50.806999999999995;50.288000000000004;49.275;48.638999999999996;49.146;48.67100000000001;50.63399999999999;49.852;49.034;48.308;47.562;46.687
bfa;male_agriculture_workers_percent_of_male_employment;87.329;87.265;87.29299999999999;87.618;87.134;86.87899999999999;86.18;85.759;84.665;84.04700000000001;83.635;83.20299999999999;82.02799999999999;80.73100000000001;80.289;78.711;74.217;71.503;66.968;62.513000000000005;57.358999999999995;52.093;46.214;37.209;35.982;35.406;34.71;33.975;33.266999999999996;32.58;31.875999999999998;31.112
bgd;male_agriculture_workers_percent_of_male_employment;64.245;64.06;62.66;62.018;61.635;59.816;60.576;60.598;60.647;60.687;57.242;53.56100000000001;49.582;45.86600000000001;41.988;41.942;42.147;42.008;41.628;40.93;42.836999999999996;42.885;42.042;38.902;34.7;32.909;30.615;29.053;27.714000000000002;26.5;25.324;24.463
bgr;male_agriculture_workers_percent_of_male_employment;18.323;17.137999999999998;16.582;16.881;17.250999999999998;16.43;19.025;16.614;16.719;15.42;12.026;13.017999999999999;13.585999999999999;12.892999999999999;10.742;9.825;9.167;8.902000000000001;8.577;8.22;8.533999999999999;8.382;8.648;9.184;9.087;8.942;8.367;8.152999999999999;7.968999999999999;7.777;7.598;7.414
bhr;male_agriculture_workers_percent_of_male_employment;2.8760000000000003;2.8819999999999997;2.502;2.4330000000000003;2.28;2.259;2.1919999999999997;2.055;2.053;2.032;1.92;1.78;1.663;1.518;1.5390000000000001;1.479;1.4080000000000001;1.381;1.3130000000000002;1.3559999999999999;1.396;1.341;1.305;1.237;1.177;1.217;1.285;1.2930000000000001;1.3030000000000002;1.307;1.3;1.281
bhs;male_agriculture_workers_percent_of_male_employment;8.522;8.457;8.931000000000001;8.634;7.15;8.102;5.466;5.513999999999999;6.757999999999999;6.723;6.7829999999999995;5.607;5.19;8.05;6.343999999999999;4.346;4.156000000000001;4.919;5.0569999999999995;5.455;5.462000000000001;5.441;5.327000000000001;5.531000000000001;5.734;5.749;5.896;5.857;5.847;5.832000000000001;5.824;5.814
bih;male_agriculture_workers_percent_of_male_employment;42.339;42.663999999999994;42.973;44.896;42.943000000000005;39.995;33.156;30.209;27.791999999999998;25.052;24.680999999999997;23.848000000000003;22.995;23.166;21.909000000000002;21.459;20.417;19.656;18.669;18.468;18.256;18.229;18.109;16.812;18.69;19.537;19.382;18.825;18.336;17.883;17.418;16.987000000000002
blr;male_agriculture_workers_percent_of_male_employment;26.116999999999997;27.307;26.541;26.346999999999998;28.316;27.465;25.261999999999997;23.883000000000003;23.833000000000002;22.921999999999997;21.553;20.944000000000003;19.396;18.038;17.425;16.27;15.210999999999999;14.152999999999999;14.005999999999998;13.523;12.706;12.713;12.26;12.314;12.459000000000001;12.822000000000001;12.988;12.722000000000001;12.43;11.937999999999999;11.627;11.31
blz;male_agriculture_workers_percent_of_male_employment;37.580999999999996;33.694;32.165;30.671999999999997;35.31;37.72;39.437;33.006;36.393;34.369;32.986;31.351999999999997;30.054000000000002;28.912;27.77;26.76;26.225;25.826;25.515;24.986;24.331999999999997;23.971;24.025;23.023000000000003;22.651999999999997;22.229;22.811;22.96;22.738000000000003;22.578000000000003;22.517;22.459
bol;male_agriculture_workers_percent_of_male_employment;41.183;40.614000000000004;40.141;40.129;39.415;38.541;38.649;36.999;37.128;40.196;45.633;44.785;35.571999999999996;35.561;34.608000000000004;36.555;31.393;31.107;29.576999999999998;29.651999999999997;29.322;28.159000000000002;29.253;30.463;27.531999999999996;27.004;27.101;26.451;26.104;25.754;25.377;24.969
bra;male_agriculture_workers_percent_of_male_employment;29.963;30.576999999999998;29.604;29.171999999999997;28.429000000000002;27.314;26.838;26.017;26.826999999999998;24.396;23.605;23.573;23.974;24.551;23.726;22.558000000000003;21.516;20.609;20.487;19.275;18.967;15.464;15.129000000000001;14.075999999999999;14.0;14.107000000000001;14.234000000000002;14.029000000000002;13.782;13.558;13.353;13.159
brb;male_agriculture_workers_percent_of_male_employment;6.457000000000001;7.992000000000001;6.388999999999999;6.101;5.526;6.131;6.325;5.131;5.229;4.122;4.789;4.879;5.4239999999999995;4.144;4.266;4.47;3.477;3.0580000000000003;3.778;3.7089999999999996;4.316;3.405;3.738;4.3839999999999995;4.244;3.859;3.945;3.918;3.8810000000000002;3.838;3.7910000000000004;3.741
brn;male_agriculture_workers_percent_of_male_employment;2.2159999999999997;2.217;2.25;2.246;2.205;2.229;2.227;2.255;2.197;2.13;2.064;1.871;1.642;1.567;1.4580000000000002;1.2890000000000001;1.182;1.131;1.025;0.95;0.863;0.784;0.723;0.626;0.65;0.6609999999999999;0.594;0.586;0.5760000000000001;0.564;0.552;0.551
