geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
abw;male_family_workers_percent_of_male_employment;;;;;;;;;;;;;;;;;;;;;;0.11;;;0.05;;;;;;0.21;;;;;;;0.1;;;0.11;;;;;;;
afg;male_family_workers_percent_of_male_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.05;;;;7.9;;;;;
ago;male_family_workers_percent_of_male_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.34;;;;;;;9.48;;;;;;
aia;male_family_workers_percent_of_male_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.03;;;;;;;;;;;;;;;;
alb;male_family_workers_percent_of_male_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.74;14.64;15.51;13.58;22.09;25.27;24.5;25.08;22.29;;15.09
ant;male_family_workers_percent_of_male_employment;;;;;;;;;;;;;;;;;;;;;;1.32;0.31;0.59;0.57;0.46;0.28;0.33;0.65;;0.13;;;;;;;;;0.34;;0.0;;;;;;
are;male_family_workers_percent_of_male_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;0.01;0.06
arg;male_family_workers_percent_of_male_employment;;;;;;;;;;;;;;;;;;;;;0.73;0.56;0.74;0.71;1.04;0.98;0.96;1.02;0.77;0.9;0.69;0.62;0.78;1.1;0.81;0.56;0.56;0.59;0.38;0.4;0.67;0.47;0.45;0.37;0.5;;;0.3
arm;male_family_workers_percent_of_male_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.11;;10.94;9.38;9.56;;6.52;5.41;4.44;3.56;
asm;male_family_workers_percent_of_male_employment;;;;;;;;;;;;;;;;;;;;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;;
atg;male_family_workers_percent_of_male_employment;;;;;;;;;;;;;;;;;;;;;;0.74;;;;;;;;;;0.45;;;;;;;;;;;;;;;;
aus;male_family_workers_percent_of_male_employment;;;;;;;;;;;;;;;;;;;;;0.59;0.7;0.71;0.87;0.73;0.67;0.7;0.61;0.58;0.62;0.61;0.44;0.36;0.32;0.3;0.24;0.24;0.21;0.17;0.19;0.23;0.18;0.16;0.2;0.22;0.19;0.18;0.15
