geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;male_industry_workers_percent_of_male_employment;6.526;5.2620000000000005;4.915;4.49;4.226;4.56;4.727;4.963;5.2989999999999995;5.769;6.239;5.7170000000000005;5.815;6.502000000000001;6.5360000000000005;6.694;7.046;6.882999999999999;6.188;6.197;6.435;6.422999999999999;6.5120000000000005;6.6739999999999995;6.925;6.975;6.9270000000000005;7.004;7.097;7.182;7.265;7.352
ago;male_industry_workers_percent_of_male_employment;14.92;14.389000000000001;14.519;14.798;15.329;16.21;16.105;16.648;16.355;15.079;14.913;15.714;15.738;15.957;15.584000000000001;16.673;16.795;16.535;17.059;16.163;14.749;15.937000000000001;16.592;17.187;16.569000000000003;16.469;15.918;15.979000000000001;16.083;16.224;16.381;16.55
alb;male_industry_workers_percent_of_male_employment;19.569000000000003;16.879;17.098;18.081;18.802;17.537;18.865;17.393;17.594;19.397000000000002;20.654;21.953000000000003;23.424;24.275;25.133000000000003;26.178;24.41;28.21;26.558000000000003;25.660999999999998;24.414;22.41;22.44;21.816999999999997;22.045;21.976;22.08;22.294;22.478;22.680999999999997;22.91;23.066999999999997
are;male_industry_workers_percent_of_male_employment;33.803000000000004;34.317;35.027;35.691;36.157;36.149;36.874;38.141;38.339;38.295;40.339;41.321999999999996;42.523;42.894;44.589;35.865;30.514;26.518;31.215999999999998;32.041;32.046;32.759;32.964;34.882;37.372;39.566;43.306000000000004;43.151;43.07;42.94;42.818000000000005;42.68
arg;male_industry_workers_percent_of_male_employment;41.11;40.937;38.309;37.638000000000005;34.613;32.988;34.665;34.368;32.251999999999995;31.073;29.706;27.249000000000002;28.839000000000002;30.778000000000002;31.785;32.528;33.6;33.283;32.501999999999995;32.564;33.426;33.173;33.984;34.795;34.31;34.078;33.641;33.545;33.442;33.346;33.274;33.216
arm;male_industry_workers_percent_of_male_employment;31.579;26.919;21.484;24.834;22.525;22.701;23.087;21.471999999999998;22.158;21.774;20.846999999999998;21.5;23.028000000000002;22.816999999999997;25.268;27.213;28.324;29.7;26.901;26.653000000000002;25.585;26.561999999999998;26.041999999999998;24.069000000000003;23.099;22.855999999999998;22.866;23.287;23.204;23.164;23.214000000000002;23.221
aus;male_industry_workers_percent_of_male_employment;31.959;31.956;31.925;31.904;31.303;30.795;30.451;30.259;29.749000000000002;30.463;29.590999999999998;29.914;29.949;30.677;30.646;31.123;31.103;31.656999999999996;31.271;31.098000000000003;30.976;30.980999999999998;30.683000000000003;30.605;29.433000000000003;29.259;28.924;28.684;28.498;28.386999999999997;28.246;28.174
aut;male_industry_workers_percent_of_male_employment;48.536;47.214;47.335;43.891000000000005;43.126999999999995;41.506;41.122;41.36600000000001;41.88;42.268;41.446999999999996;41.568000000000005;41.667;37.774;39.657;40.361999999999995;39.2;37.949;36.591;36.465;37.744;37.766;37.16;37.246;37.791;37.588;37.68;37.584;37.402;37.205;37.025999999999996;36.882
aze;male_industry_workers_percent_of_male_employment;15.594000000000001;17.395;16.921;14.187000000000001;14.482999999999999;15.512;15.887;16.333;15.359000000000002;14.357999999999999;14.663;16.648;19.340999999999998;21.217;20.148;20.506999999999998;21.916;18.327;19.567999999999998;20.975;21.5;21.909000000000002;22.221;21.963;21.795;22.114;21.775;21.357;21.31;21.456;21.500999999999998;21.573
bdi;male_industry_workers_percent_of_male_employment;4.166;3.765;3.8960000000000004;3.968;3.8289999999999997;3.548;3.987;3.8689999999999998;3.928;3.912;3.948;3.978;4.113;4.228;4.413;4.215;4.434;4.215;4.342;4.447;4.349;4.321000000000001;4.353;4.521;4.211;4.25;4.295;4.3069999999999995;4.321000000000001;4.338;4.355;4.376
bel;male_industry_workers_percent_of_male_employment;40.874;40.422;38.931999999999995;38.399;37.961;37.452;36.99;37.009;37.454;36.745;35.404;35.574;34.909;35.661;34.946;35.519;34.966;36.184;34.657;34.272;34.43;32.641999999999996;32.79;32.657;32.756;32.443000000000005;32.486999999999995;32.446999999999996;32.294000000000004;32.137;31.955;31.798000000000002
ben;male_industry_workers_percent_of_male_employment;9.084;9.15;9.371;9.57;9.602;9.762;9.947000000000001;9.818999999999999;15.21;15.145999999999999;15.545;15.352;15.337;14.863;14.819;14.582;14.210999999999999;13.583;13.737;13.765999999999998;19.78;19.205;19.919;20.297;19.815;19.914;19.789;20.043;20.276;20.526999999999997;20.743000000000002;20.87
bfa;male_industry_workers_percent_of_male_employment;3.609;3.687;3.648;3.753;3.826;3.865;4.22;4.206;4.7410000000000005;4.622;4.6339999999999995;4.7;5.48;5.936;6.058;6.5889999999999995;7.996;8.867;10.546;12.22;14.636;17.221;20.635;30.888;31.19;31.343000000000004;31.595;31.781999999999996;31.971999999999998;32.207;32.433;32.650999999999996
bgd;male_industry_workers_percent_of_male_employment;15.039000000000001;13.732000000000001;13.05;12.16;11.199000000000002;10.415999999999999;10.619000000000002;11.030999999999999;11.163;11.302999999999999;11.845999999999998;12.200999999999999;12.270999999999999;13.683;15.130999999999998;15.136;15.907;16.834;18.028;19.23;18.665;18.868;19.688;20.521;22.205;22.646;22.968000000000004;23.301;23.533;23.71;23.875;23.908
bgr;male_industry_workers_percent_of_male_employment;42.864;43.005;40.798;38.9;38.804;35.861999999999995;36.589;37.358000000000004;37.906;37.607;36.329;36.135999999999996;35.747;36.755;38.866;40.019;41.496;43.008;42.372;40.736;38.178000000000004;36.94;35.876;36.25;36.211999999999996;36.273;36.095;35.966;35.856;35.778;35.718;35.653
bhr;male_industry_workers_percent_of_male_employment;32.764;31.586;30.464000000000002;31.943;32.943000000000005;31.246;32.083;31.535;29.804000000000002;31.141;32.46;32.461;32.743;32.496;35.150999999999996;38.097;40.858000000000004;42.526;41.747;42.607;41.713;41.886;41.468999999999994;41.895;42.391000000000005;42.651;41.746;42.126999999999995;42.486999999999995;42.735;42.538999999999994;42.525
bhs;male_industry_workers_percent_of_male_employment;24.033;23.848000000000003;18.6;19.340999999999998;21.881999999999998;22.29;22.193;23.872;26.636;28.195999999999998;27.081999999999997;28.153000000000002;25.23;26.005;29.365;30.331999999999997;29.273000000000003;27.116999999999997;27.524;24.682;21.041999999999998;21.967;22.13;22.589000000000002;19.507;18.910999999999998;18.801;18.836;18.819000000000003;18.81;18.819000000000003;18.828
bih;male_industry_workers_percent_of_male_employment;35.254;35.067;34.721;33.187;33.666;32.635;36.024;37.251999999999995;36.169000000000004;35.648;35.648;35.048;35.431999999999995;35.208;36.317;35.705;36.805;37.745;37.934;37.266999999999996;37.601;37.054;37.291;38.292;42.728;38.357;38.387;38.508;38.586;38.684;38.759;38.83
blr;male_industry_workers_percent_of_male_employment;46.981;46.26;44.907;43.303999999999995;42.045;42.747;44.523999999999994;44.545;43.438;43.428999999999995;42.473;42.202;43.629;45.315;44.537;44.907;45.428000000000004;47.148999999999994;46.108999999999995;45.397;45.786;45.541000000000004;46.085;45.606;43.992;43.201;42.809;42.692;42.586999999999996;42.303999999999995;42.145;42.001999999999995
blz;male_industry_workers_percent_of_male_employment;23.889;22.574;22.941999999999997;22.62;21.156;19.566;19.528;20.953000000000003;19.199;21.214000000000002;21.241999999999997;21.267;20.973000000000003;21.445999999999998;21.709;22.563000000000002;22.795;24.255;23.035999999999998;22.288;22.925;22.162;21.5;21.36;20.967;19.177;19.122;19.472;19.404;19.373;19.458;19.511
bol;male_industry_workers_percent_of_male_employment;25.265;25.43;25.564;25.401999999999997;25.796;26.019000000000002;25.724;26.686999999999998;25.765;25.122;20.546;22.895;27.608;27.674;27.27;24.303;28.743000000000002;27.041999999999998;28.418000000000003;28.285;28.642;27.688000000000002;27.074;28.76;30.410999999999998;30.653000000000002;30.319000000000003;30.516;30.66;30.814;30.963;31.076999999999998
bra;male_industry_workers_percent_of_male_employment;25.899;26.095;26.548000000000002;28.659000000000002;25.771;26.142;26.423000000000002;26.663;25.524;26.589000000000002;26.64;27.378;26.548000000000002;26.715999999999998;27.195999999999998;27.408;28.329;29.199;28.636;29.089000000000002;28.796999999999997;30.379;30.551;30.734;29.764;28.182;28.073;28.151;28.264;28.236;28.237;28.248
