geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;male_self_employed_percent_of_male_employment;63.958999999999996;65.634;70.851;76.199;74.259;73.173;74.745;76.218;77.64399999999999;79.101;80.72;77.307;74.312;74.813;74.347;73.72399999999999;72.52199999999999;72.01;69.683;68.134;67.577;66.26100000000001;66.041;66.257;66.66199999999999;66.819;66.90100000000001;66.87899999999999;66.846;66.812;66.757;66.70100000000001
ago;male_self_employed_percent_of_male_employment;60.976000000000006;58.31;54.403999999999996;54.28;54.056000000000004;53.38399999999999;52.883;53.135;52.347;53.38;52.971000000000004;52.631;52.26;51.788999999999994;65.11399999999999;63.692;62.782;61.628;59.648;60.243;60.407;60.161;59.457;58.895;58.97;59.378;59.465;59.43;59.382;59.325;59.266999999999996;59.208999999999996
alb;male_self_employed_percent_of_male_employment;47.599;60.18;68.375;68.895;67.717;68.13;59.36;67.26;68.42399999999999;65.17;65.501;63.35;63.308;63.053000000000004;62.268;61.828;61.305;54.108000000000004;53.398999999999994;51.50899999999999;57.891999999999996;59.938;57.086999999999996;57.891999999999996;60.151;60.478;60.646;60.628;60.63399999999999;60.661;60.647;60.648
are;male_self_employed_percent_of_male_employment;4.561;4.364;4.31;3.39;3.3819999999999997;3.41;3.285;3.3939999999999997;3.3160000000000003;3.168;3.429;3.323;3.1489999999999996;3.155;3.364;4.5569999999999995;4.776;4.9430000000000005;5.127999999999999;4.285;4.3389999999999995;4.407;4.124;4.17;3.562;3.343;3.44;3.44;3.4410000000000003;3.4410000000000003;3.4410000000000003;3.4410000000000003
arg;male_self_employed_percent_of_male_employment;30.37;31.253;32.711;30.93;32.01;31.404;30.324;30.061999999999998;29.893;30.369;31.191;32.988;30.021;28.919;28.599;27.627;26.855999999999998;26.851999999999997;27.068;27.320999999999998;27.276;26.840999999999998;28.791;28.503;28.375;28.421999999999997;28.48;28.403000000000002;28.334;28.283;28.229;28.186
arm;male_self_employed_percent_of_male_employment;41.51;30.955;41.343999999999994;50.792;51.786;49.746;45.147;52.7;50.647;50.857;52.153999999999996;53.925;52.458;49.67100000000001;50.316;48.815;48.066;43.463;39.556999999999995;37.676;39.29;39.359;38.137;43.522;42.754;41.543;43.653999999999996;43.431000000000004;43.468;43.506;43.614;43.826
aus;male_self_employed_percent_of_male_employment;23.358;23.695;24.015;23.784000000000002;23.631;23.64;23.63;23.77;23.662;24.252;24.625;24.805999999999997;24.337;24.156;24.017;23.368000000000002;22.467;22.162;22.565;22.59;21.833000000000002;20.976;20.750999999999998;21.038;20.903000000000002;20.919;20.555;20.603;20.529;20.401;20.237000000000002;20.063
aut;male_self_employed_percent_of_male_employment;15.094000000000001;14.761;14.574000000000002;14.671;14.405999999999999;14.585;14.31;14.368;14.158;14.327;14.360999999999999;14.67;14.307;14.812999999999999;15.099;15.174000000000001;15.567;15.634;15.819;16.101;15.571;15.379000000000001;15.565;15.777000000000001;15.347999999999999;15.124;15.047;14.933;14.847000000000001;14.79;14.741;14.697000000000001
aze;male_self_employed_percent_of_male_employment;74.78;62.81100000000001;65.311;70.27199999999999;66.805;71.168;71.878;71.087;72.036;68.76100000000001;68.03;68.074;67.235;65.83;70.057;70.138;65.737;64.726;64.244;64.693;65.328;62.593999999999994;62.468;62.758;63.326;63.968;65.293;66.24600000000001;66.922;66.757;66.87899999999999;66.915
bdi;male_self_employed_percent_of_male_employment;90.375;90.15100000000001;90.09100000000001;89.47;89.803;91.333;90.37200000000001;90.428;90.363;90.51299999999999;90.245;90.094;90.339;90.185;90.15100000000001;90.025;88.77799999999999;89.223;89.164;89.15799999999999;89.038;89.03;88.896;88.667;89.21700000000001;88.89299999999999;88.95;88.963;88.95;88.935;88.92;88.902
