geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;male_service_workers_percent_of_male_employment;23.634;22.647;18.268;15.087;18.542;17.936;17.421;17.019000000000002;16.604;16.14;15.835;21.114;21.893;23.269000000000002;23.247;24.236;25.035999999999998;27.326999999999998;28.436999999999998;30.989;32.479;33.718;33.889;33.675;34.077;33.902;33.171;33.342;33.56;33.792;34.147;34.496
ago;male_service_workers_percent_of_male_employment;56.365;57.369;52.864;52.648999999999994;51.532;51.952;52.702;54.92100000000001;53.34;56.353;57.233999999999995;54.425;54.935;55.613;54.443000000000005;52.281000000000006;51.79;50.528999999999996;49.008;43.68600000000001;40.756;40.219;41.193999999999996;41.11;41.603;41.423;40.433;40.574;40.801;41.113;41.504;41.853
alb;male_service_workers_percent_of_male_employment;16.402;16.413;16.346;16.777;17.045;22.326999999999998;22.378;24.011999999999997;26.116;26.397;27.151999999999997;27.557;27.526999999999997;28.715999999999998;30.162;31.224;37.909;34.742;38.389;38.037;36.863;38.58;39.594;40.841;41.255;42.217;42.521;43.748000000000005;44.723;45.675;46.724;47.553000000000004
are;male_service_workers_percent_of_male_employment;57.843;57.041000000000004;55.895;55.379;54.835;55.523999999999994;55.575;54.724;54.571999999999996;54.97;53.286;52.538000000000004;51.731;51.656000000000006;49.836000000000006;58.908;64.425;68.747;67.419;67.10600000000001;67.348;66.786;66.695;64.844;62.402;60.242;56.29600000000001;56.458999999999996;56.551;56.691;56.826;56.976000000000006
arg;male_service_workers_percent_of_male_employment;58.42100000000001;58.615;61.138000000000005;61.772;64.598;65.902;64.197;64.509;66.658;67.964;69.104;71.439;69.48100000000001;67.365;66.558;66.03699999999999;65.107;64.954;65.691;65.572;65.70100000000001;65.986;65.132;64.389;64.922;65.113;65.554;65.67;65.793;65.908;65.997;66.069
arm;male_service_workers_percent_of_male_employment;31.090999999999998;29.128;27.263;25.69;28.215999999999998;30.176;31.918000000000003;32.393;33.694;34.734;35.54;36.611;37.699;38.934;39.562;40.093;41.323;39.466;38.924;41.67;41.273999999999994;42.089;44.937;45.968;45.65;46.695;46.638999999999996;47.231;47.911;48.602;49.198;49.81399999999999
aus;male_service_workers_percent_of_male_employment;61.465;61.653;61.622;61.935;62.747;63.074;63.312;63.793;64.235;63.571999999999996;64.624;64.637;65.107;64.74600000000001;64.868;64.58;64.694;64.15;64.653;64.896;65.437;65.484;65.905;65.77600000000001;67.25399999999999;67.304;67.685;67.956;68.183;68.34;68.541;68.671
aut;male_service_workers_percent_of_male_employment;44.85;46.401;46.42100000000001;49.508;50.18600000000001;51.946999999999996;52.626999999999995;52.725;52.445;51.934;53.118;52.931000000000004;53.05;57.293;55.078;54.427;55.348;56.782;57.983000000000004;58.132;57.075;57.18;57.92100000000001;57.68;57.394;57.692;57.635;57.803000000000004;58.042;58.297;58.513999999999996;58.695
aze;male_service_workers_percent_of_male_employment;49.411;45.632;43.045;41.916000000000004;40.944;39.902;41.622;43.086000000000006;43.467;45.571000000000005;46.388999999999996;46.233000000000004;45.803000000000004;43.574;43.318999999999996;43.637;43.162;43.26;48.103;46.753;46.31100000000001;46.343999999999994;46.718;46.839;47.232;46.948;46.43899999999999;46.946999999999996;47.258;47.537;47.885;48.321999999999996
bdi;male_service_workers_percent_of_male_employment;9.354;9.177999999999999;8.637;9.115;8.966000000000001;8.375;8.805;8.968;8.787;8.865;9.083;9.142000000000001;9.031;9.107000000000001;8.929;9.126;9.602;9.605;9.49;9.641;9.676;9.806000000000001;9.992;10.05;9.685;9.963;9.818;9.764;9.822000000000001;9.89;9.968;10.059
