geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;males_aged_15_24_employment_rate_percent;57.386;60.027;56.681000000000004;56.727;64.176;58.821000000000005;58.913999999999994;59.178000000000004;59.178999999999995;59.085;58.733999999999995;65.274;64.532;62.619;65.61399999999999;64.0;65.83800000000001;63.563;67.002;64.63;64.07600000000001;64.734;64.19800000000001;64.105;64.178;64.311;64.35;64.447;64.551;64.667;64.785;64.891
ago;males_aged_15_24_employment_rate_percent;29.193;29.138;28.989;28.811;28.613000000000003;28.656999999999996;28.633000000000003;28.553;28.42;28.256999999999998;28.269000000000002;28.215;28.107;28.006;30.753;33.732;36.675;39.582;42.441;45.251000000000005;48.553999999999995;48.54;48.413000000000004;48.191;47.876999999999995;47.018;46.466;45.965;45.498999999999995;45.083;44.71;44.375
alb;males_aged_15_24_employment_rate_percent;37.205;35.981;30.217;31.756999999999998;35.494;35.775;39.149;35.946;32.782;33.727;33.036;34.428000000000004;33.278;32.227;31.18;30.252;30.355999999999998;28.938000000000002;28.962;26.410999999999998;29.278000000000002;32.452;25.107;21.343000000000004;23.703000000000003;25.814;26.863000000000003;25.706999999999997;25.669;25.644000000000002;25.491999999999997;25.244
are;males_aged_15_24_employment_rate_percent;59.368;60.98;62.386;62.707;62.434;60.419;59.422;58.986999999999995;59.031000000000006;59.033;58.317;58.272;58.547;59.021;59.575;57.85;57.504;56.79;58.137;60.948;60.669;60.016000000000005;59.266999999999996;58.783;58.794;57.113;56.498000000000005;56.638999999999996;57.031000000000006;57.373000000000005;55.448;54.336000000000006
arg;males_aged_15_24_employment_rate_percent;47.318000000000005;46.483999999999995;43.493;41.28;33.086999999999996;34.406;38.565;40.47;38.348;37.281;32.518;28.211;36.324;40.249;40.906;42.672;43.272;42.191;41.552;42.403999999999996;41.336999999999996;41.597;40.217;39.046;38.167;35.918;35.772;35.801;35.687;35.041;34.513000000000005;34.094
arm;males_aged_15_24_employment_rate_percent;34.824;34.798;32.935;31.634;32.148;31.274;30.443;29.962;28.465999999999998;28.329;28.125999999999998;27.151;26.570999999999998;25.726;25.967;25.765;26.034000000000002;25.874000000000002;24.046999999999997;28.195;27.631;28.340999999999998;28.063000000000002;29.979;32.195;28.296;28.641;28.728;28.758000000000003;28.71;28.639;28.528000000000002
aus;males_aged_15_24_employment_rate_percent;58.975;56.99;57.355;60.181999999999995;62.268;61.878;60.477;61.185;61.99100000000001;62.555;61.604;61.653;62.27;62.684;64.166;64.42399999999999;64.939;65.42399999999999;61.566;61.341;60.593999999999994;59.702;58.593;57.538999999999994;58.275;57.983000000000004;57.797;57.574;57.067;56.81100000000001;56.49;56.135
aut;males_aged_15_24_employment_rate_percent;63.878;63.922;61.81100000000001;62.3;60.912;58.411;56.714;57.254;59.21;56.732;55.76;56.09;54.851000000000006;52.86;54.773999999999994;55.907;57.168;57.668;55.863;56.608999999999995;57.945;57.043;56.428000000000004;54.345;54.062;53.037;53.927;53.983999999999995;53.873000000000005;53.812;53.773999999999994;53.79
aze;males_aged_15_24_employment_rate_percent;37.596;41.56;42.986999999999995;40.078;39.735;37.885;35.266;35.508;33.778;33.155;31.976999999999997;30.994;29.85;29.685;28.897;27.805999999999997;26.819000000000003;26.638;29.146;28.441;29.14;29.941999999999997;30.569000000000003;32.681999999999995;34.054;35.608000000000004;34.21;33.293;32.334;31.322;30.281;29.255
bdi;males_aged_15_24_employment_rate_percent;74.554;73.3;71.98;70.666;69.399;68.202;67.002;65.77199999999999;64.557;63.31;62.148;60.95399999999999;59.731;58.486999999999995;57.225;55.935;54.619;53.276;51.928999999999995;50.571000000000005;49.222;47.873000000000005;46.51;44.972;45.291000000000004;45.49;45.183;44.85;44.495;44.13;43.754;43.367
bel;males_aged_15_24_employment_rate_percent;33.769;32.686;29.871;29.406;28.791;29.596;28.930999999999997;29.647;27.745;33.756;31.546;30.941;30.057;30.023000000000003;29.995;30.910999999999998;30.566;30.17;27.596999999999998;27.225;27.415;27.436;25.066;24.408;25.069000000000003;24.226;24.5;24.783;24.502;24.177;23.839000000000002;23.514
ben;males_aged_15_24_employment_rate_percent;77.598;77.431;75.827;74.124;72.329;70.431;68.446;66.377;64.233;62.02;59.758;57.42100000000001;55.028999999999996;52.628;50.231;47.833999999999996;45.457;43.111000000000004;40.812;38.615;38.871;38.639;38.352;38.028;37.676;37.463;37.234;36.991;36.733000000000004;36.461999999999996;36.183;35.885
