geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;males_aged_15plus_employment_rate_percent;76.586;77.876;76.17699999999999;76.175;79.825;77.196;77.237;77.358;77.344;77.28;77.02600000000001;80.227;79.89;78.93;80.487;79.794;80.832;79.793;81.57300000000001;80.41199999999999;80.071;80.37;79.983;79.852;79.825;79.807;79.753;79.73899999999999;79.74600000000001;79.779;79.833;79.90100000000001
ago;males_aged_15plus_employment_rate_percent;63.668;63.58;63.643;63.533;63.417;63.333999999999996;63.216;63.126000000000005;63.055;63.012;63.071000000000005;63.273;63.206;63.206;64.78699999999999;66.419;67.992;69.6;71.263;72.956;74.90100000000001;74.937;74.904;74.825;74.709;74.3;73.936;73.592;73.252;72.926;72.611;72.311
alb;males_aged_15plus_employment_rate_percent;61.06;60.901;58.849;58.895;59.318999999999996;60.022;60.568999999999996;60.67100000000001;60.038999999999994;60.227;59.835;59.748999999999995;58.919;58.016999999999996;57.095;56.305;56.285;55.511;56.376999999999995;53.808;55.111000000000004;56.887;51.695;51.648999999999994;54.059;54.836000000000006;55.595;54.726000000000006;54.708999999999996;54.73;54.696000000000005;54.641000000000005
are;males_aged_15plus_employment_rate_percent;88.53299999999999;88.861;89.485;90.053;90.55799999999999;89.648;89.09899999999999;88.935;89.148;89.49799999999999;88.56;88.346;88.682;89.35799999999999;90.176;89.17;88.931;89.23100000000001;89.41799999999999;90.789;90.848;90.891;91.083;91.456;91.969;91.41799999999999;90.81299999999999;90.473;90.376;90.425;89.55799999999999;88.838
arg;males_aged_15plus_employment_rate_percent;71.517;70.809;68.928;67.479;62.677;63.285;65.521;66.495;65.316;64.79899999999999;62.23;60.058;64.985;66.60600000000001;68.021;69.28699999999999;70.061;69.681;68.752;69.081;69.84100000000001;69.589;69.396;68.704;68.738;67.437;67.513;67.611;67.632;67.26100000000001;66.908;66.598
arm;males_aged_15plus_employment_rate_percent;69.40100000000001;69.328;67.492;66.154;66.58;65.509;64.475;63.768;61.956;60.915;60.028999999999996;58.955;58.078;57.273;56.803999999999995;56.364;56.13399999999999;55.843999999999994;55.68600000000001;59.398999999999994;58.608999999999995;58.886;60.409;59.647;57.979;57.513999999999996;57.863;58.092;58.229;58.271;58.202;58.06
aus;males_aged_15plus_employment_rate_percent;67.384;65.84100000000001;65.196;66.39;67.485;67.307;66.904;67.109;67.36;67.64399999999999;67.069;67.295;67.47800000000001;67.86;68.667;68.932;69.65899999999999;69.79899999999999;68.214;68.77600000000001;68.71;68.085;67.346;66.75;66.858;66.664;66.626;66.584;66.395;66.273;66.102;65.908
aut;males_aged_15plus_employment_rate_percent;67.666;67.693;67.108;67.965;67.561;65.984;65.518;65.243;65.895;65.612;65.229;64.742;64.523;61.106;62.532;63.036;64.181;64.53699999999999;63.381;63.533;63.596000000000004;63.358999999999995;63.065;62.248000000000005;61.979;61.967;62.111000000000004;61.968999999999994;61.70399999999999;61.442;61.11;60.748999999999995
aze;males_aged_15plus_employment_rate_percent;64.533;65.842;66.403;65.893;66.042;64.377;63.592;63.553999999999995;62.938;62.57;62.119;61.731;61.22;61.391999999999996;61.233999999999995;60.898;59.816;60.833999999999996;62.907;63.882;64.36;64.715;65.22;65.61399999999999;65.874;66.832;66.229;65.95;65.643;65.289;64.861;64.414
bdi;males_aged_15plus_employment_rate_percent;87.98700000000001;87.40100000000001;86.71799999999999;85.958;85.12299999999999;84.375;83.56299999999999;82.675;81.89399999999999;81.08;80.433;79.835;79.291;78.807;78.376;77.977;77.598;77.242;76.921;76.634;76.24600000000001;75.893;75.558;75.1;75.493;75.795;75.882;75.936;75.931;75.857;75.71;75.506
