geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
afg;males_aged_25_54_labour_force_participation_rate_percent;97.322;97.30799999999999;97.294;97.28;97.26799999999999;97.257;97.255;97.255;97.257;97.26;97.26299999999999;97.273;97.28200000000001;97.29;97.29700000000001;97.304;97.296;97.289;97.28399999999999;97.28;97.27799999999999;97.28399999999999;97.292;97.3;97.307;97.315;97.316;97.315;97.31299999999999;97.31;97.306;97.302;97.29799999999999;97.29299999999999;97.288;97.28299999999999;97.279;97.275;97.271;97.26799999999999;97.266
ago;males_aged_25_54_labour_force_participation_rate_percent;95.45100000000001;95.531;95.661;96.022;95.99700000000001;95.89399999999999;95.81200000000001;95.755;95.70100000000001;95.68;95.65700000000001;95.641;95.757;95.71700000000001;95.61;95.419;95.22200000000001;94.98899999999999;94.853;94.869;94.866;94.87299999999999;94.85;94.795;94.76;94.744;94.777;94.729;94.681;94.633;94.586;94.537;94.48899999999999;94.44;94.389;94.335;94.27799999999999;94.22;94.15899999999999;94.09899999999999;94.038
alb;males_aged_25_54_labour_force_participation_rate_percent;88.713;88.62;88.671;88.835;88.98299999999999;89.12700000000001;89.229;89.28399999999999;89.40299999999999;89.53399999999999;89.655;89.725;89.79;89.809;89.794;89.74;89.618;89.471;89.301;89.60600000000001;88.895;88.209;87.47;86.211;87.4;88.59;88.587;88.48;88.374;88.27;88.166;88.06299999999999;87.961;87.859;87.758;87.655;87.55;87.44200000000001;87.329;87.215;87.1
are;males_aged_25_54_labour_force_participation_rate_percent;99.039;99.04;99.03299999999999;99.03;99.01799999999999;99.01299999999999;99.041;99.068;99.09100000000001;99.11200000000001;99.133;99.14399999999999;99.15899999999999;99.176;99.196;99.22;99.085;98.912;98.679;98.398;98.398;98.365;98.324;98.28299999999999;98.24600000000001;98.21600000000001;98.18;98.1;98.025;97.95200000000001;97.88600000000001;97.807;97.728;97.65299999999999;97.59;97.54299999999999;97.48200000000001;97.432;97.391;97.355;97.324
arg;males_aged_25_54_labour_force_participation_rate_percent;95.42200000000001;95.288;95.135;95.051;94.963;95.022;94.93299999999999;94.792;94.726;94.81299999999999;94.84700000000001;94.95;95.149;95.04899999999999;94.931;95.11200000000001;94.805;94.65100000000001;94.469;94.197;94.012;94.735;94.46;94.199;94.09700000000001;94.06;94.167;94.125;94.084;94.042;93.999;93.95700000000001;93.914;93.87;93.824;93.775;93.723;93.66799999999999;93.613;93.561;93.512
arm;males_aged_25_54_labour_force_participation_rate_percent;88.17;88.21700000000001;88.26;88.29799999999999;88.32600000000001;88.338;88.32700000000001;88.29799999999999;88.25399999999999;88.206;88.15899999999999;88.118;88.081;88.04799999999999;88.02;87.99600000000001;87.979;87.96700000000001;87.976;87.945;91.527;89.52600000000001;88.846;87.698;87.874;85.751;85.791;85.93;86.075;86.21600000000001;86.345;86.465;86.574;86.67299999999999;86.765;86.852;86.932;87.005;87.072;87.131;87.184
aus;males_aged_25_54_labour_force_participation_rate_percent;93.296;93.103;92.46600000000001;92.266;91.624;91.741;91.589;91.081;90.825;90.434;90.22;90.13600000000001;90.17399999999999;89.84299999999999;89.87899999999999;90.325;90.34200000000001;90.79;90.932;90.352;90.559;90.604;90.131;90.137;89.869;90.31200000000001;90.15700000000001;90.179;90.20100000000001;90.22;90.236;90.24700000000001;90.256;90.26299999999999;90.27;90.27600000000001;90.28;90.28200000000001;90.28200000000001;90.27799999999999;90.27
aut;males_aged_25_54_labour_force_participation_rate_percent;94.381;94.274;94.245;94.156;93.124;93.22;92.93299999999999;93.227;93.74;93.785;93.664;93.535;93.999;94.26700000000001;90.508;92.022;92.185;92.554;92.07700000000001;91.891;91.899;91.95700000000001;92.25200000000001;92.086;91.443;91.617;91.787;91.726;91.67200000000001;91.62799999999999;91.595;91.57;91.553;91.539;91.51899999999999;91.49;91.45200000000001;91.404;91.348;91.287;91.223
aze;males_aged_25_54_labour_force_participation_rate_percent;90.443;90.538;90.698;90.79700000000001;90.82700000000001;90.836;90.897;90.956;91.009;91.03;90.79700000000001;90.546;90.28399999999999;90.006;89.695;89.33200000000001;88.905;88.4;88.686;88.904;89.069;89.19200000000001;89.316;90.1;89.42299999999999;89.45299999999999;90.546;90.402;90.277;90.18700000000001;90.14299999999999;90.139;90.18299999999999;90.26899999999999;90.383;90.515;90.656;90.81;90.96799999999999;91.116;91.244
bdi;males_aged_25_54_labour_force_participation_rate_percent;98.20700000000001;98.09700000000001;97.979;97.851;97.713;97.559;97.38799999999999;97.199;96.988;96.944;96.89;96.816;96.73700000000001;96.66;96.586;96.51799999999999;96.455;96.396;96.339;96.28299999999999;96.22399999999999;96.15700000000001;96.087;96.015;95.94;96.03399999999999;96.094;96.071;96.04899999999999;96.02600000000001;96.001;95.976;95.949;95.921;95.89299999999999;95.863;95.833;95.803;95.773;95.743;95.714
