geo;indicator;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
abw;males_aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.87;;;;;;;;;;;;;;;;4.22;;;8.75;;;;;;;
afg;males_aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.6884;;;;1.6313;;;;;
ago;males_aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.9195;;;;;;;1.2401;;;;;;
aia;males_aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.82;;;;;;;;;;;;;;;;
alb;males_aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.3073;8.4155;6.8355;7.1948;10.5011;8.4225;11.3025;13.72;11.94138;;
ant;males_aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.1;4.33;4.73;;;;;;;;;7.59;4.92;9.74;11.11;;9.7;;;;6.65;10.8;5.13;5.57;2.94;3.77;;4.14;;;;;;
are;males_aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.3;;;1.84;;;;;;;;1.17;0.8396
arg;males_aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.41;;;;;;;;;;;;;11.0141;9.0215;7.2703;;4.5949;5.2594;6.1169;4.8695;3.948;3.1725;3.148;;;4.378
arm;males_aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.89;;11.89;12.4436;15.6378;12.65;12.3605;12.0853;16.1933;15.7927;
asm;males_aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.53;;;;;;;;;;;;;;;;;;;;;;;;;;;
