geo;indicator;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
abw;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.55;;;;;;;;;;;;;;;;0.0;;;5.78;;;;;;;
afg;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.6672;;;;0.7929;;;;;
ago;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.8389999999999995;;;;;;;1.6117;;;;;;
alb;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.9081;8.1458;;;;2.5975;1.71;1.57532;;
ant;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.07;7.44;8.98;2.81;2.34;6.85;;4.26;;;;;;
are;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;1.78;
arg;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.64;;;;;;;;;;;;;10.174;9.7525;8.7554;;5.5218;6.2094;6.3909;2.4553;2.8083;2.195;2.6298;;;3.7612
arm;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.02;;7.61;7.5375;8.5917;11.19;5.4064;6.7712;9.9283;11.0149;
asm;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;;;;;;;;;;;;;;;;;;;;
atg;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.61;;;;;;;;;;;;;;;;
aus;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8026;1.4611;1.4109;1.2692;1.8962;1.5602;1.6153;1.5204;1.2603;1.4064;1.6642;1.5042;2.0656;2.2899;2.2995;1.848;1.5692;1.8253;1.6595;1.1261;0.9801;1.155;1.4876;1.0339;0.8703;0.9682;0.81;1.3749;1.2053;0.9182;1.3959;1.6929;1.1635;1.8655;1.6905;2.5661;1.6017;1.7731;1.5926
aut;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.31;;;0.0;;;;13.5614;;;0.31;;;;;0.606;0.3187;;0.4444;0.3949;0.302;;;0.95;;;1.2869
aze;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.22;;;;;;;;;;;;0.0;0.0;;0.0;;;
bdi;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.35;;;;;;;;;;;;;;;;;;;;;;;;0.23;;;33.0
bel;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.739;1.4354;;;;1.6416;;;1.0753;1.2785;1.5461
ben;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;;;;;;;;;1.0798;;;;;;
bfa;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;;;;;;;;3.153;;;
bgd;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.85;;;2.0843;;;;2.2562;;;0.6355;;;0.61;
bgr;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.2905;9.5787;4.468;;;1.1742;2.7539;2.7626;1.5942;2.2199;3.775;1.9166;2.3638;4.9568;4.6491;4.3924;2.8887;3.5644
bhr;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.86;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;
bhs;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.21;;;;;;;;5.05;;;;;3.09;;4.47;;;2.57;5.84;;7.11;;;;;;
bih;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.56;;;
blr;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.73;
blz;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.22;;;10.1;3.66;
bmu;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.97;;;;;;;;;;1.79;;2.61;;0.83;;;
bol;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.42;18.85;;18.7;17.92;;2.07;;;4.49;;;;;;;;;;2.0275;2.2302;;;1.9092;;1.2355;;;;0.6723;0.58;0.835
bra;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.44;;;;;1.5625;1.6705;2.7382;2.9609;2.4488;;1.956;2.3808;2.4048;1.5281;2.5006;1.6033;1.7594;1.3859;2.0133;;1.2351;1.453;1.1091;1.1488;1.6456;2.4251;3.1852
brb;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.69;;;;;;;;;;;;;;4.17;8.7;;;3.45;0.0;0.0;3.23;
brn;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6993;;;
btn;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2;;;;0.0;3.8;0.0;0.0;0.0;0.0;;;
bwa;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.24;;;;;;3.58;;;;;;;;;;;;;;;3.31;;;;0.21;;;;;;;
can;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3568;2.4356;1.7291;1.8827;1.8543;1.9274;2.7324;2.3227;2.4487;2.3229;2.5227;2.3305;1.9077;2.0205;1.6275;3.4837;4.4118;5.5554;4.6718;3.8571;3.6161;2.9741;2.6983;3.0224;2.5343;2.8961;3.05;3.5281;3.1372;3.2151;4.6029;3.6523;2.7745;4.8185;5.0384;4.9115;4.7192;4.7361;4.7828;4.8486;5.455;5.4083
che;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.569;0.336;0.925;0.16399999999999998;0.8059999999999999;;;;;1.56;;;0.7804;0.5758;0.5177;0.7604;;;0.6838;0.8679;0.5376;0.7724;0.6671;0.7244;1.4586;0.4531;0.4768
chl;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.07;2.64;;1.02;;1.37;1.17;8.3638;1.48;2.9015;0.73;3.2109;0.97;3.156;2.06;1.466;3.927;4.343999999999999;3.1010000000000004;3.8930000000000002;3.437;2.614;2.822;3.7230000000000003;2.519;2.9410000000000003;4.312;3.4445;3.0912;2.4829;2.3635;3.3682;2.7003;2.7845;2.8175
civ;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.3965;;;;
cmr;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.36;;;;;;;
cod;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.925;;;;;;;2.9344;;;;;
cog;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.3555;;;;;;;;;;;;
cok;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.65;;;;;;
col;males_aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.9;2.39;;;3.78;;;;;6.484;6.832999999999999;7.705;5.113;4.937;;5.265;4.958;5.888;4.9789;5.3638;5.1682;4.3136;4.1388;4.2482;4.3045;3.8629
