geo;indicator;1995;2003;2007
are;math_achievement_4th_grade;;;444.0
arm;math_achievement_4th_grade;;456.0;500.0
aus;math_achievement_4th_grade;495.0;499.0;516.0
aut;math_achievement_4th_grade;531.0;;505.0
can;math_achievement_4th_grade;514.0;509.0;515.0
col;math_achievement_4th_grade;;;355.0
cze;math_achievement_4th_grade;541.0;;486.0
deu;math_achievement_4th_grade;;;525.0
dnk;math_achievement_4th_grade;;;523.0
dza;math_achievement_4th_grade;;;378.0
gbr;math_achievement_4th_grade;485.0;527.0;537.0
geo;math_achievement_4th_grade;;;438.0
hkg;math_achievement_4th_grade;557.0;575.0;607.0
hun;math_achievement_4th_grade;521.0;529.0;510.0
irn;math_achievement_4th_grade;387.0;389.0;402.0
ita;math_achievement_4th_grade;;503.0;507.0
jpn;math_achievement_4th_grade;567.0;565.0;568.0
kaz;math_achievement_4th_grade;;;549.0
kwt;math_achievement_4th_grade;;;316.0
ltu;math_achievement_4th_grade;;534.0;530.0
lva;math_achievement_4th_grade;499.0;533.0;537.0
mar;math_achievement_4th_grade;;347.0;341.0
nld;math_achievement_4th_grade;549.0;540.0;535.0
nor;math_achievement_4th_grade;476.0;451.0;473.0
nzl;math_achievement_4th_grade;469.0;496.0;492.0
qat;math_achievement_4th_grade;;;296.0
rus;math_achievement_4th_grade;;532.0;544.0
sgp;math_achievement_4th_grade;590.0;594.0;599.0
slv;math_achievement_4th_grade;;;330.0
svk;math_achievement_4th_grade;;;496.0
svn;math_achievement_4th_grade;462.0;479.0;502.0
swe;math_achievement_4th_grade;;;503.0
tun;math_achievement_4th_grade;;339.0;327.0
twn;math_achievement_4th_grade;;564.0;576.0
ukr;math_achievement_4th_grade;;;469.0
usa;math_achievement_4th_grade;518.0;518.0;529.0
yem;math_achievement_4th_grade;;;224.0
