geo;indicator;1995;1999;2003;2007
arm;math_achievement_8th_grade;;;478.0;499.0
aus;math_achievement_8th_grade;509.0;;505.0;496.0
bgr;math_achievement_8th_grade;527.0;511.0;476.0;464.0
bhr;math_achievement_8th_grade;;;401.0;398.0
bih;math_achievement_8th_grade;;;;456.0
bwa;math_achievement_8th_grade;;;366.0;364.0
can;math_achievement_8th_grade;524.0;537.0;530.0;522.0
col;math_achievement_8th_grade;332.0;;;380.0
cyp;math_achievement_8th_grade;468.0;476.0;459.0;465.0
cze;math_achievement_8th_grade;546.0;520.0;;504.0
dza;math_achievement_8th_grade;;;;387.0
egy;math_achievement_8th_grade;;;406.0;391.0
gbr;math_achievement_8th_grade;498.0;496.0;498.0;511.0
geo;math_achievement_8th_grade;;;;410.0
gha;math_achievement_8th_grade;;;276.0;309.0
hkg;math_achievement_8th_grade;569.0;582.0;586.0;572.0
hun;math_achievement_8th_grade;527.0;532.0;529.0;517.0
idn;math_achievement_8th_grade;;403.0;411.0;405.0
irn;math_achievement_8th_grade;418.0;422.0;411.0;403.0
isr;math_achievement_8th_grade;;466.0;496.0;463.0
ita;math_achievement_8th_grade;;479.0;484.0;480.0
jor;math_achievement_8th_grade;;428.0;424.0;427.0
jpn;math_achievement_8th_grade;581.0;579.0;570.0;570.0
kor;math_achievement_8th_grade;581.0;587.0;589.0;597.0
kwt;math_achievement_8th_grade;;;;354.0
lbn;math_achievement_8th_grade;;;433.0;449.0
ltu;math_achievement_8th_grade;472.0;482.0;502.0;506.0
mys;math_achievement_8th_grade;;519.0;508.0;474.0
nor;math_achievement_8th_grade;498.0;;461.0;469.0
omn;math_achievement_8th_grade;;;;372.0
qat;math_achievement_8th_grade;;;;307.0
rou;math_achievement_8th_grade;474.0;472.0;475.0;461.0
rus;math_achievement_8th_grade;524.0;526.0;508.0;512.0
sau;math_achievement_8th_grade;;;;329.0
sgp;math_achievement_8th_grade;609.0;604.0;605.0;593.0
slv;math_achievement_8th_grade;;;;340.0
srb;math_achievement_8th_grade;;;477.0;486.0
svn;math_achievement_8th_grade;494.0;;493.0;501.0
swe;math_achievement_8th_grade;540.0;;499.0;491.0
syr;math_achievement_8th_grade;;;;395.0
tha;math_achievement_8th_grade;;467.0;;441.0
tun;math_achievement_8th_grade;;448.0;410.0;420.0
tur;math_achievement_8th_grade;;;;432.0
twn;math_achievement_8th_grade;;585.0;585.0;598.0
ukr;math_achievement_8th_grade;;;;462.0
usa;math_achievement_8th_grade;492.0;502.0;504.0;508.0
