geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
afg;mean_years_in_school_men_35_to_44_years;1.16;1.19;1.23;1.26;1.29;1.33;1.36;1.4;1.43;1.47;1.51;1.55;1.59;1.63;1.67;1.72;1.76;1.81;1.85;1.9;1.95;2.0;2.05;2.1;2.16;2.21;2.27;2.33;2.38;2.44;2.5;2.56;2.63;2.69;2.76;2.83;2.89;2.97;3.04;3.11;3.19;3.26;3.34;3.42;3.51;3.59
ago;mean_years_in_school_men_35_to_44_years;2.68;2.75;2.82;2.89;2.96;3.03;3.1;3.18;3.25;3.33;3.41;3.49;3.57;3.66;3.74;3.83;3.92;4.01;4.1;4.19;4.29;4.39;4.48;4.58;4.69;4.79;4.89;5.0;5.11;5.22;5.33;5.44;5.55;5.66;5.78;5.89;6.01;6.13;6.25;6.37;6.5;6.62;6.75;6.87;7.0;7.13
alb;mean_years_in_school_men_35_to_44_years;6.14;6.26;6.38;6.5;6.63;6.75;6.88;7.0;7.13;7.26;7.39;7.52;7.65;7.78;7.91;8.04;8.17;8.31;8.44;8.58;8.71;8.84;8.98;9.11;9.25;9.38;9.51;9.65;9.78;9.91;10.04;10.18;10.31;10.44;10.58;10.71;10.84;10.98;11.11;11.24;11.38;11.51;11.64;11.77;11.91;12.04
and;mean_years_in_school_men_35_to_44_years;7.45;7.59;7.72;7.85;7.99;8.12;8.26;8.4;8.53;8.67;8.81;8.95;9.09;9.23;9.37;9.51;9.65;9.79;9.93;10.07;10.21;10.35;10.49;10.63;10.77;10.91;11.05;11.19;11.32;11.46;11.6;11.74;11.87;12.01;12.14;12.27;12.41;12.54;12.67;12.8;12.93;13.05;13.18;13.31;13.43;13.55
are;mean_years_in_school_men_35_to_44_years;4.2;4.32;4.44;4.57;4.7;4.84;4.98;5.12;5.27;5.43;5.59;5.75;5.93;6.11;6.3;6.49;6.69;6.91;7.13;7.36;7.6;7.86;8.13;8.41;8.7;9.01;9.25;9.48;9.7;9.92;10.13;10.33;10.53;10.72;10.9;11.08;11.26;11.43;11.6;11.77;11.93;12.09;12.24;12.39;12.54;12.69
arg;mean_years_in_school_men_35_to_44_years;5.94;6.05;6.17;6.28;6.4;6.52;6.63;6.75;6.87;6.99;7.11;7.22;7.34;7.46;7.58;7.7;7.82;7.94;8.06;8.18;8.3;8.41;8.53;8.64;8.76;8.87;8.99;9.11;9.23;9.36;9.48;9.61;9.74;9.87;10.0;10.13;10.26;10.39;10.52;10.65;10.78;10.92;11.05;11.18;11.31;11.45
arm;mean_years_in_school_men_35_to_44_years;6.99;7.12;7.25;7.38;7.51;7.64;7.77;7.91;8.04;8.17;8.3;8.43;8.56;8.69;8.81;8.94;9.06;9.19;9.31;9.43;9.55;9.66;9.78;9.89;10.0;10.11;10.22;10.33;10.44;10.56;10.67;10.79;10.9;11.02;11.14;11.27;11.39;11.51;11.64;11.77;11.9;12.03;12.15;12.28;12.41;12.54
atg;mean_years_in_school_men_35_to_44_years;6.75;6.88;7.01;7.14;7.26;7.39;7.53;7.66;7.79;7.92;8.06;8.19;8.33;8.47;8.6;8.74;8.88;9.02;9.16;9.3;9.44;9.58;9.72;9.86;10.0;10.14;10.28;10.42;10.56;10.7;10.84;10.98;11.11;11.25;11.39;11.53;11.66;11.8;11.93;12.07;12.2;12.33;12.47;12.6;12.73;12.86
aus;mean_years_in_school_men_35_to_44_years;8.33;8.47;8.61;8.75;8.89;9.03;9.17;9.31;9.45;9.59;9.73;9.86;10.0;10.13;10.26;10.39;10.52;10.65;10.78;10.9;11.02;11.15;11.26;11.38;11.5;11.61;11.73;11.85;11.96;12.08;12.2;12.31;12.43;12.55;12.67;12.8;12.92;13.04;13.16;13.28;13.41;13.53;13.65;13.77;13.9;14.02
aut;mean_years_in_school_men_35_to_44_years;8.1;8.23;8.35;8.48;8.6;8.72;8.84;8.96;9.08;9.19;9.31;9.42;9.54;9.65;9.76;9.86;9.97;10.07;10.17;10.27;10.37;10.46;10.55;10.64;10.72;10.8;10.9;11.0;11.1;11.21;11.32;11.43;11.54;11.65;11.77;11.88;12.0;12.12;12.23;12.35;12.47;12.59;12.71;12.83;12.95;13.07
aze;mean_years_in_school_men_35_to_44_years;7.63;7.77;7.9;8.04;8.18;8.32;8.45;8.59;8.73;8.86;9.0;9.14;9.27;9.41;9.54;9.67;9.8;9.93;10.06;10.18;10.31;10.43;10.55;10.67;10.78;10.9;11.0;11.11;11.22;11.33;11.44;11.55;11.66;11.77;11.88;11.99;12.1;12.21;12.32;12.44;12.55;12.67;12.78;12.9;13.02;13.14
