geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
afg;mean_years_in_school_women_15_to_24_years;0.48;0.5;0.51;0.53;0.55;0.57;0.59;0.61;0.63;0.65;0.67;0.69;0.72;0.74;0.77;0.79;0.82;0.85;0.88;0.91;0.94;0.97;1.0;1.04;1.07;1.11;1.15;1.19;1.23;1.27;1.32;1.36;1.41;1.45;1.5;1.55;1.6;1.66;1.71;1.77;1.82;1.88;1.94;2.0;2.07;2.13
ago;mean_years_in_school_women_15_to_24_years;1.64;1.69;1.74;1.8;1.85;1.91;1.97;2.03;2.1;2.16;2.23;2.3;2.37;2.44;2.52;2.59;2.67;2.75;2.84;2.92;3.01;3.1;3.19;3.29;3.38;3.48;3.59;3.7;3.81;3.92;4.04;4.15;4.27;4.39;4.52;4.64;4.77;4.9;5.03;5.16;5.3;5.43;5.57;5.71;5.85;6.0
alb;mean_years_in_school_women_15_to_24_years;4.99;5.11;5.24;5.36;5.49;5.62;5.75;5.88;6.02;6.15;6.29;6.43;6.57;6.71;6.85;6.99;7.13;7.28;7.42;7.57;7.72;7.87;8.02;8.17;8.32;8.47;8.62;8.77;8.93;9.08;9.24;9.4;9.56;9.71;9.88;10.04;10.2;10.36;10.53;10.69;10.86;11.03;11.19;11.36;11.53;11.7
and;mean_years_in_school_women_15_to_24_years;9.5;9.67;9.84;10.0;10.17;10.34;10.51;10.67;10.84;11.01;11.17;11.34;11.5;11.67;11.83;11.99;12.15;12.31;12.46;12.62;12.77;12.93;13.08;13.23;13.38;13.52;13.67;13.81;13.95;14.09;14.23;14.37;14.5;14.63;14.76;14.89;15.02;15.14;15.27;15.39;15.51;15.62;15.74;15.85;15.96;16.06
are;mean_years_in_school_women_15_to_24_years;4.18;4.31;4.45;4.58;4.72;4.87;5.02;5.18;5.34;5.5;5.68;5.85;6.03;6.22;6.42;6.62;6.83;7.04;7.26;7.49;7.73;7.98;8.24;8.5;8.78;9.07;9.3;9.54;9.76;9.99;10.21;10.42;10.63;10.83;11.03;11.23;11.43;11.62;11.8;11.99;12.17;12.34;12.52;12.69;12.85;13.02
arg;mean_years_in_school_women_15_to_24_years;6.64;6.78;6.92;7.06;7.2;7.34;7.48;7.62;7.76;7.9;8.04;8.18;8.32;8.46;8.59;8.73;8.86;9.0;9.13;9.25;9.38;9.51;9.63;9.74;9.86;9.97;10.1;10.23;10.36;10.49;10.63;10.77;10.91;11.05;11.19;11.34;11.48;11.63;11.78;11.93;12.07;12.22;12.37;12.52;12.67;12.82
arm;mean_years_in_school_women_15_to_24_years;5.72;5.86;5.99;6.13;6.27;6.41;6.55;6.69;6.83;6.97;7.12;7.26;7.4;7.54;7.69;7.83;7.97;8.11;8.25;8.39;8.53;8.67;8.81;8.94;9.08;9.22;9.35;9.49;9.63;9.77;9.92;10.06;10.21;10.36;10.52;10.67;10.83;10.99;11.15;11.31;11.47;11.63;11.8;11.96;12.12;12.29
atg;mean_years_in_school_women_15_to_24_years;7.95;8.11;8.28;8.44;8.6;8.77;8.94;9.1;9.27;9.44;9.6;9.77;9.94;10.11;10.27;10.44;10.61;10.77;10.94;11.11;11.27;11.44;11.6;11.76;11.92;12.08;12.24;12.4;12.56;12.71;12.87;13.02;13.17;13.32;13.47;13.62;13.76;13.9;14.05;14.19;14.32;14.46;14.59;14.72;14.85;14.98
aus;mean_years_in_school_women_15_to_24_years;8.91;9.07;9.23;9.39;9.54;9.7;9.86;10.01;10.17;10.32;10.47;10.62;10.77;10.92;11.06;11.21;11.35;11.49;11.62;11.76;11.89;12.02;12.15;12.27;12.39;12.51;12.64;12.76;12.88;13.01;13.14;13.26;13.39;13.52;13.65;13.77;13.9;14.03;14.16;14.29;14.42;14.55;14.68;14.81;14.93;15.06
aut;mean_years_in_school_women_15_to_24_years;6.54;6.67;6.81;6.93;7.06;7.19;7.32;7.45;7.58;7.7;7.83;7.95;8.07;8.19;8.31;8.43;8.55;8.66;8.78;8.89;8.99;9.1;9.2;9.3;9.4;9.49;9.61;9.73;9.86;9.99;10.12;10.26;10.4;10.55;10.69;10.84;10.99;11.14;11.29;11.45;11.6;11.76;11.91;12.07;12.23;12.38
