geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
afg;mean_years_in_school_women_25_to_34_years;0.21;0.22;0.22;0.23;0.24;0.25;0.26;0.27;0.27;0.28;0.29;0.3;0.32;0.33;0.34;0.35;0.36;0.37;0.39;0.4;0.42;0.43;0.45;0.46;0.48;0.49;0.51;0.53;0.55;0.57;0.59;0.61;0.63;0.65;0.68;0.7;0.72;0.75;0.78;0.8;0.83;0.86;0.89;0.92;0.95;0.98
ago;mean_years_in_school_women_25_to_34_years;1.42;1.46;1.51;1.56;1.61;1.66;1.71;1.76;1.82;1.88;1.94;2.0;2.06;2.12;2.19;2.26;2.33;2.4;2.47;2.55;2.63;2.71;2.79;2.87;2.96;3.05;3.14;3.24;3.33;3.43;3.53;3.64;3.74;3.85;3.96;4.07;4.19;4.3;4.42;4.54;4.66;4.79;4.92;5.04;5.18;5.31
alb;mean_years_in_school_women_25_to_34_years;5.33;5.47;5.6;5.74;5.87;6.01;6.16;6.3;6.44;6.59;6.74;6.89;7.04;7.19;7.34;7.5;7.65;7.81;7.96;8.12;8.28;8.44;8.6;8.76;8.91;9.07;9.23;9.39;9.55;9.71;9.87;10.03;10.18;10.34;10.5;10.66;10.82;10.98;11.14;11.3;11.46;11.62;11.78;11.94;12.1;12.26
and;mean_years_in_school_women_25_to_34_years;8.1;8.26;8.43;8.59;8.76;8.93;9.09;9.26;9.43;9.6;9.77;9.94;10.11;10.27;10.44;10.61;10.78;10.95;11.11;11.28;11.45;11.61;11.78;11.94;12.1;12.26;12.42;12.58;12.73;12.89;13.04;13.19;13.35;13.49;13.64;13.79;13.93;14.07;14.21;14.35;14.49;14.62;14.75;14.88;15.01;15.13
are;mean_years_in_school_women_25_to_34_years;4.11;4.24;4.38;4.52;4.67;4.82;4.97;5.13;5.3;5.47;5.65;5.83;6.02;6.21;6.42;6.62;6.84;7.07;7.3;7.54;7.79;8.05;8.32;8.6;8.89;9.2;9.44;9.69;9.92;10.15;10.37;10.59;10.8;11.01;11.21;11.41;11.61;11.79;11.98;12.16;12.34;12.52;12.69;12.85;13.02;13.18
arg;mean_years_in_school_women_25_to_34_years;6.36;6.51;6.65;6.79;6.94;7.09;7.23;7.38;7.53;7.68;7.83;7.98;8.13;8.28;8.43;8.58;8.73;8.87;9.02;9.17;9.31;9.45;9.6;9.74;9.87;10.01;10.15;10.3;10.44;10.59;10.74;10.89;11.04;11.19;11.34;11.49;11.65;11.8;11.95;12.1;12.25;12.4;12.55;12.7;12.85;13.0
arm;mean_years_in_school_women_25_to_34_years;6.39;6.54;6.69;6.84;7.0;7.15;7.3;7.46;7.61;7.77;7.93;8.08;8.24;8.39;8.55;8.7;8.85;9.0;9.15;9.3;9.45;9.59;9.74;9.88;10.02;10.16;10.3;10.44;10.58;10.72;10.86;11.0;11.15;11.29;11.44;11.59;11.74;11.89;12.04;12.19;12.34;12.49;12.64;12.8;12.95;13.1
atg;mean_years_in_school_women_25_to_34_years;7.3;7.46;7.61;7.77;7.93;8.1;8.26;8.42;8.59;8.75;8.92;9.09;9.25;9.42;9.59;9.76;9.93;10.1;10.26;10.43;10.6;10.77;10.94;11.1;11.27;11.44;11.6;11.76;11.93;12.09;12.25;12.41;12.57;12.72;12.88;13.03;13.18;13.33;13.48;13.63;13.77;13.92;14.06;14.2;14.34;14.47
aus;mean_years_in_school_women_25_to_34_years;8.34;8.5;8.65;8.81;8.97;9.12;9.28;9.43;9.58;9.73;9.88;10.03;10.17;10.31;10.45;10.59;10.73;10.86;10.99;11.11;11.24;11.36;11.48;11.6;11.72;11.84;11.96;12.08;12.21;12.34;12.46;12.59;12.73;12.86;13.0;13.13;13.27;13.41;13.55;13.69;13.84;13.98;14.12;14.26;14.4;14.54
aut;mean_years_in_school_women_25_to_34_years;7.11;7.25;7.4;7.54;7.69;7.83;7.97;8.12;8.26;8.4;8.54;8.68;8.82;8.96;9.1;9.23;9.37;9.5;9.63;9.75;9.88;10.0;10.12;10.24;10.35;10.46;10.59;10.72;10.85;10.99;11.13;11.27;11.41;11.55;11.69;11.84;11.98;12.13;12.28;12.42;12.57;12.71;12.86;13.0;13.15;13.29
