geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
afg;mean_years_in_school_women_percent_men_25_to_34_years;15.44118;15.82734;15.384620000000002;15.64626;15.894039999999999;16.12903;16.3522;16.564420000000002;16.16766;16.374270000000003;16.47727;16.66667;17.2973;17.36842;17.4359;17.5;17.560979999999997;17.61905;18.13953;18.09955;18.58407;18.53448;18.90756;18.85246;19.2;19.140620000000002;19.39163;19.7026;19.92754;20.14134;20.344829999999998;20.53872;20.723679999999998;20.90032;21.31661;21.40673;21.492539999999998;21.86589;22.22222;22.28412;22.55435;22.872339999999998;23.11688;23.35025;23.51485;23.72881
ago;mean_years_in_school_women_percent_men_25_to_34_years;51.26354;51.40845;51.890029999999996;52.34899;52.78689;53.205130000000004;53.4375;53.822630000000004;54.328359999999996;54.8105;55.27066;55.71031;56.130790000000005;56.38298;56.88312;57.50636;57.9602;58.39416;58.669830000000005;59.302330000000005;59.90888;60.35635;60.78431;61.194030000000005;61.79541;62.37219;62.8;63.52941;63.91555;64.47368;65.00921;65.70397;66.19469000000001;66.72444;67.34694;67.83333;68.46405;68.91026;69.49686;70.06173000000001;70.49924;71.17385;71.72012;72.2063;72.85513;73.34254
alb;mean_years_in_school_women_percent_men_25_to_34_years;87.37705;87.94211999999999;88.32808;88.85449;89.20973000000001;89.70149;90.19034;90.64748;90.96045;91.40083;91.95089;92.35925;92.75362;93.13472;93.50318;93.98496;94.21181999999999;94.66667;94.98807;95.41716;95.72254000000001;96.12756;96.52076;96.90265;97.05882;97.42213000000001;97.77542;98.11912;98.45361;98.67886;98.99699;99.30693000000001;99.51124;99.7107;100.0;100.28222;100.46425;100.73394;100.99728;101.25448;101.41593;101.66229;101.90311;102.05128;102.28233;102.50836
and;mean_years_in_school_women_percent_men_25_to_34_years;97.00599;97.40566;97.79581999999999;98.05936;98.42697;98.78319;99.12759;99.46294;99.78836;100.10428;100.4111;100.70922;100.999;101.18226999999999;101.35922;101.62835;101.98675;102.2409;102.39631;102.63875999999999;102.87510999999999;103.01686;103.24277;103.4662;103.59589;103.81033000000001;103.93305;104.13906999999999;104.17349;104.37246999999999;104.48718000000001;104.59952;104.78806999999999;104.8174;104.92308;105.10671;105.13208;105.2356;105.25926000000001;105.35977;105.45852;105.48341;105.50787;105.53191000000001;105.62983999999999;105.58268999999999
are;mean_years_in_school_women_percent_men_25_to_34_years;90.9292;91.37931;92.01680999999999;92.43354000000001;93.02789;93.59223;93.95085;94.47514;95.1526;95.62937;96.08844;96.52318000000001;97.09676999999999;97.48823;98.01527;98.36553;98.84393;99.29775;99.72678;100.1328;100.51613;100.87719;101.21655;101.53483;101.83276;102.22222;102.38611999999999;102.75716;103.01142;103.25534;103.49301;103.72184;103.84615;104.06427;104.27906999999999;104.39158;104.59459;104.70693;104.8119;104.91803;105.11073;105.21008;105.3112;105.32786999999999;105.51053;105.52441999999999
arg;mean_years_in_school_women_percent_men_25_to_34_years;96.65653;97.16418;97.50733000000001;97.83861999999999;98.30028;98.74651999999999;99.0411;99.46092;99.86737;100.2611;100.51348;100.88495999999999;101.24533000000001;101.59509;101.9347;102.2646;102.58519;102.781;103.08570999999999;103.49887;103.67483;103.9604;104.34783;104.61869;104.77707;105.03673;105.29046000000001;105.53278999999999;105.66802;105.9;106.12648;106.34766;106.56371000000001;106.67302;106.8803;106.98324;107.2744;107.37033999999998;107.46403000000001;107.55556000000001;107.73966999999999;107.82609;107.91058000000001;107.9932;108.07401000000002;108.24313000000001
arm;mean_years_in_school_women_percent_men_25_to_34_years;91.67862;92.11268000000001;92.53112;92.93478;93.45794000000001;93.83202;94.19355;94.67005;94.88778;95.33742;95.77295;96.0761;96.48711999999999;96.77046999999999;97.26961999999999;97.53363;97.79006;98.14613;98.493;98.83103;99.16055;99.37824;99.69294000000001;100.0;100.3003;100.49455999999999;100.88149;101.06486;101.34100000000001;101.61137;101.78069;102.04082;102.29358;102.45009;102.693;102.93073000000001;103.16344000000001;103.3913;103.52537;103.74468;103.87205;103.99667;104.20445;104.40456999999999;104.51977;104.63259000000001
atg;mean_years_in_school_women_percent_men_25_to_34_years;102.96191999999999;103.3241;103.53741;103.87701;104.20499000000001;104.51613;104.82234;105.1186;105.39877;105.67633000000001;105.93824;106.19158999999999;106.44418999999999;106.68177;106.91193;107.13502;107.35135;107.56123999999998;107.66001999999999;107.85936000000001;108.05301000000001;108.24121000000001;108.42418;108.5044;108.67888;108.84872;109.02256000000001;109.09091000000001;109.24908;109.31284;109.375;109.53222;109.59024;109.56071999999999;109.71038999999999;109.68013;109.74188000000001;109.71193000000001;109.77198999999999;109.83078;109.80861000000002;109.86582;109.84375;109.82212;109.80091999999999;109.78756000000001
aus;mean_years_in_school_women_percent_men_25_to_34_years;95.20548000000001;95.50562;95.68584;96.07415;96.34801;96.50794;96.86848;97.01646;97.25888;97.49499;97.72502;97.94922;98.07136;98.28408;98.39925;98.60335;98.80295;98.99727;99.09829;99.19643;99.38108000000001;99.47461;99.65278;99.74205;99.91475;100.08453;100.1675;100.33223000000001;100.49383;100.65253;100.72757;100.88141;101.11199;101.18016999999999;101.40406;101.46831999999999;101.60795999999999;101.74507;101.8797;102.01191999999999;102.21566;102.34261;102.46734000000001;102.58993000000001;102.63721;102.75618
aut;mean_years_in_school_women_percent_men_25_to_34_years;85.04785;85.39458;85.94657;86.36884;86.89265999999999;87.29097;87.67877;88.16504;88.62661;89.07741;89.42408;89.85507;90.36885;90.78014;91.27382;91.65839;92.13373;92.50243;92.95366999999999;93.30144;93.73814;94.07338;94.49113;94.90269;95.30386999999999;95.69991;96.098;96.40288000000001;96.70232;97.08481;97.4606;97.74501;98.10834;98.3816;98.64979;98.99665999999999;99.17219;99.50779;99.7563;100.0;100.23923;100.39494;100.70478;100.85337;101.0761;101.21858
aze;mean_years_in_school_women_percent_men_25_to_34_years;86.86327;87.23684;87.71021999999999;88.16794;88.625;89.05289;89.48005;89.77408;90.28103;90.6682;91.14641999999999;91.39665;91.85022;92.29099000000001;92.62031999999999;92.93249;93.34026999999999;93.73716999999999;94.02229;94.39439;94.66403000000001;95.01953;95.3668;95.70611;95.9434;96.35854;96.58041;96.80073;97.10407;97.40143;97.69299000000001;97.97891;98.17390999999999;98.44960999999999;98.63598;98.90203000000001;99.08027;99.42005;99.58983;99.83753;100.0;100.23904;100.47393000000001;100.70423000000001;100.85271;101.07526999999999
bdi;mean_years_in_school_women_percent_men_25_to_34_years;54.34783;55.02646;55.15464;55.778890000000004;56.37255;56.45933;56.74419;57.72727;57.9646;58.189659999999996;58.823530000000005;59.426230000000004;60.0;60.54688;60.8365;61.71004;61.95652;62.544169999999994;63.10345;63.636359999999996;64.2623;64.74359;65.3125;65.85365999999999;66.66667;66.95652;67.70538;68.50829;69.0027;69.47368;70.17995;70.85427;71.32353;71.94245;72.36534;72.76888000000001;73.37808000000001;73.96061;74.5182;75.05241;75.40984;75.9519;76.62083;77.11538;77.58945;77.90055
