geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;measles_deaths_in_children_1_59_months_total_deaths;18868.05461;18503.61015;18466.389880000002;18699.34373;19201.93425;18784.43564;19639.53445;19700.25019;20282.24159;21049.69171;21602.50846;21733.24784;21398.13902;7901.94142;2638.17365;2393.45943;3162.99864;3839.1311299999998;5771.12701;7509.27835;18550.48966;22479.121759999998;21465.60906;6977.03598;3077.58473;1731.53411;555.77383
ago;measles_deaths_in_children_1_59_months_total_deaths;12545.713609999999;12588.402090000001;12339.0422;11834.18361;11248.5116;10723.6346;10489.24605;9952.205759999999;9107.3081;9083.393320000001;8891.26775;7925.8237;8884.470720000001;9486.98137;2065.06703;1520.33033;1590.7781300000001;863.0963199999999;1279.08373;2606.67105;1318.36104;1578.9931900000001;802.91173;745.9494900000001;1175.9979;348.48084;380.01144
alb;measles_deaths_in_children_1_59_months_total_deaths;332.53154;0.02387;0.03781;0.019180000000000003;0.07572999999999999;0.03467;2.68281;5.0346;3.77394;1.46928;1.16785;0.030389999999999997;0.02544;0.01192;0.01012;0.00835;0.0885;0.026760000000000003;0.02476;0.00117;0.010409999999999999;0.026619999999999998;0.00831;0.0006;0.00233;0.16714;0.16649
and;measles_deaths_in_children_1_59_months_total_deaths;0.00943;0.00427;0.00472;0.00325;0.0024100000000000002;0.00248;0.00122;0.00112;0.00099;0.00041;0.00037999999999999997;0.0009;0.00018999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.9999999999999995e-05;5.9999999999999995e-05
are;measles_deaths_in_children_1_59_months_total_deaths;64.42535;53.43031;43.74212;36.38674;30.787129999999998;24.01523;20.82412;17.3613;15.18718;8.05675;3.61936;2.9559599999999997;0.59278;0.5544;0.9402299999999999;1.5929;2.8429;5.70292;5.73425;5.19883;5.48816;5.6122;5.60078;5.23654;4.97248;4.58188;0.8365799999999999
arg;measles_deaths_in_children_1_59_months_total_deaths;23.81994;24.83727;19.003870000000003;12.33668;7.515689999999999;2.88964;2.93805;3.4644;5.38889;3.6451300000000004;3.01063;2.71814;2.58359;2.44395;2.2439400000000003;2.14127;2.0003599999999997;1.93596;1.84;1.71435;1.64411;1.56701;1.4608;1.30711;1.2986799999999998;1.23684;1.19155
arm;measles_deaths_in_children_1_59_months_total_deaths;0.11045999999999999;0.04598;0.03157;0.02555;0.02877;0.01949;0.03637;0.025730000000000003;0.007859999999999999;0.0049700000000000005;0.0038200000000000005;0.00337;0.0033;0.0033799999999999998;0.0043100000000000005;0.0050799999999999994;0.00532;0.0076;0.01273;0.00765;0.007909999999999999;0.009859999999999999;0.01747;0.02199;0.02349;0.02166;0.01811
asm;measles_deaths_in_children_1_59_months_total_deaths;0.78487;0.7722899999999999;0.76339;0.00099;0.00091;0.64208;0.55643;0.46906000000000003;0.39276;0.33897;0.00056;0.0005099999999999999;0.0005;0.00144;0.00045999999999999996;0.00047000000000000004;0.00043;0.00045;0.00043;0.00044;0.00041;0.00039;0.00033999999999999997;0.00035;0.00036;0.13881;0.14023
atg;measles_deaths_in_children_1_59_months_total_deaths;0.00078;0.00039;0.00028;0.00022;0.00018999999999999998;0.00018;0.00018999999999999998;0.00022;0.00027;0.00033;0.0004;0.00058;0.00056;0.00059;0.0006799999999999999;0.0007;0.0007599999999999999;0.00082;0.00086;0.0009;0.001;0.0011300000000000001;0.00134;0.0016;0.0016;0.00135;0.00125
aus;measles_deaths_in_children_1_59_months_total_deaths;0.5475300000000001;0.52148;0.49838999999999994;0.38313;0.34894000000000003;0.26159;0.11739000000000001;0.07321;0.06506;0.05563;0.0503;0.051910000000000005;0.05662999999999999;0.05975;0.0729;0.06788999999999999;0.07459;0.08092;0.08749;0.09698;0.11094000000000001;0.09954;0.09535;0.10555999999999999;0.09527999999999999;0.09068999999999999;0.08697
