geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;meningitis_deaths_in_children_1_59_months_total_deaths;4171.83626;4181.4358600000005;4267.10454;4436.41853;4650.48194;4869.90077;4949.182879999999;5046.89441;5039.7918899999995;4976.98294;4975.5745799999995;5110.51076;4788.01176;6135.96414;6684.10956;6668.75296;6453.79206;6210.8559;5749.53325;5302.8898899999995;3885.1568;3286.5166600000002;3222.43275;4649.68487;5017.573;5109.781870000001;5220.72036
ago;meningitis_deaths_in_children_1_59_months_total_deaths;1760.6957300000001;1895.9401899999998;1936.7941899999998;2049.4873399999997;1958.0258;1646.18863;1652.78569;1705.2984600000002;1886.50388;1868.1835399999998;2028.40372;2222.10835;2188.6016;2147.6915;2400.16272;2463.3389899999997;2532.00376;2652.75842;2708.92739;2708.83367;2744.42099;2612.55408;2485.4016300000003;2297.42345;2171.16248;2081.74996;1954.20957
alb;meningitis_deaths_in_children_1_59_months_total_deaths;79.30927;87.25820999999999;84.67453;79.51052;71.84373000000001;62.22891;52.52893;43.76567;36.6968;30.96854;26.79076;23.6978;20.66359;17.78291;15.52184;13.628379999999998;12.35355;10.87027;9.64049;8.86544;8.37612;8.11265;7.98767;7.936;7.90061;7.878360000000001;7.83778
and;meningitis_deaths_in_children_1_59_months_total_deaths;0.11239;0.11753;0.12226;0.11429;0.1039;0.10077;0.09364;0.08637;0.0822;0.07687000000000001;0.07148;0.06658;0.06067;0.06341000000000001;0.06512000000000001;0.06641;0.06515;0.06427999999999999;0.06369;0.06295;0.0625;0.06377999999999999;0.06493;0.06357;0.06348999999999999;0.06302999999999999;0.06172999999999999
are;meningitis_deaths_in_children_1_59_months_total_deaths;18.48072;14.802710000000001;16.0977;13.79995;13.43963;13.17179;12.60772;11.8205;13.13026;11.2645;10.7619;10.28073;9.85277;9.326039999999999;8.816460000000001;8.08875;7.48387;8.94632;10.30614;11.79005;13.138620000000001;13.734720000000001;13.98415;13.849979999999999;13.49816;12.78252;11.83329
arg;meningitis_deaths_in_children_1_59_months_total_deaths;431.64834;413.08092;420.53777;410.47691000000003;346.13469;323.54442;296.07701000000003;275.24211;294.0525;235.4481;218.76013999999998;209.32781;205.62956;201.17632;188.67701;175.68044;165.47073;155.67711;149.15056;144.80727;139.33303999999998;130.78482;199.41806;208.3552;113.70476000000001;109.93308999999999;105.57643
arm;meningitis_deaths_in_children_1_59_months_total_deaths;10.24658;9.58773;9.21212;8.570089999999999;7.1723300000000005;6.77532;6.34933;5.59215;5.78632;5.42282;5.20143;4.74643;4.31657;3.8908;3.50055;3.1181200000000002;2.72573;2.44211;2.23157;2.0279599999999998;1.86722;1.7154099999999999;1.59931;1.5104899999999999;1.46094;1.49873;1.39536
asm;meningitis_deaths_in_children_1_59_months_total_deaths;0.46379;0.4687;0.46387;0.48293;0.47912;0.45435;0.45521000000000006;0.46263999999999994;0.42646999999999996;0.37755;0.36179;0.34212;0.34988;0.34351;0.33799;0.32353000000000004;0.30851999999999996;0.29025;0.26978;0.25085;0.2359;0.21761999999999998;0.20312;0.19924;0.19330999999999998;0.18102000000000001;0.17099
atg;meningitis_deaths_in_children_1_59_months_total_deaths;0.32011999999999996;0.30312;0.31756;0.33323;0.33696;0.34317;0.35214;0.361;0.36700000000000005;0.36885;0.37314;0.35501;0.33468000000000003;0.30915;0.30594;0.27754;0.26498;0.25066;0.23309000000000002;0.2225;0.21719000000000002;0.21011;0.20155;0.20072;0.19641;0.19247999999999998;0.18775999999999998
aus;meningitis_deaths_in_children_1_59_months_total_deaths;42.34897;39.207640000000005;37.96011;35.70075;32.93457;31.520559999999996;29.771440000000002;27.667170000000002;26.78383;26.44915;24.162470000000003;23.56381;21.46293;20.75555;19.653129999999997;18.80034;17.505370000000003;15.89073;15.043560000000001;14.40058;14.06792;12.819980000000001;12.29798;11.23214;10.78444;10.65163;10.4406
