geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;murder_total_deaths;2072.5;2201.63;2382.36;2600.48;2827.18;3024.42;3160.39;3269.36;3354.77;3453.83;3588.97;3787.23;3988.34;4313.34;4568.69;4749.95;4846.04;4910.54;4955.37;4986.24;4936.5;5019.8;5192.77;5564.9;5824.79;6058.69;6267.49
ago;murder_total_deaths;526.99;532.06;542.54;568.97;597.54;607.67;581.64;582.06;667.48;660.02;671.53;694.39;718.62;765.77;818.06;844.8;876.0;903.57;932.99;958.2;977.71;989.93;1008.86;1026.61;1050.14;1083.41;1086.29
alb;murder_total_deaths;159.94;181.85;200.69;220.9;238.84;266.7;294.78;327.14;338.32;308.88;259.69;224.28;189.34;155.19;124.09;94.37;82.87;82.72;77.48;67.48;68.42;68.48;68.48;68.67;68.88;69.24;69.53
and;murder_total_deaths;0.48;0.51;0.54;0.55;0.55;0.53;0.51;0.5;0.49;0.48;0.47;0.46;0.45;0.46;0.49;0.5;0.51;0.52;0.52;0.53;0.54;0.54;0.54;0.55;0.55;0.55;0.55
are;murder_total_deaths;31.39;31.61;32.19;33.21;34.37;35.83;37.06;38.45;40.21;42.09;43.85;46.8;50.21;53.24;56.2;62.95;69.32;81.73;94.92;109.47;121.66;128.52;132.11;133.29;133.37;133.02;131.87
arg;murder_total_deaths;1959.98;1981.99;2026.22;2066.7;2125.67;2142.22;2176.1;2188.01;2203.37;2267.27;2349.78;2393.16;2418.44;2321.45;2232.23;2202.05;2226.72;2210.24;2282.28;2325.99;2389.1;2455.08;2540.79;2628.34;2683.01;2649.82;2607.66
arm;murder_total_deaths;164.92;186.43;200.59;220.2;215.34;205.46;194.52;174.51;164.19;154.09;137.34;129.3;126.24;123.52;127.37;131.45;134.46;132.95;134.7;132.26;127.86;126.24;123.92;117.85;114.17;114.1;115.26
asm;murder_total_deaths;3.09;3.16;3.2;3.21;3.25;3.29;3.35;3.41;3.39;3.41;3.53;3.68;3.8;3.82;3.77;3.75;3.67;3.6;3.57;3.62;3.69;3.74;3.81;3.91;4.01;4.09;4.14
atg;murder_total_deaths;2.21;2.3;2.41;2.48;2.61;2.79;2.81;2.91;3.06;3.2;3.23;3.59;3.63;3.85;4.08;4.5;4.61;4.94;4.96;5.23;4.93;4.85;4.79;4.79;4.84;4.85;4.85
aus;murder_total_deaths;362.65;355.41;347.79;342.3;341.59;341.65;338.85;338.39;338.17;334.58;329.56;321.24;313.61;305.41;294.19;292.32;299.39;301.05;306.52;309.32;307.75;304.71;303.82;299.29;302.07;305.9;309.75
aut;murder_total_deaths;116.95;115.65;114.66;111.43;106.18;100.91;97.01;91.66;90.04;86.5;84.78;83.24;81.19;78.18;78.65;78.66;77.64;75.53;74.32;74.67;73.63;72.34;70.56;69.2;68.7;68.26;68.04
aze;murder_total_deaths;454.07;547.22;702.62;779.17;848.2;784.18;728.18;657.23;587.85;520.84;463.25;420.8;394.48;390.78;389.4;386.35;360.64;321.16;336.03;339.85;350.7;359.15;377.64;388.05;399.56;411.31;416.77
bdi;murder_total_deaths;57.55;58.03;58.63;59.33;60.1;61.06;62.01;62.04;62.68;61.84;62.96;63.41;66.22;68.94;72.82;77.19;80.47;83.36;86.27;88.65;93.12;97.52;101.6;105.05;108.34;110.84;112.81
bel;murder_total_deaths;199.43;200.93;206.5;211.21;211.14;212.0;214.08;213.8;217.99;217.94;210.02;205.21;199.11;187.33;182.23;176.74;172.22;170.48;166.3;164.59;162.75;164.66;161.91;156.91;153.81;153.07;153.29
ben;murder_total_deaths;118.61;124.91;130.42;135.93;143.9;151.24;158.15;162.41;167.64;174.4;184.19;193.04;203.24;210.49;218.23;224.16;231.74;238.9;248.26;260.31;270.52;280.81;291.07;300.0;309.26;318.53;327.03
bfa;murder_total_deaths;81.61;83.52;85.96;88.54;90.94;93.25;95.52;98.88;102.35;105.26;109.81;110.59;112.45;113.92;115.48;117.11;121.36;126.8;131.54;136.77;143.94;144.18;156.56;162.81;166.5;168.7;170.75
bgd;murder_total_deaths;3756.84;3794.04;3959.91;4079.45;4217.92;4449.75;4554.3;4589.66;4577.81;4521.53;4560.04;4544.44;4492.57;4428.29;4333.88;4316.73;4362.78;4352.8;4347.69;4365.86;4389.99;4351.29;4411.22;4381.81;4324.16;4271.91;4254.14
bgr;murder_total_deaths;337.12;354.44;373.69;385.27;398.6;395.83;393.87;385.56;360.65;332.34;320.63;298.89;283.8;274.76;268.29;259.14;250.78;243.67;237.21;232.22;221.85;213.38;206.29;199.09;199.7;197.46;194.6
bhr;murder_total_deaths;8.24;8.66;9.05;9.33;9.68;9.88;9.82;9.94;11.68;13.13;14.48;16.13;17.28;17.9;18.5;19.04;20.25;21.39;22.35;22.9;23.26;23.04;23.23;24.18;25.09;25.38;25.82
bhs;murder_total_deaths;48.21;47.58;47.65;46.23;48.75;47.83;45.92;48.87;49.57;45.92;48.35;46.66;49.91;55.54;56.1;62.79;63.22;69.13;74.94;79.55;81.46;84.86;86.44;88.39;85.35;83.88;83.39
bih;murder_total_deaths;179.4;178.4;176.53;173.94;170.75;166.4;160.92;154.79;150.71;142.56;136.84;133.33;131.22;130.17;129.35;128.47;127.75;126.54;124.53;123.42;122.53;122.27;115.13;109.1;102.76;104.22;104.53
blr;murder_total_deaths;818.38;878.57;978.22;1094.24;1161.89;1231.68;1244.83;1277.64;1303.18;1292.53;1262.0;1256.14;1259.51;1200.63;1159.25;1121.02;1063.17;988.44;966.53;942.24;908.61;889.88;798.96;731.62;689.65;695.44;701.76
blz;murder_total_deaths;16.98;18.41;19.55;20.31;22.08;23.98;26.98;31.07;35.95;39.39;42.77;45.97;48.43;49.68;50.82;54.79;56.04;57.93;62.1;65.09;67.21;70.29;71.44;72.79;73.64;74.5;75.36
bmu;murder_total_deaths;2.45;2.45;2.47;2.4;2.37;2.24;2.07;1.99;1.87;1.71;1.57;1.62;1.61;1.75;1.89;2.18;2.21;2.34;2.45;2.56;2.53;2.46;2.35;2.31;2.22;2.18;2.31
bol;murder_total_deaths;573.08;574.14;575.93;578.46;576.24;577.29;573.41;573.2;570.92;572.47;571.77;569.54;571.81;571.2;573.28;582.5;586.64;595.67;605.98;615.99;635.81;638.67;646.47;654.78;666.09;676.75;687.11
bra;murder_total_deaths;40619.63;41598.99;42349.18;43249.08;44731.08;46260.04;47329.56;49131.92;50720.74;51842.23;53037.52;53381.6;54139.2;54651.37;54619.67;54438.92;54873.63;55335.34;55990.11;57010.23;57534.2;58111.67;59156.27;59257.56;60044.77;60149.4;59771.74
brb;murder_total_deaths;20.01;20.93;21.67;22.0;22.09;22.36;22.11;21.98;21.6;22.36;22.96;23.86;25.3;26.69;27.88;29.42;29.93;29.58;29.89;28.94;28.8;29.46;28.76;28.74;28.4;28.15;27.92
brn;murder_total_deaths;4.34;4.54;4.67;4.79;4.89;5.01;5.15;5.07;4.87;4.8;4.82;4.73;4.56;4.39;4.46;4.56;4.61;4.82;4.88;4.92;4.89;4.92;4.98;5.04;5.02;5.17;5.26
btn;murder_total_deaths;11.09;10.91;10.69;10.41;10.22;10.01;9.96;10.31;10.51;10.37;10.81;10.64;10.23;9.56;9.49;9.86;9.82;9.95;10.11;10.34;10.47;10.54;10.58;10.69;10.77;10.81;10.8
bwa;murder_total_deaths;24.49;25.77;27.42;29.81;33.69;39.78;50.22;69.81;107.57;151.76;197.58;235.53;267.61;288.91;286.95;285.51;284.2;285.68;293.09;299.59;296.73;293.8;294.36;292.82;290.1;290.81;292.04
caf;murder_total_deaths;155.2;163.73;166.66;175.61;182.06;186.39;197.27;200.85;211.51;223.35;226.6;231.56;240.88;245.45;250.29;257.15;269.66;273.67;274.35;280.72;297.31;305.36;306.67;317.13;322.96;330.44;335.75
can;murder_total_deaths;613.02;603.64;587.12;566.74;544.12;520.47;508.28;492.41;483.13;478.08;476.46;479.15;483.26;491.28;506.02;525.35;531.82;540.38;551.03;551.7;555.34;555.39;555.67;553.42;551.34;551.74;548.4
che;murder_total_deaths;106.79;110.6;111.8;112.24;108.7;101.01;97.58;97.01;92.47;90.94;88.61;87.92;86.53;82.64;80.33;76.65;72.97;70.75;68.91;68.69;66.21;65.23;64.11;64.15;62.67;63.04;63.84
chl;murder_total_deaths;890.21;852.55;810.81;794.14;789.2;804.94;800.72;788.42;781.94;775.63;775.37;777.61;778.51;776.01;779.12;782.56;772.37;754.45;771.04;782.19;788.62;786.7;774.22;767.82;784.11;785.24;790.33
chn;murder_total_deaths;46272.13;46816.94;46794.86;47699.6;48639.99;49200.58;49820.5;50019.67;49051.01;46841.75;43867.37;41109.67;38663.53;35837.8;33506.17;31440.49;29685.0;27784.68;26202.38;24862.08;23439.85;22025.28;20642.69;19829.55;19167.29;18764.81;18691.48
civ;murder_total_deaths;222.67;232.18;245.18;262.5;277.79;294.43;305.18;312.26;324.28;333.71;344.32;347.38;350.4;357.2;365.45;370.01;383.51;388.77;397.23;407.88;419.74;437.05;459.81;475.74;484.22;491.97;497.12
cmr;murder_total_deaths;369.96;387.89;407.12;429.9;444.23;459.47;479.93;504.86;527.54;541.91;567.25;578.52;596.92;611.61;630.21;658.38;694.39;651.34;687.49;713.81;741.4;768.61;790.22;811.14;828.78;846.15;867.19
cod;murder_total_deaths;1337.73;1411.2;1456.84;1465.4;1501.9;1588.76;1686.57;1660.31;1723.16;1787.27;1854.64;1918.08;1938.27;2059.21;2034.18;2092.45;2141.85;2204.92;2336.7;2435.21;2525.23;2618.07;2730.31;2800.73;2899.08;3008.97;3092.62
