geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;murdered_60_79_per_100000_people;27.45;27.75;28.13;28.64;29.22;29.65;29.97;30.17;30.35;30.59;30.89;31.29;31.54;31.7;31.82;31.8;31.68;31.45;31.3;31.04;30.86;30.74;30.65;30.59;30.59;30.55;30.52
ago;murdered_60_79_per_100000_people;9.82;9.79;9.77;9.9;10.06;10.19;10.15;10.08;10.25;10.17;10.1;10.15;10.15;10.37;10.41;10.44;10.51;10.53;10.58;10.58;10.51;10.48;10.43;10.36;10.3;10.23;10.14
alb;murdered_60_79_per_100000_people;17.04;18.38;19.66;21.08;22.19;24.13;25.79;28.06;29.12;26.95;23.38;21.32;18.87;16.18;13.72;11.12;10.12;10.23;9.82;8.9;9.04;9.06;9.09;9.15;9.2;9.26;9.3
and;murdered_60_79_per_100000_people;3.34;3.34;3.32;3.31;3.29;3.19;3.09;3.0;2.91;2.82;2.76;2.68;2.59;2.56;2.57;2.53;2.51;2.49;2.48;2.5;2.51;2.53;2.53;2.53;2.54;2.55;2.55
are;murdered_60_79_per_100000_people;3.25;3.2;3.14;3.1;3.07;3.06;3.07;3.07;3.04;3.07;3.08;3.09;3.1;3.04;2.99;3.22;3.52;3.78;3.79;3.88;3.97;4.05;4.1;4.13;4.17;4.18;4.2
arg;murdered_60_79_per_100000_people;22.73;22.67;22.62;22.4;22.25;21.93;21.57;20.79;20.44;20.64;21.31;21.19;21.44;21.0;20.45;20.08;20.8;20.73;21.91;22.46;23.31;23.83;24.3;24.45;24.3;23.58;23.03
arm;murdered_60_79_per_100000_people;14.72;16.92;18.81;21.97;21.7;22.4;22.85;22.22;21.28;20.22;18.71;16.85;16.42;16.36;17.23;18.08;18.73;18.75;19.18;19.08;18.67;18.59;19.04;18.31;17.8;17.6;17.03
asm;murdered_60_79_per_100000_people;34.05;33.89;33.52;33.01;32.8;32.62;32.58;32.51;31.4;30.72;31.21;31.95;32.1;31.25;29.93;28.97;27.82;26.82;26.17;25.93;25.89;25.73;25.62;25.63;25.58;25.52;25.26
atg;murdered_60_79_per_100000_people;14.14;14.17;14.51;14.54;14.96;15.12;15.05;14.88;14.99;15.33;15.64;16.04;15.49;16.0;16.37;17.86;18.39;19.19;19.18;20.08;18.71;18.77;18.67;18.5;18.72;18.36;18.19
aus;murdered_60_79_per_100000_people;6.77;6.57;6.39;6.31;6.2;6.06;5.96;5.78;5.65;5.48;5.34;5.18;5.0;4.86;4.66;4.58;4.6;4.58;4.57;4.49;4.43;4.34;4.29;4.15;4.19;4.16;4.17
