geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;murdered_80plus_per_100000_people;35.77;35.84;36.02;36.24;36.49;36.71;36.83;36.94;37.06;37.25;37.49;37.81;38.06;38.39;38.68;38.96;39.17;39.45;39.74;39.96;40.27;40.58;40.85;40.97;41.08;41.1;41.33
ago;murdered_80plus_per_100000_people;8.36;8.42;8.49;8.62;8.76;8.9;8.99;9.11;9.26;9.37;9.42;9.54;9.79;10.1;10.32;10.51;10.74;10.93;11.16;11.29;11.41;11.52;11.62;11.72;11.83;11.91;12.03
alb;murdered_80plus_per_100000_people;16.46;17.18;17.81;18.77;19.61;21.08;22.32;23.9;24.49;22.96;20.65;19.62;18.33;16.78;15.3;13.73;13.03;13.16;12.9;12.21;12.08;11.89;11.81;11.81;11.87;11.94;12.1
and;murdered_80plus_per_100000_people;8.22;8.22;8.21;8.19;8.19;8.03;7.88;7.74;7.59;7.46;7.33;7.22;7.12;7.07;7.12;7.07;7.03;7.01;7.03;7.1;7.13;7.17;7.21;7.22;7.24;7.24;7.23
are;murdered_80plus_per_100000_people;6.92;6.84;6.81;6.77;6.84;6.95;7.0;7.07;7.06;6.97;6.9;7.0;6.96;6.9;6.82;6.79;6.76;6.75;6.64;6.62;6.57;6.57;6.59;6.73;6.82;6.89;6.92
arg;murdered_80plus_per_100000_people;19.91;19.56;19.29;18.86;18.47;18.15;17.67;16.99;16.76;16.92;17.21;17.07;17.06;16.78;16.34;15.93;15.88;15.63;15.95;16.02;16.22;16.45;16.49;16.51;16.41;16.14;16.11
arm;murdered_80plus_per_100000_people;18.22;19.8;20.95;22.27;22.03;22.13;21.93;21.0;20.53;20.28;18.85;17.68;17.02;16.69;16.77;16.67;16.43;15.9;15.84;15.39;15.03;15.04;15.54;15.18;14.9;15.04;15.32
asm;murdered_80plus_per_100000_people;31.02;30.85;30.68;30.47;30.41;30.38;30.39;30.25;30.11;30.31;31.25;32.51;32.6;31.21;30.21;29.27;27.97;26.69;26.32;25.63;25.59;25.45;25.04;25.02;24.93;24.8;24.59
atg;murdered_80plus_per_100000_people;11.72;11.97;12.36;12.37;12.36;12.47;12.43;12.34;12.49;12.99;13.38;14.11;14.24;14.92;15.45;17.07;17.65;18.55;18.56;19.22;17.94;18.04;17.93;17.82;17.88;17.54;17.43
aus;murdered_80plus_per_100000_people;8.13;7.96;7.9;7.85;7.9;7.87;7.83;7.74;7.6;7.5;7.47;7.4;7.43;7.37;7.27;7.2;7.23;7.23;7.25;7.18;7.17;7.17;7.16;7.02;7.01;7.03;7.03
aut;murdered_80plus_per_100000_people;9.65;9.5;9.4;9.18;9.01;8.89;8.83;8.62;8.55;8.43;8.39;8.26;8.2;8.08;7.97;7.95;7.88;7.81;7.74;7.66;7.6;7.51;7.53;7.46;7.34;7.29;7.26
aze;murdered_80plus_per_100000_people;27.9;28.88;31.11;31.85;32.46;31.42;30.3;28.81;27.74;26.14;24.13;22.38;21.06;20.65;20.05;19.26;18.22;17.04;18.03;18.8;19.45;18.13;17.84;17.55;17.76;18.28;18.61
bdi;murdered_80plus_per_100000_people;7.46;7.53;7.57;7.61;7.63;7.65;7.63;7.63;7.62;7.57;7.59;7.55;7.61;7.67;7.8;7.9;7.97;8.06;8.14;8.19;8.27;8.39;8.48;8.5;8.54;8.55;8.56
bel;murdered_80plus_per_100000_people;11.25;11.19;11.26;11.49;11.25;11.13;11.06;10.91;10.86;10.93;10.72;10.57;10.63;10.5;10.3;10.18;9.98;9.87;9.77;9.64;9.52;9.41;9.51;9.36;9.15;9.32;9.3
