geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;murdered_children_0_14_per_100000_people;5.5951699999999995;5.56949;5.58619;5.658530000000001;5.74558;5.84532;5.75291;5.7230099999999995;5.59679;5.44666;5.36524;5.3634;5.33573;6.870430000000001;7.379589999999999;7.18495;6.824739999999999;6.4896199999999995;5.98233;5.51272;3.95139;3.3131;3.25733;4.84837;5.214119999999999;5.2480199999999995;5.278
ago;murdered_children_0_14_per_100000_people;3.10921;3.08568;3.03975;3.01586;2.98415;2.90837;2.78831;2.82097;3.02363;3.07028;3.08528;3.0825299999999998;3.16672;3.2442;3.6571599999999997;3.6741699999999997;3.7198800000000003;3.8303300000000005;3.85459;3.7781;3.7673699999999997;3.53706;3.34637;3.07105;2.87074;2.76627;2.5561700000000003
alb;murdered_children_0_14_per_100000_people;2.41506;2.94725;3.05583;3.18852;3.24905;3.35216;3.36334;3.4418300000000004;3.38605;3.08601;2.71883;2.52284;2.30655;2.06724;1.85549;1.6489;1.54247;1.51251;1.4556;1.36343;1.32826;1.30692;1.28758;1.26995;1.24576;1.22123;1.19518
and;murdered_children_0_14_per_100000_people;1.6397700000000002;1.64933;1.65193;1.5068;1.34285;1.26265;1.16562;1.07684;1.03207;0.9893299999999999;0.9497399999999999;0.9115200000000001;0.8645700000000001;0.9125700000000001;0.94944;0.97595;0.9718600000000001;0.96667;0.9591200000000001;0.9497399999999999;0.9465899999999999;0.9632799999999999;0.982;0.97136;0.98008;0.98464;0.97903
are;murdered_children_0_14_per_100000_people;0.74137;0.70365;0.67747;0.6591199999999999;0.6351;0.61063;0.57077;0.52863;0.5021;0.49378999999999995;0.47297;0.4543;0.43328999999999995;0.40221999999999997;0.37346;0.3429;0.31773;0.3384;0.35588000000000003;0.37148000000000003;0.3793;0.37451999999999996;0.36671;0.35674;0.34894000000000003;0.33796;0.32589
arg;murdered_children_0_14_per_100000_people;4.17024;4.12568;4.09576;3.97789;3.8439699999999997;3.61859;3.3951;3.04807;2.78514;2.65014;2.5904;2.4525;2.36726;2.23062;2.14435;2.10595;2.17365;2.09611;2.20961;2.2729;2.3334599999999996;2.36406;2.3530900000000003;2.33276;2.3105599999999997;2.22494;2.1516599999999997
arm;murdered_children_0_14_per_100000_people;1.27659;1.34921;1.3975799999999998;1.49807;1.45741;1.4133200000000001;1.35705;1.26871;1.21316;1.18235;1.09372;1.04009;1.03164;1.00191;1.0172299999999999;1.0010299999999999;0.9785200000000001;0.9325600000000001;0.9039299999999999;0.8692;0.83659;0.8226700000000001;0.80157;0.7612800000000001;0.7240300000000001;0.69693;0.67157
asm;murdered_children_0_14_per_100000_people;2.7040599999999997;2.68245;2.63863;2.71944;2.7042200000000003;2.5899799999999997;2.6127700000000003;2.62945;2.6038200000000002;2.59693;2.69175;2.7427099999999998;2.76249;2.65122;2.5082;2.39784;2.29378;2.17088;2.08296;2.02617;1.96606;1.8944900000000002;1.85084;1.82456;1.78893;1.71108;1.6444400000000001
atg;murdered_children_0_14_per_100000_people;1.16428;1.1722299999999999;1.21884;1.2687899999999999;1.32474;1.35958;1.37286;1.3893799999999998;1.4142;1.48086;1.48688;1.57185;1.53342;1.58941;1.66543;1.8036299999999998;1.8648200000000001;2.0161599999999997;1.98485;2.03567;1.8697700000000002;1.8747599999999998;1.859;1.8714400000000002;1.83667;1.7942799999999999;1.7533299999999998
aus;murdered_children_0_14_per_100000_people;2.47873;2.30337;2.21222;2.1509;2.0996599999999996;2.036;1.9786;1.90061;1.8924400000000001;1.89104;1.8468900000000001;1.8073;1.73553;1.6996099999999998;1.6313;1.62824;1.63542;1.57055;1.54378;1.52325;1.45023;1.34845;1.2938;1.26088;1.22387;1.1984700000000001;1.17436
