geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;ncd_deaths_in_children_1_59_months_total_deaths;8645.64705;8743.06135;8998.29698;9410.19768;9923.38555;10383.68433;10585.771429999999;10760.81509;10784.41777;10799.634259999999;10944.15835;11281.864609999999;11651.48913;13989.614109999999;14969.033130000002;15082.82432;14758.35733;14311.37403;13588.74331;12879.580090000001;10485.6201;9451.4499;9485.914429999999;12364.402240000001;13230.77426;13621.4214;14022.967709999999
ago;ncd_deaths_in_children_1_59_months_total_deaths;3323.06793;3383.2083299999995;3417.04221;3449.28469;3470.32101;3490.83099;3514.3091700000004;3670.9212;3855.81279;4094.6105799999996;4262.41796;4425.48105;4752.61238;5076.4912;5729.01861;5946.64204;6203.02627;6495.19361;6714.343459999999;6758.85825;6835.461909999999;6556.64959;6307.16449;5953.20056;5726.467360000001;5603.95018;5367.24643
alb;ncd_deaths_in_children_1_59_months_total_deaths;627.9390099999999;711.6067400000001;708.38015;703.2606400000001;673.18715;628.87608;567.66805;516.20547;473.87325999999996;437.18839;412.30261;387.52066;365.4547;348.07545;331.03237;316.11016;306.16475;293.29677000000004;279.15701;266.73776000000004;250.44163999999998;242.44141000000002;236.36296000000002;231.12855;226.18846000000002;221.77847000000003;217.31551000000002
and;ncd_deaths_in_children_1_59_months_total_deaths;1.20753;1.27482;1.33476;1.25891;1.15543;1.11485;1.04441;0.9781700000000001;0.9429299999999999;0.90675;0.86708;0.8287899999999999;0.77868;0.8277200000000001;0.87226;0.9069299999999999;0.9078799999999999;0.9144399999999999;0.9227;0.9252799999999999;0.9293799999999999;0.95162;0.97;0.9515299999999999;0.94994;0.94621;0.93243
are;ncd_deaths_in_children_1_59_months_total_deaths;598.58237;566.86326;545.20233;533.0412299999999;518.4005099999999;503.50885999999997;473.70780999999994;438.99312000000003;419.50092;410.87097;392.82206;380.21497999999997;369.36115;357.62994;345.07635;321.47227000000004;306.3522;359.90828999999997;422.65644000000003;485.90165999999994;538.13108;555.11196;556.47051;542.34437;520.49306;488.86164;453.95838
arg;ncd_deaths_in_children_1_59_months_total_deaths;5370.6966600000005;5335.9562399999995;5220.33529;5114.40654;4952.72401;4814.36083;4710.49323;4616.3678;4462.4807200000005;4321.40186;4201.67717;4127.4472399999995;4062.08615;3984.31049;3881.4009200000005;3755.7518200000004;3664.55787;3599.1088299999997;3587.9051700000005;3593.54775;3560.4207;3498.18185;3436.1625299999996;3339.26469;3265.5862399999996;3177.26775;3092.57846
arm;ncd_deaths_in_children_1_59_months_total_deaths;611.11692;576.5463900000001;530.9968700000001;481.91619000000003;427.42700999999994;383.27094;334.9074;313.05059;295.36749;286.32317;282.87806;280.73004;282.00626;276.25235;269.52823;264.87405;258.69597000000005;247.11421;239.20412000000002;233.78673999999998;228.35467999999997;220.11893999999998;213.42672000000002;208.72992;202.25427;196.16811;187.62511999999998
asm;ncd_deaths_in_children_1_59_months_total_deaths;5.13899;5.15762;5.09805;5.2512099999999995;5.230119999999999;5.0408;5.1095;5.21245;5.09272;5.17983;5.1803;5.09625;5.07267;4.9559;4.94041;4.83387;4.7634099999999995;4.69679;4.63414;4.50597;4.3525599999999995;4.227580000000001;4.12679;4.01433;3.8891400000000003;3.6614699999999996;3.47435
atg;ncd_deaths_in_children_1_59_months_total_deaths;3.62546;3.5491300000000003;3.63941;3.8409400000000002;4.0022199999999994;4.1189599999999995;4.3477;4.56115;4.6852800000000006;4.83279;4.97012;5.13673;5.1978599999999995;5.17541;5.25664;5.10653;5.00748;4.94986;4.71326;4.57148;4.54185;4.48532;4.40555;4.39021;4.2800199999999995;4.19407;4.10968
aus;ncd_deaths_in_children_1_59_months_total_deaths;1133.45801;1023.7356900000001;979.1048099999999;899.0444699999999;843.659;796.18371;766.1139;733.3088799999999;701.93896;699.4823700000001;656.8208599999999;632.02869;612.3385900000001;602.47746;599.74207;611.35601;612.01198;609.47082;614.69558;610.6759099999999;594.42237;561.8312099999999;534.8856900000001;528.43723;499.84073;492.94342;486.11003
aut;ncd_deaths_in_children_1_59_months_total_deaths;409.56903;403.55293;396.49842;353.56113;324.50919;283.33432;260.8309;239.10892;226.73012999999997;208.68907;201.63371999999998;189.98016;175.92269;176.59084;171.66148;166.56243;155.16681;150.91528;154.95175;159.30483;161.58614;155.4627;144.54852;142.08917;140.23901;135.49937;131.51985
aze;ncd_deaths_in_children_1_59_months_total_deaths;1506.47431;1481.11846;1448.63874;1380.79146;1288.55266;1176.77331;1086.30855;1004.8022599999999;954.3493599999999;909.99014;851.8262300000001;821.3431400000001;824.67515;884.96287;964.44986;1041.53622;1105.23837;1154.3078;1168.5901800000001;1200.14552;1204.35212;1206.31807;1187.5797;1163.0760300000002;1120.23348;1073.2314;1018.1550699999999
bdi;ncd_deaths_in_children_1_59_months_total_deaths;1986.2084399999999;1973.2694199999999;1929.96615;1874.1383899999998;1815.6282199999998;1742.3631699999999;1672.71386;1608.95994;1528.22497;1466.4573300000002;1441.16864;1418.58573;1473.57644;1501.5307699999998;1522.76234;1574.99337;1578.87978;1605.60899;1634.52149;1631.92591;1678.8659699999998;1776.44102;1873.1436;2025.27505;2098.1577199999997;2131.86186;2140.76547
bel;ncd_deaths_in_children_1_59_months_total_deaths;581.79688;577.4458400000001;549.82051;514.6016400000001;467.99097;422.29760999999996;387.4981;365.45265;342.13725;318.41906;309.3638;294.10491;279.06784;270.93352000000004;263.812;260.97947999999997;261.01146;261.16483;258.56115;255.19967999999997;254.09375;249.49811;251.16814;242.62929;234.84427999999997;231.71182000000002;229.00285
ben;ncd_deaths_in_children_1_59_months_total_deaths;3320.3349399999997;3376.61814;3426.3942700000002;3464.0641;3502.33487;3548.3301100000003;3584.23851;3615.87536;3637.79879;3683.51474;3688.69728;3627.2864;3662.5620299999996;3543.38907;3437.7963200000004;3333.40297;3232.62682;3155.00108;3102.7168300000003;3110.49124;3090.32703;3063.2928899999997;3083.34719;3058.49983;3054.5869199999997;3086.4029800000003;3059.52755
bfa;ncd_deaths_in_children_1_59_months_total_deaths;5488.59557;5478.23648;5457.3282899999995;5409.72938;5404.63276;5354.85217;5359.5779299999995;5411.38446;5500.0999;5859.93419;6297.2921;6509.88613;6829.4809;6982.13849;7173.65673;7359.485640000001;7470.43236;7536.196640000001;7665.56071;7794.11455;7955.694840000001;8091.625790000001;8280.9197;8557.033870000001;8571.38221;8421.967279999999;8279.191340000001
bgd;ncd_deaths_in_children_1_59_months_total_deaths;24148.586059999998;23625.25229;22645.65388;21478.92006;20588.75743;19822.31755;19098.23046;18467.806090000002;17988.105330000002;17461.46828;17184.02044;17022.52654;17091.68603;17054.32519;16921.81111;16562.0033;15933.728819999998;15395.05563;14899.282369999999;14640.2004;14129.79561;13378.42337;12508.345;11851.51849;11177.17898;10467.394240000001;9746.31903
bgr;ncd_deaths_in_children_1_59_months_total_deaths;624.83497;647.2370099999999;595.16665;545.69633;539.68087;459.95923;478.10168;488.68424000000005;423.78598;437.29668;405.79798;405.02042;380.59614;359.88177;361.79803;329.31944;313.77106000000003;302.09661;298.85442;310.68897999999996;306.40504;274.24177000000003;246.91033;231.70732;224.68166000000002;218.83700000000002;213.99524
bhr;ncd_deaths_in_children_1_59_months_total_deaths;128.58512;130.62431;133.10558999999998;130.80889;120.30167;107.64478999999999;85.92317;76.22178000000001;75.29122;76.15764;77.28629000000001;78.32086;69.91758;67.78671999999999;70.6172;72.55696999999999;73.63713;74.82494;73.88926;71.67433;69.8751;69.67483;72.62744;72.91202;71.28835;68.0584;64.09431
bhs;ncd_deaths_in_children_1_59_months_total_deaths;30.75345;29.81093;28.854809999999997;29.030379999999997;29.932190000000002;28.4125;26.10727;25.1975;22.93013;20.9375;20.066329999999997;19.80954;21.065520000000003;20.72389;21.15906;22.044629999999998;21.78471;21.600620000000003;21.98151;22.06155;22.28482;21.57641;22.1282;22.21048;22.34378;22.415670000000002;22.433529999999998
bih;ncd_deaths_in_children_1_59_months_total_deaths;250.5825;233.02402;223.87801000000002;214.22329;205.73787;195.51763;186.21175;170.48776;155.03181999999998;139.92141999999998;123.04051000000001;111.87453000000001;109.77826999999999;106.67828;102.4624;99.19563000000001;98.08369;96.84174;95.03439;91.37768;86.49606999999999;82.81067;80.50473000000001;75.51926999999999;69.06501999999999;65.82325;62.75721
blr;ncd_deaths_in_children_1_59_months_total_deaths;984.28493;912.79803;849.7710199999999;782.6259;721.48617;668.6719099999999;638.9918200000001;615.53048;593.72096;572.2925799999999;547.1678099999999;521.6249799999999;492.64434000000006;457.08362999999997;428.55303;407.0325;386.8009;369.90889;355.6263;340.99813;322.09275;307.81586;297.21371;284.79702000000003;273.34536;261.74584;249.82547999999997
blz;ncd_deaths_in_children_1_59_months_total_deaths;62.32305;59.628980000000006;55.0209;49.10522;43.08502;38.65384;36.17776;35.98917;37.74338;39.157070000000004;41.1211;42.970620000000004;42.60175;41.549820000000004;40.94535;39.937329999999996;38.51748;36.96471;36.0345;35.99272;36.20198;37.01327;36.34585;36.67903;35.877359999999996;36.2341;36.81507
bmu;ncd_deaths_in_children_1_59_months_total_deaths;2.97288;3.1306;3.3218;3.31569;3.11152;2.5825099999999996;2.04998;1.65937;1.36426;1.32654;1.32849;1.33528;1.3864;1.5310700000000002;1.67182;1.94619;2.0885700000000003;1.9983799999999998;1.8906900000000002;1.7429599999999998;1.5875;1.47329;1.39741;1.42461;1.3934799999999998;1.38335;1.37068
bol;ncd_deaths_in_children_1_59_months_total_deaths;3390.86653;3343.1758600000003;3305.2853600000003;3281.73081;3266.42618;3247.97059;3243.07821;3232.73144;3214.59852;3192.47959;3159.42297;3106.53143;3045.88577;2981.50272;2940.25635;2902.21205;2827.07556;2747.46348;2679.03592;2596.40033;2502.86082;2406.81576;2334.00819;2260.48218;2193.72099;2128.11303;2069.7511
bra;ncd_deaths_in_children_1_59_months_total_deaths;34091.301830000004;33102.909569999996;32344.382889999997;31405.27931;30438.588460000003;29271.69493;28461.5515;27665.930360000002;26806.38925;26125.893669999998;25143.36189;24136.25713;23283.37883;22586.7731;22047.20889;21691.40097;21246.87041;20679.05047;20123.02358;19650.812980000002;19138.27133;18702.56141;18254.28699;17699.884830000003;17093.3116;16421.93688;15644.18763
brb;ncd_deaths_in_children_1_59_months_total_deaths;17.72355;17.249660000000002;16.6044;16.041539999999998;15.755360000000001;15.521120000000002;15.2328;14.92075;14.49135;14.23386;13.87809;14.01123;14.63235;14.73637;14.834620000000001;14.81645;14.51405;14.10016;14.03135;13.89285;14.01656;13.98821;13.789570000000001;13.819460000000001;13.507710000000001;13.27108;13.07092
brn;ncd_deaths_in_children_1_59_months_total_deaths;38.75683;39.65535;38.84447;37.955040000000004;36.75253;35.5775;34.75091;34.27874;33.72818;33.063990000000004;33.466590000000004;32.441359999999996;31.91207;31.3515;30.24267;29.364690000000003;28.48579;27.89452;27.52611;27.35721;26.84368;28.232770000000002;28.72588;27.869740000000004;28.364729999999998;28.39752;28.12183
btn;ncd_deaths_in_children_1_59_months_total_deaths;271.91728;262.21668999999997;253.09458999999998;243.22359;235.18012000000002;223.34224;233.99787;238.51788;232.97259;226.87287;220.725;217.49857000000003;212.11373999999998;203.54959;194.13953;184.28791999999999;175.56006000000002;171.82941;162.56093;151.59973;140.15008999999998;128.5399;116.05943;106.00787;96.56413;87.60194;80.22913
bwa;ncd_deaths_in_children_1_59_months_total_deaths;109.97181;106.25769;103.17504;100.3381;98.51924;97.16338;95.73496999999999;92.77908000000001;94.32763;94.29373000000001;94.94508;95.05394;94.85561;92.29559;93.38274;97.08872;100.03379;100.7275;100.26066999999999;98.68082;99.21489;96.18474;91.08525999999999;86.21207;84.34229;82.38613000000001;80.61279
caf;ncd_deaths_in_children_1_59_months_total_deaths;1089.13357;1093.58467;1096.0529099999999;1105.40557;1114.9737;1135.34512;1136.73045;1125.85569;1105.59853;1113.9742;1127.51033;1133.9895199999999;1156.2251199999998;1163.5707;1180.5615400000002;1215.09133;1366.5964099999999;1437.65024;1491.17334;1531.21225;1553.39688;1503.33006;1494.79688;1479.5906;1502.49053;1491.5264300000001;1436.07987
can;ncd_deaths_in_children_1_59_months_total_deaths;1541.5153599999999;1450.21313;1382.61608;1349.69396;1325.87859;1244.70795;1134.87842;1056.3057199999998;990.5623;932.8502;880.9502;858.8494400000001;846.1380800000001;836.21051;827.40271;831.95976;827.7366599999999;839.79605;846.30701;839.0645;833.54475;813.11744;811.83082;827.42421;833.51138;841.5455;844.4192
che;ncd_deaths_in_children_1_59_months_total_deaths;342.79895;332.87228999999996;319.50017;291.76818;269.44074;250.76473;236.65112000000002;228.42487999999997;219.3937;214.1803;204.21317;192.3867;178.90017;170.56803;166.15174;162.5163;160.7348;153.81738;154.67412;156.55113;153.62621000000001;154.59528999999998;155.16931;161.29182;163.73015;155.76612;150.41643
chl;ncd_deaths_in_children_1_59_months_total_deaths;1866.8238800000001;1789.58704;1704.49342;1620.6884699999998;1548.3127;1475.14881;1410.18998;1346.99036;1293.5157199999999;1226.61805;1180.10924;1130.7630900000001;1094.33792;1069.49718;1033.69749;1006.7629400000001;992.5744;984.6945;985.75503;995.9604199999999;988.6749699999999;985.4236099999999;973.3630699999999;950.21367;926.5125;893.54441;867.4997400000001
chn;ncd_deaths_in_children_1_59_months_total_deaths;210260.75789;203171.91905;193602.4361;183237.11620999998;173393.24509;163645.03375;156918.31112;151071.73047;143059.88225;135255.46682;126678.66755;117738.06857999999;108717.64837000001;99263.45546;91481.07918;84449.33986000001;78149.48556;72744.49377999999;68794.6661;65125.7009;61358.8561;57842.04128;54568.751879999996;51325.60515;48235.57484;44819.681880000004;41190.22597
civ;ncd_deaths_in_children_1_59_months_total_deaths;5407.0953899999995;5397.3324299999995;5363.296579999999;5315.93066;5300.84306;5351.064539999999;5411.62916;5537.67237;5708.96278;5926.1136799999995;6091.4381;6065.879739999999;6048.9648799999995;6021.15996;6051.26392;6054.06519;6159.98208;6180.05681;6166.4263;6269.74314;6373.88969;6567.72565;7213.3815;7539.2442200000005;7615.6014700000005;7662.05669;7686.67834
cmr;ncd_deaths_in_children_1_59_months_total_deaths;4877.01562;4965.562220000001;5065.921670000001;5186.35679;5281.81004;5334.56036;5499.580620000001;5626.0328;5774.1596899999995;5996.911520000001;6218.0119;6280.059020000001;6587.25576;6596.64444;6577.424;6750.4157;7073.788820000001;7305.574979999999;7706.00114;8231.11564;8620.26606;8863.57762;9015.45744;9014.93044;9154.97277;9171.43376;9352.64035
cod;ncd_deaths_in_children_1_59_months_total_deaths;13398.12262;13828.339419999998;13996.526119999999;14179.939719999998;14461.3405;14715.26985;14854.99216;15089.74211;15101.69155;15059.15249;15014.96485;15275.267069999998;15290.99658;15505.6899;15482.952280000001;15691.4839;16097.3082;16478.12713;16817.718240000002;17440.451930000003;17787.44499;18213.55521;19240.01157;19476.77625;19623.64584;20052.63382;19815.04979
cog;ncd_deaths_in_children_1_59_months_total_deaths;592.25364;598.76498;606.5060599999999;615.00405;630.81907;651.76001;667.00335;686.35816;710.46635;736.17905;763.60748;787.0373099999999;802.11258;805.02163;804.39463;855.4188199999999;883.1731800000001;899.88895;912.46155;914.0443300000001;892.51905;875.9422199999999;856.26796;822.823;825.4666900000001;803.69935;780.8817
col;ncd_deaths_in_children_1_59_months_total_deaths;5163.4543;5257.85506;5386.48832;5474.278829999999;5458.21944;5315.05586;5179.48309;4989.30718;4779.61983;4753.99381;4715.09805;4745.52486;4785.922329999999;4838.14631;4880.09234;4868.47019;4858.44286;4808.7058799999995;4750.358270000001;4656.68455;4531.4991;4335.75428;4127.147620000001;3877.31916;3597.7619700000005;3344.69;3131.6904
com;ncd_deaths_in_children_1_59_months_total_deaths;111.43316999999999;109.48664;107.04633000000001;104.10837;101.74755;100.86093000000001;96.97516;93.9215;89.32988;84.44861;81.50997;80.52568000000001;82.41105;84.337;86.81134;88.77333;93.54818;96.93845;97.62699;95.87966999999999;94.85149;92.18554;87.55292;80.9412;78.33049;73.01419;68.56499000000001
cpv;ncd_deaths_in_children_1_59_months_total_deaths;129.99918;125.36678;126.70485;130.13261;134.35644;136.87613000000002;136.14276;131.94502;126.0434;119.47325;113.52877;108.65807;103.74521999999999;98.27948;93.10141999999999;88.14129;88.54186;84.13324;78.90049;73.47453;74.33563000000001;70.38175;67.2986;64.83175;63.04524;60.123580000000004;57.42581
