geo;indicator;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
are;oil_consumption_per_cap;0.46868000000000004;0.47056000000000003;0.47881;0.49808;0.49606999999999996;0.49533;0.48778999999999995;0.53793;0.70498;0.82314;1.1347200000000002;1.43908;1.86201;1.7834900000000002;2.18268;4.87536;4.95405;5.18518;4.93991;5.38879;6.37934;7.289;7.504239999999999;8.46756;8.37451;8.27449;9.672460000000001;9.19852;8.99744;8.95655;8.51267;7.843189999999999;7.59775;7.19026;6.65928;6.23343;5.83097;5.709919999999999;5.9242099999999995;5.86825;5.4527;5.12664;4.75044;4.375369999999999;3.7738699999999996;3.7169800000000004;3.8321199999999997;3.93306;3.94659;4.25847;4.46358;4.68919
arg;oil_consumption_per_cap;0.9895299999999999;1.0065600000000001;1.0160799999999999;1.02299;1.04634;0.9227;0.96896;0.9536;0.93942;0.9302600000000001;0.86044;0.88061;0.91296;0.8991600000000001;0.93735;0.86313;0.78565;0.74215;0.7459899999999999;0.69186;0.61631;0.69844;0.73443;0.7236899999999999;0.64677;0.60187;0.60888;0.63405;0.61983;0.5886600000000001;0.58034;0.596;0.5888;0.59595;0.54827;0.54855;0.52173;0.47665;0.48552;0.50363;0.53041;0.5502199999999999;0.60483;0.6160399999999999;0.59626;0.68089;0.6785399999999999;0.70314;0.74883;0.7288;0.74122;0.72764
aus;oil_consumption_per_cap;1.33077;1.54611;1.65105;1.75213;1.75505;1.9008200000000002;1.9636;1.96512;2.066;2.16051;2.1065400000000003;2.1278900000000003;2.2040599999999997;2.18382;2.19522;2.07808;1.9830900000000002;1.9484700000000001;1.9023599999999998;1.9661400000000002;1.8390799999999998;1.8536;1.86085;1.91488;1.94982;1.9477799999999998;1.86772;1.85074;1.9259400000000002;1.9767099999999997;2.01662;2.0255900000000002;2.0401700000000003;2.0144599999999997;2.05713;2.02378;2.0154099999999997;1.98463;1.95878;1.99068;1.95114;2.0833;2.0293400000000004;2.02418;2.00216;1.9767099999999997;2.06078;2.0987299999999998;2.07993;2.05004;2.0110900000000003;1.98265
aut;oil_consumption_per_cap;0.7612399999999999;0.83186;0.8804700000000001;1.01296;1.1067799999999999;1.21031;1.3451;1.4453;1.55987;1.39163;1.40265;1.52472;1.4589;1.5732;1.6414;1.6016299999999999;1.45256;1.3771;1.32959;1.29087;1.29155;1.36085;1.3967200000000002;1.37893;1.35054;1.40537;1.5045;1.45474;1.455;1.42465;1.41675;1.45974;1.48403;1.53948;1.50936;1.46853;1.59168;1.61782;1.74147;1.6856900000000001;1.69501;1.70953;1.6153;1.60222;1.5347600000000001;1.59085;1.49719;1.46979;1.48465;1.4441899999999999;1.43513;1.4528
aze;oil_consumption_per_cap;;;;;;;;;;;;;;;;;;;;;1.2378200000000001;1.27598;1.18145;1.19039;1.14221;1.17951;1.11988;1.07489;1.0552700000000002;0.9457399999999999;0.8462799999999999;0.75573;0.71241;0.74436;0.71104;0.77937;0.48758999999999997;0.44278999999999996;0.5109199999999999;0.53072;0.62961;0.55688;0.51855;0.40702;0.37113;0.35613;0.4359;0.44987;0.48403999999999997;0.46786000000000005;0.47136000000000006;0.47436999999999996
bel;oil_consumption_per_cap;1.68786;1.7132900000000002;1.88277;2.1801;2.50561;2.72119;2.77906;2.99963;3.1438900000000003;2.75725;2.59978;2.7040900000000003;2.65415;2.82591;2.80464;2.59064;2.37121;2.24241;2.02841;1.95763;1.9829400000000001;2.2425200000000003;2.25602;2.32202;2.27441;2.38384;2.5594;2.6067400000000003;2.55587;2.75691;2.7193400000000003;2.95623;3.02921;3.05735;2.9359900000000003;3.0081599999999997;3.00087;3.06197;3.2318700000000002;3.21533;3.18805;3.18393;3.23093;3.33514;2.90462;2.99002;2.77161;2.67351;2.70322;2.64824;2.74257;2.79697
bgd;oil_consumption_per_cap;;;;;;;0.01018;0.01235;0.01379;0.01405;0.016069999999999997;0.01699;0.016309999999999998;0.01686;0.01816;0.01995;0.02001;0.019180000000000003;0.01671;0.01641;0.01781;0.0187;0.0179;0.017480000000000002;0.01855;0.017519999999999997;0.01584;0.01729;0.01901;0.01934;0.02471;0.024659999999999998;0.02769;0.03;0.02613;0.025259999999999998;0.02951;0.02901;0.029560000000000003;0.02729;0.027010000000000003;0.026989999999999997;0.02521;0.02534;0.02341;0.025730000000000003;0.033030000000000004;0.03495;0.03358;0.03608;0.038419999999999996;0.040389999999999995
bgr;oil_consumption_per_cap;0.45023;0.51012;0.63715;0.7500100000000001;0.9150200000000001;1.05625;1.1554;1.19439;1.2534;1.29714;1.36925;1.4170399999999999;1.46866;1.50827;1.5504;1.57364;1.39887;1.35085;1.29944;1.24509;1.1545;1.21717;1.1708100000000001;1.24545;1.21889;0.76775;0.49698000000000003;0.4525;0.5291600000000001;0.52604;0.5806100000000001;0.51774;0.5171899999999999;0.54488;0.5102300000000001;0.51389;0.5325;0.53623;0.5669;0.55506;0.6288600000000001;0.6520699999999999;0.63949;0.63552;0.5756399999999999;0.52467;0.51412;0.5339;0.49793000000000004;0.53488;0.60969;0.63332
blr;oil_consumption_per_cap;;;;;;;;;;;;;;;;;;;;;2.54822;2.9914099999999997;2.94065;2.83316;2.64161;2.43607;2.3533;2.00618;1.42375;1.16058;1.05459;1.03966;0.9090600000000001;0.86175;0.79394;0.78703;0.77373;0.81125;0.83511;0.8389;0.782;0.9192600000000001;0.84105;0.83178;0.9776299999999999;0.78908;0.90796;1.10286;0.75283;0.8568399999999999;0.81245;0.795
bra;oil_consumption_per_cap;0.17776;0.18833;0.18928;0.22139;0.23636;0.26266;0.28276;0.31776;0.38101;0.40016999999999997;0.40293;0.42594;0.42917;0.46187;0.47836999999999996;0.45376000000000005;0.42151000000000005;0.42365;0.40196;0.40614;0.41142;0.45448999999999995;0.45785;0.45947;0.45855;0.43841;0.43748000000000004;0.46015;0.47024;0.49368;0.50617;0.52894;0.55188;0.56279;0.5605100000000001;0.53837;0.54062;0.52881;0.50566;0.51962;0.52961;0.52917;0.5627;0.60219;0.60011;0.64442;0.66366;0.66967;0.71232;0.73742;0.7118800000000001;0.66852
can;oil_consumption_per_cap;2.7322;2.8282;2.96876;3.10712;3.18142;3.3382199999999997;3.37195;3.49315;3.6284099999999997;3.63461;3.50351;3.64232;3.63535;3.6627300000000003;3.7688800000000002;3.67211;3.3975;3.00959;2.78651;2.78492;2.75173;2.7238900000000004;2.79069;2.8932900000000004;2.96379;2.88206;2.68444;2.70512;2.6858400000000002;2.70266;2.76641;2.8176200000000002;2.89926;2.93424;2.9567;2.9310099999999997;2.94433;2.9958299999999998;3.08052;3.15624;3.08502;3.02431;3.07996;3.01037;2.79486;2.9571;3.0180700000000003;2.9311700000000003;2.93628;2.8959599999999996;2.75802;2.78095
che;oil_consumption_per_cap;1.37857;1.44518;1.54598;1.6973900000000002;1.82625;2.0298700000000003;2.13465;2.17093;2.32117;2.0550200000000003;1.96832;2.04446;2.05892;2.1230599999999997;2.04153;2.03788;1.8786;1.76755;1.92282;1.8426900000000002;1.86192;2.02923;1.8977700000000002;1.8912799999999999;1.80129;1.9111900000000002;1.9244700000000001;1.9281400000000002;1.78652;1.8289799999999998;1.6808400000000001;1.7298799999999999;1.8099900000000002;1.8275099999999997;1.76537;1.70344;1.81585;1.71123;1.6541700000000001;1.63544;1.65162;1.67763;1.49596;1.5775299999999999;1.58391;1.45315;1.39186;1.40021;1.44836;1.2849899999999999;1.2901799999999999;1.2114200000000002
