geo;indicator;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
are;oil_consumption_total;70472.0;75516.0;81534.0;91245.0;101110.0;116650.0;136000.0;179000.0;280000.0;388000.0;629000.0;931000.0;1393000.0;1520000.0;2078000.0;5082000.0;5553000.0;6168000.0;6190000.0;7105000.0;8874000.0;10731000.0;11712000.0;14021000.0;14706000.0;15392000.0;19055000.0;19194000.0;19861000.0;20857000.0;20846000.0;20165000.0;20514000.0;20407000.0;19899000.0;19666000.0;19394000.0;20026000.0;22168000.0;23989000.0;24971000.0;26874000.0;28712000.0;30165000.0;28932000.0;30742000.0;33234000.0;35006000.0;35544000.0;38628000.0;40861000.0;43467000.0
arg;oil_consumption_total;22050000.0;22757000.0;23301000.0;23796000.0;24700000.0;22120000.0;23610000.0;23633000.0;23686000.0;23856000.0;22429000.0;23316000.0;24539000.0;24527000.0;25950000.0;24259000.0;22425000.0;21518000.0;21973000.0;20701000.0;18729000.0;21552000.0;23007000.0;23010000.0;20867000.0;19699000.0;20211000.0;21339000.0;21143000.0;20343000.0;20309000.0;21110000.0;21099000.0;21598000.0;20093000.0;20328000.0;19550000.0;18060000.0;18600000.0;19505000.0;20763000.0;21766000.0;24175000.0;24877000.0;24327000.0;28069000.0;28266000.0;29600000.0;31855000.0;31325000.0;32182000.0;31905000.0
aus;oil_consumption_total;15122000.0;18002000.0;19729000.0;21490000.0;22058000.0;24412000.0;25692000.0;26130000.0;27863000.0;29517000.0;29136000.0;29779000.0;31192000.0;31249000.0;31772000.0;30442000.0;29426000.0;29307000.0;29025000.0;30450000.0;28928000.0;29632000.0;30248000.0;31648000.0;32742000.0;33193000.0;32259000.0;32362000.0;34065000.0;35349000.0;36454000.0;37011000.0;37677000.0;37600000.0;38806000.0;38585000.0;38834000.0;38651000.0;38582000.0;39711000.0;39489000.0;42861000.0;42508000.0;43201000.0;43525000.0;43725000.0;46326000.0;47897000.0;48152000.0;48124000.0;47863000.0;47833000.0
aut;oil_consumption_total;5561000.0;6116000.0;6513000.0;7536000.0;8278000.0;9097000.0;10156000.0;10957000.0;11866000.0;10613000.0;10713000.0;11650000.0;11141000.0;12000000.0;12504000.0;12188000.0;11046000.0;10469000.0;10109000.0;9820000.0;9835000.0;10377000.0;10670000.0;10561000.0;10381000.0;10855000.0;11694000.0;11392000.0;11483000.0;11322000.0;11320000.0;11704000.0;11921000.0;12379000.0;12152000.0;11850000.0;12889000.0;13160000.0;14238000.0;13851000.0;13990000.0;14163000.0;13426000.0;13360000.0;12846000.0;13379000.0;12666000.0;12519000.0;12735000.0;12468000.0;12455000.0;12657000.0
aze;oil_consumption_total;;;;;;;;;;;;;;;;;;;;;8251900.0;8649400.0;8144300.0;8344700.0;8140400.0;8542900.0;8240000.0;8031500.0;8000800.0;7266800.0;6580200.0;5936700.0;5646300.0;5947400.0;5726800.0;6330600.0;3996900.0;3665000.0;4272000.0;4484000.0;5376000.0;4806000.0;4524000.0;3590700.0;3312100.0;3216700.0;3986900.0;4168000.0;4542900.0;4446400.0;4533300.0;4613400.0
bel;oil_consumption_total;15940000.0;16257000.0;17941000.0;20854000.0;24053000.0;26211000.0;26855000.0;29075000.0;30561000.0;26875000.0;25404000.0;26486000.0;26055000.0;27798000.0;27638000.0;25567000.0;23429000.0;22177000.0;20077000.0;19393000.0;19664000.0;22265000.0;22430000.0;23125000.0;22699000.0;23854000.0;25695000.0;26271000.0;25862000.0;27999000.0;27700000.0;30178000.0;30970000.0;31299000.0;30109000.0;30930000.0;30966000.0;31737000.0;33673000.0;33697000.0;33624000.0;33812000.0;34564000.0;35950000.0;31545000.0;32707000.0;30524000.0;29632000.0;30145000.0;29711000.0;30958000.0;31769000.0
bgd;oil_consumption_total;;;;;;;676000.0;835000.0;947000.0;982000.0;1146000.0;1240000.0;1222000.0;1299000.0;1439000.0;1625000.0;1675000.0;1650000.0;1476000.0;1489000.0;1660000.0;1790000.0;1760000.0;1765000.0;1922000.0;1860000.0;1722000.0;1923000.0;2161000.0;2247000.0;2933000.0;2990000.0;3429000.0;3793000.0;3371000.0;3324000.0;3957000.0;3962800.0;4109000.0;3856200.0;3874700.0;3922800.0;3708900.0;3770300.0;3522700.0;3915300.0;5084000.0;5442600.0;5291500.0;5751700.0;6193900.0;6582100.0
bgr;oil_consumption_total;3702000.0;4226000.0;5316000.0;6300000.0;7736000.0;8986000.0;9889000.0;10282000.0;10849000.0;11284000.0;11965000.0;12431000.0;12927000.0;13315000.0;13726000.0;13972000.0;12457000.0;12064000.0;11634000.0;11167000.0;10362000.0;10921000.0;10491000.0;11130000.0;10845000.0;6788000.0;4357000.0;3926000.0;4538000.0;4458000.0;4865000.0;4293000.0;4247000.0;4434000.0;4116000.0;4110000.0;4223000.0;4218000.0;4424000.0;4298000.0;4832000.0;4972000.0;4839000.0;4773000.0;4292000.0;3885000.0;3782000.0;3903000.0;3618000.0;3863000.0;4376000.0;4516500.0
blr;oil_consumption_total;;;;;;;;;;;;;;;;;;;;;25396000.0;30004000.0;29676000.0;28747000.0;26917000.0;24889000.0;24066000.0;20503000.0;14523000.0;11807000.0;10696000.0;10510000.0;9157000.0;8646000.0;7929000.0;7818000.0;7639000.0;7956000.0;8134000.0;8118000.0;7524000.0;8802000.0;8021000.0;7908000.0;9274000.0;7475000.0;8597000.0;10446000.0;7136000.0;8127000.0;7706700.0;7536600.0
bra;oil_consumption_total;14843000.0;16166000.0;16693000.0;20048000.0;21966000.0;25039000.0;27634000.0;31822000.0;39086000.0;42046000.0;43360000.0;46944000.0;48440000.0;53382000.0;56612000.0;54977000.0;52280000.0;53781000.0;52207000.0;53936000.0;55820000.0;62946000.0;64682000.0;66165000.0;67265000.0;65477000.0;66486000.0;71122000.0;73890000.0;78843000.0;82150000.0;87229000.0;92464000.0;95771000.0;96833000.0;94370000.0;96095000.0;95265000.0;92274000.0;95993000.0;98993000.0;100020000.0;107490000.0;116210000.0;116960000.0;126820000.0;131860000.0;134310000.0;144180000.0;150590000.0;146620000.0;138820000.0
can;oil_consumption_total;53835000.0;56711000.0;60566000.0;64477000.0;67135000.0;71614000.0;73523000.0;77395000.0;81651000.0;83008000.0;81128000.0;85436000.0;86309000.0;87957000.0;91501000.0;90104000.0;84228000.0;75363000.0;70490000.0;71215000.0;71198000.0;71388000.0;74148000.0;77968000.0;80989000.0;79812000.0;75284000.0;76783000.0;77114000.0;78448000.0;81139000.0;83464000.0;86697000.0;88550000.0;90043000.0;90087000.0;91347000.0;93832000.0;97430000.0;100840000.0;99609000.0;98730000.0;101700000.0;100560000.0;94438000.0;101040000.0;104240000.0;102300000.0;103520000.0;103110000.0;99150000.0;100920000.0
che;oil_consumption_total;8037000.0;8551000.0;9263000.0;10280000.0;11167000.0;12523000.0;13281000.0;13612000.0;14650000.0;13031000.0;12511000.0;12993000.0;13056000.0;13421000.0;12875000.0;12846000.0;11865000.0;11209000.0;12262000.0;11824000.0;12021000.0;13178000.0;12396000.0;12430000.0;11923000.0;12757000.0;12973000.0;13141000.0;12312000.0;12732000.0;11797000.0;12215000.0;12836000.0;13003000.0;12602000.0;12209000.0;13079000.0;12396000.0;12062000.0;12016000.0;12239000.0;12551000.0;11310000.0;12062000.0;12255000.0;11381000.0;11038000.0;11246000.0;11779000.0;10575000.0;10734000.0;10178000.0
