geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
afg;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;102;30;0;76;0;0;0;14;45;0;0;22;0;0;0;122;26;0;0
ago;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;126;0;0;0;0;26;0;25;58;0;0;0;185;0;0;14;28;135;56;50;0;0;0;18;0;25
are;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;0;43;0;0;0;0
arg;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;53;0;0;0;71;11;10;0;0;0;10;0;0;0
arm;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aus;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;10;0;0;0;0;0;18;0;0;0;0;0;0;0;0;15;0;0;0
aut;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aze;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;32;49;0;20;0;0;0;0;0;0;0;23;0;0;0
bel;plane_crash_deaths_annual_number;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
ben;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;0;0;0;0;0
bgr;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bhr;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;0;0;0;0;0;0;0;0
bih;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;11
bol;plane_crash_deaths_annual_number;0;0;0;0;0;0;112;0;0;0;0;0;0;0;0;29;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bra;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;137;0;0;0;0;29;0;34;23;32;0;0;21;0;98;0;0;0;0;0;23;21;33;0;174;199;0
caf;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0
can;plane_crash_deaths_annual_number;109;0;0;0;32;0;0;0;43;17;0;0;0;0;0;256;0;0;0;24;0;0;0;0;0;0;0;0;241;0;0;0;0;0;10;0;0;0;0
che;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;10;24;0;0;0;0;0;0;0
chl;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
chn;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;112;10;0;38;0;0;150;34;127;0;274;67;160;0;0;35;0;61;44;0;112;0;55;0;40;0;0
civ;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;16;0;0;0;0;0;169;0;0;0;0;0;0;0;0
cmr;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0
cod;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;37;0;0;0;432;46;0;0;47;0;0;173;0;48;17;63;53
cog;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0
col;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;39;0;0;137;110;72;10;0;132;0;232;14;0;53;0;13;16;92;0;0;20;0;0;0
com;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;0;0;0;0;0;0;0;0;0;0;0;0
cpv;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0
cri;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0
cub;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0;0;0;0;0;44;0;0;0;0;16;0;0;0;0;0;0
deu;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;23;0;0;0;0;0;71;0;0;0;0;0;0
deu_east;plane_crash_deaths_annual_number;0;0;156;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
deu_west;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dma;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
dnk;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dom;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;189;0;0;0;0;0;0;0;0;0;0;0;0
dza;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;0;0;0;0;0
ecu;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;119;60;0;0;0;0;0;0;22;0;0;0;0;33;0;91;0;0;0;26;0;0;0;0;0;0
egy;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;0;0;0;0
esp;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;146;0;0;273;0;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154
eth;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;31;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0
fji;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0
fra;plane_crash_deaths_annual_number;0;0;60;191;346;0;0;0;0;0;0;180;0;0;0;0;0;16;23;22;0;10;87;0;0;10;0;0;23;0;114;0;0;0;0;0;0;0;0
gab;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0
gbr;plane_crash_deaths_annual_number;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;52;45;0;0;39;0;0;11;0;29;12;0;0;0;0;0;0;11;0;0;0;0;0;0
geo;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;41;0;0;0;0;0;0;82;0;0;0;0;0;0;0;0
glp;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0
gnq;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;13
grc;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;66;0;0;10;0;0;75;0;0;0;0;0;0;17;121;0;0;0
gtm;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;23;0;0;0;0;0;16;0;0;23;0;0;0;0;0;0;0;0;0
gum;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228;0;0;0;0;0;0;0;0;0;0;0
hkg;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
hnd;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;50;0;0;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hrv;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0
hti;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;13;0;0;0;21;0;0;0;0;0
hun;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0
idn;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;22;0;146;101;74;22;0;32;379;11;0;0;0;9;0;39;165;12;124;0
ind;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;213;0;0;0;0;0;0;0;0;0;164;11;147;97;0;56;13;0;373;0;0;23;56;0;15;27;0;0;0;0;0
irl;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;329;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0
irn;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;128;0;0;0;0;0;103;0;290;0;0;0;39;134;198;0;0;88;0;0;10;42;162;275;0;116;78;0;0
irq;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;46;0
isr;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0
ita;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;32;0;12;0;0;0;0;49;0;0;0;0;0;118;0;0;0;16;0;0;0
jor;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0
jpn;plane_crash_deaths_annual_number;0;162;0;0;0;0;0;0;0;0;0;0;24;0;0;520;0;0;0;14;0;0;0;0;264;0;3;0;0;0;0;0;0;0;0;0;0;0;0
kaz;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ken;plane_crash_deaths_annual_number;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;50;0;0;0;0;0;0;0;0;0;0;14;0;0;14;0;0
kgz;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;17;0;0;0;0;0;0;0;0;0;65
khm;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;64;0;0;0;0;0;0;0;0;0;22;0
kor;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;0;21;0;0;0;0;0;0;0;0;0;0;0;0;129;0;0;0;0;0;0
lao;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;28;0;0;0;0;0;0;0;0
lby;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;157;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0
lka;plane_crash_deaths_annual_number;0;0;0;0;191;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;120;0;0;55;0;40;0;0;0;0;0;0;0;0
lux;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0
mar;plane_crash_deaths_annual_number;0;0;0;106;0;168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;38;0;0;0;0;0;0;0;0;0;0
mdg;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0
mdv;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0
mex;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;187;40;20;0;20;0;0;0;14;0;16;0;16;18;19;19;0;0;0;0;0;0;26
mkd;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mli;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mmr;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;208;0;26;0;0;0;0;0;0;0;0;14;0;0;16;0;0;0;0;0;0;0
mng;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;40;0;41;0;0;28;0;0;10;0;0;0;0;0;14;0
moz;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mrt;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;39;0;0;0;0;0;0;0;0;0;0
mus;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mys;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;32;0;10;0;0;0;0;0;0;0;0;0;0;0
ner;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0
nga;plane_crash_deaths_annual_number;0;0;0;176;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;163;0;0;26;154;0;0;0;0;0;149;0;0;224;111;0;0
nic;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0
nld;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;34;66;0;0;0;0;0;0;0;0;0;0;0;0
nor;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;143;12;0;0;0;0;0;0;0;0;0;0;0
npl;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;280;0;0;0;0;0;0;25;25;0;18;0;0;0;24;0;30
nzl;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;257;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pak;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;54;0;0;0;0;0;0;0;0;51;21;0;0;0;13;13;0;45;0;0
pan;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;47;0;21;0;0;0;0;0;10;0;0;0;0;0;0;0;11
per;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;86;22;50;0;0;0;0;59;0;216;0;100;0;0;0;0;46;0;64;0;0;10
phl;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;25;0;0;27;0;0;0;0;104;0;131;0;29;0;0;0;0;0;0
png;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;15;19;0;0;21;0;0;0;0;0;0;0;0;0
pol;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
pri;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0
prk;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
prt;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
pry;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0
pyf;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0
rou;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;10;0;0;0;0;0;0;0;0;0;0;0;0
rus;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;142;35;431;97;61;126;0;21;19;289;90;43;105;44;256;0;88
sau;plane_crash_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;301;0;0;0;0;0;67;0;0;0;0;359;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0
