geo;indicator;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
abw;population_total;19286.0;19286.0;19286.0;19286.0;19286.0;19286.0;19286.0;19286.0;19286.0;19286.0;19286.0;19291.0;19300.0;19315.0;19334.0;19359.0;19388.0;19422.0;19462.0;19506.0;19555.0;19609.0;19669.0;19734.0;19803.0;19878.0;19958.0;20044.0;20135.0;20230.0;20332.0;20438.0;20546.0;20653.0;20762.0;20870.0;20980.0;21090.0;21201.0;21312.0;21423.0;21536.0;21649.0;21762.0;21876.0;21991.0;22106.0;22222.0;22339.0;22456.0;22574.0;22692.0;22811.0;22931.0;23051.0;23172.0;23294.0;23416.0;23539.0;23662.0;23786.0;23911.0;24036.0;24162.0;24289.0;24417.0;24545.0;24673.0;24803.0;24933.0;25064.0;25195.0;25327.0;25458.0;25591.0;25725.0;25860.0;25994.0;26130.0;26267.0;26405.0;26542.0;26681.0;26821.0;26960.0;27101.0;27243.0;27385.0;27528.0;27673.0;27818.0;27964.0;28110.0;28258.0;28406.0;28555.0;28705.0;28855.0;29007.0;29159.0;29312.0;29466.0;29619.0;29774.0;29930.0;30087.0;30245.0;30402.0;30561.0;30722.0;30883.0;31044.0;31207.0;31371.0;31535.0;31701.0;31867.0;32034.0;32202.0;32371.0;32541.0;32711.0;32883.0;33055.0;33229.0;33403.0;33578.0;33754.0;33931.0;34109.0;34288.0;34468.0;34648.0;34830.0;35013.0;35196.0;35381.0;35566.0;35753.0;35940.0;36129.0;36318.0;36509.0;36700.0;36893.0;37086.0;37281.0;37476.0;37673.0;37870.0;38068.0;38267.0;38964.0;40148.0;41760.0;43724.0;45933.0;48241.0;50497.0;52531.0;54211.0;55438.0;56225.0;56695.0;57032.0;57360.0;57715.0;58055.0;58386.0;58726.0;59063.0;59440.0;59840.0;60243.0;60528.0;60657.0;60586.0;60366.0;60103.0;59980.0;60096.0;60567.0;61345.0;62201.0;62836.0;63026.0;62644.0;61833.0;61079.0;61032.0;62149.0;64622.0;68235.0;72504.0;76700.0;80324.0;83200.0;85451.0;87277.0;89005.0;90853.0;92898.0;94992.0;97017.0;98737.0;100031.0;100832.0;101220.0;101353.0;101453.0;101669.0;102053.0;102577.0;103187.0;103795.0;104341.0;104822.0;105264.0;105670.0
afg;population_total;3280000.0;3280000.0;3280000.0;3280000.0;3280000.0;3280000.0;3280000.0;3280000.0;3280000.0;3280000.0;3280000.0;3280779.0;3282342.0;3284692.0;3287834.0;3291770.0;3296506.0;3302044.0;3308390.0;3315547.0;3323519.0;3332311.0;3341926.0;3352368.0;3363642.0;3375751.0;3388701.0;3402494.0;3417136.0;3432630.0;3448982.0;3466194.0;3483492.0;3500877.0;3518348.0;3535906.0;3553552.0;3571286.0;3589109.0;3607021.0;3625022.0;3643112.0;3661294.0;3679565.0;3697928.0;3716383.0;3734930.0;3753569.0;3772301.0;3791127.0;3810047.0;3826140.0;3842299.0;3858524.0;3874815.0;3891173.0;3907598.0;3924089.0;3940648.0;3957274.0;3973968.0;3991172.0;4008889.0;4027125.0;4045883.0;4065170.0;4084989.0;4105346.0;4126245.0;4147692.0;4169690.0;4192245.0;4215362.0;4236341.0;4260730.0;4285744.0;4311388.0;4336107.0;4363439.0;4391478.0;4419695.0;4447479.0;4476050.0;4504802.0;4533190.0;4562304.0;4591602.0;4620608.0;4650274.0;4680128.0;4710171.0;4740404.0;4770828.0;4801444.0;4832253.0;4863258.0;4894458.0;4925855.0;4957450.0;4989245.0;5021241.0;5053439.0;5085403.0;5118005.0;5150814.0;5183829.0;5217053.0;5249854.0;5283495.0;5317347.0;5351413.0;5385509.0;5420004.0;5459010.0;5502589.0;5550805.0;5599440.0;5648497.0;5704092.0;5758692.0;5813814.0;5869464.0;5925647.0;5982368.0;6039631.0;6097443.0;6155808.0;6214731.0;6274219.0;6334276.0;6394908.0;6456120.0;6517918.0;6580308.0;6643295.0;6706885.0;6771083.0;6835896.0;6901330.0;6967389.0;7034081.0;7101412.0;7169387.0;7238012.0;7307295.0;7377241.0;7447856.0;7519147.0;7591120.0;7663783.0;7752118.0;7839510.0;7934980.0;8038596.0;8150447.0;8270581.0;8399030.0;8535807.0;8680946.0;8834445.0;8996351.0;9166764.0;9345868.0;9533954.0;9731361.0;9938414.0;10152331.0;10372630.0;10604346.0;10854428.0;11126123.0;11417825.0;11721940.0;12027822.0;12321541.0;12590286.0;12840299.0;13067538.0;13237734.0;13306695.0;13248370.0;13053954.0;12749645.0;12389269.0;12047115.0;11783050.0;11601041.0;11502761.0;11540888.0;11777609.0;12249114.0;12993657.0;13981231.0;15095099.0;16172719.0;17099541.0;17822884.0;18381605.0;18863999.0;19403676.0;20093756.0;20966463.0;21979923.0;23064851.0;24118979.0;25070798.0;25893450.0;26616792.0;27294031.0;28004331.0;28803167.0;29708599.0;30696958.0;31731688.0;32758020.0;33736494.0;34656032.0;35530081.0;36373176.0
ago;population_total;1567028.0;1567028.0;1567028.0;1567028.0;1567028.0;1567028.0;1567028.0;1567028.0;1567028.0;1567028.0;1567028.0;1567571.0;1568660.0;1570299.0;1572493.0;1575246.0;1578561.0;1582443.0;1586896.0;1591923.0;1597530.0;1603720.0;1610497.0;1617867.0;1625833.0;1634399.0;1643570.0;1653350.0;1663744.0;1674756.0;1686390.0;1698652.0;1711003.0;1723444.0;1735975.0;1748598.0;1761312.0;1774118.0;1787018.0;1800012.0;1813100.0;1826283.0;1839562.0;1852937.0;1866410.0;1879981.0;1893650.0;1907419.0;1921288.0;1935258.0;1949329.0;1966272.0;1983358.0;2000589.0;2017966.0;2035489.0;2053161.0;2070982.0;2088953.0;2107076.0;2125353.0;2143784.0;2162370.0;2181114.0;2200016.0;2219077.0;2238299.0;2257683.0;2277231.0;2296944.0;2316823.0;2336870.0;2357086.0;2377056.0;2397611.0;2418338.0;2439241.0;2459932.0;2481185.0;2502616.0;2524229.0;2545667.0;2567641.0;2589801.0;2611827.0;2634358.0;2657079.0;2679710.0;2702812.0;2726109.0;2749602.0;2773292.0;2797181.0;2821271.0;2845563.0;2870060.0;2894762.0;2919672.0;2944791.0;2970120.0;2995663.0;3021420.0;3047127.0;3073315.0;3099724.0;3126354.0;3153208.0;3179897.0;3207199.0;3234731.0;3262493.0;3290373.0;3318601.0;3347066.0;3375770.0;3404714.0;3433900.0;3463331.0;3487015.0;3512369.0;3537908.0;3563632.0;3589544.0;3615643.0;3641933.0;3668414.0;3695087.0;3721954.0;3749017.0;3776276.0;3803733.0;3831391.0;3859249.0;3887310.0;3915574.0;3944045.0;3972722.0;4001608.0;4030704.0;4060011.0;4093865.0;4132344.0;4175527.0;4219161.0;4263251.0;4307801.0;4352818.0;4398304.0;4444266.0;4490709.0;4548023.0;4659333.0;4774561.0;4890469.0;5004763.0;5116071.0;5224003.0;5329099.0;5432717.0;5536779.0;5643182.0;5753024.0;5866061.0;5980417.0;6093321.0;6203299.0;6309770.0;6414995.0;6523791.0;6642632.0;6776381.0;6927269.0;7094834.0;7277960.0;7474338.0;7682479.0;7900997.0;8130988.0;8376147.0;8641521.0;8929900.0;9244507.0;9582156.0;9931562.0;10277321.0;10609042.0;10921037.0;11218268.0;11513968.0;11827237.0;12171441.0;12553446.0;12968345.0;13403734.0;13841301.0;14268994.0;14682284.0;15088981.0;15504318.0;15949766.0;16440924.0;16983266.0;17572649.0;18203369.0;18865716.0;19552542.0;20262399.0;20997687.0;21759420.0;22549547.0;23369131.0;24218565.0;25096150.0;25998340.0;26920466.0;27859305.0;28813463.0;29784193.0;30774205.0
aia;population_total;2025.0;2025.0;2025.0;2025.0;2025.0;2025.0;2025.0;2025.0;2025.0;2025.0;2025.0;2026.0;2027.0;2029.0;2032.0;2035.0;2040.0;2045.0;2050.0;2057.0;2064.0;2072.0;2080.0;2090.0;2100.0;2111.0;2122.0;2135.0;2148.0;2162.0;2177.0;2192.0;2208.0;2224.0;2240.0;2256.0;2272.0;2288.0;2305.0;2321.0;2338.0;2355.0;2371.0;2388.0;2406.0;2423.0;2440.0;2458.0;2475.0;2493.0;2511.0;2528.0;2546.0;2564.0;2582.0;2600.0;2618.0;2637.0;2655.0;2674.0;2693.0;2712.0;2731.0;2750.0;2769.0;2788.0;2808.0;2828.0;2848.0;2868.0;2888.0;2908.0;2928.0;2948.0;2969.0;2990.0;3011.0;3032.0;3053.0;3074.0;3096.0;3117.0;3139.0;3161.0;3183.0;3205.0;3228.0;3250.0;3273.0;3296.0;3319.0;3342.0;3366.0;3389.0;3413.0;3437.0;3461.0;3485.0;3510.0;3534.0;3559.0;3584.0;3609.0;3634.0;3660.0;3686.0;3711.0;3737.0;3763.0;3790.0;3816.0;3843.0;3870.0;3897.0;3924.0;3952.0;3980.0;4008.0;4036.0;4065.0;4094.0;4124.0;4153.0;4183.0;4213.0;4243.0;4274.0;4304.0;4335.0;4366.0;4397.0;4429.0;4461.0;4493.0;4525.0;4557.0;4590.0;4623.0;4656.0;4689.0;4723.0;4756.0;4791.0;4825.0;4859.0;4894.0;4929.0;4965.0;5000.0;5036.0;5118.0;5296.0;5446.0;5552.0;5640.0;5700.0;5736.0;5779.0;5807.0;5832.0;5864.0;5899.0;5946.0;5995.0;6060.0;6120.0;6167.0;6232.0;6283.0;6346.0;6403.0;6451.0;6501.0;6556.0;6596.0;6629.0;6660.0;6687.0;6709.0;6713.0;6702.0;6650.0;6588.0;6539.0;6552.0;6662.0;6875.0;7195.0;7574.0;7965.0;8334.0;8666.0;8981.0;9266.0;9537.0;9802.0;10058.0;10303.0;10548.0;10793.0;11070.0;11372.0;11692.0;12021.0;12339.0;12638.0;12903.0;13150.0;13360.0;13565.0;13769.0;13951.0;14129.0;14299.0;14459.0;14611.0;14764.0;14909.0;15045.0
akr_a_dhe;population_total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10661.0;10737.0;10813.0;10889.0;10966.0;11043.0;11121.0;11200.0;11279.0;11358.0;11439.0;11519.0;11601.0;11683.0;11765.0;11848.0;11932.0;12016.0;12101.0;12187.0;12273.0;12359.0;12447.0;12535.0;12623.0;12712.0;12802.0;12892.0;12983.0;13075.0;13167.0;13260.0;13354.0;13448.0;13543.0;13639.0;13735.0;13832.0;13930.0;14028.0;14127.0;14227.0;14328.0;14429.0;14531.0;14633.0;14737.0;14841.0;14946.0;15051.0;15157.0;15264.0;15372.0;15481.0;15590.0;15700.0;15700.0;15700.0;15700.0;;;;;;;;;;
ala;population_total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21649.0;21618.0;21546.0;21475.0;21404.0;21333.0;21262.0;21191.0;21121.0;21051.0;20994.0;20949.0;20918.0;20886.0;20854.0;20823.0;20791.0;20760.0;20729.0;20697.0;20744.0;20869.0;21074.0;21280.0;21489.0;21699.0;21912.0;22127.0;22344.0;22563.0;22768.0;22959.0;23137.0;23315.0;23495.0;23676.0;23859.0;24043.0;24229.0;24416.0;24579.0;24719.0;24834.0;24950.0;25066.0;25183.0;25301.0;25419.0;25537.0;25657.0;25813.0;26014.0;26204.0;26378.0;26530.0;26766.0;26923.0;26923.0;26923.0;26923.0;26923.0;;;;;;;;
alb;population_total;410445.0;411734.0;413026.0;414323.0;415624.0;416929.0;418237.0;419550.0;420868.0;422189.0;423591.0;424949.0;426340.0;427763.0;429220.0;430711.0;432235.0;433792.0;435384.0;437010.0;438671.0;440367.0;442097.0;443863.0;445665.0;447502.0;449375.0;451285.0;453231.0;455214.0;457234.0;459291.0;461357.0;463433.0;465518.0;467613.0;469716.0;471830.0;473953.0;476085.0;478227.0;480496.0;482893.0;485419.0;488078.0;490869.0;493796.0;496859.0;500062.0;503404.0;506889.0;510780.0;514821.0;519014.0;523361.0;527865.0;532526.0;537348.0;542333.0;547483.0;552800.0;558285.0;563821.0;569410.0;575051.0;580746.0;586494.0;592297.0;598154.0;604067.0;610036.0;616061.0;622143.0;628113.0;634308.0;640561.0;646873.0;653080.0;659507.0;665994.0;672545.0;679004.0;685682.0;692426.0;699096.0;705996.0;712988.0;719888.0;727055.0;734321.0;741690.0;749160.0;756735.0;764415.0;772202.0;780097.0;788036.0;795992.0;803964.0;811950.0;819951.0;827966.0;836031.0;844038.0;852043.0;860044.0;868121.0;876112.0;884339.0;892676.0;901124.0;909604.0;918312.0;925945.0;932486.0;937916.0;943378.0;948871.0;953764.0;958841.0;963958.0;969107.0;974278.0;979450.0;984276.0;989448.0;994619.0;1000135.0;1005306.0;1010478.0;1015994.0;1021510.0;1027026.0;1032197.0;1037713.0;1043229.0;1052538.0;1063225.0;1082532.0;1102527.0;1123213.0;1139416.0;1150104.0;1157688.0;1164928.0;1176994.0;1195267.0;1213883.0;1232845.0;1246636.0;1263174.0;1287497.0;1316089.0;1348099.0;1382878.0;1419970.0;1459089.0;1500149.0;1543222.0;1588484.0;1636056.0;1685900.0;1737644.0;1790534.0;1843593.0;1896125.0;1947785.0;1998693.0;2049151.0;2099653.0;2150598.0;2202035.0;2253844.0;2306003.0;2358463.0;2411229.0;2464336.0;2517872.0;2571850.0;2626286.0;2681239.0;2735329.0;2788314.0;2842624.0;2901592.0;2966798.0;3041007.0;3121336.0;3197067.0;3253656.0;3281454.0;3275431.0;3240587.0;3189583.0;3140595.0;3106736.0;3092228.0;3093041.0;3103759.0;3115576.0;3121970.0;3122408.0;3119029.0;3111005.0;3097747.0;3079179.0;3054331.0;3023907.0;2991651.0;2962635.0;2940525.0;2926659.0;2920039.0;2918978.0;2920775.0;2923352.0;2926348.0;2930187.0;2934363.0
and;population_total;2654.0;2654.0;2654.0;2654.0;2654.0;2654.0;2654.0;2654.0;2654.0;2654.0;2654.0;2655.0;2656.0;2659.0;2662.0;2667.0;2672.0;2677.0;2684.0;2692.0;2700.0;2710.0;2720.0;2731.0;2743.0;2756.0;2770.0;2785.0;2801.0;2817.0;2835.0;2854.0;2872.0;2891.0;2910.0;2929.0;2948.0;2968.0;2987.0;3007.0;3026.0;3046.0;3066.0;3086.0;3106.0;3127.0;3147.0;3168.0;3188.0;3209.0;3230.0;3250.0;3270.0;3290.0;3311.0;3331.0;3352.0;3373.0;3393.0;3414.0;3435.0;3457.0;3478.0;3500.0;3521.0;3543.0;3565.0;3587.0;3609.0;3631.0;3654.0;3676.0;3699.0;3721.0;3744.0;3768.0;3791.0;3814.0;3837.0;3861.0;3885.0;3908.0;3933.0;3957.0;3981.0;4005.0;4030.0;4055.0;4080.0;4105.0;4130.0;4156.0;4182.0;4207.0;4233.0;4260.0;4286.0;4312.0;4339.0;4366.0;4393.0;4420.0;4447.0;4474.0;4502.0;4530.0;4558.0;4585.0;4614.0;4642.0;4671.0;4699.0;4728.0;4758.0;4787.0;4817.0;4846.0;4876.0;4909.0;4941.0;4973.0;5006.0;5038.0;5071.0;5105.0;5138.0;5172.0;5206.0;5240.0;5274.0;5308.0;5343.0;5378.0;5413.0;5449.0;5484.0;5520.0;5556.0;5593.0;5629.0;5666.0;5703.0;5741.0;5778.0;5816.0;5854.0;5892.0;5931.0;5970.0;6009.0;6196.0;6689.0;7247.0;7865.0;8525.0;9232.0;9989.0;10779.0;11615.0;12498.0;13411.0;14375.0;15370.0;16412.0;17469.0;18549.0;19647.0;20758.0;21890.0;23058.0;24276.0;25559.0;26892.0;28232.0;29520.0;30705.0;31777.0;32771.0;33737.0;34818.0;36067.0;37500.0;39114.0;40867.0;42706.0;44600.0;46517.0;48455.0;50434.0;52448.0;54509.0;56671.0;58888.0;60971.0;62677.0;63850.0;64360.0;64327.0;64142.0;64370.0;65390.0;67341.0;70049.0;73182.0;76244.0;78867.0;80991.0;82683.0;83861.0;84462.0;84449.0;83751.0;82431.0;80788.0;79223.0;78014.0;77281.0;76965.0;76953.0
ant;population_total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112188.0;113954.0;116163.0;118338.0;120537.0;122794.0;125123.0;127514.0;129941.0;132366.0;134755.0;137090.0;139387.0;141689.0;144054.0;146530.0;149127.0;151801.0;154436.0;156893.0;159058.0;160894.0;162432.0;163769.0;165022.0;166281.0;167587.0;168945.0;170352.0;171808.0;173309.0;174850.0;176437.0;178091.0;179836.0;181690.0;183639.0;185621.0;187506.0;189136.0;190405.0;191276.0;191730.0;191704.0;191116.0;189891.0;188037.0;185720.0;183322.0;181325.0;180106.0;179818.0;180431.0;181793.0;183603.0;185967.0;188700.0;191788.0;194999.0;198037.0;200689.0;202847.0;204538.0;205860.0;;;;;
are;population_total;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40153.0;40160.0;40167.0;40174.0;40180.0;40187.0;40194.0;40201.0;40208.0;40215.0;40222.0;40239.0;40267.0;40307.0;40357.0;40417.0;40489.0;40572.0;40666.0;40772.0;40888.0;41016.0;41156.0;41252.0;41419.0;41597.0;41789.0;41968.0;42195.0;42438.0;42682.0;42923.0;43170.0;43418.0;43664.0;43915.0;44168.0;44419.0;44674.0;44930.0;45189.0;45448.0;45709.0;45972.0;46236.0;46502.0;46769.0;47037.0;47308.0;47579.0;47853.0;48128.0;48402.0;48680.0;48959.0;49241.0;49523.0;49804.0;50090.0;50378.0;50668.0;50958.0;51250.0;51594.0;51989.0;52437.0;52888.0;53343.0;53790.0;54244.0;54702.0;55163.0;55629.0;56098.0;56572.0;57049.0;57530.0;58016.0;58505.0;58999.0;59497.0;59999.0;60505.0;61015.0;61530.0;62049.0;62573.0;63101.0;63633.0;64170.0;64712.0;65258.0;65808.0;66363.0;66923.0;67488.0;68058.0;68632.0;69211.0;69795.0;69588.0;67320.0;69063.0;72630.0;76460.0;79578.0;81682.0;83068.0;84559.0;87362.0;92634.0;101078.0;112472.0;125566.0;138529.0;150362.0;160481.0;170283.0;183194.0;203820.0;235499.0;278808.0;332760.0;397174.0;471364.0;554324.0;646943.0;748117.0;852262.0;952040.0;1042384.0;1120900.0;1189545.0;1253060.0;1318478.0;1391052.0;1472218.0;1560718.0;1655849.0;1756043.0;1860174.0;1970026.0;2086639.0;2207405.0;2328686.0;2448820.0;2571020.0;2700010.0;2838145.0;2988162.0;3154925.0;3326032.0;3507232.0;3741932.0;4087931.0;4579562.0;5242032.0;6044067.0;6894278.0;7666393.0;8270684.0;8672475.0;8900453.0;9006263.0;9070867.0;9154302.0;9269612.0;9400145.0;9541615.0
