geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;prostate_cancer_deaths_per_100000_men;12.56;12.65;12.76;12.88;13.02;13.13;13.23;13.31;13.39;13.51;13.63;13.75;13.85;13.95;14.04;14.13;14.18;14.22;14.26;14.27;14.28;14.29;14.29;14.3;14.34;14.37;14.4
ago;prostate_cancer_deaths_per_100000_men;23.06;23.12;23.25;23.47;23.74;23.96;23.94;24.06;24.52;24.75;24.9;25.19;25.75;26.44;26.87;27.23;27.63;27.91;28.3;28.59;28.79;29.04;29.26;29.5;29.79;30.05;30.33
alb;prostate_cancer_deaths_per_100000_men;19.75;19.8;19.83;19.92;20.04;20.02;20.27;20.51;20.92;21.39;21.59;21.6;21.83;21.97;21.98;21.99;21.92;21.83;21.78;21.81;21.56;21.35;21.22;21.12;21.07;21.02;20.97
and;prostate_cancer_deaths_per_100000_men;27.58;27.75;27.94;27.83;27.71;27.71;27.64;27.5;27.4;27.16;26.95;26.71;26.45;26.45;26.48;26.4;26.31;26.33;26.29;26.29;26.32;26.38;26.44;26.44;26.47;26.49;26.47
are;prostate_cancer_deaths_per_100000_men;9.26;9.38;9.48;9.58;9.68;9.76;9.83;9.88;9.91;9.9;9.93;10.1;10.16;10.14;10.06;10.1;10.13;10.14;10.06;10.13;10.16;10.27;10.35;10.51;10.58;10.63;10.66
arg;prostate_cancer_deaths_per_100000_men;24.94;25.29;25.69;26.12;26.89;27.77;28.54;29.05;29.64;29.67;29.84;29.9;30.06;30.15;30.09;29.81;29.63;29.47;29.06;28.5;27.97;27.47;27.24;27.01;26.77;26.93;26.97
arm;prostate_cancer_deaths_per_100000_men;6.69;6.85;7.19;7.54;7.93;7.79;7.94;8.08;8.28;8.46;8.68;8.91;9.39;10.0;10.87;11.95;13.17;13.47;14.17;14.8;15.35;16.04;16.39;16.31;16.75;17.07;16.42
asm;prostate_cancer_deaths_per_100000_men;47.66;47.61;47.45;47.09;46.91;46.75;46.63;46.53;46.01;44.83;46.49;47.09;47.34;48.21;49.07;50.39;50.98;50.94;50.45;49.91;49.88;50.04;49.67;49.67;49.63;49.58;49.42
atg;prostate_cancer_deaths_per_100000_men;70.06;71.97;73.51;74.58;76.17;77.14;78.66;77.21;76.91;80.68;84.96;82.89;82.14;80.92;80.56;77.19;77.27;76.56;76.33;76.41;77.09;77.82;78.51;76.49;77.54;77.27;77.28
aus;prostate_cancer_deaths_per_100000_men;30.57;31.1;31.97;32.83;33.15;32.51;31.6;30.43;29.49;28.68;28.17;27.77;27.57;27.31;26.96;26.52;26.2;25.85;25.5;25.07;24.8;24.37;23.86;23.41;23.23;23.55;23.8
aut;prostate_cancer_deaths_per_100000_men;24.68;25.05;25.49;26.09;26.63;27.37;27.83;28.37;28.65;28.84;28.69;28.19;27.53;26.58;25.62;24.87;24.12;23.46;23.07;22.43;21.9;21.49;21.07;20.75;20.3;20.46;20.5
aze;prostate_cancer_deaths_per_100000_men;9.07;9.06;9.13;9.16;9.38;9.25;9.16;9.19;9.28;9.57;9.91;10.51;10.95;11.4;11.24;11.18;11.15;11.13;11.07;10.99;10.92;10.67;10.5;10.38;10.29;10.22;10.15
bdi;prostate_cancer_deaths_per_100000_men;38.28;38.21;38.19;38.26;38.32;38.51;38.34;38.07;37.82;37.45;37.64;37.47;37.87;38.29;39.04;39.76;40.36;40.9;41.38;41.65;42.29;43.02;43.53;43.82;44.15;44.32;44.4
bel;prostate_cancer_deaths_per_100000_men;37.13;37.25;37.83;37.99;37.62;36.87;35.79;34.93;33.73;33.03;31.74;30.89;30.18;29.28;28.49;27.6;26.54;25.7;25.11;24.5;23.92;23.28;22.89;22.5;22.05;22.42;22.56
ben;prostate_cancer_deaths_per_100000_men;20.05;20.32;20.51;20.74;21.11;21.48;22.01;22.42;23.05;23.84;24.73;25.59;26.39;27.08;27.66;28.2;28.73;29.2;29.71;30.21;30.65;31.25;31.67;32.02;32.36;32.63;32.92
bfa;prostate_cancer_deaths_per_100000_men;19.99;20.04;20.18;20.42;20.62;20.89;21.2;21.69;22.39;22.86;23.57;23.96;24.36;25.06;25.66;26.15;26.66;27.13;27.5;27.75;28.43;28.93;29.48;30.18;30.59;30.88;31.19
bgd;prostate_cancer_deaths_per_100000_men;7.04;6.99;7.01;7.05;7.1;7.16;7.15;7.09;7.06;6.94;6.88;6.76;6.61;6.48;6.34;6.24;6.15;6.05;5.93;5.82;5.72;5.6;5.51;5.38;5.24;5.16;5.15
bgr;prostate_cancer_deaths_per_100000_men;13.93;14.13;14.6;14.84;15.05;15.33;15.69;16.11;16.14;16.09;16.25;16.44;16.53;16.71;16.93;17.27;17.52;17.72;17.9;17.84;17.83;18.03;18.08;18.25;17.96;17.84;17.74
bhr;prostate_cancer_deaths_per_100000_men;15.17;15.71;16.07;16.24;16.39;16.55;16.68;16.7;16.52;16.4;16.49;15.99;15.8;15.63;15.57;15.45;15.34;15.23;14.98;14.77;14.5;14.37;14.29;14.3;14.31;14.33;14.34
bhs;prostate_cancer_deaths_per_100000_men;67.22;68.75;70.4;71.58;73.31;75.11;79.23;81.59;82.01;82.68;82.71;83.19;82.55;81.26;78.34;76.62;76.15;76.52;76.52;75.39;74.36;75.5;75.92;74.93;74.98;74.89;75.18
bih;prostate_cancer_deaths_per_100000_men;16.27;16.38;16.4;16.43;16.44;16.42;16.35;16.28;16.23;16.29;16.5;16.91;17.4;17.89;18.3;18.63;18.85;19.01;19.08;19.12;19.16;19.18;19.3;19.44;19.63;19.52;19.43
blr;prostate_cancer_deaths_per_100000_men;11.65;12.25;12.99;13.68;14.32;14.99;15.21;15.58;15.88;16.36;16.52;17.29;18.21;18.65;19.0;19.55;19.99;20.31;20.74;21.12;21.45;21.41;20.56;20.13;19.82;19.44;19.22
blz;prostate_cancer_deaths_per_100000_men;29.95;31.73;34.04;35.84;40.42;43.58;46.28;51.63;53.1;54.15;54.74;58.08;59.41;59.13;60.01;60.03;59.27;58.33;57.04;55.65;52.55;53.13;53.71;53.73;52.99;53.72;53.93
bmu;prostate_cancer_deaths_per_100000_men;53.82;55.76;58.16;61.48;63.43;63.66;68.78;69.5;70.18;72.78;72.7;71.42;71.15;69.15;66.54;63.79;63.72;62.98;62.42;61.93;61.01;59.53;59.07;58.22;58.17;56.97;57.15
bol;prostate_cancer_deaths_per_100000_men;27.26;27.43;27.59;27.82;27.99;28.23;28.41;28.69;28.92;29.02;29.01;28.96;28.93;28.83;28.75;28.69;28.65;28.65;28.7;28.74;28.72;28.68;28.64;28.59;28.68;28.66;28.65
bra;prostate_cancer_deaths_per_100000_men;29.13;29.63;30.38;31.4;32.53;33.47;35.26;36.44;37.42;38.09;38.21;38.13;37.93;37.66;37.31;36.61;36.15;35.38;34.5;33.58;32.74;31.85;30.93;30.44;29.99;29.92;30.17
brb;prostate_cancer_deaths_per_100000_men;68.48;70.76;73.93;75.72;78.36;79.7;80.1;81.44;83.05;83.8;85.12;84.96;83.6;81.88;83.18;81.88;79.91;78.56;78.21;77.89;76.64;75.03;73.06;72.53;73.73;74.49;74.94
brn;prostate_cancer_deaths_per_100000_men;12.25;12.31;12.31;12.29;12.26;12.21;12.2;12.24;12.3;12.43;12.68;12.85;13.05;13.22;13.38;13.48;13.62;13.78;13.94;14.15;14.29;14.52;14.76;14.86;15.09;15.0;14.94
btn;prostate_cancer_deaths_per_100000_men;6.38;6.4;6.42;6.44;6.48;6.49;6.49;6.57;6.62;6.6;6.67;6.69;6.74;6.79;6.82;6.87;6.88;6.9;6.91;6.94;6.95;6.94;6.94;6.95;6.93;6.92;6.89
bwa;prostate_cancer_deaths_per_100000_men;32.77;33.04;33.39;33.69;34.1;34.48;34.91;35.35;35.79;36.34;36.95;37.47;37.95;38.14;38.37;38.49;38.59;38.66;38.91;38.99;39.01;39.0;39.12;39.21;39.21;39.3;39.38
caf;prostate_cancer_deaths_per_100000_men;25.65;25.9;26.01;26.13;26.28;26.41;26.59;26.69;26.88;27.2;27.4;27.57;27.86;28.02;28.19;28.4;28.63;28.79;28.96;29.0;29.33;29.47;29.57;29.6;29.62;29.66;29.68
can;prostate_cancer_deaths_per_100000_men;33.53;34.25;34.71;34.88;34.47;33.94;33.16;32.44;31.73;31.0;30.25;29.6;28.83;28.26;27.65;26.57;26.43;24.94;24.02;23.19;22.53;21.91;21.44;21.54;21.71;21.96;22.05
che;prostate_cancer_deaths_per_100000_men;36.66;36.59;36.37;36.06;35.7;35.2;34.28;33.57;33.08;32.32;31.48;30.76;30.06;29.45;28.47;27.66;26.9;26.17;25.65;25.02;24.36;23.67;23.14;22.88;22.64;22.67;22.75
chl;prostate_cancer_deaths_per_100000_men;23.34;23.83;24.67;25.64;26.99;28.64;29.95;30.64;31.11;31.2;30.97;30.65;30.64;30.71;30.65;30.33;30.15;29.9;29.6;29.97;30.48;30.35;30.23;30.01;29.54;29.44;29.41
chn;prostate_cancer_deaths_per_100000_men;6.46;6.45;6.48;6.48;6.5;6.47;6.44;6.43;6.44;6.46;6.48;6.52;6.57;6.48;6.41;6.36;6.3;6.26;6.23;6.23;6.21;6.19;6.17;6.16;6.17;6.14;6.11
civ;prostate_cancer_deaths_per_100000_men;51.0;51.46;52.13;52.91;53.46;54.17;54.56;54.73;55.26;55.52;55.95;55.77;55.72;55.74;56.07;56.04;56.23;56.16;56.46;56.81;57.16;57.74;58.27;58.55;58.85;59.06;59.24
cmr;prostate_cancer_deaths_per_100000_men;20.7;20.98;21.35;21.78;22.1;22.5;23.04;23.65;24.34;25.18;26.14;27.02;27.86;28.63;29.36;30.11;30.86;31.52;32.14;32.66;33.1;33.77;34.22;34.63;34.98;35.31;35.66
cod;prostate_cancer_deaths_per_100000_men;24.99;25.16;25.27;25.25;25.31;25.5;25.62;25.52;25.61;25.82;25.83;26.11;26.2;26.55;26.59;26.7;26.89;27.06;27.44;27.69;27.86;28.19;28.57;28.77;29.02;29.32;29.57
cog;prostate_cancer_deaths_per_100000_men;27.6;27.45;27.56;27.74;27.96;28.24;28.26;28.46;28.39;28.45;28.15;27.93;27.73;28.04;28.11;28.18;28.3;28.46;28.56;28.64;28.6;28.67;28.99;29.22;29.5;29.77;30.1
col;prostate_cancer_deaths_per_100000_men;25.07;26.12;26.86;27.83;28.33;28.7;29.51;29.56;29.78;30.0;30.22;29.94;29.68;28.84;28.58;27.97;27.69;26.71;26.37;25.83;25.11;24.37;24.05;23.78;23.91;23.97;24.01
com;prostate_cancer_deaths_per_100000_men;38.66;38.89;39.1;39.33;39.55;39.83;40.02;40.27;40.23;40.33;40.76;41.06;41.73;42.04;42.5;42.97;43.61;44.12;44.62;44.89;45.21;45.69;45.97;46.19;46.41;46.63;46.79
cpv;prostate_cancer_deaths_per_100000_men;20.73;21.21;21.98;23.47;26.24;31.53;40.43;49.08;52.65;53.15;53.62;53.93;54.34;54.77;55.25;55.68;56.1;56.37;56.79;57.13;57.41;57.55;58.61;58.38;58.34;58.35;58.33
cri;prostate_cancer_deaths_per_100000_men;25.9;26.35;26.86;27.35;27.97;29.31;29.77;29.95;30.88;31.22;31.52;31.51;30.97;30.51;29.8;29.13;28.54;28.24;27.91;27.78;27.5;27.26;26.78;26.68;26.41;26.58;26.65
cub;prostate_cancer_deaths_per_100000_men;32.96;33.74;34.59;35.11;35.62;35.77;35.87;36.33;36.59;36.6;36.9;36.98;37.6;38.06;38.66;38.99;39.45;39.75;39.78;39.81;40.07;40.09;40.29;40.3;40.25;40.26;40.28
cyp;prostate_cancer_deaths_per_100000_men;24.61;24.67;24.37;24.32;24.28;23.98;23.77;23.62;23.46;23.65;24.08;24.23;24.33;24.36;24.69;24.57;24.06;23.91;23.64;23.47;23.22;22.89;22.89;23.02;22.94;23.07;23.16
cze;prostate_cancer_deaths_per_100000_men;22.5;23.17;23.72;24.33;24.98;25.47;26.04;26.2;26.82;27.04;27.2;27.49;27.81;27.97;27.86;27.46;26.89;26.24;25.79;25.66;25.55;24.6;24.09;23.67;23.23;22.47;22.53
deu;prostate_cancer_deaths_per_100000_men;26.26;26.73;27.13;27.42;27.87;27.82;27.78;27.22;26.72;26.25;25.91;25.44;25.03;24.61;24.0;23.58;23.16;22.79;22.55;22.31;22.06;21.89;21.74;21.62;21.28;21.32;21.37
dji;prostate_cancer_deaths_per_100000_men;35.67;36.12;36.35;36.63;37.03;37.42;37.84;38.1;38.33;38.68;39.02;39.41;39.89;40.33;40.61;41.1;41.45;42.18;42.75;43.19;43.53;43.94;44.39;44.61;44.79;45.12;45.28
dma;prostate_cancer_deaths_per_100000_men;85.37;90.88;94.71;102.22;107.98;113.24;119.63;124.05;125.39;128.21;130.24;129.91;134.2;134.33;132.8;132.65;133.43;131.84;133.85;133.92;131.27;130.36;127.88;127.53;125.34;126.8;126.87
