geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;prostate_cancer_new_cases_per_100000_men;10.61;10.67;10.73;10.79;10.86;10.93;10.97;11.02;11.07;11.12;11.18;11.2;11.23;11.26;11.3;11.34;11.36;11.37;11.4;11.42;11.45;11.46;11.47;11.48;11.5;11.51;11.54
ago;prostate_cancer_new_cases_per_100000_men;22.97;23.04;23.13;23.21;23.29;23.38;23.5;23.63;23.75;23.88;24.01;24.13;24.26;24.39;24.52;24.66;24.81;24.96;25.11;25.26;25.42;25.64;25.87;26.1;26.34;26.58;26.83
alb;prostate_cancer_new_cases_per_100000_men;25.59;25.66;25.76;25.86;25.96;26.09;26.74;27.43;28.16;28.91;29.71;30.25;30.83;31.42;32.03;32.69;33.04;33.36;33.72;34.09;34.49;34.7;34.94;35.19;35.44;35.69;35.98
and;prostate_cancer_new_cases_per_100000_men;92.51;94.0;95.56;97.15;98.78;100.47;102.99;105.62;108.35;111.19;114.16;115.72;117.35;119.01;120.71;122.48;123.77;125.05;126.37;127.72;129.11;130.46;131.85;133.25;134.68;136.13;137.64
are;prostate_cancer_new_cases_per_100000_men;11.89;12.28;12.68;13.11;13.55;14.02;14.51;15.02;15.56;16.12;16.72;17.15;17.61;18.08;18.56;19.08;19.46;19.84;20.25;20.66;21.09;21.62;22.16;22.73;23.31;23.91;24.54
arg;prostate_cancer_new_cases_per_100000_men;40.55;41.95;43.44;44.99;46.62;48.33;49.61;50.94;52.32;53.74;55.22;55.85;56.51;57.18;57.86;58.56;58.99;59.42;59.87;60.32;60.83;61.62;62.47;63.34;64.22;65.13;66.07
arm;prostate_cancer_new_cases_per_100000_men;10.57;10.88;11.21;11.56;11.93;12.32;12.64;12.98;13.33;13.7;14.08;15.13;16.27;17.51;18.87;20.35;21.73;23.22;24.83;26.57;28.45;29.27;30.12;31.0;31.91;32.85;33.82
asm;prostate_cancer_new_cases_per_100000_men;58.65;59.42;60.23;61.06;61.9;62.77;64.05;65.38;66.74;68.14;69.6;72.32;75.18;78.18;81.3;84.58;86.21;87.86;89.57;91.31;93.12;94.77;96.48;98.23;100.01;101.83;103.72
atg;prostate_cancer_new_cases_per_100000_men;132.58;136.93;141.52;146.28;151.22;156.39;159.46;162.66;165.94;169.32;172.81;171.41;170.06;168.73;167.42;166.13;168.75;171.42;174.16;176.95;179.8;182.18;184.6;187.05;189.54;192.06;194.65
aus;prostate_cancer_new_cases_per_100000_men;117.53;122.29;127.49;133.13;139.26;145.95;146.72;147.68;148.8;150.08;151.58;154.35;157.29;160.38;163.62;167.1;167.27;167.38;167.58;167.81;168.17;168.96;169.91;170.88;171.89;172.92;174.1
