geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;prostate_cancer_number_of_new_male_cases;117.26;125.36;136.06;149.89;164.12;178.29;186.51;193.16;198.44;204.17;211.34;218.5;227.41;237.57;247.94;258.54;268.69;277.68;286.71;296.75;308.78;319.82;332.81;346.28;360.37;374.77;394.54
ago;prostate_cancer_number_of_new_male_cases;250.86;258.04;265.78;274.17;282.69;291.43;300.63;309.72;319.51;329.85;341.17;353.97;367.85;383.65;400.22;417.69;435.14;453.08;472.52;493.18;515.48;539.21;564.59;590.7;618.6;648.52;684.78
alb;prostate_cancer_number_of_new_male_cases;212.81;217.13;220.11;222.18;225.22;230.6;240.05;252.32;267.37;284.51;303.59;321.13;339.9;360.56;381.49;403.12;420.54;437.54;458.91;481.39;505.4;520.27;536.69;554.2;573.39;594.4;614.33
and;prostate_cancer_number_of_new_male_cases;25.66;28.23;30.67;33.02;34.72;35.59;37.2;39.24;41.36;43.34;45.16;46.58;48.37;51.82;56.75;60.65;63.9;67.5;70.74;73.69;76.12;78.28;80.47;82.65;84.84;87.04;88.74
are;prostate_cancer_number_of_new_male_cases;16.76;18.3;20.0;21.66;23.68;26.09;29.04;32.48;36.19;40.14;44.42;47.68;51.68;57.69;66.82;80.29;91.37;107.4;127.39;148.89;170.45;201.04;231.55;263.0;297.58;337.9;388.06
arg;prostate_cancer_number_of_new_male_cases;4819.88;5076.13;5353.38;5653.72;5976.99;6325.74;6612.48;6915.42;7243.81;7588.62;7952.42;8175.32;8401.98;8650.17;8912.23;9193.53;9406.58;9629.69;9871.07;10135.79;10433.24;10765.13;11123.11;11481.78;11872.18;12297.2;12768.42
arm;prostate_cancer_number_of_new_male_cases;96.63;102.92;109.06;115.04;122.0;130.6;137.43;145.28;154.08;163.11;172.06;187.14;203.45;223.2;244.1;266.33;286.31;307.86;330.78;355.11;380.5;395.45;409.59;423.2;438.64;457.78;474.4
asm;prostate_cancer_number_of_new_male_cases;4.48;4.6;4.72;4.86;5.0;5.15;5.34;5.54;5.74;5.96;6.19;6.54;6.92;7.32;7.75;8.21;8.52;8.85;9.2;9.56;9.94;10.31;10.71;11.12;11.55;12.0;12.48
atg;prostate_cancer_number_of_new_male_cases;25.82;26.98;28.32;29.83;31.5;33.32;34.71;36.0;36.9;37.85;39.06;40.24;41.49;42.53;43.28;43.9;44.96;46.13;47.02;48.16;49.56;51.13;52.97;54.97;57.03;59.21;61.99
aus;prostate_cancer_number_of_new_male_cases;8930.05;9595.36;10325.1;11079.48;11896.18;12807.95;13241.25;13703.31;14210.65;14751.17;15344.39;16109.65;16886.88;17695.93;18554.59;19495.79;20106.19;20773.05;21473.23;22196.18;22995.22;23900.69;24793.41;25699.11;26618.16;27550.99;28518.57
aut;prostate_cancer_number_of_new_male_cases;4216.91;4372.41;4532.74;4705.51;4900.3;5120.17;5308.06;5508.06;5717.19;5949.92;6196.22;6281.11;6351.86;6410.43;6509.89;6630.31;6700.56;6766.45;6828.44;6895.18;6960.9;7150.14;7356.22;7569.83;7796.44;8045.91;8303.71
aze;prostate_cancer_number_of_new_male_cases;194.34;199.7;205.05;213.26;223.04;234.64;245.76;257.14;268.95;281.34;294.35;313.87;333.52;355.7;377.05;398.14;419.64;441.11;463.84;486.73;511.27;540.75;572.7;608.81;648.74;693.95;728.11
bdi;prostate_cancer_number_of_new_male_cases;248.71;252.9;256.99;260.51;264.06;267.82;272.42;277.36;283.67;291.03;299.72;306.95;315.89;327.78;340.7;354.54;367.03;380.28;394.99;411.74;431.14;448.62;468.54;488.65;511.2;536.28;564.11
bel;prostate_cancer_number_of_new_male_cases;5925.21;6131.48;6338.39;6541.46;6764.26;7030.94;7201.25;7383.51;7579.86;7774.39;7957.02;8067.01;8178.78;8297.62;8440.1;8608.21;8664.32;8729.16;8801.22;8881.58;8974.83;9159.49;9343.55;9526.08;9736.95;9952.74;10181.94
ben;prostate_cancer_number_of_new_male_cases;95.88;98.93;102.42;106.3;110.44;114.84;120.21;125.76;131.49;137.87;145.17;152.59;160.86;170.21;180.6;192.15;201.82;212.16;223.55;235.94;249.48;260.76;272.64;284.86;298.07;312.46;329.26
bfa;prostate_cancer_number_of_new_male_cases;164.33;167.65;170.93;173.99;177.13;180.51;186.06;191.84;197.65;203.89;210.75;218.01;225.75;234.09;243.31;253.58;262.51;272.06;282.51;294.01;306.75;318.36;330.85;343.53;357.29;372.31;391.68
bgd;prostate_cancer_number_of_new_male_cases;956.7;990.46;1025.0;1065.59;1108.05;1153.51;1207.63;1263.08;1331.13;1400.24;1471.2;1539.61;1609.15;1684.25;1759.63;1836.1;1916.05;1994.55;2077.11;2160.3;2245.76;2342.84;2442.67;2545.02;2651.92;2764.78;2897.25
bgr;prostate_cancer_number_of_new_male_cases;1168.99;1209.87;1247.54;1288.67;1336.11;1387.35;1423.42;1457.64;1488.67;1524.92;1566.07;1612.19;1659.13;1706.76;1759.45;1817.07;1858.56;1899.26;1944.22;1995.78;2050.09;2087.27;2126.87;2167.67;2209.67;2252.86;2298.66
bhr;prostate_cancer_number_of_new_male_cases;11.0;11.75;12.61;13.57;14.63;15.72;16.53;17.39;18.4;19.57;20.92;21.76;22.79;24.12;25.86;28.12;30.33;33.21;36.75;40.56;44.45;48.27;51.53;54.36;57.01;59.66;64.36
bhs;prostate_cancer_number_of_new_male_cases;70.22;74.19;78.29;82.69;87.72;93.54;100.23;107.38;115.34;123.86;133.31;137.6;142.64;148.25;154.48;161.43;165.9;170.59;175.99;182.01;188.71;199.74;211.62;224.95;238.5;252.21;267.42
