geo;indicator;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
ago;residential_electricity_use_per_person;;;;;;;;;;;;67.63;74.65;85.81;107.9;116.6;51.84;49.99;49.01;51.16;52.52;51.48;53.88;56.65;47.19;55.67;54.5;53.98;53.38;52.78;52.11;51.24;50.03;49.0;48.1;47.03;49.08;67.25;72.0;71.63;76.14;84.92;89.38;98.35;107.1;122.6;134.4;147.2;173.0
alb;residential_electricity_use_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;219.7;160.6;175.3;226.5;230.9;259.7;344.2;322.4;436.0;642.5;709.1;689.2;875.2;853.9;787.5;767.2;552.1;575.0;636.3
are;residential_electricity_use_per_person;;;;;;;;;;;;308.9;609.6;810.2;913.6;1152.0;1428.0;1902.0;2127.0;2484.0;2775.0;2886.0;3260.0;3391.0;3367.0;3363.0;3291.0;3380.0;3551.0;3540.0;3678.0;3641.0;3832.0;4361.0;4668.0;4853.0;5034.0;5210.0;5380.0;5546.0;5706.0;5860.0;6010.0;6640.0;6919.0;7358.0;8223.0;9340.0;11150.0
arg;residential_electricity_use_per_person;;;;;;;;;;;;216.7;225.8;232.9;237.7;255.4;280.7;282.8;291.7;303.9;312.4;310.5;294.4;302.7;316.8;317.8;338.4;372.3;346.9;324.8;336.7;358.8;393.6;426.9;456.7;484.2;493.2;511.5;523.5;555.0;570.2;578.0;554.4;557.1;575.1;614.7;653.5;708.6;768.4
arm;residential_electricity_use_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;606.3;699.8;717.3;420.0;310.3;208.9;353.9;794.8;578.6;531.0;512.2;487.9;496.5;533.5;549.7;577.7;574.3;594.7;603.8
aus;residential_electricity_use_per_person;653.7;712.0;745.9;799.0;854.7;904.6;963.0;1030.0;1078.0;1159.0;1211.0;1286.0;1363.0;1396.0;1452.0;1607.0;1669.0;1799.0;1862.0;1956.0;1982.0;2044.0;2108.0;2101.0;2136.0;2064.0;2152.0;2188.0;2189.0;2183.0;2265.0;2275.0;2249.0;2298.0;2267.0;2328.0;2355.0;2412.0;2461.0;2495.0;2545.0;2563.0;2622.0;2581.0;2675.0;2757.0;2768.0;2753.0;2825.0
aut;residential_electricity_use_per_person;245.2;267.3;300.5;327.8;360.3;389.3;415.3;450.5;489.2;535.2;591.2;651.4;729.4;800.3;842.6;895.7;975.4;1013.0;1078.0;1111.0;1162.0;982.4;968.3;993.6;1038.0;1101.0;1114.0;1456.0;1489.0;1511.0;1538.0;1612.0;1614.0;1645.0;1617.0;1689.0;1762.0;1721.0;1727.0;1735.0;1750.0;1883.0;1935.0;2070.0;2052.0;2086.0;2076.0;2052.0;2068.0
aze;residential_electricity_use_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;226.8;;;;46.79;1025.0;1277.0;1456.0;1309.0;1335.0;1543.0;1513.0;1423.0;1733.0;1040.0;921.6
bel;residential_electricity_use_per_person;165.0;187.0;217.3;243.3;269.1;304.5;336.7;365.6;409.0;458.9;510.6;562.5;629.9;780.9;853.3;947.2;1037.0;1125.0;1219.0;1290.0;1332.0;1366.0;1391.0;1441.0;1486.0;1573.0;1620.0;1712.0;1726.0;1783.0;1847.0;1989.0;2016.0;2092.0;2110.0;2177.0;2282.0;2249.0;2290.0;2295.0;2313.0;2371.0;2514.0;2520.0;2565.0;2510.0;2190.0;2103.0;1921.0
ben;residential_electricity_use_per_person;;;;;;;;;;;;1.86;2.173;2.468;2.745;2.6710000000000003;2.9219999999999997;1.8940000000000001;25.47;12.22;13.65;15.54;8.514;17.88;15.8;16.83;16.79;18.15;18.49;18.12;17.54;16.98;16.26;18.99;20.05;20.88;14.27;16.98;16.81;24.24;24.3;25.35;33.6;28.49;30.25;36.87;36.76;37.39;38.22
bgd;residential_electricity_use_per_person;;;;;;;;;;;;1.893;1.8519999999999999;1.8769999999999998;2.397;2.033;1.733;1.828;2.533;2.667;2.589;3.2760000000000002;3.858;4.855;5.574;6.587000000000001;7.3020000000000005;8.212;8.737;10.18;11.13;12.8;17.23;20.03;21.61;23.53;29.22;29.99;31.58;34.73;42.2;46.53;49.94;52.43;56.68;59.11;63.21;62.56;68.12
bgr;residential_electricity_use_per_person;;;;;;;;;;;;331.2;376.3;423.1;474.0;526.2;593.1;629.1;663.1;738.8;774.0;789.4;899.8;954.1;1058.0;1068.0;969.6;1053.0;1106.0;1133.0;1178.0;1186.0;1155.0;1187.0;1174.0;1327.0;1408.0;1225.0;1322.0;1282.0;1261.0;1260.0;1215.0;1227.0;1167.0;1214.0;1260.0;1281.0;1381.0
bhr;residential_electricity_use_per_person;;;;;;;;;;;;;;;;;;;;;;;;;2783.0;3232.0;3420.0;3426.0;3500.0;3532.0;3625.0;3290.0;3757.0;3984.0;4172.0;4257.0;4524.0;4467.0;4887.0;4965.0;4861.0;5055.0;5371.0;5606.0;5806.0;6261.0;7299.0;8451.0;7314.0
bih;residential_electricity_use_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;681.5;619.1;578.1;502.7;637.6;682.3;736.5;885.1;977.2;976.5;907.6;908.4;908.1;910.8;888.0;920.2;915.5;903.7;927.1
blr;residential_electricity_use_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;341.2;464.4;426.6;434.8;442.0;468.3;487.8;514.0;536.8;561.7;536.9;538.8;559.2;587.0;587.1;578.6;557.6;584.1;614.9
bol;residential_electricity_use_per_person;;;;;;;;;;;;42.43;41.62;41.67;43.79;45.59;48.24;50.8;55.54;61.4;65.99;71.43;70.55;73.91;79.89;84.94;92.21;100.1;106.0;108.7;109.8;112.2;116.4;121.5;131.8;140.5;143.7;152.2;159.4;165.1;170.5;168.8;171.4;173.2;177.7;185.9;194.0;201.0;213.1
bra;residential_electricity_use_per_person;;;;;;;;;;;;93.94;98.51;105.8;113.3;121.4;133.4;149.9;161.8;175.1;189.2;199.0;210.0;225.5;229.8;237.7;255.2;268.5;278.1;294.4;322.2;332.5;332.6;338.5;347.6;388.8;415.9;439.5;464.4;469.2;475.7;415.1;404.4;418.4;426.9;447.1;456.3;478.4;498.2
brn;residential_electricity_use_per_person;;;;;;;;;;;;519.8;501.9;482.3;470.3;454.6;439.4;424.7;410.5;396.9;529.2;700.2;812.3;946.1;1005.0;994.7;975.2;1266.0;1288.0;1289.0;1294.0;1279.0;1312.0;1378.0;1451.0;1553.0;1588.0;1710.0;1603.0;1520.0;1555.0;1391.0;1109.0;1271.0;1295.0;1058.0;817.1;874.6;3067.0
bwa;residential_electricity_use_per_person;;;;;;;;;;;;;;;;;;;;;;31.04;34.01;34.78;38.37;38.94;38.57;37.36;48.82;58.75;62.53;67.61;72.26;89.5;104.4;110.5;115.7;123.7;111.2;119.6;128.2;206.1;225.1;251.8;327.7;345.2;349.5;416.1;454.8
can;residential_electricity_use_per_person;902.3;1006.0;1004.0;1038.0;1155.0;1271.0;1469.0;1534.0;1634.0;1794.0;1969.0;2231.0;2152.0;2303.0;2593.0;2764.0;3012.0;3220.0;3284.0;3304.0;3450.0;3504.0;3607.0;3766.0;3910.0;3999.0;4163.0;4204.0;4486.0;4744.0;4673.0;4602.0;4637.0;4579.0;4542.0;4444.0;4512.0;4439.0;4223.0;4306.0;4420.0;4440.0;4472.0;4596.0;4645.0;4603.0;4442.0;4579.0;4772.0
che;residential_electricity_use_per_person;646.0;664.7;713.7;718.7;767.9;780.9;790.7;818.2;864.0;921.3;962.4;1098.0;1021.0;1135.0;1119.0;1171.0;1241.0;1310.0;1386.0;1498.0;1578.0;1583.0;1542.0;1608.0;1745.0;1822.0;1864.0;1908.0;1890.0;1956.0;1990.0;2062.0;2090.0;2076.0;2067.0;2129.0;2127.0;2066.0;2098.0;2151.0;2165.0;2213.0;2204.0;2252.0;2297.0;2354.0;2353.0;2313.0;2361.0
chl;residential_electricity_use_per_person;;;;;;;;;;;;89.32;108.4;119.1;118.7;124.4;122.4;135.7;145.5;152.7;161.0;169.3;170.4;154.5;138.2;165.4;190.1;200.7;198.3;191.6;330.0;340.4;364.7;390.0;419.0;443.7;489.0;360.2;387.5;399.0;408.0;450.7;462.2;468.7;495.2;518.5;529.8;546.7;532.5
chn;residential_electricity_use_per_person;;;;;;;;;;;;5.754;6.183;6.614;6.556;7.474;7.632999999999999;8.282;9.384;10.18;10.72;11.88;12.05;13.42;15.35;11.66;13.86;14.97;17.65;20.13;42.36;47.25;54.95;62.56;72.76;83.48;93.08;101.9;106.7;118.2;132.4;144.6;156.3;173.7;190.2;216.8;248.1;274.8;331.4
civ;residential_electricity_use_per_person;;;;;;;;;;;;13.48;15.81;19.53;19.64;23.96;26.22;30.97;35.72;47.89;54.69;55.2;60.28;60.91;47.73;47.28;46.82;46.38;45.95;45.55;44.66;43.9;43.77;43.46;42.93;42.9;46.04;63.39;57.68;59.22;60.34;58.03;56.19;55.51;59.73;55.8;61.35;69.35;70.39
cmr;residential_electricity_use_per_person;;;;;;;;;;;;6.406000000000001;10.26;11.01;11.57;12.63;13.99;15.33;17.31;19.41;20.47;21.39;25.08;26.16;26.6;30.61;28.89;30.62;29.72;29.2;26.92;26.32;27.28;27.16;22.42;21.4;23.18;24.66;27.17;26.87;25.41;24.85;28.69;30.46;32.94;30.5;46.32;43.97;59.55
cod;residential_electricity_use_per_person;;;;;;;;;;;;;;;;;28.56;30.22;29.29;31.67;29.86;31.88;31.0;33.84;43.11;49.62;49.44;48.2;46.14;41.76;24.5;29.12;31.42;35.17;23.62;22.75;21.37;21.18;20.77;21.15;23.69;22.75;22.18;23.16;25.45;25.71;42.0;31.81;30.71
cog;residential_electricity_use_per_person;;;;;;;;;;;;28.34;29.1;31.25;33.24;35.78;38.82;37.75;37.96;38.74;40.03;24.96;58.05;39.39;78.06;46.89;119.4;83.83;68.59;65.58;62.27;72.78;68.5;57.5;54.9;56.27;59.72;47.85;36.14;22.56;37.72;40.77;42.67;42.5;44.27;49.7;51.87;56.05;56.37
col;residential_electricity_use_per_person;;;;;;;;;;;;153.5;158.7;141.9;132.1;170.1;184.2;188.6;216.1;239.7;257.8;256.5;285.2;290.6;303.9;314.1;325.3;340.8;348.3;371.9;382.5;387.9;350.4;378.7;396.1;403.3;398.9;391.2;315.6;297.2;280.5;358.7;351.3;364.0;373.3;378.5;387.8;398.4;404.6
cri;residential_electricity_use_per_person;;;;;;;;;;;;368.0;394.1;404.6;429.5;446.5;474.1;466.8;486.3;457.2;527.7;557.5;599.9;595.1;614.7;644.6;680.2;720.2;724.9;496.1;515.8;520.9;523.9;552.5;579.4;580.8;592.0;602.4;634.5;652.9;677.6;691.9;717.0;734.5;740.2;761.8;781.7;794.8;798.3
cub;residential_electricity_use_per_person;;;;;;;;;;;;117.6;125.9;129.6;133.8;141.1;148.7;165.8;183.0;203.4;219.4;210.3;227.7;237.2;249.0;266.2;285.3;284.4;296.5;311.6;313.6;305.0;279.9;272.9;303.0;300.5;306.2;331.0;343.7;360.2;381.4;401.3;435.9;454.7;443.0;448.2;491.5;537.1;528.8
cyp;residential_electricity_use_per_person;;;;;;;;;;;;248.5;284.3;310.8;276.3;222.8;233.9;262.4;286.2;289.3;299.6;310.8;330.0;360.9;365.7;392.5;415.5;473.2;545.1;606.7;659.1;680.3;830.1;905.9;929.0;1035.0;1116.0;1122.0;1207.0;1263.0;1391.0;1366.0;1508.0;1679.0;1696.0;1837.0;1913.0;2040.0;2124.0
cze;residential_electricity_use_per_person;;;;;;;;;;;;329.2;367.5;396.0;423.9;459.2;498.4;524.7;575.4;573.5;600.2;618.3;644.4;679.3;729.3;776.7;806.3;846.8;860.3;895.5;933.6;958.2;1003.0;1104.0;1276.0;1438.0;1553.0;1505.0;1410.0;1367.0;1346.0;1388.0;1377.0;1416.0;1418.0;1438.0;1485.0;1432.0;1439.0
deu;residential_electricity_use_per_person;168.7;189.8;217.8;260.1;282.2;315.8;350.7;385.8;432.2;485.7;744.3;828.8;920.4;995.2;1059.0;1131.0;1224.0;1288.0;1391.0;1431.0;1469.0;1488.0;1511.0;1559.0;1635.0;1707.0;1730.0;1800.0;1746.0;1733.0;1727.0;1528.0;1524.0;1554.0;1530.0;1558.0;1638.0;1595.0;1591.0;1600.0;1588.0;1629.0;1658.0;1688.0;1704.0;1714.0;1717.0;1701.0;1694.0
dnk;residential_electricity_use_per_person;;;;;;;;;;;;;;1314.0;1242.0;1299.0;1321.0;1356.0;1425.0;1501.0;1453.0;1440.0;1450.0;1572.0;1656.0;1787.0;1871.0;1944.0;1939.0;1929.0;1881.0;1967.0;1974.0;1992.0;2004.0;1968.0;2014.0;1953.0;1936.0;1933.0;1914.0;1897.0;1896.0;1903.0;1909.0;1924.0;1940.0;1893.0;1884.0
dom;residential_electricity_use_per_person;;;;;;;;;;;;169.4;224.6;235.2;222.1;246.5;231.5;254.4;244.0;284.5;265.5;269.3;200.8;202.0;219.9;264.6;257.1;278.0;275.5;241.3;351.6;377.3;404.9;381.8;395.9;374.2;458.1;454.4;470.5;473.9;510.5;333.4;366.5;505.5;509.3;466.1;453.9;468.3;457.6
dza;residential_electricity_use_per_person;;;;;;;;;;;;27.0;29.54;33.63;36.74;39.35;45.4;48.69;55.08;59.75;56.43;59.83;74.19;79.46;95.61;104.4;168.7;180.4;192.7;213.5;241.4;250.0;270.7;264.8;276.5;283.7;295.1;293.8;324.8;352.8;372.7;390.1;409.8;451.5;465.5;532.7;504.2;531.6;590.5
ecu;residential_electricity_use_per_person;;;;;;;;;;;;49.71;54.15;54.91;59.93;80.05;84.85;96.19;106.8;114.8;130.7;137.1;144.5;155.6;151.5;154.0;152.6;174.3;172.2;171.3;181.3;191.6;198.8;200.4;216.6;225.0;247.9;272.8;280.3;238.5;223.5;228.1;239.6;254.7;267.4;277.0;287.6;298.3;314.8
egy;residential_electricity_use_per_person;;;;;;;;;;;;59.4;58.76;57.93;65.04;72.27;79.99;90.44;91.47;97.58;107.0;115.1;120.1;144.8;159.9;176.8;190.1;205.1;211.8;223.6;235.4;243.3;242.8;250.1;257.3;265.8;264.4;271.0;294.4;316.0;334.1;357.1;378.1;399.2;411.4;437.5;464.0;501.8;536.8
eri;residential_electricity_use_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.815;8.282;8.388;9.331;10.7;12.08;13.63;14.13;14.0;15.83;17.67;19.02;20.2;20.99;19.64;20.38;20.29
esp;residential_electricity_use_per_person;64.14;74.99;77.3;92.32;92.11;102.6;127.4;164.3;192.1;225.4;262.1;266.5;291.8;311.6;323.8;348.8;392.1;395.6;433.7;476.6;522.0;539.8;534.4;571.5;611.8;603.5;643.0;683.1;693.4;752.9;767.8;783.0;794.3;816.8;876.2;905.5;942.7;1006.0;1045.0;1138.0;1090.0;1240.0;1261.0;1349.0;1441.0;1552.0;1751.0;1764.0;1780.0
est;residential_electricity_use_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;592.1;724.7;804.7;734.3;865.6;737.8;864.4;852.7;963.1;980.9;1063.0;1157.0;1165.0;1180.0;1206.0;1216.0;1265.0;1348.0;1411.0
eth;residential_electricity_use_per_person;;;;;;;;;;;;3.19;2.8280000000000003;2.7039999999999997;2.702;2.699;2.78;2.8310000000000004;3.153;3.534;4.191;4.238;4.461;4.618;4.8919999999999995;5.308;5.209;4.652;5.74;5.626;6.412000000000001;7.261;7.777;8.177999999999999;8.754;9.361;9.576;9.507;8.4;7.882999999999999;8.04;5.957999999999999;8.7;9.251;9.969;10.53;13.07;14.6;15.06
fin;residential_electricity_use_per_person;161.0;164.1;193.7;218.7;238.1;267.4;297.6;325.5;379.4;441.5;580.6;799.3;930.6;1076.0;1095.0;1174.0;1370.0;1436.0;1554.0;1627.0;1686.0;1756.0;1862.0;1946.0;2132.0;2486.0;2548.0;2796.0;2695.0;2720.0;2928.0;3120.0;3146.0;3221.0;3340.0;3185.0;3367.0;3394.0;3525.0;3578.0;3510.0;3741.0;3841.0;3921.0;3906.0;3940.0;4042.0;4103.0;4037.0
fra;residential_electricity_use_per_person;165.4;178.1;199.1;224.9;265.0;257.6;282.1;310.4;343.1;379.3;417.0;457.2;514.5;578.5;629.5;723.5;814.2;894.2;1010.0;1086.0;1143.0;1188.0;1240.0;1371.0;1453.0;1555.0;1618.0;1677.0;1635.0;1658.0;1708.0;1872.0;1910.0;1934.0;1921.0;1872.0;2064.0;2032.0;2092.0;2148.0;2168.0;2245.0;2220.0;2353.0;2435.0;2384.0;2417.0;2387.0;2540.0
gab;residential_electricity_use_per_person;;;;;;;;;;;;165.5;;157.0;147.4;135.9;139.6;155.8;151.5;156.4;231.3;369.7;378.1;485.6;385.2;468.5;442.5;444.2;437.1;217.8;249.6;241.8;235.4;230.2;368.3;377.3;402.1;413.9;423.8;436.1;416.1;425.9;438.0;441.0;439.5;450.5;474.5;495.0;537.1
gbr;residential_electricity_use_per_person;643.2;724.3;857.5;975.5;970.3;1054.0;1095.0;1135.0;1207.0;1302.0;1388.0;1443.0;1550.0;1625.0;1648.0;1587.0;1515.0;1529.0;1528.0;1595.0;1529.0;1498.0;1470.0;1472.0;1486.0;1559.0;1617.0;1637.0;1616.0;1610.0;1632.0;1701.0;1719.0;1732.0;1742.0;1750.0;1834.0;1777.0;1854.0;1861.0;1879.0;1932.0;1912.0;1927.0;1917.0;1933.0;1922.0;1893.0;1934.0
geo;residential_electricity_use_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;534.9;495.1;504.1;562.5;566.8;919.8;464.2;531.1;608.5;573.9;557.5;542.9;526.9;569.0;601.1;633.2;583.0;601.9;617.9
gha;residential_electricity_use_per_person;;;;;;;;;;;;18.09;19.89;22.39;30.39;40.03;47.91;51.54;52.71;54.43;54.02;57.09;53.08;48.15;42.49;40.76;44.21;49.13;49.36;53.7;58.78;64.86;75.51;81.46;85.58;92.04;105.8;80.26;64.94;82.89;81.92;85.27;88.67;89.74;93.67;90.51;93.95;91.61;97.25
gib;residential_electricity_use_per_person;;;;;;;;;;;;895.9;866.0;849.5;866.1;851.1;875.7;899.8;931.8;922.8;923.8;942.9;956.4;974.1;993.3;1004.0;1037.0;1028.0;1121.0;1142.0;1137.0;1141.0;1206.0;;;;;;;;;;;;;;;;
grc;residential_electricity_use_per_person;66.54;75.15;84.77;97.66;112.6;128.2;146.4;162.4;173.8;202.1;226.4;259.5;301.2;343.9;335.0;369.3;409.0;445.9;506.9;537.2;586.7;606.9;645.2;688.0;732.5;774.6;784.6;856.4;878.5;911.7;896.0;977.1;1028.0;1010.0;1048.0;1101.0;1169.0;1183.0;1216.0;1280.0;1346.0;1375.0;1488.0;1548.0;1583.0;1582.0;1654.0;1678.0;1691.0
gtm;residential_electricity_use_per_person;;;;;;;;;;;;31.7;40.01;42.26;44.76;52.26;56.39;63.66;68.54;63.46;72.73;70.4;70.22;71.5;72.86;72.29;76.44;71.94;66.96;76.35;80.13;82.17;90.04;94.98;99.34;103.1;104.3;107.6;111.9;124.9;130.5;130.5;126.3;175.5;183.3;184.5;184.8;185.5;187.3
hkg;residential_electricity_use_per_person;;;;;;;;;;;;261.6;289.9;313.9;322.5;347.9;365.3;420.7;438.0;425.7;461.7;467.9;486.7;555.2;556.6;586.4;644.0;697.4;775.7;838.0;929.9;994.3;1035.0;1128.0;1183.0;1208.0;1269.0;1238.0;1392.0;1322.0;1345.0;1358.0;1372.0;1402.0;1383.0;1442.0;1418.0;1450.0;1469.0
hnd;residential_electricity_use_per_person;;;;;;;;;;;;47.63;49.92;52.97;64.75;68.25;74.82;87.08;91.24;105.2;62.03;67.76;71.96;74.31;74.02;80.97;80.47;85.1;89.74;93.69;104.8;109.5;110.7;120.5;113.1;141.4;152.1;167.7;184.0;190.0;209.6;219.4;224.2;225.1;236.6;246.0;246.7;275.7;278.7
hrv;residential_electricity_use_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;990.6;982.6;900.9;924.4;933.2;1028.0;1097.0;1168.0;1192.0;1303.0;1299.0;1253.0;1329.0;1266.0;1351.0;1409.0;1451.0;1423.0;1494.0
