geo;indicator;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
ago;residential_electricity_use_total;;;;;;;;;;;;389100000.0;440100000.0;517100000.0;646100000.0;686100000.0;308100000.0;308100000.0;308100000.0;330100000.0;354100000.0;354100000.0;378100000.0;410100000.0;351100000.0;422100000.0;422100000.0;425100000.0;428100000.0;430100000.0;432100000.0;435100000.0;437100000.0;439100000.0;441100000.0;443100000.0;474100000.0;664100000.0;725100000.0;735100000.0;795100000.0;902200000.0;971200000.0;1100000000.0;1234000000.0;1450000000.0;1630000000.0;1828000000.0;2198000000.0
alb;residential_electricity_use_total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;714100000.0;529100000.0;583100000.0;759100000.0;780100000.0;883200000.0;1175000000.0;1105000000.0;1500000000.0;2221000000.0;2463000000.0;2405000000.0;3071000000.0;3012000000.0;2792000000.0;2733000000.0;1977000000.0;2070000000.0;2303000000.0
are;residential_electricity_use_total;;;;;;;;;;;;89020000.0;205000000.0;317100000.0;414100000.0;602100000.0;854200000.0;1300000000.0;1656000000.0;2196000000.0;2775000000.0;3176000000.0;3924000000.0;4463000000.0;4841000000.0;5281000000.0;5639000000.0;6010000000.0;6531000000.0;6714000000.0;7175000000.0;7288000000.0;7850000000.0;9129000000.0;9971000000.0;10560000000.0;11150000000.0;11740000000.0;12340000000.0;12930000000.0;13520000000.0;14110000000.0;14700000000.0;16500000000.0;17460000000.0;18860000000.0;21400000000.0;24680000000.0;29930000000.0
arg;residential_electricity_use_total;;;;;;;;;;;;5280000000.0;5595000000.0;5872000000.0;6095000000.0;6660000000.0;7446000000.0;7631000000.0;8005000000.0;8479000000.0;8864000000.0;8961000000.0;8640000000.0;9021000000.0;9580000000.0;9748000000.0;10540000000.0;11770000000.0;11130000000.0;10570000000.0;11120000000.0;12020000000.0;13370000000.0;14690000000.0;15920000000.0;17100000000.0;17630000000.0;18520000000.0;19180000000.0;20580000000.0;21380000000.0;21910000000.0;21250000000.0;21580000000.0;22510000000.0;24310000000.0;26090000000.0;28560000000.0;31260000000.0
arm;residential_electricity_use_total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2047000000.0;2405000000.0;2423000000.0;1357000000.0;970200000.0;641100000.0;1084000000.0;2431000000.0;1764000000.0;1618000000.0;1558000000.0;1477000000.0;1496000000.0;1601000000.0;1644000000.0;1723000000.0;1709000000.0;1767000000.0;1792000000.0
aus;residential_electricity_use_total;6773000000.0;7546000000.0;8052000000.0;8791000000.0;9588000000.0;10350000000.0;11220000000.0;12230000000.0;13050000000.0;14350000000.0;15330000000.0;16630000000.0;17950000000.0;18680000000.0;19750000000.0;22130000000.0;23220000000.0;25320000000.0;26530000000.0;28210000000.0;28980000000.0;30500000000.0;32010000000.0;32340000000.0;33270000000.0;32580000000.0;34470000000.0;35560000000.0;36170000000.0;36630000000.0;38550000000.0;39260000000.0;39330000000.0;40650000000.0;40570000000.0;42170000000.0;43210000000.0;44780000000.0;46190000000.0;47330000000.0;48770000000.0;49610000000.0;51260000000.0;50930000000.0;53260000000.0;55400000000.0;56090000000.0;56260000000.0;58210000000.0
aut;residential_electricity_use_total;1728000000.0;1894000000.0;2142000000.0;2352000000.0;2602000000.0;2831000000.0;3041000000.0;3324000000.0;3628000000.0;3983000000.0;4415000000.0;4886000000.0;5503000000.0;6071000000.0;6403000000.0;6788000000.0;7379000000.0;7669000000.0;8155000000.0;8386000000.0;8770000000.0;7431000000.0;7334000000.0;7504000000.0;7839000000.0;8323000000.0;8435000000.0;11040000000.0;11320000000.0;11530000000.0;11880000000.0;12600000000.0;12780000000.0;13140000000.0;12980000000.0;13590000000.0;14200000000.0;13890000000.0;13950000000.0;14050000000.0;14200000000.0;15310000000.0;15770000000.0;16900000000.0;16770000000.0;17070000000.0;17010000000.0;16830000000.0;16970000000.0
aze;residential_electricity_use_total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1700000000.0;;;;360100000.0;7910000000.0;9874000000.0;11280000000.0;10170000000.0;10410000000.0;12080000000.0;11910000000.0;11260000000.0;13800000000.0;8336000000.0;7445000000.0
bel;residential_electricity_use_total;1504000000.0;1714000000.0;2003000000.0;2258000000.0;2520000000.0;2877000000.0;3202000000.0;3494000000.0;3923000000.0;4411000000.0;4921000000.0;5441000000.0;6116000000.0;7604000000.0;8334000000.0;9278000000.0;10170000000.0;11050000000.0;11980000000.0;12690000000.0;13110000000.0;13460000000.0;13710000000.0;14200000000.0;14650000000.0;15500000000.0;15970000000.0;16890000000.0;17060000000.0;17720000000.0;18420000000.0;19900000000.0;20250000000.0;21090000000.0;21360000000.0;22110000000.0;23230000000.0;22940000000.0;23390000000.0;23490000000.0;23740000000.0;24400000000.0;25930000000.0;26030000000.0;26550000000.0;26010000000.0;22730000000.0;21860000000.0;19990000000.0
ben;residential_electricity_use_total;;;;;;;;;;;;5001000.0;6001000.0;7001000.0;8001000.0;8001000.0;9002000.0;6001000.0;83010000.0;41010000.0;47010000.0;55010000.0;31010000.0;67010000.0;61010000.0;67010000.0;69010000.0;77010000.0;81010000.0;82010000.0;82010000.0;82010000.0;81010000.0;99020000.0;110000000.0;119000000.0;84020000.0;103000000.0;105000000.0;156000000.0;161000000.0;173000000.0;236000000.0;206000000.0;225000000.0;282100000.0;289100000.0;302100000.0;317100000.0
bgd;residential_electricity_use_total;;;;;;;;;;;;131000000.0;131000000.0;136000000.0;179000000.0;155000000.0;135000000.0;147000000.0;210000000.0;228000000.0;228000000.0;297100000.0;359100000.0;463100000.0;544100000.0;657100000.0;743100000.0;852200000.0;924200000.0;1097000000.0;1223000000.0;1433000000.0;1959000000.0;2312000000.0;2534000000.0;2805000000.0;3542000000.0;3698000000.0;3966000000.0;4444000000.0;5503000000.0;6187000000.0;6775000000.0;7259000000.0;8011000000.0;8531000000.0;9315000000.0;9412000000.0;10460000000.0
bgr;residential_electricity_use_total;;;;;;;;;;;;2828000000.0;3228000000.0;3648000000.0;4114000000.0;4589000000.0;5193000000.0;5534000000.0;5837000000.0;6510000000.0;6845000000.0;7001000000.0;8001000000.0;8502000000.0;9446000000.0;9554000000.0;8687000000.0;9447000000.0;9937000000.0;10180000000.0;10480000000.0;10410000000.0;10000000000.0;10020000000.0;9808000000.0;10960000000.0;11490000000.0;9884000000.0;10540000000.0;10120000000.0;9860000000.0;9753000000.0;9308000000.0;9313000000.0;8772000000.0;9048000000.0;9307000000.0;9378000000.0;10030000000.0
bhr;residential_electricity_use_total;;;;;;;;;;;;;;;;;;;;;;;;;1136000000.0;1370000000.0;1503000000.0;1557000000.0;1643000000.0;1712000000.0;1814000000.0;1695000000.0;1989000000.0;2167000000.0;2329000000.0;2437000000.0;2651000000.0;2673000000.0;2985000000.0;3092000000.0;3083000000.0;3263000000.0;3526000000.0;3741000000.0;3936000000.0;4310000000.0;5099000000.0;5988000000.0;5254000000.0
bih;residential_electricity_use_total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3015000000.0;2754000000.0;2460000000.0;1988000000.0;2413000000.0;2530000000.0;2657000000.0;3193000000.0;3731000000.0;3866000000.0;3663000000.0;3735000000.0;3783000000.0;3865000000.0;3859000000.0;4077000000.0;4119000000.0;4114000000.0;4256000000.0
blr;residential_electricity_use_total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3486000000.0;4758000000.0;4397000000.0;4505000000.0;4592000000.0;4872000000.0;5078000000.0;5348000000.0;5580000000.0;5832000000.0;5566000000.0;5577000000.0;5779000000.0;6059000000.0;6053000000.0;5960000000.0;5739000000.0;6010000000.0;6326000000.0
bol;residential_electricity_use_total;;;;;;;;;;;;189000000.0;190000000.0;195000000.0;210000000.0;224000000.0;239000000.0;258000000.0;289100000.0;327100000.0;359100000.0;396100000.0;398100000.0;424100000.0;466100000.0;504100000.0;557100000.0;616100000.0;666100000.0;698100000.0;722100000.0;755100000.0;802100000.0;857200000.0;951200000.0;1036000000.0;1083000000.0;1171000000.0;1251000000.0;1321000000.0;1390000000.0;1401000000.0;1447000000.0;1487000000.0;1550000000.0;1646000000.0;1744000000.0;1833000000.0;1970000000.0
bra;residential_electricity_use_total;;;;;;;;;;;;9230000000.0;9934000000.0;10940000000.0;12020000000.0;13210000000.0;14880000000.0;17140000000.0;18950000000.0;21020000000.0;23270000000.0;25060000000.0;27080000000.0;29740000000.0;30930000000.0;32640000000.0;35760000000.0;38390000000.0;40540000000.0;43740000000.0;48670000000.0;51050000000.0;51870000000.0;53640000000.0;55960000000.0;63590000000.0;69070000000.0;74080000000.0;79390000000.0;81310000000.0;83510000000.0;73780000000.0;72770000000.0;76160000000.0;78590000000.0;83210000000.0;85830000000.0;90900000000.0;95600000000.0
brn;residential_electricity_use_total;;;;;;;;;;;;71010000.0;71010000.0;70010000.0;71010000.0;71010000.0;71010000.0;71010000.0;71010000.0;71010000.0;98020000.0;135000000.0;162000000.0;195000000.0;214000000.0;219000000.0;222000000.0;298100000.0;313100000.0;323100000.0;334100000.0;340100000.0;359100000.0;388100000.0;420100000.0;462100000.0;485100000.0;536100000.0;515100000.0;500100000.0;523100000.0;478100000.0;389100000.0;455100000.0;473100000.0;394100000.0;310100000.0;338100000.0;1207000000.0
bwa;residential_electricity_use_total;;;;;;;;;;;;;;;;;;;;;;29010000.0;33010000.0;35010000.0;40010000.0;42010000.0;43010000.0;43010000.0;58010000.0;72010000.0;79010000.0;88020000.0;97020000.0;124000000.0;149000000.0;162000000.0;174000000.0;190000000.0;174000000.0;190000000.0;206000000.0;334100000.0;367100000.0;412100000.0;537100000.0;566100000.0;573100000.0;682100000.0;745100000.0
can;residential_electricity_use_total;16480000000.0;18740000000.0;19070000000.0;20070000000.0;22760000000.0;25510000000.0;30040000000.0;31940000000.0;34540000000.0;38480000000.0;42830000000.0;49150000000.0;47970000000.0;51960000000.0;59310000000.0;64140000000.0;70820000000.0;76620000000.0;78940000000.0;80210000000.0;84840000000.0;87260000000.0;90890000000.0;95880000000.0;100500000000.0;103700000000.0;109100000000.0;111600000000.0;120600000000.0;129900000000.0;129900000000.0;129400000000.0;132300000000.0;132400000000.0;132900000000.0;131600000000.0;135300000000.0;134500000000.0;129300000000.0;133300000000.0;138300000000.0;140300000000.0;142700000000.0;148000000000.0;151000000000.0;151000000000.0;147000000000.0;152900000000.0;160700000000.0
che;residential_electricity_use_total;3464000000.0;3664000000.0;4044000000.0;4161000000.0;4521000000.0;4641000000.0;4741000000.0;4961000000.0;5298000000.0;5723000000.0;6031000000.0;6964000000.0;6533000000.0;7308000000.0;7231000000.0;7501000000.0;7859000000.0;8276000000.0;8775000000.0;9516000000.0;10080000000.0;10170000000.0;9975000000.0;10450000000.0;11400000000.0;11960000000.0;12310000000.0;12690000000.0;12670000000.0;13230000000.0;13600000000.0;14270000000.0;14620000000.0;14650000000.0;14710000000.0;15240000000.0;15270000000.0;14860000000.0;15120000000.0;15560000000.0;15730000000.0;16180000000.0;16230000000.0;16680000000.0;17120000000.0;17630000000.0;17710000000.0;17480000000.0;17900000000.0
chl;residential_electricity_use_total;;;;;;;;;;;;852200000.0;1053000000.0;1178000000.0;1196000000.0;1275000000.0;1277000000.0;1438000000.0;1565000000.0;1668000000.0;1786000000.0;1910000000.0;1957000000.0;1805000000.0;1641000000.0;1996000000.0;2330000000.0;2501000000.0;2513000000.0;2472000000.0;4332000000.0;4545000000.0;4950000000.0;5378000000.0;5866000000.0;6303000000.0;7043000000.0;5259000000.0;5732000000.0;5975000000.0;6182000000.0;6908000000.0;7163000000.0;7341000000.0;7835000000.0;8285000000.0;8548000000.0;8904000000.0;8751000000.0
chn;residential_electricity_use_total;;;;;;;;;;;;4840000000.0;5330000000.0;5833000000.0;5903000000.0;6849000000.0;7104000000.0;7813000000.0;8973000000.0;9861000000.0;10520000000.0;11800000000.0;12050000000.0;13730000000.0;15910000000.0;12250000000.0;14780000000.0;16230000000.0;19440000000.0;22510000000.0;48090000000.0;54370000000.0;64010000000.0;73720000000.0;86710000000.0;100600000000.0;113300000000.0;125300000000.0;132500000000.0;148100000000.0;167200000000.0;184000000000.0;200200000000.0;223800000000.0;246500000000.0;282500000000.0;325200000000.0;362300000000.0;439700000000.0
