geo;indicator;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
ago;residential_energy_use_percent;;;;;;;;;;;;81.9;75.13;77.47;78.79;80.97;81.91;86.03;77.44;78.43;77.45;78.75;81.2;81.04;80.14;76.75;77.63;77.17;75.64;75.48;71.43;71.06;71.78;69.88;71.86;73.75;73.15;74.06;75.51;73.61;73.52;73.05;71.69;67.73;62.98;68.91;65.84;63.05;60.7;60.65;57.01
alb;residential_energy_use_percent;;;;;;;;;;;;27.49;24.88;28.86;27.5;24.99;23.11;22.17;19.64;17.14;16.91;20.39;20.55;19.09;18.17;18.67;17.37;17.43;17.42;18.83;26.16;34.08;41.61;47.08;45.65;47.45;48.58;56.79;51.07;22.87;24.08;23.42;33.65;21.51;27.24;26.34;24.88;23.4;24.14;24.82;25.03
ant;residential_energy_use_percent;;;;;;;;;;;;6.412000000000001;5.184;5.106;5.2829999999999995;7.017;6.584;6.763999999999999;9.05;9.727;12.27;12.82;12.16;11.3;10.8;11.3;12.65;9.719;8.245;10.06;12.3;11.67;11.2;13.78;12.46;12.63;12.92;8.312999999999999;8.222000000000001;8.267999999999999;8.264;8.271;8.256;8.248;8.298;8.309;8.344;8.304;8.317;8.305;8.324
are;residential_energy_use_percent;;;;;;;;;;;;0.7943;1.876;2.406;3.1889999999999996;3.214;3.676;3.321;3.805;4.408;4.289;3.895;4.5680000000000005;6.167999999999999;4.912;4.772;4.374;4.146;4.872;4.183;4.523;3.826;4.353;4.816;4.789;4.717;4.261;4.655;4.696000000000001;4.882;5.047;5.745;4.817;5.318;5.867999999999999;6.296;6.7620000000000005;6.294;6.99;6.696000000000001;6.351
arg;residential_energy_use_percent;;;;;;;;;;;;16.48;16.32;16.04;17.18;17.39;17.61;16.63;17.49;16.46;17.77;17.66;17.39;19.99;21.99;22.24;19.19;18.85;20.19;19.6;20.84;21.3;21.08;21.45;19.15;18.93;20.26;17.41;17.2;18.8;19.65;19.76;19.37;18.83;18.65;19.66;20.05;21.4;21.1;22.0;22.8
arm;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.74;25.65;33.08;20.39;37.99;48.16;30.1;37.32;31.83;29.25;25.91;25.4;26.85;26.31;28.73;26.98;26.26;30.11;29.28;31.65;30.04
aus;residential_energy_use_percent;4.5;4.645;4.705;4.649;4.76;4.747;4.867;4.846;4.7669999999999995;5.0360000000000005;12.76;13.0;13.88;12.75;13.33;13.84;13.66;13.69;13.43;13.57;12.91;13.09;13.39;13.89;13.55;13.05;13.53;13.63;13.07;12.74;13.24;13.57;13.71;14.21;13.31;13.37;13.16;13.14;13.19;13.04;13.02;13.15;13.68;13.24;13.0;12.84;12.86;13.03;12.97;13.44;13.49
aut;residential_energy_use_percent;32.4;30.88;32.18;33.76;29.88;29.93;28.73;31.53;33.22;33.05;36.39;34.81;33.73;34.42;32.12;32.4;33.1;31.87;31.72;32.23;27.35;29.3;30.75;30.08;31.05;31.12;28.27;29.07;28.86;27.87;29.61;30.61;29.66;29.84;28.92;29.68;30.08;27.55;27.64;27.78;26.86;26.68;25.52;24.65;23.76;24.6;23.31;22.56;23.38;23.89;24.94
aze;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.51;12.5;11.58;15.21;25.46;25.47;28.18;30.49;43.65;45.5;35.52;39.79;42.51;46.39;46.09;41.18;47.89;44.72;43.56;45.09;44.28
bel;residential_energy_use_percent;33.29;34.98;38.11;41.06;35.44;35.63;35.46;35.94;35.91;33.92;33.48;31.92;32.98;32.75;32.31;33.41;26.62;27.05;28.49;29.62;29.69;29.5;27.88;27.84;27.82;29.83;29.87;28.82;25.98;25.32;25.81;26.83;26.37;26.53;23.98;24.55;26.29;24.72;24.47;23.35;22.89;23.39;23.25;23.46;23.95;23.88;21.89;20.44;20.72;21.11;21.51
