geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;self_employed_percent_of_employment;63.791000000000004;65.565;70.821;76.204;74.5;73.256;74.84;76.321;77.745;79.19;80.78399999999999;77.654;74.559;75.056;74.64;74.006;72.848;72.32;70.043;68.462;67.915;66.658;66.413;66.63600000000001;67.07;67.248;67.332;67.313;67.283;67.251;67.199;67.145
ago;self_employed_percent_of_employment;74.49;71.41199999999999;69.702;67.83;66.907;66.513;66.68;67.64699999999999;66.57600000000001;66.87899999999999;66.786;65.21;65.439;64.781;74.085;72.94800000000001;72.30199999999999;71.968;71.196;71.725;71.87100000000001;71.67;71.092;71.017;71.087;71.482;71.551;71.525;71.491;71.45;71.41;71.37100000000001
alb;self_employed_percent_of_employment;47.86600000000001;62.802;71.598;72.142;71.012;72.023;61.985;71.055;72.264;68.82;69.185;66.905;66.98;66.788;66.051;65.684;65.203;59.3;58.63;56.202;60.951;64.238;59.67;58.43;59.011;59.431999999999995;59.635;59.595;59.58;59.588;59.55;59.526
are;self_employed_percent_of_employment;4.207;4.023;3.977;3.1439999999999997;3.136;3.16;3.0410000000000004;3.1519999999999997;3.076;2.928;3.181;3.08;2.9130000000000003;2.92;3.125;4.1419999999999995;4.3580000000000005;4.538;4.74;4.013999999999999;4.051;4.111000000000001;3.841;3.8819999999999997;3.315;3.109;3.2;3.196;3.193;3.19;3.1860000000000004;3.1830000000000003
arg;self_employed_percent_of_employment;29.705;29.774;31.165;29.741;29.351;29.131;28.195999999999998;27.8;27.554000000000002;27.623;28.17;28.430999999999997;26.55;25.76;25.395;24.498;23.773000000000003;23.822;24.174;24.517;24.309;23.804000000000002;24.8;25.131;25.171999999999997;25.051;24.928;24.858;24.795;24.750999999999998;24.706999999999997;24.671999999999997
arm;self_employed_percent_of_employment;44.813;30.953000000000003;44.15;55.771;56.945;54.567;50.873999999999995;58.945;56.888000000000005;57.206;58.656000000000006;60.592;59.243;56.473;57.285;55.847;55.193000000000005;50.202;43.093999999999994;43.001000000000005;43.858000000000004;43.111000000000004;42.678000000000004;44.756;42.809;41.215;43.974;43.711999999999996;43.727;43.738;43.823;44.02
aus;self_employed_percent_of_employment;20.038;20.183;20.480999999999998;20.288;20.058;19.974;20.177;19.959;19.67;20.035999999999998;20.26;20.399;19.928;19.715;19.709;19.015;18.361;18.243;18.292;18.422;17.842;17.225;16.887999999999998;17.192999999999998;17.105;17.111;16.781;16.847;16.787;16.677;16.541;16.397000000000002
aut;self_employed_percent_of_employment;15.446;14.894;14.532;14.639000000000001;14.277000000000001;14.46;13.88;13.827;13.705;13.546;13.455;13.544;13.072000000000001;12.594000000000001;12.99;13.084000000000001;13.722000000000001;13.578;13.675999999999998;13.850999999999999;13.315999999999999;13.113;13.241;13.329;13.033;12.75;12.677999999999999;12.555;12.464;12.408;12.357999999999999;12.314
aze;self_employed_percent_of_employment;75.124;63.581;64.566;69.141;65.771;71.562;72.002;69.889;71.91;69.134;68.70100000000001;69.429;68.98100000000001;67.857;74.27199999999999;75.258;72.855;69.72800000000001;67.639;68.075;68.282;66.699;66.524;66.995;67.84899999999999;68.2;70.282;71.227;71.88600000000001;71.718;71.83;71.857
bdi;self_employed_percent_of_employment;94.405;94.34200000000001;94.39;93.904;94.15;95.116;94.295;94.264;94.26100000000001;94.338;94.135;94.01899999999999;94.17200000000001;94.046;93.999;93.89;92.999;93.31700000000001;93.307;93.28200000000001;93.23700000000001;93.24;93.12700000000001;93.014;93.566;93.227;93.262;93.26899999999999;93.26;93.25;93.24;93.229
bel;self_employed_percent_of_employment;17.288;17.884;17.937;17.743;17.964000000000002;18.012;17.241;17.395;17.294;16.070999999999998;15.245999999999999;15.465;15.184000000000001;14.735;15.265;15.113;14.862;14.263;14.837;14.399000000000001;14.338;14.380999999999998;15.114;14.645999999999999;15.213;14.874;14.909;14.829;14.745999999999999;14.672;14.594000000000001;14.517000000000001
ben;self_employed_percent_of_employment;92.02600000000001;91.868;91.853;91.647;91.74;92.07;92.04899999999999;92.103;92.164;91.98700000000001;91.927;92.085;91.88600000000001;92.04799999999999;92.039;92.071;91.824;91.589;91.544;91.41;89.728;89.459;89.17299999999999;89.03299999999999;89.14399999999999;89.117;89.194;89.164;89.132;89.09899999999999;89.065;89.035
bfa;self_employed_percent_of_employment;91.23299999999999;91.238;91.26799999999999;91.926;91.779;91.839;91.469;91.486;90.81299999999999;90.53200000000001;90.76;90.693;90.57700000000001;90.103;90.205;89.68;89.037;89.685;89.22;89.32;89.266;89.05;88.696;88.477;88.10799999999999;87.95200000000001;87.891;87.831;87.773;87.714;87.656;87.596
bgd;self_employed_percent_of_employment;68.58800000000001;68.102;67.831;67.44;67.44800000000001;67.218;67.055;66.82300000000001;65.351;65.139;64.874;65.158;64.899;64.753;64.09;63.427;62.87;62.391999999999996;61.54;61.24;63.8;63.235;62.483000000000004;61.843;61.271;60.451;60.288999999999994;60.216;60.145;60.077;60.007;59.938
bgr;self_employed_percent_of_employment;14.627;13.800999999999998;12.394;14.299000000000001;15.347000000000001;14.972999999999999;17.843;17.232;15.995;16.489;15.255;15.214;15.966;15.919;14.118;13.198;12.475;12.472000000000001;12.549000000000001;12.6;12.137;11.614;12.165999999999999;12.513;12.058;11.761;11.770999999999999;11.73;11.699000000000002;11.677;11.654000000000002;11.649000000000001
bhr;self_employed_percent_of_employment;5.53;3.676;3.659;3.805;3.928;3.69;3.71;3.41;3.4139999999999997;3.596;3.737;4.2410000000000005;4.143;4.385;4.064;4.099;3.903;3.826;3.7310000000000003;3.785;4.109;3.8810000000000002;3.823;3.7430000000000003;3.51;3.2680000000000002;3.1069999999999998;3.114;3.1180000000000003;3.1189999999999998;3.115;3.11
bhs;self_employed_percent_of_employment;16.027;16.765;16.840999999999998;17.895;17.904;20.24;18.358;18.375999999999998;19.502;17.999000000000002;17.95;19.22;18.197;18.811;17.087;17.067;17.122;17.141;17.129;18.727;18.736;18.752;18.798;18.833;18.797;18.787;18.82;18.811;18.805999999999997;18.8;18.796;18.792
bih;self_employed_percent_of_employment;34.999;36.426;38.958;51.95;51.12;69.111;53.631;50.852;46.351000000000006;39.010999999999996;38.42;38.946;38.259;40.471;39.766999999999996;40.537;39.946;40.014;30.561999999999998;29.815;28.581;30.421;28.8;23.061999999999998;25.219;25.425;25.346999999999998;25.358;25.37;25.357;25.369;25.404
blr;self_employed_percent_of_employment;4.569;3.47;3.242;2.9589999999999996;3.02;3.432;3.679;3.475;3.373;3.4619999999999997;3.362;3.4;3.3560000000000003;3.537;3.448;3.533;3.512;3.6889999999999996;3.2560000000000002;3.6510000000000002;3.514;3.391;3.281;3.364;3.165;3.285;3.3689999999999998;3.367;3.373;3.39;3.398;3.4010000000000002
blz;self_employed_percent_of_employment;43.177;43.016999999999996;42.909;42.927;31.808000000000003;34.224000000000004;32.803000000000004;32.79;32.468;32.359;31.8;31.519000000000002;31.031;30.791;30.717;29.353;29.401;29.599;29.494;29.526999999999997;29.638;29.206999999999997;28.967;28.995;28.723000000000003;31.399;31.798000000000002;31.709;31.599;31.534000000000002;31.473000000000003;31.416
bol;self_employed_percent_of_employment;40.675;40.537;39.986;39.413000000000004;39.626;39.155;38.259;38.262;37.621;38.003;37.768;37.829;37.692;37.955999999999996;38.128;38.753;38.986999999999995;39.098;38.086999999999996;38.321999999999996;38.537;38.102;37.484;36.806;35.647;35.056;34.677;34.516;34.363;34.23;34.104;33.98
bra;self_employed_percent_of_employment;38.751999999999995;39.419000000000004;39.169000000000004;43.206;39.943000000000005;38.44;31.171999999999997;31.006999999999998;31.004;31.198;37.993;38.052;37.99;37.205999999999996;34.23;33.258;32.223;31.095;30.748;29.426;29.127;29.998;30.261;30.147;31.443;31.885;31.899;31.849;31.76;31.669;31.592;31.52
brb;self_employed_percent_of_employment;12.693;13.208;14.274000000000001;13.425;13.082;12.884;12.31;12.852;14.033;12.790999999999999;14.253;14.152999999999999;14.61;15.42;17.311;17.062;17.026;17.067;17.084;17.0;16.97;16.907;16.774;16.726;16.718;16.794;16.807000000000002;16.781;16.762999999999998;16.745;16.72;16.689
brn;self_employed_percent_of_employment;5.0889999999999995;5.0969999999999995;5.013999999999999;4.9910000000000005;4.974;4.96;4.928999999999999;4.921;4.937;5.069;4.967;4.982;5.077;8.672;9.296;9.685;9.248;9.732000000000001;8.146;8.652999999999999;9.639;9.414;8.805;8.374;7.6129999999999995;7.256;7.247999999999999;7.246;7.244;7.24;7.237;7.234
btn;self_employed_percent_of_employment;84.757;83.39299999999999;83.04799999999999;81.468;73.898;73.558;73.059;73.493;72.618;71.9;70.86399999999999;69.53;68.843;68.825;68.781;67.782;74.023;73.85;73.21;68.258;69.715;69.031;70.184;69.616;71.51100000000001;71.477;71.56;71.447;71.407;71.37899999999999;71.357;71.354
bwa;self_employed_percent_of_employment;34.164;34.208;33.927;33.71;42.604;42.909;42.497;42.674;43.695;34.177;24.124000000000002;22.16;21.656;21.833000000000002;22.596999999999998;22.035;21.355999999999998;19.975;19.514;18.51;19.633;18.932000000000002;18.482;18.971;18.749000000000002;17.855999999999998;17.672;17.629;17.583;17.539;17.496;17.453
caf;self_employed_percent_of_employment;71.577;72.572;72.348;71.181;71.72800000000001;74.867;75.947;76.15899999999999;74.07600000000001;74.5;74.87899999999999;74.785;76.682;75.768;75.365;75.189;74.485;75.057;74.42;73.982;73.844;73.217;72.857;69.444;69.116;69.098;69.214;69.167;69.116;69.062;69.007;68.95100000000001
can;self_employed_percent_of_employment;14.795;15.183;15.767000000000001;15.578;15.710999999999999;16.244;17.137;17.222;16.992;16.172;15.296;15.239;15.440999999999999;15.47;15.652000000000001;15.31;15.539000000000001;15.622;16.143;15.853;15.505;15.399000000000001;15.472999999999999;15.345;15.412;15.355;15.295;15.085;14.942;14.889000000000001;14.85;14.793
chanisl;self_employed_percent_of_employment;17.761;17.515;17.348;17.109;16.919;16.737000000000002;16.375999999999998;16.067;15.729000000000001;15.503;15.332;15.222999999999999;15.059000000000001;14.904000000000002;14.706;14.491;14.429;14.364;14.589;14.837;14.847999999999999;14.847999999999999;14.795;14.751;14.616;14.573;14.543;14.534;14.495;14.443;14.367;14.286
che;self_employed_percent_of_employment;18.069000000000003;18.244;19.066;19.218;19.198;17.826;18.402;17.855;18.006;18.033;17.179000000000002;16.968;17.528;16.245;16.041;15.943;16.172;15.9;15.270999999999999;15.748;15.425;15.327;15.353;15.292;14.890999999999998;15.083;15.204;15.11;15.057;15.005;14.946;14.886
chl;self_employed_percent_of_employment;29.073;28.3;27.674;27.697;30.773000000000003;29.951999999999998;29.628;30.849;30.824;30.601;31.416;31.54;31.781999999999996;31.86;29.883000000000003;28.974;27.892;27.27;29.618000000000002;27.424;27.578000000000003;26.351;26.746;27.147;26.925;27.826;27.813000000000002;27.744;27.651999999999997;27.569000000000003;27.494;27.410999999999998
chn;self_employed_percent_of_employment;68.218;66.822;64.15899999999999;61.88399999999999;59.6;57.835;56.919;56.394;55.79;54.985;54.167;53.093;51.395;49.288000000000004;47.652;45.966;44.24100000000001;42.486999999999995;41.595;40.229;39.0;38.219;37.635;37.056;36.787;36.376999999999995;36.353;36.283;36.217;36.154;36.093;36.033
civ;self_employed_percent_of_employment;80.105;79.999;79.875;79.197;79.355;79.469;79.094;78.90899999999999;78.51899999999999;78.906;81.117;81.592;82.083;81.218;81.012;81.081;80.95;81.111;80.803;81.127;81.74600000000001;80.861;76.531;76.373;75.846;75.34100000000001;75.325;75.279;75.235;75.2;75.17;75.14
