geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;stomach_cancer_deaths_per_100000_men;27.55;27.74;27.96;28.34;28.85;29.13;29.42;29.62;29.8;30.13;30.45;30.85;30.87;30.81;30.73;30.59;30.39;30.08;29.8;29.32;28.84;28.41;27.97;27.6;27.33;27.08;26.9
ago;stomach_cancer_deaths_per_100000_men;17.02;16.65;16.36;16.26;16.22;16.13;15.61;15.13;15.12;14.48;13.96;13.62;13.3;13.26;13.02;12.71;12.45;12.12;11.94;11.72;11.46;11.28;11.08;10.91;10.75;10.61;10.49
alb;stomach_cancer_deaths_per_100000_men;21.34;21.59;21.75;21.68;21.83;22.2;22.42;22.8;23.23;23.28;23.3;22.99;23.18;23.21;22.95;22.64;22.17;21.62;21.27;20.86;20.23;19.7;19.32;19.09;18.93;18.79;18.68
and;stomach_cancer_deaths_per_100000_men;14.78;14.73;14.72;14.18;13.67;13.33;12.92;12.46;12.09;11.7;11.39;11.07;10.76;10.76;10.81;10.71;10.56;10.47;10.33;10.25;10.21;10.24;10.27;10.24;10.25;10.25;10.22
are;stomach_cancer_deaths_per_100000_men;10.8;10.85;10.86;10.87;10.9;10.91;10.83;10.77;10.54;10.35;10.16;10.13;9.99;9.64;9.13;9.02;9.01;8.76;8.75;8.89;8.96;9.05;9.1;9.17;9.2;9.17;9.13
arg;stomach_cancer_deaths_per_100000_men;27.82;27.23;26.65;25.94;25.52;25.31;24.99;24.09;23.65;23.12;22.64;22.32;22.35;22.22;21.93;21.41;20.99;20.88;20.44;19.96;19.42;18.97;18.76;18.54;18.21;17.99;17.81
arm;stomach_cancer_deaths_per_100000_men;29.11;29.29;30.95;31.56;31.28;29.12;27.95;26.21;25.2;24.84;23.87;23.77;23.29;23.57;23.77;24.45;24.74;24.27;24.64;24.38;23.9;23.42;22.45;21.55;21.38;21.38;20.68
asm;stomach_cancer_deaths_per_100000_men;25.09;24.93;24.52;23.74;23.31;22.99;22.67;22.14;23.16;22.51;20.85;20.2;18.46;18.15;17.62;17.56;17.2;17.03;16.84;16.49;16.49;16.25;15.87;15.9;15.88;15.86;15.7
atg;stomach_cancer_deaths_per_100000_men;29.98;28.58;27.45;26.1;24.71;23.7;23.22;22.06;21.91;20.65;20.77;18.92;17.95;17.17;16.45;15.72;15.45;14.55;14.45;14.12;14.21;14.24;14.08;13.63;14.12;13.89;13.79
aus;stomach_cancer_deaths_per_100000_men;12.06;11.62;11.32;11.02;10.79;10.45;10.11;9.77;9.41;9.11;8.8;8.56;8.43;8.24;8.12;7.91;7.88;7.85;8.03;7.97;7.94;7.83;7.66;7.49;7.33;7.26;7.26
aut;stomach_cancer_deaths_per_100000_men;25.24;24.09;23.01;22.14;20.97;19.78;18.75;17.65;16.63;15.52;14.59;13.97;13.54;13.43;12.98;12.7;12.29;11.92;11.59;11.38;10.81;10.86;10.67;10.39;10.04;9.87;9.74
aze;stomach_cancer_deaths_per_100000_men;44.75;44.34;47.16;45.85;46.56;42.0;40.42;39.15;38.83;39.14;38.22;36.85;36.8;37.64;37.06;36.87;36.95;37.05;37.48;36.62;36.16;33.49;31.94;30.91;30.09;29.5;28.97
bdi;stomach_cancer_deaths_per_100000_men;20.13;19.87;19.65;19.58;19.56;19.79;19.37;18.74;18.16;16.89;16.3;15.03;14.44;13.97;13.81;13.69;13.39;13.14;12.86;12.53;12.51;12.51;12.46;12.33;12.21;12.08;11.96
bel;stomach_cancer_deaths_per_100000_men;19.71;18.93;17.99;17.41;16.49;15.62;14.76;13.72;13.5;13.07;12.55;12.44;12.22;11.6;11.22;10.82;10.4;10.08;9.91;9.69;9.36;9.23;9.2;8.91;8.61;8.59;8.55
ben;stomach_cancer_deaths_per_100000_men;21.59;21.49;20.88;20.32;20.17;19.86;19.86;19.12;18.79;18.83;19.1;19.38;19.57;19.73;19.78;19.75;19.81;19.82;19.88;19.94;19.96;20.13;20.19;20.18;20.13;19.99;19.85
bfa;stomach_cancer_deaths_per_100000_men;23.52;22.88;22.27;21.94;21.32;20.76;20.06;19.66;19.43;19.2;19.48;19.15;19.11;19.21;19.33;19.42;19.45;19.58;19.57;19.52;19.75;19.78;19.92;20.08;20.05;20.0;19.97
bgd;stomach_cancer_deaths_per_100000_men;16.76;15.74;15.42;15.03;14.66;14.63;14.16;13.47;12.96;12.31;12.23;11.88;11.44;11.06;10.67;10.49;10.37;10.11;9.66;9.29;9.05;8.66;8.56;8.23;7.89;7.63;7.52
bgr;stomach_cancer_deaths_per_100000_men;25.76;25.16;25.22;24.65;24.56;23.91;23.3;22.79;22.11;21.18;20.8;20.25;19.83;19.46;19.21;19.22;18.93;18.42;17.86;17.2;16.58;16.06;15.71;15.43;15.19;15.01;14.85
bhr;stomach_cancer_deaths_per_100000_men;15.44;15.29;14.95;14.22;13.59;13.22;13.02;12.76;12.15;11.44;10.99;10.96;10.7;10.37;10.17;9.84;9.56;9.16;8.61;8.12;7.67;7.42;7.31;7.26;7.24;7.17;7.1
bhs;stomach_cancer_deaths_per_100000_men;23.04;21.55;20.48;19.84;19.73;20.39;20.23;19.7;19.55;17.87;16.95;16.11;15.65;14.85;13.74;13.19;12.53;12.17;11.93;11.8;11.71;11.73;11.62;11.66;11.65;11.6;11.7
bih;stomach_cancer_deaths_per_100000_men;24.56;24.59;24.54;24.48;24.34;23.89;22.89;21.79;20.82;19.76;19.06;18.67;18.51;18.38;18.11;17.92;17.65;17.41;17.06;16.66;16.37;16.23;16.1;16.06;16.17;15.86;15.5
blr;stomach_cancer_deaths_per_100000_men;51.59;52.39;53.32;54.95;54.38;54.37;52.91;51.16;50.05;48.87;46.57;45.39;45.11;42.85;42.36;41.27;39.11;36.47;35.65;34.62;33.78;32.79;30.16;28.42;26.81;26.21;25.76
blz;stomach_cancer_deaths_per_100000_men;19.55;19.25;19.57;20.24;21.46;22.29;23.19;24.03;25.52;24.6;23.67;23.47;23.02;22.09;21.04;20.28;19.57;18.59;18.05;17.63;17.28;17.01;16.83;16.85;16.97;16.92;16.87
bmu;stomach_cancer_deaths_per_100000_men;28.87;27.74;26.98;26.75;25.57;23.31;24.25;22.46;22.57;21.57;21.18;18.44;17.77;16.87;15.49;14.42;14.15;13.32;13.01;12.55;12.33;11.75;11.57;11.3;11.21;10.68;10.64
bol;stomach_cancer_deaths_per_100000_men;60.37;59.04;57.83;56.66;55.14;54.31;52.92;52.55;51.78;50.78;49.29;47.8;46.71;45.4;44.15;43.15;42.14;41.3;40.74;40.2;39.61;38.98;38.39;37.77;37.35;36.83;36.39
bra;stomach_cancer_deaths_per_100000_men;31.77;31.26;30.97;30.6;30.04;29.57;29.53;28.86;28.36;27.92;27.26;26.42;25.57;24.98;24.18;23.27;22.64;21.91;21.14;20.5;19.9;19.28;18.68;18.37;17.91;17.73;17.75
brb;stomach_cancer_deaths_per_100000_men;28.89;28.2;27.11;26.5;25.83;24.47;23.45;22.14;20.75;19.45;19.0;17.33;16.69;15.87;15.52;15.27;14.99;14.08;13.72;13.38;13.15;12.71;12.55;12.49;12.7;12.84;12.9
brn;stomach_cancer_deaths_per_100000_men;23.52;23.49;23.02;22.51;21.9;21.29;20.87;20.44;19.75;19.0;18.71;18.08;17.6;17.31;17.01;16.84;16.71;16.67;16.5;16.36;16.09;16.3;16.39;16.17;16.22;16.2;16.05
btn;stomach_cancer_deaths_per_100000_men;11.65;11.43;11.23;11.01;10.8;10.53;9.89;9.84;9.64;9.08;9.12;8.88;8.68;8.63;8.4;8.31;8.13;8.02;7.85;7.86;7.74;7.61;7.52;7.45;7.35;7.24;7.11
bwa;stomach_cancer_deaths_per_100000_men;11.88;11.83;11.93;12.03;12.33;12.67;13.04;13.39;13.75;13.88;14.08;14.1;14.11;13.79;13.4;12.9;12.47;12.03;11.76;11.39;11.04;10.66;10.39;10.14;9.81;9.61;9.47
caf;stomach_cancer_deaths_per_100000_men;23.06;23.43;23.42;23.29;23.38;23.36;23.52;23.39;23.41;23.17;22.8;22.48;22.33;22.1;21.88;21.69;21.52;21.2;20.85;20.46;20.48;20.34;20.1;20.07;19.99;19.9;19.87
can;stomach_cancer_deaths_per_100000_men;16.37;16.26;15.98;15.71;15.45;14.91;14.86;14.53;14.29;13.82;13.33;12.94;12.48;11.99;11.63;11.46;11.33;11.25;11.02;10.71;10.39;10.12;9.87;9.66;9.59;9.61;9.51
che;stomach_cancer_deaths_per_100000_men;14.15;13.57;12.82;12.17;11.7;11.54;11.0;10.63;10.31;9.77;9.46;9.06;8.74;8.48;7.99;7.68;7.37;7.14;6.94;6.84;6.59;6.42;6.33;6.3;6.0;5.94;5.9
chl;stomach_cancer_deaths_per_100000_men;52.83;50.19;48.11;47.66;47.93;48.62;47.89;46.8;45.25;44.92;43.48;42.47;41.91;41.03;39.96;38.49;37.41;36.07;35.02;35.18;34.88;33.7;32.88;32.12;31.02;30.68;30.47
chn;stomach_cancer_deaths_per_100000_men;60.48;59.02;58.58;57.91;57.06;55.1;53.45;52.74;52.67;52.81;53.11;53.86;54.79;51.73;49.8;47.77;44.8;42.73;41.12;40.1;39.06;37.41;36.12;35.33;34.97;33.74;32.73
civ;stomach_cancer_deaths_per_100000_men;9.48;9.45;9.61;9.79;9.94;10.22;10.12;9.87;9.88;9.8;9.82;9.75;9.62;9.56;9.66;9.5;9.48;9.33;9.3;9.28;9.29;9.32;9.37;9.3;9.23;9.12;9.02
cmr;stomach_cancer_deaths_per_100000_men;18.2;18.13;18.19;18.38;18.03;17.77;17.67;17.66;17.56;17.67;18.11;18.3;18.49;18.72;19.0;19.34;19.55;19.82;19.88;19.83;19.82;20.01;20.02;20.02;19.96;19.87;19.82
cod;stomach_cancer_deaths_per_100000_men;14.63;14.71;14.69;14.39;14.47;14.64;14.98;14.62;14.66;14.47;14.28;14.24;13.85;14.14;13.66;13.38;13.25;13.16;13.35;13.29;13.16;13.11;13.03;12.76;12.57;12.41;12.25
cog;stomach_cancer_deaths_per_100000_men;19.86;18.8;18.47;18.5;18.25;18.39;17.91;17.57;16.96;15.96;14.46;13.28;12.17;11.88;11.33;10.78;10.43;10.27;10.06;9.78;9.35;9.15;9.11;9.04;9.01;8.99;9.01
col;stomach_cancer_deaths_per_100000_men;36.65;37.42;37.16;36.33;34.86;33.48;33.07;31.7;30.62;30.71;30.38;29.7;29.44;27.75;27.51;26.55;26.64;25.2;24.71;24.24;23.09;21.85;21.38;20.83;20.35;19.96;19.62
com;stomach_cancer_deaths_per_100000_men;12.99;12.89;12.77;12.67;12.6;12.56;12.47;12.48;12.16;11.46;11.14;10.65;10.47;10.03;9.88;9.71;9.68;9.59;9.52;9.35;9.17;9.19;9.07;8.92;8.79;8.67;8.56
cpv;stomach_cancer_deaths_per_100000_men;58.67;58.2;57.38;56.83;56.0;54.78;52.82;50.98;50.11;49.57;49.27;48.99;48.91;48.92;49.04;49.15;49.17;48.91;48.65;48.26;47.75;47.2;46.22;45.51;44.76;44.14;43.53
cri;stomach_cancer_deaths_per_100000_men;56.35;55.03;53.74;51.5;49.67;47.92;46.0;44.13;41.63;38.97;36.99;35.6;34.03;32.79;31.01;29.32;27.64;26.34;25.25;24.34;23.64;23.24;23.01;22.5;22.21;22.1;21.97
cub;stomach_cancer_deaths_per_100000_men;11.22;11.04;10.83;10.59;10.47;10.27;9.94;9.72;9.61;9.53;9.49;9.32;9.21;9.14;9.08;9.04;8.95;8.76;8.66;8.48;8.41;8.27;8.2;8.12;8.08;8.0;7.92
cyp;stomach_cancer_deaths_per_100000_men;12.89;13.06;12.45;12.29;12.16;11.56;11.17;10.91;10.72;10.56;10.54;10.57;10.58;10.53;10.88;10.86;10.42;10.53;10.33;10.32;10.09;9.61;9.46;9.58;9.45;9.45;9.44
cze;stomach_cancer_deaths_per_100000_men;27.01;26.25;25.11;24.15;23.38;22.56;21.76;20.56;19.69;18.83;18.15;17.51;16.94;16.57;15.85;15.12;14.55;13.84;13.32;13.07;12.53;12.04;11.62;11.25;10.8;10.26;10.15
deu;stomach_cancer_deaths_per_100000_men;22.4;21.59;20.65;20.06;19.09;18.41;17.86;17.27;17.16;16.7;16.06;15.44;15.04;14.54;14.07;13.66;13.14;12.81;12.4;12.12;11.8;11.49;11.3;11.06;10.69;10.6;10.53
dji;stomach_cancer_deaths_per_100000_men;13.15;13.18;13.12;13.04;13.03;13.0;12.94;12.85;12.75;12.43;12.11;11.84;11.66;11.52;11.36;11.23;11.11;11.05;10.94;10.79;10.62;10.46;10.31;10.12;9.86;9.69;9.53
dma;stomach_cancer_deaths_per_100000_men;38.64;38.86;38.87;38.0;37.08;36.16;35.81;34.94;34.65;32.15;30.13;28.77;28.37;27.4;25.96;25.68;24.97;24.38;24.0;23.61;23.71;23.67;23.36;23.65;23.52;23.46;23.23
dnk;stomach_cancer_deaths_per_100000_men;13.82;13.31;13.13;13.07;13.0;12.74;12.29;11.63;11.21;11.0;10.6;10.48;10.32;10.31;10.14;9.98;9.76;9.54;9.43;9.18;8.82;8.51;8.21;7.99;7.79;7.67;7.6
dom;stomach_cancer_deaths_per_100000_men;11.07;11.05;11.02;11.0;11.02;10.98;10.89;10.78;10.58;10.23;9.96;9.65;9.43;9.24;9.09;8.97;8.88;8.69;8.59;8.52;8.47;8.37;8.19;8.15;8.06;7.99;7.94
dza;stomach_cancer_deaths_per_100000_men;13.64;13.52;12.45;11.64;10.9;10.23;9.84;9.44;9.04;8.78;8.51;8.14;7.98;7.98;7.95;7.73;7.41;7.21;7.0;6.83;6.65;6.55;6.48;6.42;6.35;6.28;6.24
ecu;stomach_cancer_deaths_per_100000_men;40.01;39.57;38.8;38.39;37.58;37.56;37.36;36.46;35.69;34.7;33.39;32.84;32.13;31.4;30.76;30.08;29.56;29.23;28.29;27.58;26.82;26.26;25.65;24.82;24.28;24.02;23.76
egy;stomach_cancer_deaths_per_100000_men;8.45;8.21;7.87;7.88;7.87;7.66;7.58;7.5;7.17;7.03;6.85;6.87;6.78;6.7;6.54;6.37;6.42;6.33;6.36;6.25;6.23;6.23;6.14;5.99;5.84;5.77;5.7
eri;stomach_cancer_deaths_per_100000_men;18.46;17.91;16.63;15.65;15.26;14.94;14.55;14.18;13.83;13.4;13.08;12.83;12.65;12.46;12.31;12.19;12.07;11.97;11.92;11.83;11.8;11.7;11.63;11.53;11.44;11.4;11.33
esp;stomach_cancer_deaths_per_100000_men;23.72;22.89;22.12;21.61;20.96;20.19;19.6;18.99;18.43;18.05;17.36;16.8;16.26;15.82;15.33;14.94;14.39;13.99;13.53;13.14;12.69;12.26;12.05;11.68;11.34;11.25;11.14
est;stomach_cancer_deaths_per_100000_men;41.41;41.47;40.94;43.63;45.13;43.1;37.85;36.37;37.42;34.35;32.83;32.63;31.14;29.6;28.98;27.36;27.76;27.75;24.73;23.64;21.76;21.35;21.38;19.14;19.96;19.3;18.91
eth;stomach_cancer_deaths_per_100000_men;19.32;18.81;18.19;17.55;17.01;16.73;15.93;15.56;15.03;14.34;13.93;13.27;12.66;12.31;12.02;11.8;11.62;11.36;11.17;11.09;10.98;10.82;10.66;10.54;10.45;10.32;10.22
fin;stomach_cancer_deaths_per_100000_men;21.17;20.24;19.27;18.4;17.39;16.49;15.9;15.06;14.36;13.58;12.89;12.19;11.78;11.45;10.93;10.55;10.23;9.77;9.39;9.17;8.85;8.48;8.12;7.81;7.57;7.33;7.17
fji;stomach_cancer_deaths_per_100000_men;8.78;8.66;8.58;8.54;8.49;8.44;8.42;8.4;8.22;8.37;8.29;8.16;7.93;7.94;7.9;8.17;8.42;8.62;8.77;8.5;8.28;8.15;8.16;8.12;8.04;7.96;7.92
fra;stomach_cancer_deaths_per_100000_men;19.13;18.28;17.56;17.09;16.58;16.23;15.77;15.03;14.75;14.31;13.8;13.37;12.97;12.63;12.09;11.69;11.32;10.92;10.61;10.34;10.02;9.76;9.57;9.35;9.06;8.95;8.85
fsm;stomach_cancer_deaths_per_100000_men;19.1;18.86;18.64;18.39;18.12;17.87;17.57;17.44;17.1;16.88;16.45;16.16;15.91;15.67;15.55;15.41;15.39;15.47;15.56;15.58;15.76;15.72;15.49;15.41;15.43;15.85;15.66
gab;stomach_cancer_deaths_per_100000_men;17.68;16.76;16.7;16.36;16.22;16.69;15.93;14.91;14.12;13.09;12.88;12.44;11.57;11.26;10.93;10.66;10.35;10.15;10.17;10.03;9.58;9.43;9.27;9.16;8.99;8.78;8.6
gbr;stomach_cancer_deaths_per_100000_men;21.32;20.72;20.18;19.77;19.15;18.59;18.0;17.38;16.85;16.28;15.62;14.99;14.53;14.06;13.49;12.94;12.3;11.84;11.41;11.02;10.69;10.42;10.24;10.03;9.92;9.86;9.87
geo;stomach_cancer_deaths_per_100000_men;23.19;22.59;21.41;20.73;19.5;17.75;17.04;16.92;17.88;18.07;18.37;18.05;19.61;21.35;22.35;23.44;24.09;24.13;24.36;24.69;24.89;25.27;25.15;24.54;23.97;23.21;22.56
