geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;stomach_cancer_deaths_per_100000_women;20.53;20.68;20.89;21.25;21.72;21.99;22.2;22.37;22.53;22.93;23.34;23.76;23.82;23.81;23.81;23.69;23.54;23.27;23.05;22.64;22.25;21.87;21.48;21.14;20.83;20.55;20.34
ago;stomach_cancer_deaths_per_100000_women;9.1;9.11;9.11;9.44;9.81;9.99;10.05;9.91;10.19;9.9;9.65;9.52;9.34;9.37;9.3;9.13;8.98;8.73;8.52;8.27;8.0;7.78;7.59;7.43;7.25;7.09;6.94
alb;stomach_cancer_deaths_per_100000_women;9.61;9.55;9.48;9.43;9.31;9.57;9.91;10.27;10.69;10.95;11.04;11.03;11.02;10.94;10.92;10.67;10.31;9.94;9.61;9.32;8.93;8.58;8.3;8.08;7.89;7.71;7.55
and;stomach_cancer_deaths_per_100000_women;6.25;6.15;6.03;6.07;6.14;5.72;5.41;5.11;4.85;4.58;4.36;4.15;3.96;3.78;3.79;3.64;3.55;3.46;3.45;3.51;3.51;3.52;3.52;3.51;3.51;3.51;3.5
are;stomach_cancer_deaths_per_100000_women;7.03;6.86;6.7;6.54;6.38;6.22;6.09;5.87;5.66;5.49;5.3;5.14;5.0;4.79;4.58;4.44;4.37;4.22;4.26;4.29;4.31;4.33;4.34;4.33;4.31;4.27;4.21
arg;stomach_cancer_deaths_per_100000_women;10.36;10.09;9.79;9.44;9.15;8.9;8.73;8.57;8.38;8.23;8.01;7.88;7.81;7.72;7.63;7.49;7.36;7.34;7.18;7.09;7.03;6.9;6.79;6.68;6.51;6.4;6.32
arm;stomach_cancer_deaths_per_100000_women;14.62;13.8;14.13;13.18;12.11;12.27;12.47;12.07;12.08;11.15;10.51;10.6;9.89;10.29;10.34;10.81;11.12;10.94;11.31;11.2;11.17;10.65;10.13;9.43;8.83;8.86;8.41
asm;stomach_cancer_deaths_per_100000_women;11.71;11.77;11.99;12.13;12.23;12.33;12.42;12.35;13.14;12.23;11.55;10.9;11.27;11.26;11.16;10.99;11.19;11.22;10.92;10.63;10.21;10.72;10.59;10.64;10.62;10.56;10.39
atg;stomach_cancer_deaths_per_100000_women;10.05;9.75;9.41;8.85;8.82;8.43;8.29;7.83;7.71;7.73;7.7;7.36;7.25;6.96;6.68;6.29;6.0;5.46;5.36;5.22;5.19;5.08;4.93;4.82;4.99;4.98;4.99
aus;stomach_cancer_deaths_per_100000_women;5.88;5.68;5.51;5.32;5.2;5.08;4.96;4.84;4.65;4.5;4.37;4.29;4.27;4.2;4.14;4.08;4.11;4.15;4.29;4.28;4.28;4.29;4.28;4.2;4.16;4.07;4.02
aut;stomach_cancer_deaths_per_100000_women;13.06;12.6;12.06;11.58;11.08;10.56;10.05;9.49;8.87;8.39;7.9;7.5;7.22;7.03;6.78;6.51;6.23;5.91;5.72;5.56;5.26;5.24;5.19;5.07;4.94;4.9;4.86
