geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;stomach_cancer_new_cases_per_100000_men;22.29;22.39;22.52;22.76;23.12;23.29;23.46;23.57;23.65;23.8;23.95;24.13;23.99;23.79;23.62;23.4;23.19;22.89;22.63;22.24;21.85;21.5;21.12;20.8;20.53;20.29;20.1
ago;stomach_cancer_new_cases_per_100000_men;16.65;16.28;15.95;15.71;15.52;15.4;15.07;14.58;14.14;13.56;13.08;12.61;12.12;11.81;11.42;11.03;10.65;10.3;10.02;9.75;9.49;9.28;9.07;8.86;8.67;8.49;8.33
alb;stomach_cancer_new_cases_per_100000_men;20.12;20.32;20.45;20.37;20.54;20.91;21.21;21.59;21.99;22.02;22.02;21.71;21.85;21.84;21.61;21.34;20.96;20.48;20.19;19.84;19.32;18.86;18.55;18.35;18.22;18.1;18.02
and;stomach_cancer_new_cases_per_100000_men;19.36;19.39;19.45;18.86;18.32;17.97;17.55;17.19;16.92;16.7;16.4;16.11;15.83;15.92;16.08;16.06;15.97;15.92;15.87;15.89;15.95;16.14;16.32;16.45;16.62;16.78;16.93
are;stomach_cancer_new_cases_per_100000_men;9.95;9.95;9.91;9.88;9.88;9.85;9.76;9.68;9.47;9.34;9.17;9.06;8.9;8.63;8.22;8.12;8.11;7.91;8.01;8.13;8.23;8.29;8.34;8.35;8.39;8.4;8.38
arg;stomach_cancer_new_cases_per_100000_men;26.5;25.96;25.45;24.81;24.45;24.18;23.81;22.89;22.42;21.93;21.5;21.16;21.14;20.95;20.69;20.25;19.89;19.78;19.42;19.02;18.62;18.27;18.13;17.97;17.73;17.62;17.52
arm;stomach_cancer_new_cases_per_100000_men;29.73;29.88;31.36;31.85;31.48;29.46;28.28;26.54;25.5;24.97;23.93;23.77;23.21;23.4;23.36;23.8;23.89;23.49;23.81;23.53;23.07;22.62;21.68;20.88;20.78;20.84;20.33
asm;stomach_cancer_new_cases_per_100000_men;21.27;21.2;20.96;20.43;20.17;20.0;19.76;19.35;20.38;19.86;18.71;18.3;16.84;16.61;16.22;16.27;16.08;16.01;15.91;15.62;15.66;15.5;15.27;15.38;15.46;15.54;15.5
atg;stomach_cancer_new_cases_per_100000_men;31.68;30.69;29.85;28.81;27.46;26.67;26.22;25.11;25.02;23.57;23.54;21.62;20.58;19.86;19.14;18.52;18.5;17.82;18.06;17.99;18.34;18.59;18.6;18.46;19.44;19.56;19.86
aus;stomach_cancer_new_cases_per_100000_men;17.16;16.76;16.48;16.29;16.18;15.95;15.65;15.34;14.96;14.71;14.46;14.24;14.19;14.11;14.11;13.93;13.83;13.77;14.39;14.76;14.99;14.93;14.85;14.92;14.91;14.94;14.99
aut;stomach_cancer_new_cases_per_100000_men;30.33;29.28;28.35;27.68;26.59;25.4;24.38;23.21;22.18;20.99;20.06;19.43;19.01;18.99;18.62;18.45;18.15;17.93;17.76;17.7;17.1;17.52;17.53;17.41;17.16;17.15;17.17
aze;stomach_cancer_new_cases_per_100000_men;44.4;44.06;46.71;45.46;46.05;41.83;40.22;38.88;38.37;38.33;37.3;35.79;35.61;36.18;35.57;35.3;35.3;35.28;35.86;35.17;34.94;32.75;31.5;30.7;30.06;29.62;29.23
bdi;stomach_cancer_new_cases_per_100000_men;17.72;17.6;17.48;17.47;17.48;17.69;17.38;16.87;16.38;15.46;14.95;13.82;13.16;12.6;12.22;11.93;11.48;11.12;10.77;10.43;10.27;10.14;10.02;9.89;9.77;9.69;9.63
bel;stomach_cancer_new_cases_per_100000_men;23.58;22.83;22.05;21.7;20.91;19.88;18.78;17.5;17.42;16.9;16.33;16.56;16.53;15.72;15.32;14.83;14.38;14.05;13.93;13.78;13.58;13.73;13.98;13.81;13.55;13.57;13.59
ben;stomach_cancer_new_cases_per_100000_men;15.48;15.3;14.83;14.39;14.22;13.95;13.88;13.36;13.09;13.14;13.32;13.5;13.63;13.75;13.81;13.8;13.85;13.87;13.88;13.88;13.86;13.85;13.83;13.78;13.69;13.56;13.41
bfa;stomach_cancer_new_cases_per_100000_men;17.11;16.69;16.24;15.95;15.49;15.08;14.53;14.18;13.89;13.85;14.08;13.99;14.1;14.1;14.15;14.23;14.2;14.27;14.27;14.29;14.28;14.25;14.18;14.11;14.03;13.98;13.93
bgd;stomach_cancer_new_cases_per_100000_men;14.58;13.77;13.48;13.07;12.67;12.53;12.15;11.63;11.2;10.75;10.77;10.58;10.38;10.22;10.06;10.06;10.08;9.97;9.69;9.47;9.38;9.14;9.2;9.06;8.91;8.77;8.63
bgr;stomach_cancer_new_cases_per_100000_men;25.46;25.05;25.31;24.91;25.0;24.59;24.22;24.05;23.89;23.45;23.5;23.42;23.44;23.41;23.47;23.77;23.66;23.31;22.77;22.01;21.34;20.64;20.14;19.72;19.35;19.05;18.81
bhr;stomach_cancer_new_cases_per_100000_men;13.61;13.29;12.89;12.24;11.7;11.36;11.19;10.96;10.53;9.94;9.58;9.55;9.29;8.98;8.78;8.51;8.28;7.96;7.52;7.14;6.82;6.61;6.52;6.48;6.5;6.46;6.42
bhs;stomach_cancer_new_cases_per_100000_men;26.56;24.92;23.65;22.88;22.88;23.94;24.19;24.09;24.51;22.97;22.3;21.58;21.28;20.27;18.92;18.17;17.36;16.9;16.64;16.43;16.31;16.34;16.27;16.46;16.59;16.69;16.97
bih;stomach_cancer_new_cases_per_100000_men;23.36;23.34;23.25;23.15;22.99;22.64;21.71;20.74;19.88;18.88;18.23;17.75;17.51;17.29;16.99;16.82;16.6;16.39;16.1;15.78;15.53;15.41;15.33;15.32;15.43;15.17;14.9
blr;stomach_cancer_new_cases_per_100000_men;53.86;54.42;55.18;56.51;55.71;55.24;53.41;51.31;49.98;48.55;46.18;44.76;44.19;42.01;41.59;40.6;38.66;36.28;35.75;34.88;34.1;33.35;31.06;29.5;28.16;27.85;27.67
blz;stomach_cancer_new_cases_per_100000_men;17.92;17.66;17.9;18.47;19.25;19.84;20.53;20.95;22.03;21.27;20.71;20.19;19.78;18.91;17.99;17.29;16.68;15.79;15.35;14.98;14.68;14.46;14.35;14.33;14.48;14.47;14.47
bmu;stomach_cancer_new_cases_per_100000_men;37.34;36.26;35.78;35.73;34.5;32.05;33.36;31.1;31.39;30.08;29.68;26.3;25.39;24.44;23.13;22.05;22.26;21.45;21.05;20.43;20.19;19.78;19.87;19.78;20.02;19.49;19.89
bol;stomach_cancer_new_cases_per_100000_men;55.88;54.41;53.08;51.76;50.22;49.28;47.87;47.37;46.51;45.39;43.96;42.57;41.51;40.36;39.22;38.24;37.34;36.57;36.01;35.47;34.99;34.48;33.95;33.45;33.0;32.58;32.23
bra;stomach_cancer_new_cases_per_100000_men;30.5;30.08;29.82;29.45;28.98;28.64;28.59;28.14;27.82;27.48;26.98;26.34;25.68;25.24;24.59;23.87;23.37;22.81;22.23;21.74;21.3;20.89;20.51;20.42;20.21;20.32;20.64
brb;stomach_cancer_new_cases_per_100000_men;34.85;34.86;34.22;34.03;33.58;32.25;31.28;29.94;28.46;26.84;26.48;24.35;23.29;22.14;21.54;21.25;21.29;20.41;20.26;19.95;19.88;19.35;19.26;19.42;19.93;20.39;20.77
brn;stomach_cancer_new_cases_per_100000_men;25.9;26.17;25.96;25.69;25.35;25.01;24.79;24.58;24.12;23.62;23.77;23.51;23.44;23.65;23.9;24.46;25.03;25.69;26.08;26.38;26.46;27.1;27.46;27.46;27.86;28.48;28.75
btn;stomach_cancer_new_cases_per_100000_men;10.35;10.14;9.94;9.73;9.51;9.27;8.68;8.55;8.33;7.86;7.83;7.6;7.38;7.31;7.11;6.99;6.83;6.72;6.57;6.57;6.47;6.38;6.33;6.28;6.22;6.14;6.07
