geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;stomach_cancer_number_of_female_deaths;441.43;470.88;510.7;562.15;618.79;667.8;702.17;730.06;755.23;791.42;834.62;880.07;915.04;952.74;992.06;1024.1;1051.37;1069.13;1090.01;1102.69;1119.81;1135.59;1155.06;1182.21;1210.45;1240.85;1278.07
ago;stomach_cancer_number_of_female_deaths;186.82;190.94;195.74;209.4;224.95;235.56;240.93;241.75;257.81;255.88;256.06;259.68;262.32;272.44;280.24;284.17;287.95;287.58;288.91;289.21;288.57;288.3;289.41;291.99;294.21;297.28;300.96
alb;stomach_cancer_number_of_female_deaths;100.32;102.12;103.57;104.77;105.3;110.46;115.06;119.99;125.96;130.49;133.18;136.09;139.75;143.25;147.39;148.21;147.57;146.21;145.67;146.0;145.14;142.74;141.77;142.23;143.04;143.96;144.69
and;stomach_cancer_number_of_female_deaths;2.82;3.02;3.16;3.37;3.51;3.31;3.18;3.08;2.97;2.84;2.74;2.67;2.62;2.65;2.87;2.92;2.97;3.03;3.13;3.27;3.34;3.4;3.46;3.51;3.57;3.62;3.6
are;stomach_cancer_number_of_female_deaths;11.68;11.88;12.11;12.39;12.7;13.02;13.4;13.52;13.6;13.75;13.79;14.14;14.54;14.8;15.36;16.48;17.49;18.31;20.61;22.88;25.06;27.6;29.85;31.92;33.96;36.13;38.1
arg;stomach_cancer_number_of_female_deaths;1688.66;1681.19;1669.01;1649.98;1639.48;1636.01;1641.47;1648.41;1656.06;1668.66;1664.6;1675.43;1695.83;1717.37;1734.36;1743.39;1744.54;1777.04;1773.04;1786.49;1807.57;1808.97;1814.67;1815.29;1796.23;1807.1;1821.61
arm;stomach_cancer_number_of_female_deaths;218.45;210.18;218.85;206.37;193.0;199.03;204.6;201.1;205.09;192.64;185.42;188.13;176.8;184.67;185.5;194.09;198.06;192.98;197.81;196.22;198.06;194.6;192.46;187.9;183.44;190.3;185.62
asm;stomach_cancer_number_of_female_deaths;1.05;1.09;1.14;1.2;1.24;1.29;1.35;1.38;1.52;1.45;1.41;1.37;1.46;1.5;1.53;1.55;1.63;1.69;1.69;1.7;1.68;1.83;1.86;1.93;1.99;2.04;2.07
atg;stomach_cancer_number_of_female_deaths;2.82;2.8;2.76;2.66;2.73;2.69;2.68;2.56;2.53;2.55;2.55;2.5;2.51;2.44;2.35;2.23;2.16;2.02;2.02;2.0;2.02;2.01;1.99;1.99;2.11;2.16;2.23
aus;stomach_cancer_number_of_female_deaths;602.03;598.12;597.34;591.61;594.16;594.64;596.86;598.38;590.08;588.26;587.09;593.18;605.39;611.85;618.43;626.43;649.28;674.6;718.86;737.85;759.67;784.99;804.21;807.77;821.08;821.86;830.64
aut;stomach_cancer_number_of_female_deaths;909.87;882.49;848.58;818.49;787.72;759.84;727.98;693.18;654.22;625.16;596.24;574.29;561.59;554.73;543.13;531.57;517.5;498.89;489.92;481.79;461.9;469.33;471.73;465.89;460.87;466.78;472.93
aze;stomach_cancer_number_of_female_deaths;450.7;436.43;442.42;443.32;451.27;444.9;441.96;443.64;450.88;458.79;463.6;465.13;475.17;503.25;511.51;513.58;506.64;508.07;534.58;540.18;540.5;518.12;540.46;499.09;491.48;493.65;493.29
bdi;stomach_cancer_number_of_female_deaths;147.65;149.93;152.77;155.58;158.58;161.62;165.1;163.14;161.69;156.01;151.95;143.81;138.84;136.45;136.33;135.67;133.89;131.51;130.89;131.94;135.46;138.87;142.12;145.2;148.67;152.23;156.16
bel;stomach_cancer_number_of_female_deaths;859.59;835.06;813.41;784.16;744.85;718.17;683.96;647.31;635.75;605.64;578.95;578.75;562.94;535.82;516.26;503.07;498.36;493.55;495.61;495.37;499.17;509.84;517.82;515.17;506.58;514.83;518.91
ben;stomach_cancer_number_of_female_deaths;128.34;127.26;128.31;127.1;129.4;133.37;135.55;133.37;133.27;136.8;142.51;147.37;152.01;156.54;162.88;168.13;174.07;179.7;187.57;198.79;208.35;217.44;225.61;233.27;239.61;246.89;255.72
bfa;stomach_cancer_number_of_female_deaths;323.62;316.53;319.02;313.98;310.17;306.75;299.48;300.61;303.22;305.91;309.91;310.53;318.51;328.68;343.82;354.69;366.41;372.96;377.68;388.57;405.48;418.85;435.23;450.51;462.89;475.26;489.65
bgd;stomach_cancer_number_of_female_deaths;2445.75;2335.44;2419.0;2401.76;2403.52;2508.76;2435.31;2410.55;2383.12;2399.29;2498.24;2539.86;2580.87;2559.7;2525.95;2536.85;2481.5;2437.03;2445.25;2432.72;2483.02;2427.34;2438.18;2436.0;2412.49;2413.06;2440.87
bgr;stomach_cancer_number_of_female_deaths;876.1;852.69;832.23;797.8;784.93;781.73;773.11;768.27;731.17;713.05;700.82;672.74;666.58;640.64;634.81;639.12;636.15;617.38;600.39;573.49;559.42;537.76;521.96;518.54;519.15;522.47;524.45
bhr;stomach_cancer_number_of_female_deaths;6.87;7.25;7.32;7.35;7.38;7.61;7.55;7.52;7.52;7.63;7.5;7.84;8.2;8.56;8.76;8.82;8.88;8.79;9.06;9.45;9.99;10.33;10.59;10.6;10.8;11.02;11.47
bhs;stomach_cancer_number_of_female_deaths;8.3;8.27;8.34;8.38;8.84;8.81;8.57;8.8;9.19;9.32;9.65;9.85;10.23;10.19;9.95;10.0;9.81;9.4;9.8;10.01;10.58;11.07;11.72;12.24;12.88;13.4;14.16
bih;stomach_cancer_number_of_female_deaths;209.82;210.67;211.86;210.17;209.26;208.0;201.13;195.9;194.08;189.35;188.93;192.37;199.73;209.28;215.44;220.24;223.86;226.05;226.09;224.75;225.07;226.12;225.84;227.57;233.22;227.87;221.27
blr;stomach_cancer_number_of_female_deaths;1657.36;1690.38;1723.74;1777.96;1787.27;1786.32;1747.85;1711.32;1683.46;1648.03;1567.19;1539.54;1506.04;1438.6;1417.36;1377.82;1310.14;1234.34;1200.64;1204.96;1179.65;1155.8;1060.8;1018.71;961.14;956.75;955.19
blz;stomach_cancer_number_of_female_deaths;5.05;5.14;5.25;5.23;5.3;5.28;5.22;5.59;6.15;6.35;6.46;6.48;6.37;6.21;6.1;5.89;5.89;5.76;6.01;6.08;6.11;6.23;6.51;6.65;6.84;6.98;7.15
bmu;stomach_cancer_number_of_female_deaths;2.32;2.41;2.49;2.44;2.43;2.28;2.2;2.14;2.16;2.17;2.23;2.11;2.08;1.94;1.85;1.72;1.61;1.47;1.43;1.38;1.32;1.25;1.19;1.13;1.12;1.08;1.11
bol;stomach_cancer_number_of_female_deaths;837.17;850.69;871.54;888.45;892.13;890.04;872.99;865.03;844.62;832.05;814.86;802.65;815.38;819.08;838.96;863.28;877.73;911.87;940.0;970.56;1001.08;1028.63;1057.8;1087.08;1119.87;1152.2;1180.82
bra;stomach_cancer_number_of_female_deaths;4327.17;4345.14;4454.23;4529.84;4611.65;4724.38;4831.13;4923.22;4994.23;5097.25;5180.35;5202.78;5285.89;5405.02;5506.9;5570.79;5652.2;5709.43;5731.8;5786.74;5911.7;5975.84;6055.84;6134.81;6233.95;6348.37;6481.84
brb;stomach_cancer_number_of_female_deaths;18.84;18.86;18.76;17.94;17.98;16.9;16.95;16.65;16.3;15.94;15.87;15.39;15.22;15.05;14.93;14.03;13.61;12.69;12.54;12.35;12.24;12.3;12.22;12.49;13.15;13.78;14.29
brn;stomach_cancer_number_of_female_deaths;6.69;6.94;7.11;7.14;7.12;7.08;7.0;6.73;6.51;6.48;6.44;6.43;6.48;6.6;6.91;7.1;7.34;7.56;7.68;7.88;8.01;8.36;8.82;9.27;9.63;9.98;10.36
btn;stomach_cancer_number_of_female_deaths;11.49;11.38;11.18;10.91;10.67;10.45;10.2;10.44;10.5;10.42;10.62;10.51;10.33;10.3;10.37;10.57;10.47;10.42;10.4;10.42;10.58;10.68;10.85;11.06;11.25;11.42;11.58
bwa;stomach_cancer_number_of_female_deaths;16.17;16.11;16.17;16.31;16.76;17.69;18.77;20.29;22.5;24.36;26.43;27.58;28.47;28.4;27.46;25.41;24.01;23.11;22.59;21.49;21.03;20.86;21.86;21.99;22.71;23.59;24.69
caf;stomach_cancer_number_of_female_deaths;83.82;84.46;83.62;91.11;93.21;94.66;97.29;97.9;99.52;99.63;98.66;98.0;98.27;98.35;98.46;98.99;99.32;98.83;98.31;98.6;100.59;101.09;100.64;102.71;104.14;105.98;108.1
can;stomach_cancer_number_of_female_deaths;1442.74;1504.47;1530.78;1568.89;1593.31;1553.89;1634.35;1656.17;1682.53;1685.03;1670.12;1683.75;1684.85;1630.16;1654.48;1698.58;1735.85;1785.16;1820.35;1828.73;1854.78;1874.58;1889.52;1898.65;1921.74;1957.41;1970.98
che;stomach_cancer_number_of_female_deaths;397.36;382.82;370.59;358.87;347.87;342.9;331.54;321.32;307.54;299.77;290.03;283.64;281.01;275.49;265.32;261.24;260.84;257.17;249.56;247.7;247.4;245.54;248.15;246.23;240.71;242.63;246.23
chl;stomach_cancer_number_of_female_deaths;1072.21;1037.7;1032.99;1047.76;1070.98;1095.95;1102.85;1124.17;1147.8;1157.86;1157.45;1163.63;1181.65;1197.3;1208.81;1215.89;1193.66;1186.84;1188.03;1221.48;1255.81;1273.21;1300.5;1296.32;1290.5;1309.83;1336.51
chn;stomach_cancer_number_of_female_deaths;110052.05;110655.84;112459.49;114865.37;115988.73;116872.76;116792.48;117467.94;117551.32;119831.1;122925.74;125650.76;126711.85;123359.44;121148.72;119416.25;114870.3;112401.96;109896.37;107480.07;104990.59;101927.23;100417.57;98754.33;99512.84;97583.48;96024.85
civ;stomach_cancer_number_of_female_deaths;152.36;156.55;160.32;173.23;180.63;193.89;198.64;199.77;205.3;212.56;218.94;226.01;224.73;227.98;226.04;231.41;237.72;239.13;241.08;242.75;249.21;257.53;266.93;273.01;277.72;281.37;286.95
