geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;stomach_cancer_number_of_male_deaths;482.07;518.83;567.76;629.91;697.72;757.82;796.68;825.74;849.86;881.15;919.4;964.69;1005.06;1047.53;1089.81;1127.15;1156.51;1176.87;1197.21;1211.37;1230.79;1251.74;1278.86;1313.36;1353.63;1395.71;1445.71
ago;stomach_cancer_number_of_male_deaths;282.6;281.69;282.88;288.94;296.36;302.16;296.33;291.79;301.65;293.84;290.32;291.14;291.5;300.76;305.19;307.49;309.52;309.75;314.15;317.86;320.44;324.88;329.78;335.51;342.03;349.45;357.45
alb;stomach_cancer_number_of_male_deaths;206.58;212.55;215.8;215.61;218.09;224.49;230.08;239.95;251.86;261.38;270.84;275.49;285.81;295.03;300.62;304.85;305.89;304.95;308.34;310.89;310.69;308.06;307.9;310.19;314.1;318.97;322.87
and;stomach_cancer_number_of_male_deaths;4.02;4.34;4.63;4.72;4.7;4.61;4.54;4.49;4.45;4.38;4.33;4.3;4.3;4.56;4.97;5.21;5.38;5.61;5.76;5.92;6.06;6.21;6.36;6.47;6.61;6.73;6.73
are;stomach_cancer_number_of_male_deaths;20.71;21.9;23.05;24.04;25.24;26.66;27.95;29.44;30.63;31.92;33.05;33.88;34.92;36.21;38.87;44.4;49.46;55.59;64.32;74.94;85.06;97.14;107.85;117.71;127.72;138.21;150.22
arg;stomach_cancer_number_of_male_deaths;3453.11;3431.07;3414.36;3379.59;3380.18;3412.3;3421.45;3352.38;3345.64;3331.07;3319.39;3325.68;3382.89;3421.08;3434.73;3416.07;3400.0;3434.37;3417.1;3397.38;3370.62;3349.47;3373.68;3389.04;3387.94;3412.23;3454.85
arm;stomach_cancer_number_of_male_deaths;326.05;337.56;361.68;374.48;374.63;352.19;340.89;321.56;314.09;315.68;307.46;308.76;306.2;313.0;319.43;332.61;339.31;335.56;343.04;341.46;335.51;333.62;321.67;309.55;308.82;313.18;304.59
asm;stomach_cancer_number_of_male_deaths;2.46;2.49;2.49;2.44;2.44;2.45;2.45;2.44;2.59;2.55;2.4;2.37;2.22;2.24;2.23;2.27;2.26;2.28;2.29;2.3;2.35;2.36;2.36;2.42;2.48;2.53;2.57
atg;stomach_cancer_number_of_male_deaths;5.95;5.74;5.6;5.44;5.27;5.19;5.21;5.05;5.06;4.8;4.87;4.6;4.54;4.49;4.41;4.31;4.29;4.1;4.1;4.04;4.12;4.2;4.24;4.22;4.48;4.53;4.64
aus;stomach_cancer_number_of_male_deaths;908.93;902.72;904.73;903.23;906.75;902.88;899.1;893.86;886.58;883.55;880.2;883.62;896.14;901.24;914.36;918.4;944.68;972.54;1026.6;1050.8;1083.52;1105.09;1115.67;1124.18;1132.52;1155.2;1186.96
aut;stomach_cancer_number_of_male_deaths;989.72;954.07;919.35;892.95;856.96;820.63;788.68;752.73;720.35;684.91;657.13;643.35;637.11;643.98;637.34;640.7;636.17;634.22;632.15;637.54;623.05;643.28;647.99;647.15;643.13;650.84;660.18
aze;stomach_cancer_number_of_male_deaths;747.28;760.59;836.23;832.09;869.97;798.76;786.64;777.61;788.29;811.03;818.38;811.43;830.55;876.75;888.73;908.84;930.21;949.1;982.28;974.47;984.15;957.2;959.55;974.75;994.87;1024.13;1034.05
bdi;stomach_cancer_number_of_male_deaths;179.13;178.94;178.95;180.14;181.7;185.8;184.5;180.83;178.2;168.82;167.28;157.46;155.71;156.06;160.4;165.58;167.54;170.13;172.6;174.78;182.29;188.42;194.4;198.87;204.0;209.16;214.75
bel;stomach_cancer_number_of_male_deaths;1077.44;1047.52;1006.09;982.14;943.26;908.33;871.27;822.22;820.8;807.08;789.12;797.09;797.59;771.07;762.19;752.1;740.81;735.68;739.45;739.65;731.37;737.74;750.88;741.61;732.0;747.41;760.88
ben;stomach_cancer_number_of_male_deaths;172.89;176.93;176.7;177.27;182.24;185.42;190.07;186.2;186.47;190.39;198.08;206.12;213.9;222.37;230.15;237.35;245.53;253.59;263.2;273.81;284.48;296.49;307.72;318.37;328.85;338.25;348.81
bfa;stomach_cancer_number_of_male_deaths;323.21;318.22;313.37;312.72;307.52;303.34;295.58;292.68;291.97;291.29;299.84;297.97;302.02;307.94;315.36;323.56;330.97;341.28;349.89;358.71;374.06;383.05;399.67;414.76;427.06;439.75;455.7
bgd;stomach_cancer_number_of_male_deaths;3754.94;3599.45;3616.24;3619.97;3630.86;3739.6;3731.5;3656.08;3640.71;3582.9;3700.47;3715.75;3696.11;3693.62;3678.24;3735.58;3804.02;3810.11;3737.14;3694.23;3701.16;3640.62;3710.35;3674.81;3627.27;3614.75;3680.27
bgr;stomach_cancer_number_of_male_deaths;1321.36;1292.94;1294.54;1269.9;1270.75;1241.25;1213.62;1186.51;1150.05;1102.32;1086.46;1060.22;1041.09;1025.97;1015.18;1018.3;1005.01;979.55;951.05;919.75;889.93;868.49;855.31;844.37;838.23;836.15;834.82
