geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;stomach_cancer_number_of_new_female_cases;405.83;430.26;463.66;506.7;553.83;594.04;622.15;644.79;664.32;692.01;724.37;758.78;785.29;811.85;839.65;863.73;883.5;896.55;910.79;920.14;932.77;943.98;956.29;972.87;992.72;1014.74;1041.61
ago;stomach_cancer_number_of_new_female_cases;199.75;203.54;207.3;217.14;228.1;237.74;246.74;247.24;249.71;249.04;249.13;249.18;248.11;251.49;254.16;255.18;255.12;253.6;252.57;251.62;250.97;249.55;249.39;249.82;250.14;251.04;252.47
alb;stomach_cancer_number_of_new_female_cases;96.54;98.35;99.9;101.16;101.82;106.7;111.36;115.87;121.35;125.23;127.65;130.08;133.18;136.19;139.91;140.62;140.03;138.76;138.36;138.91;138.53;136.53;135.96;136.61;137.71;138.92;139.87
and;stomach_cancer_number_of_new_female_cases;3.64;3.9;4.1;4.35;4.5;4.28;4.15;4.07;3.98;3.89;3.78;3.69;3.65;3.71;3.99;4.08;4.16;4.25;4.38;4.55;4.64;4.72;4.81;4.88;4.97;5.06;5.08
are;stomach_cancer_number_of_new_female_cases;12.51;12.61;12.75;12.96;13.2;13.46;13.76;13.85;13.9;14.03;14.08;14.44;14.87;15.4;16.18;17.45;18.59;19.6;21.86;24.24;26.62;29.38;31.91;34.26;36.67;39.3;41.73
arg;stomach_cancer_number_of_new_female_cases;1635.32;1626.98;1615.04;1596.74;1588.52;1581.72;1581.42;1573.74;1572.87;1579.66;1575.92;1581.09;1595.21;1607.42;1622.57;1631.27;1633.87;1661.83;1665.75;1681.3;1706.21;1715.92;1729.36;1737.68;1733.54;1753.33;1772.14
arm;stomach_cancer_number_of_new_female_cases;224.42;216.99;224.71;212.38;200.07;205.28;209.85;205.9;208.94;195.92;188.52;190.62;178.94;185.64;184.97;191.26;193.11;188.14;191.78;189.73;191.21;188.46;186.94;184.0;181.08;188.16;185.34
asm;stomach_cancer_number_of_new_female_cases;0.94;0.98;1.03;1.08;1.13;1.18;1.23;1.27;1.42;1.35;1.33;1.29;1.38;1.43;1.47;1.5;1.58;1.64;1.66;1.67;1.67;1.81;1.85;1.93;2.0;2.07;2.12
atg;stomach_cancer_number_of_new_female_cases;2.67;2.65;2.63;2.54;2.61;2.57;2.53;2.45;2.43;2.47;2.49;2.46;2.48;2.44;2.38;2.29;2.26;2.15;2.2;2.22;2.28;2.3;2.31;2.35;2.54;2.66;2.79
aus;stomach_cancer_number_of_new_female_cases;775.57;780.02;786.09;789.91;805.04;821.71;838.36;855.18;858.78;872.77;889.72;912.05;941.38;964.41;986.61;1006.72;1036.16;1071.71;1161.57;1230.49;1292.73;1349.24;1407.35;1470.09;1542.33;1578.16;1616.26
aut;stomach_cancer_number_of_new_female_cases;1113.21;1092.01;1064.46;1041.26;1014.28;988.81;957.66;922.52;881.0;850.16;820.03;793.17;777.6;770.5;764.31;758.0;751.58;739.61;741.42;742.49;727.36;754.7;770.94;775.25;780.38;799.86;818.39
aze;stomach_cancer_number_of_new_female_cases;463.69;452.18;460.11;461.66;469.14;462.71;457.37;458.02;463.05;467.99;470.19;469.46;477.9;500.64;506.0;506.93;500.88;501.1;527.62;535.17;539.46;524.21;547.96;515.42;513.66;520.59;523.4
bdi;stomach_cancer_number_of_new_female_cases;140.54;143.39;146.53;149.82;153.02;156.19;159.03;157.79;156.88;153.19;150.15;142.95;137.89;134.83;133.28;131.62;128.52;125.53;124.12;124.6;126.49;128.41;130.74;133.46;136.41;140.05;144.18
bel;stomach_cancer_number_of_new_female_cases;1008.61;985.55;971.53;948.04;910.08;877.19;832.96;788.11;781.2;744.82;714.78;723.56;708.7;672.5;651.1;635.46;631.95;628.81;634.1;639.04;652.45;673.52;690.74;693.76;687.99;699.41;707.46
ben;stomach_cancer_number_of_new_female_cases;98.85;97.75;97.98;96.91;98.05;100.34;101.48;100.12;100.21;103.68;108.37;112.36;116.23;120.12;125.23;129.63;134.18;138.7;144.35;151.65;158.01;163.48;169.0;174.09;178.27;182.91;188.05
bfa;stomach_cancer_number_of_new_female_cases;230.29;226.68;227.83;225.28;223.2;221.38;216.8;216.87;217.42;224.3;231.35;235.11;243.93;251.01;261.77;269.95;278.07;284.14;289.98;300.14;308.66;316.47;324.68;331.94;339.31;347.24;356.35
bgd;stomach_cancer_number_of_new_female_cases;2308.01;2223.77;2292.87;2285.03;2291.89;2376.66;2331.93;2323.07;2309.79;2345.89;2455.92;2499.57;2558.12;2565.52;2567.43;2608.11;2587.05;2575.22;2597.83;2602.37;2672.32;2638.92;2674.1;2706.04;2735.67;2765.13;2798.9
bgr;stomach_cancer_number_of_new_female_cases;843.13;823.63;809.93;781.79;774.21;777.91;777.25;783.72;763.91;758.26;755.21;736.11;736.86;713.21;708.78;712.55;707.39;686.23;665.77;633.34;616.66;591.24;570.64;562.89;560.58;560.9;560.54
bhr;stomach_cancer_number_of_new_female_cases;6.88;7.16;7.17;7.17;7.18;7.37;7.32;7.3;7.34;7.44;7.37;7.75;8.12;8.44;8.62;8.69;8.81;8.84;9.17;9.64;10.25;10.63;10.93;10.99;11.26;11.54;12.07
bhs;stomach_cancer_number_of_new_female_cases;8.44;8.41;8.46;8.49;8.95;8.99;8.73;9.1;9.59;9.84;10.49;10.96;11.59;11.7;11.64;11.8;11.67;11.39;11.97;12.36;13.13;13.77;14.65;15.31;16.24;17.04;18.13
bih;stomach_cancer_number_of_new_female_cases;204.69;204.88;205.26;203.08;201.61;200.77;193.78;189.01;187.2;182.73;182.36;184.56;190.57;198.48;203.93;208.65;212.36;214.73;215.32;214.75;215.5;216.44;216.64;218.63;223.7;219.56;214.56
blr;stomach_cancer_number_of_new_female_cases;1770.46;1809.23;1847.04;1898.79;1904.17;1885.97;1831.26;1781.11;1744.39;1700.14;1615.48;1579.37;1534.37;1467.77;1451.65;1418.3;1361.08;1297.53;1281.06;1297.72;1281.11;1270.51;1185.36;1149.54;1104.52;1117.4;1133.39
blz;stomach_cancer_number_of_new_female_cases;4.67;4.73;4.81;4.78;4.87;4.91;4.89;5.21;5.69;5.91;6.06;6.02;5.91;5.76;5.66;5.49;5.49;5.36;5.58;5.67;5.71;5.81;6.02;6.15;6.37;6.53;6.71
bmu;stomach_cancer_number_of_new_female_cases;2.2;2.28;2.35;2.29;2.3;2.18;2.11;2.06;2.08;2.14;2.23;2.16;2.15;2.05;2.02;1.93;1.87;1.76;1.74;1.74;1.7;1.66;1.63;1.6;1.63;1.61;1.72
bol;stomach_cancer_number_of_new_female_cases;800.87;808.29;822.31;831.55;831.24;826.72;810.91;803.78;785.19;772.3;756.04;743.87;751.82;753.75;767.51;785.59;796.03;821.89;842.38;864.52;888.66;910.75;932.98;956.14;980.65;1006.46;1029.42
bra;stomach_cancer_number_of_new_female_cases;4339.32;4364.69;4465.95;4531.77;4616.32;4723.5;4839.1;4955.65;5044.6;5175.22;5291.3;5345.15;5451.0;5593.64;5723.39;5821.95;5927.76;6016.85;6080.41;6170.93;6336.71;6461.68;6608.8;6762.64;6945.99;7166.2;7414.4
brb;stomach_cancer_number_of_new_female_cases;18.4;18.58;18.6;17.84;18.02;17.03;17.04;16.74;16.42;16.29;16.54;16.28;16.29;16.22;16.2;15.44;15.29;14.57;14.68;14.67;14.79;15.0;15.11;15.64;16.63;17.61;18.49
brn;stomach_cancer_number_of_new_female_cases;7.44;7.76;8.02;8.14;8.23;8.31;8.34;8.17;8.05;8.18;8.35;8.58;8.9;9.34;10.04;10.66;11.34;12.02;12.57;13.19;13.69;14.49;15.41;16.34;17.2;18.29;19.33
btn;stomach_cancer_number_of_new_female_cases;11.04;10.86;10.6;10.28;9.99;9.76;9.47;9.6;9.61;9.54;9.68;9.6;9.43;9.41;9.45;9.57;9.47;9.4;9.36;9.37;9.49;9.58;9.75;9.95;10.14;10.33;10.52
bwa;stomach_cancer_number_of_new_female_cases;14.68;14.64;14.7;14.86;15.25;16.06;16.97;18.21;20.0;21.54;23.23;24.17;24.9;24.98;24.31;22.78;21.73;21.05;20.53;19.68;19.38;19.25;20.02;20.14;20.75;21.53;22.48
caf;stomach_cancer_number_of_new_female_cases;85.79;85.89;85.68;91.99;94.24;96.41;98.55;99.97;101.1;100.81;100.68;100.19;99.77;99.86;99.92;100.07;99.84;99.59;99.47;99.99;100.51;100.74;100.85;102.9;104.85;106.82;109.28
can;stomach_cancer_number_of_new_female_cases;1715.3;1800.66;1849.44;1901.96;1939.01;1916.93;2041.81;2085.37;2130.86;2165.39;2170.6;2203.67;2218.1;2154.37;2206.52;2271.38;2315.39;2358.72;2418.04;2459.87;2531.28;2583.72;2627.84;2673.72;2730.14;2802.7;2854.04
che;stomach_cancer_number_of_new_female_cases;590.44;572.76;562.01;549.88;532.4;517.99;498.3;481.17;461.25;448.61;435.71;426.65;421.19;412.83;401.52;397.87;401.92;401.04;395.29;394.73;397.38;399.4;406.39;407.35;404.46;412.03;422.44
chl;stomach_cancer_number_of_new_female_cases;1006.48;976.65;973.52;984.28;1002.35;1022.51;1025.34;1042.77;1063.44;1071.15;1075.88;1083.24;1102.46;1117.21;1129.5;1140.58;1129.35;1127.8;1136.7;1172.12;1207.29;1232.65;1266.52;1275.63;1283.42;1316.32;1354.0
chn;stomach_cancer_number_of_new_female_cases;106687.38;107628.34;109672.78;112353.84;113949.96;115968.8;117265.11;119123.69;120370.79;123365.44;127138.24;130648.65;133121.92;132170.85;132487.61;133200.74;130514.15;130188.01;129837.01;129764.12;129941.02;129002.9;129797.3;130661.81;134254.67;135054.72;136375.31
civ;stomach_cancer_number_of_new_female_cases;109.87;112.64;115.43;123.41;128.26;136.56;139.02;139.36;142.77;148.22;153.59;159.17;159.5;162.43;162.07;166.0;169.86;170.87;172.16;173.21;176.71;180.64;184.9;187.33;189.47;191.07;193.88
cmr;stomach_cancer_number_of_new_female_cases;254.45;252.7;251.99;251.89;254.76;256.51;255.97;263.67;270.66;283.46;301.31;309.74;321.15;331.22;343.4;357.17;361.33;368.9;373.31;378.42;388.18;395.03;402.34;409.88;416.24;422.31;428.82
cod;stomach_cancer_number_of_new_female_cases;594.56;610.81;627.88;644.78;675.85;702.86;767.96;732.38;754.15;743.46;763.75;794.16;797.35;823.75;825.54;828.37;848.82;878.37;898.86;911.78;922.18;931.01;941.55;938.0;937.66;938.9;942.85
cog;stomach_cancer_number_of_new_female_cases;60.32;59.39;58.32;60.71;64.08;67.23;70.77;70.5;71.26;70.74;69.2;66.55;63.91;63.59;63.95;64.42;64.23;64.85;65.8;65.25;65.7;65.35;64.72;65.04;65.45;66.18;66.71
col;stomach_cancer_number_of_new_female_cases;1811.61;1859.23;1892.21;1927.87;1944.89;1941.63;1935.52;1916.36;1929.2;1960.14;2000.15;2007.17;2000.91;2033.4;2057.23;2086.44;2128.28;2099.96;2112.33;2150.25;2210.9;2209.32;2260.98;2284.98;2363.83;2458.55;2548.92
com;stomach_cancer_number_of_new_female_cases;4.95;5.03;5.11;5.21;5.34;5.46;5.56;5.68;5.76;5.74;5.73;5.66;5.5;5.44;5.31;5.27;5.23;5.14;5.24;5.27;5.36;5.49;5.6;5.71;5.83;5.96;6.09
cpv;stomach_cancer_number_of_new_female_cases;27.17;27.02;26.51;25.51;23.76;21.09;17.82;15.61;14.98;15.07;15.25;15.35;15.49;15.81;16.1;16.3;16.32;16.24;16.36;16.57;16.78;16.8;17.45;17.59;17.83;18.16;18.6
