geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;stomach_cancer_number_of_new_male_cases;409.1;439.34;479.65;530.48;585.63;634.19;664.63;687.0;705.01;727.42;755.47;788.67;816.45;845.67;875.67;902.06;923.13;937.04;950.96;961.15;975.9;991.73;1011.46;1036.49;1065.52;1095.95;1131.4
ago;stomach_cancer_number_of_new_male_cases;295.32;294.76;295.43;298.71;303.04;308.96;309.02;304.93;301.97;296.27;293.28;290.16;286.29;288.42;287.89;287.12;285.19;283.68;284.19;285.33;286.83;288.91;291.76;294.81;298.37;302.68;307.7
alb;stomach_cancer_number_of_new_male_cases;200.87;206.14;208.93;208.53;210.99;217.28;223.8;233.79;245.52;254.61;263.5;267.68;276.83;284.8;289.72;293.69;295.05;294.29;297.48;299.96;300.28;298.04;298.24;300.54;304.41;309.18;313.02
and;stomach_cancer_number_of_new_male_cases;5.34;5.78;6.2;6.36;6.38;6.29;6.25;6.28;6.33;6.36;6.34;6.34;6.39;6.8;7.43;7.83;8.13;8.49;8.79;9.08;9.33;9.62;9.91;10.16;10.44;10.71;10.87
are;stomach_cancer_number_of_new_male_cases;20.46;21.48;22.47;23.35;24.43;25.66;26.79;28.09;29.18;30.39;31.43;32.07;32.99;34.52;37.33;42.59;47.5;53.54;63.0;73.24;83.26;95.09;105.71;115.44;125.58;136.42;148.87
arg;stomach_cancer_number_of_new_male_cases;3363.23;3343.34;3328.53;3299.03;3303.97;3323.58;3322.34;3243.59;3228.33;3214.14;3206.17;3203.79;3249.49;3272.83;3287.28;3274.4;3264.09;3295.39;3289.03;3278.55;3270.51;3265.0;3297.89;3323.79;3339.49;3383.29;3435.13
arm;stomach_cancer_number_of_new_male_cases;345.28;356.21;377.95;388.57;386.75;364.73;351.91;331.43;322.55;321.27;311.65;311.78;307.97;313.12;316.13;325.83;329.76;327.0;333.93;332.18;326.51;324.78;313.24;302.51;302.92;308.38;302.39
asm;stomach_cancer_number_of_new_male_cases;2.26;2.3;2.32;2.29;2.31;2.33;2.35;2.34;2.51;2.48;2.37;2.36;2.22;2.25;2.25;2.31;2.33;2.36;2.39;2.41;2.47;2.5;2.52;2.6;2.68;2.75;2.81
atg;stomach_cancer_number_of_new_male_cases;6.38;6.24;6.16;6.06;5.9;5.89;5.92;5.78;5.82;5.52;5.56;5.3;5.24;5.23;5.16;5.11;5.18;5.07;5.2;5.24;5.43;5.61;5.75;5.86;6.34;6.56;6.88
aus;stomach_cancer_number_of_new_male_cases;1329.36;1336.17;1349.76;1365.6;1389.45;1405.18;1417.0;1426.75;1431.64;1447.68;1464.78;1487.2;1523.08;1555.54;1599.93;1624.71;1661.79;1708.04;1840.21;1944.51;2039.92;2099.89;2151.34;2226.29;2286.83;2355.03;2426.7
