geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
afg;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;22920;71;0;0
aia;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0
alb;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125000;0;0;400000;0;0;0
ant;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;0
arg;storm_affected_annual_number;0;0;0;360;100100;20;0;0;105;0;0;0;0;0;0;0;1001;1001;0;0;0;0;0;8015;0;6006;0;0;4000;0;431;2670;5003;912;0;263;0;0;0
asm;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23060;0;0;0;0
atg;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8032;0;0;0;0;0;68700;0;0;2027;5959;0;0;0;0;0;0;0;0;25800
aus;storm_affected_annual_number;13;3;0;0;45720;0;0;0;105;15;0;0;1;0;0;27;1019;0;1;4;0;408;122;12070;2860000;431800;622800;0;0;10700;1351;209;129;2071;648;1201;9030;822;12000
aut;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;303;0;0;0;0;0;4
bdi;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30810;0;0;0;0;15500;0;1505;0;0
bel;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;806;0;0;0;907;0;0;5;0;0;0;0;4;0
bgd;storm_affected_annual_number;3948000;163;25200;51900;2800;0;247;11230;1130;203;1061;2038000;0;6035;0;1846000;2723000;12;10580000;104800;59260;15580000;10320;868500;659200;2374000;119300;3804000;230600;101600;146700;28990;101500;480;18440;35780;18300;8983000;0
bgr;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;0;0;0;0;0;850;0;2;0;0;0;0;0;0;0
bhs;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;1;0;0;0;0;9012;1501;0;7001;3000
