geo;indicator;1279;1309;1352;1365;1374;1409;1428;1459;1489;1500;1570;1600;1609;1642;1650;1659;1690;1700;1720;1739;1740;1750;1760;1770;1780;1790;1791;1792;1793;1794;1795;1796;1797;1798;1799;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009
abw;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.263;;;;;;;;;;;;;;;;;;;;1.263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.263;10.02;10.83;11.72;12.69;13.75;14.92;16.21;17.6;19.08;20.64;22.22;23.85;25.6;27.61;30.0;32.93;38.76;46.61;52.29;53.33;55.19;55.09;55.43;56.65;55.61;54.75;58.08;61.32;61.32;62.96;61.15;58.04;56.54;59.15;58.69;58.08;57.18;55.59;
afg;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.035;;;;;;;;;;;;;;;;;;;;1.035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.661;1.681;1.709;1.7830000000000001;1.788;1.79;1.8359999999999999;1.8;1.8630000000000002;1.8780000000000001;1.905;1.88;1.871;1.8630000000000002;1.8559999999999999;1.854;1.828;1.834;1.8530000000000002;1.837;1.827;1.6969999999999998;1.6230000000000002;1.7619999999999998;1.81;1.8559999999999999;1.9;1.724;1.814;1.774;1.777;1.9669999999999999;2.145;2.222;2.181;2.109;2.261;1.869;1.689;1.6480000000000001;1.556;1.547;1.4240000000000002;1.226;1.097;1.32;1.355;1.393;1.433;1.4709999999999999;1.456;1.305;1.594;1.722;1.765;1.9169999999999998;1.996;2.221;2.235;2.668
ago;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7893;;;;;;;;;;;;;;;;;;;;0.7893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.375;7.546;7.721;7.892;7.568;8.052999999999999;7.7829999999999995;8.395;8.698;8.592;8.786;9.789;9.362;9.679;10.58;11.19;11.64;12.11;11.73;11.86;12.39;12.12;12.0;12.55;12.0;7.524;6.689;6.598;6.734;6.721;6.742999999999999;6.477;6.046;5.667999999999999;5.542999999999999;5.4670000000000005;4.87;5.329;5.984;5.9879999999999995;6.091;5.989;5.763;4.101;4.06;4.362;4.731;4.994;5.229;5.301;5.365;5.438;6.082000000000001;6.108;6.595;7.747999999999999;8.924;10.43;11.47;11.09
aia;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.7009999999999998;;;;;;;;;;;;;;;;;;;;1.7009999999999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.48;12.01;13.23;13.63;13.48;13.86;14.02;14.02;15.04;16.46;17.25;17.88;17.65;17.58;18.12;19.68;21.73;23.26;25.45;26.8;27.05;25.68;26.75;28.01;29.56;28.26;28.42;30.91;33.55;34.24;34.1;34.38;33.29;33.55;40.09;42.72;50.36;59.15;66.62;
alb;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.318;;;;;;;;;;;;;;;;;;;;1.3459999999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.4969999999999999;;;;;;;;;;;;;;;;;;;;2.006;;;;;;;;;;2.299;;;;;;;;;;2.6189999999999998;;;2.721;;;;;;;;;;;;;;;;3.109;;;;;;;;;;;;;;;;;;;;;3.36;3.505;3.511;3.653;3.76;3.963;4.003;4.2589999999999995;4.4510000000000005;4.635;4.869;4.91;5.072;5.245;5.425;5.622999999999999;5.832999999999999;6.053;6.272;6.485;6.724;6.992000000000001;7.266;7.627999999999999;7.657;7.683;7.7139999999999995;7.747999999999999;7.7829999999999995;7.821000000000001;7.877000000000001;7.919;7.962000000000001;8.009;8.055;8.097000000000001;8.148;8.199;8.251;8.314;8.388;5.96;5.477;5.957999999999999;6.401;7.205;7.827999999999999;7.002000000000001;7.861000000000001;8.615;9.2;9.816;10.1;10.65;11.22;11.77;12.36;13.09;14.03;14.36
and;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.763;;;;;;;;;;;;;;;;;;;;2.8569999999999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71.02;70.6;72.54;74.46;75.1;72.4;72.02;71.56;70.19;67.62;66.19;62.9;60.36;58.26;56.62;55.85;56.19;58.28;60.35;62.02;62.52;61.6;59.3;55.95;55.03;54.96;56.66;61.53;63.56;66.11;66.37;73.01;75.63;78.78;82.08;85.53;89.15;88.79;90.68;
ant;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.531;;;;;;;;;;;;;;;;;;;;1.531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.19;23.35;24.22;25.01;26.18;26.66;28.1;38.02;40.21;41.77;44.97;45.1;43.88;43.25;42.06;40.77;38.13;38.17;38.35;40.97;41.3;41.85;43.05;45.0;47.57;48.6;49.74;51.03;50.22;49.88;48.87;49.57;49.55;49.87;49.92;49.78;49.99;50.53;50.83;
are;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.855;;;;;;;;;;;;;;;;;;;;1.864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.18;;;;;;;;;;;;29.99;29.03;27.86;42.65;104.4;117.3;115.4;117.0;99.97;111.2;127.6;121.0;103.5;92.44;90.96;83.8;64.09;64.31;59.32;63.73;71.12;67.62;65.97;62.09;63.61;64.35;64.22;65.77;62.89;61.96;65.82;64.58;63.0;67.21;70.57;73.44;77.52;77.47;76.71;73.98
arg;subsistence_incomes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.911;;;;;;;;;;;;;;;;;;;;1.911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.135;4.095;4.39;4.034;4.086;3.8810000000000002;3.823;4.695;5.118;5.321000000000001;6.075;5.9110000000000005;6.129;6.922000000000001;7.379;6.541;5.9879999999999995;6.966;7.162999999999999;8.037;8.661;9.312000000000001;7.275;7.672000000000001;8.797;7.499;7.921;7.5360000000000005;8.401;9.059;10.01;10.04;9.79;10.29;10.33;10.6;10.36;10.8;10.48;8.974;8.662;8.263;7.4510000000000005;8.687999999999999;8.857000000000001;9.349;9.302999999999999;9.764;10.54;11.04;10.66;10.88;11.36;11.75;11.97;11.14;10.16;9.635;9.908;10.5;10.77;10.69;11.29;11.15;11.4;11.41;11.83;11.77;11.51;12.63;12.02;12.82;13.95;14.39;13.87;13.71;13.95;12.96;13.39;13.69;14.4;14.54;15.04;15.7;14.42;15.32;16.16;15.64;15.03;16.34;17.59;17.45;17.66;18.17;19.45;20.2;20.63;20.71;21.13;21.91;21.42;21.08;22.1;21.06;22.2;22.21;20.66;19.73;20.26;20.4;18.7;19.8;20.04;19.4;17.78;17.21;18.81;20.41;21.36;22.38;21.51;22.47;24.05;24.72;23.62;23.18;21.91;19.29;20.79;22.44;24.26;26.06;28.04;29.64;29.6
