geo;indicator;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
afg;sugar_per_person_g_per_day;14.38;12.78;13.21;15.48;16.27;16.74;17.41;17.8;14.48;18.81;15.85;14.83;14.45;14.79;14.91;15.72;16.5;17.35;19.39;20.21;16.69;20.17;25.07;23.81;19.72;20.31;20.62;20.75;14.3;10.0;9.61;10.75;9.12;8.22;8.45;7.24;7.85;8.34;8.9;8.74;8.4;9.46;12.2;15.5;18.63;19.7;20.82;23.36;23.28;24.25;24.8;25.36;24.53
ago;sugar_per_person_g_per_day;25.18;30.64;33.61;29.49;29.47;28.85;29.43;34.47;29.96;35.92;37.92;36.02;35.74;34.61;29.88;41.7;42.55;42.59;42.26;41.71;33.67;31.99;29.14;28.26;29.33;29.18;28.51;27.99;31.67;32.56;31.51;28.52;25.3;20.77;23.54;26.1;31.71;29.15;34.9;26.46;29.39;36.26;41.49;39.3;37.08;38.25;39.55;44.14;40.17;38.92;40.12;42.68;44.69
alb;sugar_per_person_g_per_day;30.99;31.82;34.33;36.56;37.02;37.66;38.3;38.58;40.89;40.6;41.23;42.8;43.04;44.5;44.62;44.82;41.46;44.02;46.12;46.9;46.39;46.41;45.28;45.11;44.84;48.21;47.61;48.28;48.99;49.9;50.21;51.18;76.11;97.46;54.38;63.02;61.74;56.96;56.46;63.37;66.58;70.73;66.95;54.96;58.63;67.18;75.51;101.79;117.4;113.04;122.11;128.51;130.53
ant;sugar_per_person_g_per_day;91.85;93.38;89.47;96.27;96.02;89.98;90.25;95.6;93.22;97.41;95.21;100.18;101.07;96.47;99.48;91.57;88.42;91.07;94.8;88.44;82.38;94.41;92.57;102.86;75.0;89.5;76.57;78.66;103.16;74.46;81.08;63.51;77.15;84.99;87.47;123.04;121.92;127.08;134.62;131.62;129.06;157.49;154.55;177.44;162.76;149.47;149.78;160.29;165.36;173.1;;;
are;sugar_per_person_g_per_day;97.24;98.35;97.64;93.34;93.83;83.34;96.03;107.59;113.23;115.78;117.7;126.16;126.94;130.2;116.23;104.76;117.43;109.24;113.63;100.82;103.81;103.05;108.16;106.88;102.88;106.34;112.35;105.13;97.23;97.49;97.71;90.31;100.88;96.65;104.4;103.54;98.61;96.94;92.61;100.99;102.27;102.77;105.31;104.79;109.96;102.63;88.92;89.71;94.11;107.07;95.27;98.77;101.23
arg;sugar_per_person_g_per_day;107.17;100.99;76.14;112.13;102.43;109.03;110.61;108.64;108.79;117.9;117.87;120.76;98.78;119.7;112.23;105.57;99.3;110.55;108.56;110.04;102.6;101.72;109.86;113.97;114.77;117.32;109.01;101.16;101.23;115.17;114.19;115.67;117.48;124.97;128.79;123.94;122.41;120.4;130.81;131.0;130.5;128.42;127.56;131.08;135.81;133.25;133.93;133.32;131.61;131.11;131.74;131.12;132.11
arm;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61.44;62.94;60.27;61.62;61.57;60.45;69.72;68.08;67.04;70.9;77.05;87.62;85.14;94.13;92.79;94.03;98.93;103.11;112.24;101.02;101.07;97.38
atg;sugar_per_person_g_per_day;1143.93;1155.06;1405.84;1082.47;764.42;492.48;349.61;188.48;310.72;323.96;590.41;92.65;90.29;87.43;81.91;90.08;87.24;81.46;84.98;95.66;109.61;96.71;80.79;74.56;78.08;79.18;69.66;84.3;86.88;90.4;91.24;91.71;82.22;86.73;89.28;88.07;85.93;89.44;87.53;86.6;86.66;86.36;83.54;93.12;79.66;85.01;87.29;89.19;87.58;87.63;79.64;87.92;90.13
aus;sugar_per_person_g_per_day;154.02;149.07;150.2;153.98;154.4;150.89;147.38;148.12;149.62;151.71;151.51;154.68;154.13;153.17;147.61;156.54;153.53;153.01;147.34;152.26;148.51;146.27;136.7;141.36;142.62;138.06;132.13;133.0;137.08;136.76;132.63;139.01;125.84;122.04;131.87;123.95;134.2;131.77;120.34;123.36;124.84;125.11;128.38;128.28;128.26;127.23;129.85;128.84;125.85;126.21;127.41;125.65;126.26
aut;sugar_per_person_g_per_day;111.87;117.39;109.8;109.27;114.15;111.43;107.91;115.87;99.69;112.88;112.93;109.5;123.91;126.88;104.6;114.23;113.9;112.93;114.3;125.53;119.61;121.34;114.11;114.22;109.6;112.12;112.07;118.93;115.95;119.83;120.42;119.82;115.95;134.58;131.41;130.63;127.8;126.53;126.62;127.34;124.67;123.02;126.72;130.09;135.97;133.78;128.56;133.59;128.12;132.18;130.65;129.7;124.2
aze;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.38;30.82;32.83;34.97;38.22;41.35;40.79;33.76;29.93;34.96;43.24;44.88;42.63;48.8;50.48;37.05;39.64;39.98;43.36;44.16;48.32;50.46
bel;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150.7;149.34;148.3;149.48;146.48;145.77;139.67;138.0;144.19;149.0;156.33;138.43;152.54;143.53
ben;sugar_per_person_g_per_day;6.52;8.69;9.38;5.68;6.14;6.96;8.85;10.15;10.09;9.52;8.91;8.15;7.97;6.73;2.16;2.54;1.15;1.82;3.8;0.79;1.88;1.17;1.71;4.45;6.06;6.76;6.5;7.67;7.88;8.23;12.84;12.03;15.17;22.95;21.75;14.47;12.99;12.99;16.14;12.76;11.22;13.52;14.85;9.82;8.9;9.06;8.24;14.53;13.62;14.63;14.56;17.17;21.37
bfa;sugar_per_person_g_per_day;4.81;6.07;5.52;4.97;4.62;5.05;4.69;6.8;5.5;6.37;6.42;8.7;5.34;4.61;5.4;7.73;9.54;13.44;12.7;11.62;12.34;12.85;9.97;11.8;11.92;11.54;10.75;8.01;9.1;9.55;10.5;10.84;10.87;9.52;9.03;14.13;15.0;13.39;14.09;9.17;12.41;16.19;12.43;10.35;16.59;16.99;18.67;13.08;12.97;13.34;19.54;19.77;20.25
bgd;sugar_per_person_g_per_day;26.71;28.95;29.04;31.14;34.32;42.06;43.75;40.68;42.5;37.77;35.6;28.31;28.38;29.21;27.67;27.79;25.83;23.96;24.88;24.26;24.28;24.11;23.74;23.33;21.29;24.2;23.67;23.95;23.3;22.37;20.16;20.07;20.83;20.0;19.39;18.92;22.58;20.74;18.61;18.14;22.27;18.51;17.1;21.91;28.7;24.64;23.68;22.68;22.84;21.92;22.55;22.28;22.09
bgr;sugar_per_person_g_per_day;55.74;56.73;60.29;68.69;67.38;76.84;76.2;88.81;97.66;99.12;99.31;94.95;98.87;99.81;98.3;104.47;103.41;105.63;103.1;105.19;106.43;106.91;107.35;108.37;106.45;109.24;107.26;107.25;102.74;78.67;73.04;89.98;87.28;82.31;83.12;77.45;79.4;77.07;81.22;79.24;85.74;84.7;84.0;86.1;94.53;97.61;93.07;92.69;87.47;72.19;77.67;76.52;78.67
bhs;sugar_per_person_g_per_day;95.62;95.72;90.86;96.36;100.01;100.5;101.16;111.36;131.53;126.76;118.09;117.71;106.62;96.41;103.35;102.43;113.85;125.3;119.8;141.1;130.27;138.76;126.01;135.35;147.59;119.37;115.44;132.67;139.65;135.11;123.71;119.46;111.6;109.38;127.61;135.92;122.19;123.18;122.88;120.77;121.03;106.12;130.16;131.87;136.95;127.44;124.4;125.34;119.69;119.25;120.04;96.58;106.78
